term,weight
acne,0.011
ada,0.074
adam,0.011
adinda,0.011
aduk,0.011
agar,0.021
ah,0.021
ajar,0.011
akan,0.043
akhir,0.011
alasan,0.011
alias,0.021
aman,0.011
amin,0.011
aminin,0.011
anak,0.011
anda,0.117
angin,0.011
apa,0.223
api,0.011
apresiasi,0.011
asik,0.011
ayo,0.064
baca,0.011
bagaimana,0.074
bahagia,0.032
bahas,0.011
bahasa,0.011
baik,0.106
bajing,0.011
bakteri,0.011
balas,0.011
balik,0.011
balu,0.011
bandung,0.011
bang,0.021
bangun,0.032
bani,0.011
banking,0.011
banyak,0.021
bareng,0.011
baru,0.032
batuk,0.021
bawa,0.021
bayangin,0.011
beda,0.011
begitu,0.074
beli,0.021
benar,0.085
bengong,0.011
bentar,0.021
beom,0.011
beri,0.011
beril,0.011
bersih,0.011
besok,0.021
betah,0.011
betul,0.011
biasa,0.011
bisa,0.053
blok,0.011
bodoh,0.011
boleh,0.032
bonceng,0.011
boong,0.011
boros,0.021
botol,0.011
buat,0.096
bubblegum,0.011
bukan,0.021
buruh,0.011
cahaya,0.021
camping,0.011
campur,0.011
cantik,0.011
cara,0.021
cari,0.011
catat,0.011
cemas,0.011
cemil,0.021
cepat,0.032
ceplok,0.011
cerita,0.032
changes,0.011
chatime,0.011
ci,0.011
cinta,0.021
cintan,0.011
coba,0.043
cocok,0.011
cocol,0.011
cokelat,0.011
colin,0.011
corona,0.011
creepy,0.011
cs,0.011
cukup,0.011
cuma,0.011
curah,0.011
cuy,0.011
dalgona,0.011
dan,0.011
danus,0.021
dari,0.011
data,0.021
daun,0.011
deam,0.011
degdegan,0.011
deh,0.043
dekat,0.032
dengan,0.021
detail,0.011
di,0.021
didengerin,0.011
digiding,0.021
dihancurin,0.011
dikit,0.011
dilakuin,0.021
ding,0.021
dingertin,0.011
dipikirin,0.011
diri,0.011
dong,0.053
dosa,0.011
drama,0.011
dua,0.011
dude,0.011
dulu,0.074
dunia,0.011
earphone,0.021
eci,0.011
ego,0.011
egois,0.011
ehe,0.021
ekspresi,0.011
emon,0.011
enak,0.043
eon,0.011
episode,0.021
exo,0.011
fajar,0.011
feelings,0.011
gabawa,0.011
gaenak,0.011
gajauh,0.011
gambar,0.011
gas,0.011
gegabah,0.011
gel,0.011
gemas,0.011
gembira,0.011
ger,0.011
gerah,0.011
gilir,0.011
gimanasi,0.011
gin,0.043
gofod,0.011
goreng,0.011
gratis,0.011
guppy,0.011
hadir,0.011
hak,0.011
hancur,0.011
harap,0.011
hari,0.021
harus,0.021
hasil,0.021
hati,0.032
hazelnut,0.011
hebat,0.011
henti,0.011
heran,0.032
hidup,0.043
hilang,0.011
hubung,0.011
humoris,0.032
hwapy,0.011
ibu,0.021
idupnya,0.011
ih,0.011
ija,0.011
ikan,0.021
in,0.011
indah,0.011
ingat,0.021
ingin,0.011
ini,0.043
ip,0.011
isi,0.011
isn,0.011
istirahat,0.011
itu,0.106
iya,0.021
iyap,0.011
jadi,0.202
jajan,0.011
jarak,0.021
jawab,0.043
jenis,0.021
joget,0.011
kacau,0.021
kai,0.011
kalau,0.138
kali,0.011
kan,0.074
kardus,0.011
karet,0.011
karuan,0.011
