term,weight
actingnya,0.007
acu,0.007
ada,0.029
adalah,0.064
adams,0.007
admin,0.021
afteral,0.007
agar,0.014
agen,0.021
aginst,0.007
ah,0.014
ahli,0.007
ajak,0.007
ajar,0.021
akhir,0.057
aktif,0.007
aku,0.007
akumulasi,0.007
alarm,0.014
alaykum,0.007
alfian,0.007
aman,0.021
ambil,0.007
ambivert,0.007
ambyar,0.007
amin,0.007
an,0.014
anak,0.021
anda,0.157
andalanq,0.007
aniv,0.007
anonim,0.007
antara,0.007
antem,0.007
antipeluru,0.007
apa,0.05
apd,0.007
apocalypse,0.007
arab,0.007
arti,0.029
artis,0.007
asalamu,0.007
asean,0.007
asia,0.007
asli,0.007
asmr,0.007
astaga,0.007
atas,0.007
aurat,0.007
autopsi,0.007
awa,0.007
awal,0.057
awat,0.014
ayah,0.014
ayo,0.043
baca,0.021
bada,0.007
baeksang,0.007
bagai,0.014
bagaimana,0.029
bagi,0.007
bagus,0.043
bahas,0.014
bahasa,0.014
baik,0.036
baju,0.021
balap,0.007
balik,0.029
bambank,0.007
banci,0.007
bandel,0.007
bandingin,0.007
bang,0.043
bangga,0.007
bangsal,0.007
bangsul,0.021
bangun,0.014
banyak,0.1
bapak,0.029
barakalah,0.007
barbie,0.007
baru,0.1
batu,0.007
bawa,0.014
bayar,0.007
beberapa,0.014
beda,0.007
begini,0.014
begitu,0.05
beku,0.007
belah,0.014
beliau,0.014
belum,0.029
benar,0.036
bencana,0.007
berani,0.014
beranta,0.007
berat,0.007
berpatern,0.007
bersih,0.007
berterimakasih,0.007
besar,0.029
besok,0.014
betina,0.007
betul,0.007
biadab,0.007
biarin,0.007
bias,0.007
biasa,0.036
bicara,0.007
bijak,0.021
bilang,0.021
bincang,0.007
birokrasi,0.007
bisa,0.036
bisik,0.007
boleh,0.007
bolong,0.007
bom,0.007
bosan,0.007
braver,0.007
bryan,0.007
bts,0.007
buat,0.1
budy,0.007
buka,0.007
bukan,0.029
bukti,0.014
bulan,0.043
buntut,0.007
bunuh,0.007
butet,0.007
butuh,0.007
cakep,0.007
canda,0.007
cangih,0.007
cantik,0.007
canva,0.007
cara,0.036
carolina,0.007
cause,0.007
cerita,0.029
cfrnya,0.007
charms,0.007
choco,0.007
chubby,0.007
cilik,0.007
cimoreli,0.007
cinta,0.007
ckck,0.007
coba,0.036
cocok,0.007
collins,0.007
comeback,0.007
conan,0.007
considered,0.007
contong,0.007
