term,weight
abai,0.011
acne,0.006
ada,0.045
admin,0.006
aduh,0.011
agar,0.045
ah,0.023
ahelah,0.011
ajak,0.006
ajar,0.011
akan,0.017
akhir,0.04
aktivitas,0.006
akun,0.017
alasan,0.006
alau,0.006
alias,0.011
alprazolam,0.011
aman,0.006
ampun,0.023
an,0.006
anak,0.028
anda,0.113
andal,0.006
anggur,0.006
anji,0.006
anjnk,0.006
antem,0.006
antioksidan,0.006
apa,0.085
apandah,0.006
apel,0.006
apoteker,0.006
asdkfhsjdjdk,0.006
asep,0.006
asik,0.006
asique,0.006
asli,0.017
astagah,0.011
atas,0.011
atau,0.006
atulah,0.006
aurel,0.006
awal,0.028
awkowkow,0.006
awokwokwowk,0.006
ayah,0.006
ayo,0.051
azriel,0.006
baca,0.017
badak,0.006
badan,0.011
bagai,0.006
bagaimana,0.023
bagi,0.006
bahagia,0.011
bahas,0.006
bahaya,0.006
baik,0.034
bajing,0.006
balas,0.011
balik,0.023
balikin,0.006
bang,0.023
bangun,0.023
bantu,0.006
banyak,0.034
bareng,0.011
baru,0.045
batagor,0.006
batuk,0.011
bau,0.006
bawa,0.011
bayar,0.006
beautycalindo,0.011
bebas,0.006
beberapa,0.017
beda,0.011
begini,0.023
begitu,0.045
beli,0.045
belum,0.006
benang,0.011
benar,0.057
benci,0.011
benerw,0.006
bengong,0.011
bensin,0.006
beranda,0.006
berapa,0.017
bercak,0.011
berisik,0.006
berita,0.006
berkat,0.006
besok,0.006
biadab,0.006
biasa,0.023
bicara,0.006
bikos,0.006
bilang,0.017
bingung,0.006
biodata,0.006
biru,0.006
bisa,0.023
bodoh,0.04
bogor,0.017
bolak,0.006
bom,0.017
boru,0.006
breakout,0.017
bruntusan,0.011
buah,0.011
buat,0.091
bucinya,0.006
budak,0.006
buduk,0.006
buk,0.006
bukan,0.017
buku,0.006
bulan,0.006
busa,0.006
buset,0.006
busetdah,0.006
butuh,0.006
butuhin,0.006
cahaya,0.011
cair,0.006
cari,0.017
cemil,0.023
cenderung,0.006
cepek,0.006
cerita,0.011
cewenya,0.006
chloe,0.006
cianjur,0.006
cinta,0.017
cita,0.006
coba,0.011
cocok,0.034
ct,0.006
cuma,0.011
cuman,0.011
cung,0.006
dahak,0.006
dan,0.011
dapat,0.011
dar,0.006
darah,0.011
dari,0.011
daripada,0.006
data,0.011
datang,0.017
debat,0.006
definisi,0.006
dekil,0.006
demam,0.011
demo,0.006
dengar,0.006
depok,0.006
des,0.011
deui,0.006
di,0.017
dia,0.006
diagnosed,0.006
diam,0.023
dian,0.006
dicrop,0.006
dicuekin,0.006
dideket,0.006
digimanain,0.006
dihargain,0.006
dihubungin,0.006
dijadin,0.006
dijalanin,0.006
dikangenin,0.011
dikit,0.023
dilema,0.006
dimana,0.006
dimarahin,0.006
dimsum,0.006
diomongin,0.006
diputusin,0.006
diri,0.102
disi,0.006
dk,0.006
doang,0.04
dokter,0.011
dom,0.011
domesticus,0.006
donee,0.006
dong,0.023
dosis,0.006
drama,0.006
drive,0.006
dulu,0.034
dumolid,0.006
eh,0.011
emis,0.006
emy,0.006
enak,0.034
episode,0.006
erti,0.006
esok,0.006
farmasi,0.017
februari,0.006
fitria,0.006
formulasi,0.006
foto,0.04
fuman,0.006
gacor,0.006
gadis,0.023
gais,0.011
gajelas,0.006
gamtenknya,0.006
gamungkin,0.006
ganti,0.011
gantung,0.023
gara,0.028
gasih,0.017
gatal,0.006
gausa,0.006
ge,0.006
gemas,0.011
geologi,0.006
gertak,0.006
gimananya,0.006
gimanasih,0.006
gin,0.062
gituloh,0.006
gmail,0.011
goa,0.034
google,0.006
grabike,0.006
gram,0.006
grup,0.006
guru,0.006
