term,weight
abiyu,0.055
acak,0.027
ada,0.027
adalah,0.014
agar,0.014
ahn,0.014
ajar,0.027
akan,0.027
akhir,0.055
akuarium,0.014
al,0.014
alif,0.014
aman,0.014
ambil,0.027
an,0.027
anak,0.014
anda,0.082
andhita,0.014
aneh,0.027
angkat,0.014
anjoy,0.014
antem,0.014
apa,0.205
asli,0.014
awal,0.027
ayo,0.027
bagaimana,0.027
bagi,0.014
bagus,0.027
baik,0.014
bambu,0.014
bangga,0.027
banyak,0.041
bapak,0.014
baru,0.068
bas,0.014
baseuh,0.014
bawa,0.027
bayi,0.014
beban,0.014
beda,0.027
bedain,0.014
begitu,0.041
belakang,0.014
beli,0.055
belum,0.014
benar,0.027
benda,0.014
bentar,0.014
beo,0.014
berapa,0.014
berhubungan,0.014
besar,0.014
betul,0.014
bijak,0.014
bisa,0.027
bom,0.027
bosan,0.027
br,0.014
buah,0.055
buat,0.068
bubar,0.014
buka,0.014
bukan,0.014
buku,0.014
bulan,0.014
buluh,0.014
buntal,0.014
burung,0.014
bw,0.014
ca,0.014
cahaya,0.014
canda,0.027
candice,0.014
cara,0.014
cari,0.014
cc,0.014
cemil,0.014
cepat,0.014
cerai,0.014
cerita,0.014
charlie,0.014
chloe,0.027
chu,0.014
coba,0.027
contek,0.014
corona,0.014
cries,0.014
cuma,0.014
da,0.027
daftar,0.014
dan,0.014
dapat,0.027
dari,0.027
dasar,0.014
datang,0.027
datar,0.014
daud,0.014
daun,0.014
debut,0.014
decisions,0.014
deh,0.014
dekor,0.014
dengan,0.014
deniel,0.014
des,0.014
di,0.041
dicarekan,0.014
digampangin,0.014
dijadin,0.014
dilakuin,0.014
dilema,0.014
dipsy,0.014
doang,0.027
dokter,0.014
dong,0.041
dulu,0.027
ekonomi,0.014
ekskul,0.014
eli,0.014
emosi,0.014
entah,0.014
eric,0.014
faraz,0.014
fatihah,0.014
foto,0.055
gabus,0.014
gadgetout,0.014
gadis,0.041
garis,0.014
gaya,0.014
gembira,0.014
gin,0.014
gisele,0.014
gregret,0.014
guru,0.014
habis,0.014
hafal,0.014
haikal,0.014
hamish,0.014
han,0.027
handphone,0.014
hanya,0.014
hapal,0.014
hari,0.095
hasil,0.014
hehehehehe,0.014
hewan,0.014
hidup,0.027
hierarki,0.014
hubung,0.027
hubunganya,0.014
humoris,0.027
hyun,0.014
ibu,0.055
id,0.014
ih,0.027
ikan,0.109
in,0.014
indonesian,0.014
info,0.014
ingin,0.027
ini,0.055
introvert,0.014
ipa,0.027
ips,0.055
