term,weight
acara,0.008
ada,0.008
adalah,0.079
adan,0.008
aduh,0.008
ag,0.008
agak,0.008
agar,0.032
agrees,0.008
ah,0.016
ajak,0.008
ajar,0.016
akan,0.008
akhir,0.016
akhlak,0.016
aksen,0.008
akses,0.008
akting,0.016
akun,0.008
alam,0.008
alfredo,0.008
alih,0.016
allah,0.008
aman,0.008
ambil,0.008
amin,0.016
amir,0.008
an,0.008
anak,0.016
anda,0.174
aniv,0.008
anjc,0.008
any,0.008
anymore,0.008
apa,0.15
apus,0.008
asam,0.008
asi,0.008
atas,0.016
atau,0.016
atlet,0.008
atur,0.008
awal,0.008
awalanya,0.008
ayam,0.008
ayo,0.016
baca,0.063
bagaimana,0.032
bagus,0.008
bahasa,0.016
baik,0.055
bajing,0.008
bakso,0.008
balesan,0.008
balik,0.008
balons,0.008
banci,0.008
bangga,0.008
bangun,0.008
banjar,0.008
banyak,0.024
bara,0.016
barat,0.008
bareng,0.008
baru,0.039
batin,0.008
bcs,0.008
beda,0.016
bedak,0.008
begah,0.008
begini,0.024
begitu,0.047
belah,0.008
belakang,0.008
beli,0.047
belum,0.032
benang,0.008
benar,0.039
benci,0.016
bentar,0.008
beranda,0.008
berani,0.008
berapa,0.016
besar,0.008
besok,0.024
betah,0.008
betul,0.008
biasa,0.016
bibir,0.008
bilang,0.008
bingung,0.008
biru,0.008
bisa,0.024
blahblahblah,0.008
bodoamat,0.008
boleh,0.016
bom,0.055
born,0.008
british,0.008
brompton,0.016
bts,0.008
buat,0.024
bude,0.008
buka,0.039
bukan,0.016
bule,0.016
buru,0.016
buruk,0.008
cahaya,0.008
campur,0.008
cantik,0.016
cara,0.008
cari,0.024
catat,0.008
celah,0.008
celana,0.016
cemil,0.039
cendol,0.008
cepat,0.008
cermin,0.008
chef,0.008
chicharito,0.008
cinta,0.008
coba,0.016
colour,0.008
cuma,0.039
cuplikanya,0.008
daftar,0.008
dan,0.016
dapat,0.024
dari,0.008
daritadi,0.008
dasar,0.008
datang,0.016
datengin,0.008
debat,0.008
deh,0.032
dengan,0.008
deseo,0.008
detroit,0.008
di,0.032
dia,0.024
dicurhatin,0.008
didi,0.008
dikit,0.016
dilipet,0.008
dimasakin,0.008
dingding,0.008
dingetin,0.008
dios,0.008
diri,0.032
disumpelin,0.008
divisi,0.016
doang,0.024
doesn,0.008
doing,0.016
drama,0.024
duduk,0.008
dulu,0.016
duluan,0.008
dunia,0.016
earphone,0.008
ed,0.008
eh,0.024
ei,0.008
eid,0.008
elite,0.016
enak,0.039
eng,0.008
episode,0.008
eres,0.008
es,0.024
fansnya,0.008
fast,0.016
fave,0.016
favorit,0.016
feliz,0.008
fien,0.032
film,0.008
fizi,0.016
frame,0.008
friday,0.008
gadis,0.016
gakbisa,0.024
gakpapa,0.008
games,0.008
gara,0.016
gaya,0.016
gemar,0.008
gembira,0.008
geng,0.008
gereget,0.008
gi,0.008
gils,0.016
gin,0.016
goa,0.008
gosip,0.008
gratis,0.008
gublu,0.016
gulung,0.008
habis,0.039
hade,0.016
haha,0.008
hampa,0.008
hanya,0.039
hari,0.016
has,0.008
hebat,0.008
hidup,0.016
hilang,0.016
ho,0.008
hola,0.008
hua,0.008
huaha,0.008
humor,0.008
ibu,0.032
idola,0.008
idolo,0.008
ih,0.016
iker,0.008
ikut,0.024
in,0.047
inap,0.008
indomar,0.008
indonesia,0.008
ingat,0.008
ingin,0.008
ingris,0.008
ini,0.063
instagram,0.024
insya,0.008
internship,0.008
ish,0.008
isi,0.008
itu,0.134
iya,0.095
iyanih,0.008
jadi,0.118
jam,0.016
jarang,0.008
jas,0.016
jauh,0.016
jb,0.008
jbjb,0.008
jelajah,0.008
jelas,0.016
ji,0.016
jogging,0.008
jojoba,0.008
jomblo,0.016
jual,0.008
judul,0.016
juga,0.032
june,0.008
junio,0.008
kabar,0.008
kadang,0.016
kalau,0.079
kali,0.016
kamp,0.008
kampus,0.008
kantin,0.008
kaos,0.008
karena,0.039
karma,0.008
