term,weight
abad,0.009
acara,0.028
ada,0.104
adalah,0.009
adl,0.009
aduh,0.009
agar,0.009
aguero,0.009
ah,0.009
ajak,0.009
ajar,0.009
aju,0.009
akan,0.009
akhir,0.047
akhlak,0.019
akses,0.028
aktivitas,0.019
aktor,0.009
akun,0.009
al,0.019
ala,0.019
alahuma,0.009
alamiah,0.009
alas,0.009
alex,0.009
aman,0.009
ambil,0.009
ambruk,0.009
ambyar,0.009
ampo,0.009
an,0.009
anak,0.047
anda,0.095
andy,0.009
anggar,0.009
angin,0.019
antar,0.009
apa,0.085
api,0.009
arti,0.019
artis,0.019
asa,0.009
ashiup,0.019
asiyaph,0.009
atas,0.028
avatar,0.009
awal,0.009
awas,0.009
ayam,0.028
ayo,0.009
ayunda,0.019
baca,0.028
badminton,0.009
bagaimana,0.038
bagus,0.019
bahagia,0.009
bahas,0.019
bahasa,0.009
bahkan,0.019
baik,0.057
baju,0.019
bakmi,0.009
bakpia,0.009
balas,0.009
balik,0.009
bambang,0.009
ban,0.009
banding,0.019
bangjo,0.009
bangun,0.019
banyak,0.085
bapak,0.009
bar,0.009
barakalah,0.019
barca,0.019
baru,0.104
batas,0.009
bawa,0.038
bayern,0.019
bcs,0.009
bebas,0.009
beberapa,0.038
beberes,0.009
beda,0.019
begini,0.019
begitu,0.028
bel,0.009
belah,0.009
belakang,0.009
belanja,0.009
beli,0.076
belum,0.019
belva,0.009
benar,0.095
benda,0.009
bensin,0.009
beranda,0.009
berflower,0.009
beri,0.009
berita,0.009
bersih,0.009
betul,0.009
biadab,0.009
bias,0.009
biasa,0.057
biggest,0.009
bingkis,0.009
bisa,0.057
bisnis,0.009
bmw,0.009
bogor,0.047
bola,0.009
boleh,0.009
buat,0.161
buka,0.133
bukan,0.028
bukber,0.009
bukit,0.009
bulan,0.009
butuh,0.028
cabut,0.009
canda,0.019
cara,0.028
cemil,0.038
cenderung,0.009
cerah,0.009
cerca,0.009
champions,0.019
cina,0.009
cinta,0.009
cita,0.019
clear,0.009
coba,0.038
cocok,0.009
cole,0.009
condolance,0.009
corona,0.009
cuaca,0.009
cuci,0.009
cukup,0.009
cuma,0.028
cuman,0.038
curi,0.028
cuti,0.009
daganganya,0.009
dalam,0.019
dan,0.009
dapat,0.009
darah,0.009
dari,0.028
dasar,0.019
datang,0.028
deadline,0.009
dedy,0.009
deep,0.009
definisi,0.009
deh,0.019
dengan,0.028
depan,0.019
devara,0.009
di,0.047
dia,0.028
dibesokin,0.009
dibuatin,0.009
didik,0.009
digabungin,0.009
dikirimin,0.019
dikumpulin,0.009
diluar,0.009
dimana,0.009
dimensi,0.009
dini,0.009
diniatin,0.009
dino,0.009
diri,0.038
disaranin,0.009
disi,0.009
diskon,0.009
doang,0.019
doraemon,0.019
dorong,0.009
drama,0.009
duka,0.009
dulu,0.066
duluan,0.009
dunia,0.028
dwight,0.009
efektif,0.009
efisien,0.009
emange,0.009
emas,0.019
enak,0.009
epl,0.019
eropa,0.009
erti,0.009
extrem,0.009
facebok,0.009
fakboy,0.009
fallen,0.009
fans,0.019
fasilitas,0.009
fast,0.009
fatihah,0.009
fayakun,0.009
fergie,0.009
film,0.009
fine,0.019
five,0.009
fizi,0.009
flies,0.009
flu,0.009
fokus,0.009
forlan,0.009
gabung,0.019
gairah,0.009
gaji,0.009
ganjil,0.009
garis,0.019
gengsi,0.009
geram,0.009
geser,0.009
gih,0.009
gils,0.028
gin,0.019
gobs,0.009
goreng,0.028
gratis,0.019
gubernur,0.009
gudang,0.009
gunar,0.009
habis,0.019
had,0.009
haha,0.009
hai,0.009
haji,0.009
hanya,0.047
hari,0.17
harus,0.009
hati,0.019
heavenlyblush,0.009
hehehehe,0.009
hendak,0.009
hidrasi,0.009
hidup,0.038
his,0.009
hitung,0.009
hiya,0.028
hujan,0.028
humoris,0.009
ia,0.009
ibadah,0.009
ibarat,0.009
ibu,0.066
id,0.009
iflix,0.009
ikut,0.009
imam,0.009
immobile,0.009
in,0.038
indonesia,0.038
infeksi,0.009
info,0.019
ini,0.076
inspirasi,0.009
instagram,0.009
insya,0.009
intens,0.009
inti,0.028
inzaghi,0.009
ipul,0.009
isih,0.019
istirahat,0.009
itihad,0.009
itu,0.142
iya,0.028
izin,0.038
jabat,0.009
jadi,0.123
jajah,0.009
jalan,0.057
jalur,0.009
jam,0.123
jamah,0.009
jaman,0.009
jamin,0.009
janji,0.019
jarak,0.009
jatah,0.009
jatim,0.009
jatohnya,0.009
jauh,0.019
jelang,0.009
jelas,0.009
jemur,0.019
jersey,0.009
jual,0.009
juara,0.047
juga,0.066
juni,0.009
jurasic,0.019
justru,0.019
kab,0.009
kabar,0.009
kagawa,0.009
kagem,0.009
kalau,0.189
kali,0.047
kambing,0.009
kampanye,0.009
kampus,0.019
kan,0.028
kandang,0.009
kantor,0.038
kapan,0.009
karantina,0.009
karbondioksida,0.009
karena,0.038
karir,0.009
kasar,0.009
kasi,0.009
kasih,0.047
kasus,0.019
kawan,0.009
kayak,0.028
kayake,0.009
ke,0.028
kebal,0.009
kecil,0.009
kejar,0.009
kelakar,0.009
kelihatanya,0.009
keluar,0.028
kemarin,0.057
kembali,0.009
kemeja,0.009
kemudian,0.009
kemvil,0.009
ken,0.019
kena,0.019
kenapa,0.047
kendaran,0.009
kenyang,0.009
keras,0.019
kerja,0.085
kerumun,0.019
kesayanganya,0.009
kesiap,0.009
ketawa,0.019
ketika,0.019
kevin,0.009
ki,0.009
kiblat,0.009
kini,0.009
kirim,0.009
kita,0.009
klarifikasi,0.009
klien,0.009
kobutri,0.009
komentar,0.019
kondisi,0.047
konfirmasi,0.009
kontaminasi,0.009
konten,0.028
konvoi,0.009
konyol,0.009
korban,0.009
korporat,0.009
kos,0.057
kotak,0.009
koyo,0.009
kualitas,0.009
kuartet,0.009
kucing,0.019
kuku,0.009
kuliah,0.028
kulit,0.019
kumpul,0.019
kun,0.009
kurang,0.009
kutu,0.009
lagi,0.009
lagu,0.009
lah,0.019
lahir,0.019
lain,0.009
lak,0.009
laki,0.057
laksana,0.009
lalu,0.038
lama,0.057
lampias,0.009
lancar,0.009
langsung,0.047
lanjut,0.019
laptop,0.076
larang,0.009
laris,0.009
latah,0.009
lebar,0.009
lebaran,0.038
lebih,0.152
