term,weight
abjad,0.011
acara,0.011
ada,0.011
adalah,0.068
adan,0.011
aduh,0.011
agar,0.045
agas,0.011
ah,0.034
ahok,0.011
air,0.011
ajar,0.011
akan,0.023
akhir,0.034
alasan,0.011
aman,0.011
ambil,0.023
anak,0.034
anda,0.102
angkat,0.011
antre,0.011
anymore,0.011
apa,0.147
aplikasi,0.011
arab,0.011
argo,0.023
artes,0.011
artikel,0.011
asep,0.011
asia,0.011
asing,0.011
atas,0.011
atau,0.011
aurel,0.011
awet,0.011
ayam,0.011
ayo,0.023
baca,0.079
bacan,0.011
badan,0.023
bagai,0.011
bagaimana,0.057
bagus,0.011
bahasa,0.023
bahkan,0.011
baik,0.034
baju,0.023
balas,0.045
balik,0.023
balurin,0.011
bang,0.011
bangke,0.011
bantu,0.011
banyak,0.034
bapak,0.023
barang,0.011
baru,0.09
basuki,0.011
bawa,0.011
bayang,0.011
bayar,0.011
bebas,0.011
beberes,0.011
bedain,0.011
begini,0.023
begitu,0.045
beku,0.011
belanja,0.034
beli,0.034
belum,0.023
benang,0.011
benar,0.023
benci,0.045
bendi,0.011
berat,0.011
bersih,0.023
besar,0.023
besok,0.023
bhutan,0.011
bicara,0.023
bihalal,0.011
bihun,0.011
biji,0.011
bilang,0.011
bilas,0.011
bingung,0.011
biru,0.011
bisa,0.011
blender,0.011
bodoh,0.011
bogor,0.011
bola,0.023
boreh,0.011
bos,0.011
both,0.011
browser,0.011
buat,0.147
budak,0.011
buka,0.034
bukan,0.023
bukber,0.011
buku,0.023
bulan,0.011
buluk,0.011
bylton,0.011
cabuk,0.011
cakep,0.011
cantik,0.034
cara,0.011
cedak,0.011
celaka,0.011
cemil,0.034
centernya,0.011
cerita,0.011
chang,0.011
chinese,0.011
coba,0.023
cocok,0.011
cooker,0.023
corona,0.057
covidiot,0.011
cuci,0.011
cuma,0.011
cuy,0.011
dadi,0.023
daftar,0.011
dan,0.023
dapat,0.023
dari,0.057
dasar,0.011
datang,0.023
dayak,0.011
deh,0.023
dekat,0.034
denda,0.011
dentum,0.011
depok,0.011
derit,0.011
dese,0.011
desember,0.011
di,0.011
dia,0.011
dibatalin,0.011
dies,0.011
dimakamin,0.011
disounding,0.011
ditatake,0.011
doesn,0.011
dolit,0.011
dong,0.034
dsj,0.011
duaransel,0.011
dulu,0.124
duluan,0.011
dunia,0.011
dwipanga,0.011
edano,0.011
edit,0.011
efek,0.011
either,0.011
else,0.011
emoji,0.011
empati,0.011
enid,0.011
envy,0.011
episode,0.011
es,0.023
euro,0.011
fals,0.011
fatimah,0.011
film,0.011
fit,0.011
fitri,0.023
floyd,0.011
flyover,0.011
foto,0.034
fungsi,0.011
gading,0.011
gagang,0.011
gambar,0.011
gamis,0.023
ganti,0.011
garansi,0.011
garpu,0.011
gayeng,0.011
geli,0.011
gelisah,0.011
gembira,0.023
gembok,0.011
gempa,0.011
gemuruh,0.011
gin,0.023
gizi,0.011
gofod,0.011
gong,0.011
gowa,0.011
grafik,0.011
gugus,0.011
gym,0.023
halal,0.011
hamba,0.011
hansol,0.011
hanya,0.023
harap,0.011
hari,0.023
harus,0.023
hasil,0.011
haters,0.011
hati,0.034
hempas,0.011
henti,0.023
heran,0.011
hidup,0.023
hitam,0.023
holand,0.011
homey,0.011
hon,0.011
hoq,0.011
humoris,0.011
hyuk,0.011
ibu,0.057
identitas,0.011
idul,0.023
ikan,0.011
ikut,0.079
ilah,0.011
ilmu,0.011
ilmuwan,0.011
iman,0.011
in,0.023
inap,0.011
indonesia,0.011
info,0.011
ingat,0.011
ini,0.09
instagram,0.011
ipar,0.011
irfan,0.011
isi,0.023
isine,0.011
iskandar,0.011
itu,0.102
iwan,0.011
iya,0.045
jabat,0.023
jadi,0.102
jahit,0.011
jakarta,0.011
jama,0.023
jarum,0.011
jatah,0.011
java,0.011
jawa,0.011
jejer,0.011
jepang,0.011
jerman,0.011
jerome,0.011
ji,0.023
jk,0.011
jo,0.011
jon,0.011
jual,0.011
juara,0.011
juga,0.011
juicer,0.011
kail,0.011
kainya,0.011
kalau,0.17
kali,0.034
kan,0.034
kancaku,0.011
karyadi,0.011
kasi,0.011
kata,0.034
kayak,0.113
kayu,0.011
kdrama,0.011
ke,0.011
kebab,0.023
kebijakanya,0.011
kecil,0.011
kejar,0.011
kelelawar,0.011
keluarga,0.023
kemarin,0.011
ken,0.034
kenapa,0.079
keras,0.011
kerupuk,0.011
kesana,0.011
ketangkep,0.011
ketawa,0.011
ketinggalan,0.011
keyword,0.011
khan,0.011
khawatir,0.011
ki,0.011
kilogram,0.011
klaten,0.011
kobar,0.011
kode,0.011
komik,0.011
konser,0.011
konten,0.011
kosakata,0.011
kostrad,0.011
krim,0.011
kumpul,0.045
kuning,0.011
kurus,0.023
kutuk,0.011
lagi,0.011
lah,0.045
lahap,0.011
laki,0.057
lama,0.068
langit,0.011
langsung,0.023
lantai,0.023
lapang,0.011
latih,0.011
lawu,0.011
layan,0.011
lebaran,0.011
lebih,0.057
lee,0.023
lega,0.023
lemah,0.011
lewat,0.034
libur,0.011
lihat,0.068
link,0.011
logat,0.011
lucu,0.011
maaf,0.011
madu,0.011
makam,0.011
makernya,0.011
makeupnya,0.011
maksutnya,0.011
malah,0.011
malas,0.034
maling,0.011
mana,0.045
manah,0.023
mancing,0.011
manfatnya,0.011
mangga,0.011
manis,0.011
marah,0.034
maron,0.011
masak,0.023
masalah,0.011
masih,0.034
masjid,0.011
masker,0.034
masuk,0.011
