term,weight
ada,0.09
adalah,0.045
admin,0.022
aduh,0.022
against,0.022
agar,0.022
agatosi,0.022
ahahja,0.022
ajar,0.022
aji,0.022
akak,0.045
akakaka,0.022
akhir,0.067
akhirat,0.022
akuna,0.022
alfatihah,0.022
alias,0.022
amin,0.022
ampun,0.022
anak,0.09
anana,0.022
anda,0.225
andalangku,0.022
anggota,0.045
angin,0.022
anime,0.022
anjurana,0.022
apa,0.045
asik,0.022
asli,0.022
awesome,0.022
ayo,0.18
ba,0.022
baca,0.045
badik,0.022
bagaimana,0.022
bahaha,0.022
bahasa,0.022
baju,0.045
bang,0.022
bangun,0.022
bapak,0.09
bareng,0.045
barthez,0.022
batuin,0.022
bawa,0.022
bawain,0.022
bayar,0.022
bebas,0.022
bebasin,0.022
beberapa,0.022
bede,0.022
begitu,0.022
bela,0.022
belanjan,0.022
beli,0.022
beling,0.022
belum,0.022
benar,0.022
benci,0.022
bencong,0.022
beraktifitas,0.022
berita,0.045
besok,0.022
biarin,0.045
bisa,0.022
bk,0.022
blog,0.022
blok,0.022
bodoh,0.022
boker,0.045
bola,0.022
boneka,0.022
both,0.022
buahahaha,0.022
buahahahahah,0.022
buat,0.045
bubar,0.022
bubur,0.022
buka,0.067
bukti,0.045
bulan,0.022
bunda,0.022
buru,0.022
butuh,0.022
cantikna,0.022
cemil,0.045
chan,0.022
ciduk,0.022
cincin,0.022
cinta,0.135
cium,0.067
coba,0.112
coky,0.022
cola,0.022
colek,0.022
corona,0.067
cristiano,0.022
curigaka,0.022
cybercrime,0.022
daebak,0.022
dakwa,0.022
darah,0.022
dario,0.022
dasar,0.022
datang,0.045
daud,0.022
debu,0.022
deh,0.045
demo,0.022
deng,0.022
depan,0.022
deru,0.022
di,0.022
diam,0.022
diangap,0.022
dibilangin,0.022
didu,0.022
digital,0.022
dikirimin,0.022
dimana,0.022
diolesin,0.022
diri,0.022
disni,0.022
dn,0.045
dokter,0.022
dong,0.022
dri,0.022
drumah,0.022
duduk,0.022
dulu,0.112
ecol,0.022
edar,0.022
elis,0.022
emas,0.022
emezim,0.022
enat,0.022
fisik,0.022
foto,0.022
fucet,0.022
gadis,0.045
gakpapa,0.022
garuda,0.022
gel,0.022
gelagela,0.022
gemas,0.022
generasi,0.022
gerard,0.045
germo,0.022
ghea,0.022
gin,0.022
goa,0.022
goblo,0.022
goks,0.022
gol,0.022
golong,0.045
gowa,0.022
guk,0.045
habis,0.045
hai,0.022
hamish,0.022
hapus,0.022
hari,0.045
hasim,0.022
hembus,0.022
hinan,0.022
hinata,0.022
hitam,0.022
hubner,0.022
hujan,0.045
hukum,0.022
humoris,0.067
hus,0.022
ibu,0.045
idibawang,0.022
ih,0.022
iii,0.022
impel,0.022
indonesia,0.045
inga,0.022
ingat,0.022
ingris,0.022
ini,0.045
inoncent,0.022
instagram,0.022
istilah,0.022
isyana,0.022
italia,0.022
itu,0.022
iya,0.067
iyadong,0.022
iyaiya,0.022
jadi,0.022
jakarta,0.022
jalan,0.022
jalur,0.022
jam,0.022
jamur,0.022
jauh,0.022
jawab,0.022
jejak,0.022
jenius,0.022
ji,0.022
jingin,0.022
kabupaten,0.022
kacang,0.022
kalah,0.022
kalaotalk,0.022
kalau,0.157
kalimantan,0.045
kamar,0.022
kamera,0.022
kan,0.045
kapan,0.022
kapese,0.022
kata,0.022
ke,0.022
kejut,0.022
keluarga,0.022
keluyur,0.045
kenal,0.045
kenang,0.022
kenapa,0.09
kendara,0.022
kendu,0.022
kepiting,0.045
kesana,0.022
ketat,0.022
ketawa,0.045
ki,0.022
kim,0.022
kodim,0.022
kodong,0.045
kolam,0.022
komandan,0.022
kompas,0.022
konten,0.022
kopi,0.022
