term,weight
abjad,0.006
acar,0.006
acu,0.006
ada,0.038
adalah,0.006
adoh,0.006
agama,0.013
agar,0.025
ah,0.019
ahmad,0.006
ahshsjsksksk,0.006
air,0.006
ajak,0.025
ajar,0.038
aka,0.006
akan,0.013
akhir,0.038
aktor,0.006
akun,0.025
akuntansi,0.006
album,0.013
alih,0.006
alkomenu,0.006
almet,0.013
aman,0.013
ambil,0.006
ampuh,0.006
anak,0.064
analis,0.006
anda,0.038
angkat,0.006
anti,0.006
anur,0.006
anxietyku,0.006
apa,0.134
apalu,0.006
arti,0.006
asa,0.006
asam,0.006
asdos,0.006
asik,0.006
asing,0.006
asli,0.006
asta,0.006
asuh,0.006
atur,0.006
awal,0.006
awokwokwokwok,0.006
awokwokwokwokwok,0.006
ayam,0.025
ayo,0.07
bab,0.006
babarsari,0.006
babi,0.006
baca,0.019
badan,0.013
bagaimana,0.032
bagus,0.013
bahagia,0.006
bahan,0.006
baik,0.045
bakar,0.006
balik,0.019
bangun,0.013
banting,0.006
bantu,0.006
banyak,0.057
banyakin,0.006
bapak,0.025
bar,0.006
barat,0.006
baru,0.032
batas,0.006
bau,0.006
bawa,0.032
bawah,0.006
bayar,0.019
beasiswa,0.013
bebas,0.013
beberapa,0.019
beda,0.006
begini,0.006
begitu,0.038
belaga,0.006
belah,0.006
beli,0.013
beliau,0.013
ben,0.025
benar,0.038
benara,0.006
bendino,0.006
bentuk,0.006
berani,0.013
berat,0.013
beri,0.006
beruforia,0.006
besar,0.013
besok,0.019
biaya,0.006
bicara,0.032
bidikmisi,0.006
bijak,0.006
bilang,0.032
bingung,0.025
bisa,0.025
blackpink,0.006
bodoh,0.006
bogor,0.006
bolak,0.006
bom,0.019
bosan,0.013
bramen,0.006
brian,0.006
bright,0.006
brouw,0.006
buah,0.013
buat,0.121
bubar,0.006
budaya,0.108
buka,0.019
bukan,0.013
buku,0.076
bulan,0.013
bumi,0.006
bung,0.006
buru,0.019
butuh,0.006
butuhe,0.006
cahe,0.013
candi,0.006
capai,0.006
cara,0.032
cari,0.038
catetan,0.006
cela,0.006
cemil,0.051
cepat,0.006
cerah,0.006
cerca,0.006
ceritane,0.006
cetak,0.006
ceto,0.013
chalengenya,0.006
chanelnya,0.006
chatan,0.006
cina,0.006
coba,0.025
coban,0.006
cocok,0.013
collagen,0.006
contoh,0.006
corona,0.006
cuk,0.006
cuma,0.032
curhat,0.013
cuy,0.025
daftar,0.006
daging,0.013
dahkjhdakdhk,0.006
dalam,0.025
dan,0.013
dangdut,0.006
dapat,0.013
dapetnya,0.006
dari,0.013
dasar,0.013
data,0.006
datang,0.006
deh,0.038
dek,0.006
dekat,0.006
deng,0.013
dengan,0.006
denganya,0.006
dengar,0.013
depan,0.019
depresi,0.025
desain,0.006
dewe,0.006
di,0.013
dia,0.013
diagnosa,0.006
didik,0.025
dihandle,0.006
dijadin,0.006
dikerjain,0.006
dikit,0.013
dikon,0.019
dimajuin,0.006
dimanfatkan,0.006
dingin,0.006
dingo,0.013
dinotice,0.006
direview,0.013
diri,0.006
disampulin,0.006
diskusi,0.006
ditakoni,0.006
ditakonke,0.006
ditelen,0.006
diupdate,0.006
dokter,0.038
dong,0.019
dosen,0.095
dosene,0.006
dua,0.013
duite,0.006
dukung,0.013
dulu,0.07
durunge,0.013
dzawin,0.025
educator,0.006
efek,0.019
eh,0.025
enak,0.045
enek,0.013
entah,0.013
entuk,0.006
erisya,0.006
es,0.006
etno,0.025
expost,0.006
facto,0.006
fase,0.006
favorit,0.006
fi,0.006
fiersa,0.019
fiksi,0.006
film,0.006
filosofi,0.013
filsafat,0.045
fontnya,0.006
format,0.006
foto,0.013
fufufufu,0.006
gadis,0.006
gaisoh,0.006
galak,0.006
gambar,0.006
game,0.006
ganti,0.038
ganyang,0.013
gapai,0.006
gara,0.013
garamerica,0.006
garap,0.006
garape,0.006
gas,0.006
gasih,0.006
gaweke,0.006
gawekno,0.006
gb,0.006
geguyu,0.006
genti,0.006
gerak,0.006
giat,0.013
gigitin,0.006
gilir,0.013
gin,0.051
goa,0.013
golek,0.006
gonmu,0.006
google,0.006
gosip,0.013
gratis,0.006
grup,0.006
gunung,0.025
gununge,0.006
guru,0.013
habis,0.025
haengbokae,0.006
hahahahahahahaha,0.006
hai,0.013
hal,0.019
halodoc,0.006
harap,0.006
harga,0.019
hari,0.064
harus,0.006
has,0.006
hasil,0.013
hati,0.013
hayok,0.006
heartbreak,0.006
hemat,0.006
heran,0.006
heu,0.006
hidup,0.019
hilang,0.006
hipotesis,0.006
historis,0.006
hobi,0.006
homescapes,0.006
hormat,0.013
hubung,0.025
humoris,0.006
hushushus,0.006
ibu,0.057
ijolan,0.006
iku,0.013
ikut,0.038
ilkom,0.006
ilmiahe,0.006
ilmu,0.006
implementasi,0.013
indah,0.006
indonesia,0.006
indosat,0.013
informasine,0.006
ingat,0.006
ingin,0.013
ini,0.083
input,0.006
instrumen,0.006
inti,0.006
isi,0.032
isin,0.006
itu,0.134
iya,0.045
jadi,0.165
jae,0.006
jalin,0.006
jalur,0.006
jam,0.013
jaman,0.019
janji,0.013
janjiw,0.006
