term,weight
ac,0.013
acmn,0.013
ada,0.101
admin,0.063
agar,0.013
ahk,0.051
air,0.013
ajar,0.025
akan,0.025
akh,0.038
akhir,0.089
akumulasi,0.013
akun,0.013
alaihi,0.013
ale,0.063
alpa,0.013
aman,0.013
ambil,0.013
amru,0.013
an,0.038
anak,0.114
analogi,0.013
anda,0.089
andik,0.013
aneh,0.013
anfield,0.013
angaran,0.013
anggota,0.013
angkat,0.013
anjur,0.013
antam,0.013
antar,0.038
apa,0.038
apartemen,0.013
apresiasi,0.013
april,0.013
arab,0.013
arem,0.025
arigo,0.013
arjosari,0.025
arti,0.013
asumsi,0.013
asupan,0.013
asyik,0.013
atas,0.013
atep,0.013
avatar,0.013
awal,0.013
ayah,0.013
ayas,0.013
ayo,0.025
babang,0.013
babi,0.013
baca,0.063
bagai,0.025
bagaimana,0.025
bagi,0.013
bagus,0.051
bahas,0.013
baik,0.076
bajing,0.025
baju,0.013
bandar,0.013
banding,0.013
bandung,0.025
bang,0.063
bangeyst,0.013
bangga,0.013
bantul,0.025
banyak,0.025
bapak,0.025
barangkali,0.025
baru,0.164
baung,0.025
bawah,0.013
bayar,0.051
beban,0.025
bebas,0.013
beckham,0.013
beda,0.025
begini,0.013
begitu,0.013
bekas,0.038
beli,0.114
belok,0.013
belum,0.013
belut,0.025
benacer,0.013
benda,0.013
berani,0.025
beranta,0.013
berapa,0.013
beras,0.013
berat,0.013
beri,0.051
bermanfat,0.013
bersit,0.013
besar,0.013
besok,0.025
betawi,0.013
betul,0.013
bi,0.013
biasa,0.063
bicara,0.038
bidara,0.013
bila,0.038
bing,0.013
bintang,0.013
biru,0.025
bisa,0.089
bisik,0.013
bk,0.013
bncs,0.013
bo,0.013
boban,0.013
bobok,0.013
bola,0.013
borobudur,0.013
brochi,0.013
buat,0.101
buka,0.038
bukan,0.051
buku,0.013
bulan,0.025
buncah,0.013
bung,0.013
bunuh,0.013
bunul,0.013
buruk,0.013
buta,0.013
butuh,0.089
butut,0.013
cabut,0.013
cafu,0.013
calha,0.013
cantik,0.025
capai,0.013
cari,0.051
catat,0.013
celaka,0.025
celengan,0.013
cemil,0.038
cepat,0.013
cetak,0.013
chaerudin,0.013
cinta,0.038
cipta,0.025
coba,0.025
cocok,0.013
comeback,0.013
condong,0.013
coret,0.025
cuci,0.013
cuma,0.013
cuplik,0.013
curang,0.013
dada,0.013
daging,0.025
dampak,0.013
dan,0.013
danzo,0.013
dapat,0.013
dar,0.013
darah,0.013
dari,0.013
darwis,0.013
dasar,0.025
datang,0.013
daun,0.013
deh,0.013
dekat,0.051
depan,0.051
desa,0.025
detail,0.025
detektif,0.013
dhoraso,0.013
di,0.089
dia,0.013
dida,0.013
dingin,0.025
disiplin,0.013
dispensasi,0.013
dokter,0.013
dong,0.038
dortmund,0.013
drama,0.013
dulu,0.076
dunia,0.013
duren,0.013
eh,0.051
email,0.025
emas,0.025
empat,0.013
enak,0.051
epl,0.013
eropa,0.013
etnis,0.013
fa,0.013
facebook,0.013
fisika,0.013
fokus,0.013
formal,0.013
forzamilan,0.038
foto,0.013
futsal,0.013
gagal,0.038
gaji,0.013
gambar,0.025
gas,0.013
gawang,0.025
gb,0.013
gelap,0.013
gembong,0.013
gera,0.013
gigi,0.013
gol,0.051
goreng,0.025
gram,0.025
gratis,0.013
gugup,0.025
guna,0.025
gurad,0.013
guru,0.025
habib,0.013
habis,0.025
hadap,0.025
hadiah,0.038
hadir,0.013
hampir,0.013
hancur,0.013
handball,0.013
hantam,0.013
