term,weight
acara,0.014
ada,0.041
adalah,0.014
adil,0.014
admin,0.027
adobe,0.014
aduh,0.014
agar,0.014
ahahahahah,0.027
ahahahahahah,0.014
ahahahahahaha,0.014
ahahahahahahaha,0.014
ahahahba,0.014
air,0.014
aji,0.014
akan,0.014
akhir,0.068
alisha,0.014
ambil,0.014
ambul,0.014
ambyar,0.014
amin,0.014
ampun,0.014
an,0.014
anak,0.041
anda,0.203
angin,0.014
angkutan,0.014
aninde,0.014
anymore,0.014
apa,0.054
april,0.014
ara,0.014
arti,0.014
asal,0.027
astaga,0.027
atas,0.027
atuhlah,0.014
ayah,0.014
ayo,0.122
baca,0.014
badan,0.014
bagaimana,0.054
bagus,0.041
bah,0.014
bahasa,0.014
baik,0.054
banyak,0.054
bareface,0.014
baru,0.014
bawah,0.014
bayang,0.014
become,0.014
begitu,0.027
beludru,0.014
benar,0.041
benci,0.014
bengkak,0.014
bentar,0.014
berapa,0.014
beri,0.027
bersih,0.027
biasa,0.027
bijak,0.014
bik,0.014
bilang,0.014
binatang,0.014
bingung,0.027
bisa,0.041
bocor,0.027
bodoh,0.014
boleh,0.014
borma,0.014
bosan,0.027
bpi,0.014
buat,0.122
bugar,0.014
buka,0.041
bukan,0.041
bukti,0.014
bulan,0.014
bunyi,0.027
cari,0.027
ceo,0.014
cerita,0.014
cha,0.014
changmin,0.014
chanyeol,0.014
chicago,0.014
christmas,0.014
cinta,0.027
claude,0.014
coba,0.014
comeback,0.014
congratulation,0.014
cuma,0.014
da,0.027
daftar,0.027
daftarin,0.014
dalam,0.014
damai,0.014
damasha,0.027
dan,0.054
dapat,0.054
darat,0.014
dari,0.027
dasar,0.014
datang,0.027
days,0.014
debut,0.014
deh,0.027
dekat,0.014
dengan,0.027
depan,0.041
devisa,0.014
di,0.014
dia,0.014
diam,0.014
diri,0.014
diuninstal,0.014
dodo,0.014
dominic,0.014
dong,0.041
dosen,0.027
dovey,0.014
dowon,0.014
drama,0.014
drive,0.014
dua,0.027
dulu,0.041
dunia,0.027
edit,0.014
emot,0.014
endingny,0.014
episode,0.014
era,0.027
erti,0.014
eunwo,0.014
every,0.014
fandom,0.014
flowing,0.014
fodcourt,0.014
fokus,0.014
foto,0.014
fotocopy,0.014
gambar,0.041
gantin,0.014
gara,0.027
garis,0.014
gataunya,0.014
geng,0.014
gin,0.014
gojek,0.014
goo,0.014
grup,0.027
gulir,0.014
guru,0.014
hai,0.108
hamil,0.014
hampa,0.014
hancur,0.041
hantu,0.027
hari,0.081
harus,0.014
hati,0.014
henti,0.014
hiatus,0.014
hidup,0.054
hilang,0.027
honjaya,0.014
ibadah,0.014
ibu,0.041
ide,0.014
idola,0.014
ikjun,0.014
ikut,0.014
ilham,0.014
in,0.027
ingin,0.014
ini,0.027
istirahat,0.014
istp,0.014
istri,0.027
itu,0.108
iu,0.014
iya,0.054
jadi,0.135
jae,0.041
jaga,0.014
jalan,0.027
jam,0.054
jamin,0.014
janghyuk,0.014
jangnan,0.014
jantung,0.014
jarak,0.014
jatuh,0.014
jeni,0.014
jenis,0.014
jodoh,0.014
juga,0.014
jujur,0.041
jun,0.014
juragan,0.014
jyp,0.014
kacamata,0.014
kacau,0.014
kalau,0.108
kamar,0.027
kamis,0.014
kampus,0.027
kan,0.054
kapan,0.014
karena,0.014
kasih,0.014
kasur,0.014
kating,0.014
kejut,0.054
kelam,0.014
kelas,0.068
keluar,0.027
kemarin,0.027
kembali,0.014
kenal,0.027
kenapa,0.041
kenyang,0.014
keras,0.014
kerja,0.027
kesal,0.027
ketawa,0.014
ketika,0.014
kiel,0.014
kira,0.027
kirim,0.014
kirmizi,0.014
komentar,0.014
konser,0.027
konten,0.014
korea,0.014
krisis,0.014
kuasa,0.014
kuliah,0.027
kuning,0.014
kunto,0.014
kurus,0.014
kyuhyun,0.014
kyung,0.014
lagi,0.027
lagu,0.081
lah,0.041
lain,0.014
laki,0.041
lambe,0.014
lampu,0.014
langsung,0.054
lapar,0.014
lari,0.014
lawak,0.027
lee,0.014
lele,0.014
lepas,0.014
les,0.014
lho,0.027
lies,0.014
lips,0.014
lirik,0.014
lockdown,0.027
lompat,0.014
looked,0.014
lovelovelove,0.027
lovey,0.014
luar,0.014
lup,0.014
lupa,0.014
maaf,0.041
mabuk,0.014
makanya,0.014
makin,0.014
malam,0.027
mana,0.041
manis,0.014
marathon,0.027
marit,0.014
masalah,0.014
masuk,0.068
mata,0.014
matahari,0.014
materi,0.014
mati,0.014
mau,0.081
mcd,0.027
mdf,0.014
mei,0.027
memang,0.054
memorist,0.014
menfes,0.027
menjalankanya,0.014
merah,0.027
mereka,0.014
mesin,0.014
mesti,0.014
mge,0.014
milik,0.014
mimpi,0.027
mimpin,0.014
minggu,0.027
minho,0.014
mino,0.014
minta,0.014
minum,0.014
mirip,0.014
misal,0.014
missed,0.014
mitualku,0.014
momae,0.014
mon,0.014
moneter,0.014
morat,0.014
muda,0.041
muka,0.014
mulai,0.014
mulfan,0.014
muncul,0.027
mungkin,0.014
musik,0.014
musim,0.027
myday,0.027
naik,0.014
nang,0.014
nblog,0.014
nct,0.014
negara,0.014
ngefans,0.014
ngeri,0.014
ngiang,0.014
nongkrong,0.014
nya,0.027
nyala,0.054
nyata,0.014
nyebelin,0.027
nyenyak,0.014
oke,0.027
onew,0.014
online,0.027
orang,0.014
otak,0.054
pacar,0.014
padahal,0.041
pagi,0.041
paham,0.014
pakai,0.027
paling,0.054
paman,0.027
pasang,0.027
pegang,0.014
pengirim,0.041
penuh,0.027
perempuan,0.014
perintah,0.027
pernah,0.027
peta,0.014
photoshop,0.014
piano,0.014
pikir,0.014
pindah,0.014
pnation,0.014
po,0.014
posisi,0.014
positif,0.014
prak,0.014
presentasi,0.014
pria,0.014
proyek,0.014
puasa,0.014
punya,0.014
pusing,0.027
putar,0.027
putih,0.014
putri,0.014
qku,0.014
rabu,0.014
rada,0.014
rahasia,0.014
ramai,0.014
ran,0.014
rebah,0.014
recomended,0.014
rem,0.014
revisi,0.014
rindu,0.014
rsud,0.027
sabar,0.014
sagitarius,0.014
sahur,0.041
saja,0.108
sakit,0.027
saling,0.027
sama,0.162
sambil,0.014
sampai,0.014
santai,0.014
sarung,0.014
satu,0.014
saudara,0.162
saya,0.324
scrolling,0.014
sebuah,0.027
sedih,0.027
sejak,0.014
sekali,0.041
sekarang,0.027
sekering,0.014
sekitar,0.014
selamat,0.041
selesai,0.027
selesau,0.014
semangat,0.041
sempurna,0.014
semua,0.068
senang,0.014
sendiri,0.081
seohyun,0.014
seojun,0.014
seperti,0.081
serasa,0.014
serius,0.027
seru,0.014
setan,0.014
seulgi,0.014
seung,0.014
shadows,0.014
si,0.041
sial,0.081
siap,0.054
siapa,0.014
sih,0.162
simon,0.027
sinyal,0.027
siram,0.014
skype,0.014
smoked,0.014
sok,0.014
sop,0.014
sosrobahu,0.014
st,0.014
staf,0.014
suara,0.014
subuh,0.014
sudah,0.135
suju,0.014
suka,0.014
sungjin,0.014
super,0.054
suruh,0.027
susah,0.014
susu,0.014
tadi,0.014
tahu,0.027
tahun,0.014
takut,0.041
taman,0.027
tampan,0.027
tanya,0.041
tapi,0.014
tawa,0.392
tears,0.014
teh,0.014
tekan,0.014
teknik,0.027
televisi,0.014
tempat,0.014
temu,0.014
tenang,0.027
terbaek,0.014
terimakasih,0.068
terus,0.068
tetap,0.014
tiap,0.014
tiba,0.041
tidak,0.419
tidur,0.054
tik,0.014
tiktok,0.027
tikus,0.014
tinggal,0.014
tinggi,0.014
tobat,0.027
tolong,0.027
tonton,0.054
trauma,0.014
tukang,0.014
tulus,0.014
tunai,0.014
tunggal,0.014
tunggu,0.041
tunjuk,0.014
turun,0.027
tutup,0.014
twitter,0.041
ubah,0.014
udara,0.014
ulang,0.027
ultra,0.014
umum,0.014
unduh,0.014
untuk,0.041
usaha,0.014
usia,0.014
utama,0.041
variasi,0.014
virgo,0.014
viu,0.014
waks,0.014
waktu,0.027
wamil,0.014
wanita,0.014
warna,0.014
webton,0.027
wendy,0.014
whahahahahaha,0.014
whatsapp,0.014
wml,0.014
woah,0.054
ya,0.014
yah,0.041
yang,0.108
yatch,0.014
yepeoseo,0.014
yerin,0.014
yona,0.014
zonk,0.014
