term,weight
ada,0.007
adeknya,0.007
aduh,0.007
aelah,0.007
agar,0.033
ah,0.013
aib,0.007
aibnyo,0.007
air,0.007
ajala,0.007
ajar,0.007
akan,0.013
akhir,0.02
akhirya,0.007
alahu,0.027
ale,0.007
aman,0.007
ambil,0.007
amin,0.027
aminin,0.007
ampun,0.033
amsyong,0.007
an,0.007
anak,0.04
anda,0.094
aneh,0.013
apa,0.067
apalgi,0.007
arsip,0.013
asisten,0.007
asli,0.013
astagfirualah,0.007
auk,0.007
awal,0.013
awas,0.013
awokwkwkwkw,0.007
ayah,0.013
ayo,0.047
baca,0.027
badan,0.013
bagi,0.007
bagus,0.02
bagusla,0.007
bahan,0.007
baik,0.04
baju,0.007
balas,0.027
balik,0.027
bangun,0.013
bank,0.013
banyak,0.114
bapuk,0.007
baru,0.054
batas,0.007
bawa,0.007
bawakin,0.007
bawan,0.013
bayang,0.013
bayu,0.013
bdmod,0.007
beda,0.013
begadang,0.007
begini,0.033
begitu,0.06
beli,0.054
belum,0.06
benar,0.047
berani,0.007
berat,0.007
beri,0.007
berita,0.007
besar,0.027
betapa,0.007
betol,0.007
betul,0.02
bhahahaha,0.007
bias,0.013
bicara,0.007
bingung,0.013
blablas,0.007
blok,0.007
blokir,0.007
bnr,0.007
bodoh,0.007
bodylation,0.013
bola,0.007
boros,0.007
bos,0.007
bosan,0.007
bsknya,0.007
buat,0.087
buka,0.007
bukan,0.013
bulan,0.007
buram,0.007
buruk,0.007
caci,0.007
cantik,0.007
capa,0.007
cari,0.013
cayang,0.007
cemil,0.074
cenat,0.007
cengeng,0.007
cenut,0.007
cepat,0.02
cerita,0.007
chageran,0.007
chargeran,0.013
chek,0.007
cicil,0.02
cinlok,0.013
cinta,0.007
cipta,0.007
cita,0.013
coba,0.02
cui,0.013
cuma,0.027
curhat,0.02
dahla,0.013
dan,0.007
dapat,0.007
dari,0.047
dasar,0.013
daster,0.013
datang,0.027
dea,0.013
deh,0.033
dekat,0.007
del,0.007
dengan,0.007
depa,0.007
depan,0.02
deras,0.007
desa,0.013
dewasa,0.007
di,0.013
dia,0.007
diam,0.013
didmi,0.007
didpt,0.007
digampangin,0.007
dihps,0.007
dijahatin,0.007
dikit,0.02
dilupain,0.007
dilwti,0.007
dimn,0.013
dingin,0.013
dipaksain,0.007
dipikirin,0.007
diri,0.074
disabarin,0.007
diskon,0.007
diturutin,0.007
ditwiter,0.007
diuwel,0.007
dng,0.013
dngrin,0.013
doang,0.013
dong,0.013
drama,0.007
drdl,0.007
duduk,0.007
duka,0.007
duli,0.007
dulu,0.047
dunia,0.007
durhaka,0.007
efek,0.007
eh,0.033
ehehehe,0.007
ekpestasi,0.007
emis,0.007
emosi,0.047
enak,0.013
enan,0.007
eneg,0.007
etik,0.007
filtur,0.007
flyover,0.007
fokus,0.007
foto,0.013
gadis,0.007
gagal,0.007
gajelas,0.007
gank,0.007
gatal,0.007
gaya,0.007
gedeg,0.007
gemas,0.007
gerobak,0.007
gin,0.04
goa,0.007
gofod,0.013
gratis,0.007
gugup,0.007
gusti,0.007
habis,0.013
hahahahahah,0.007
hahahahahaha,0.013
hahahahalhamdulilah,0.007
hajar,0.007
hal,0.013
halah,0.007
halal,0.007
halang,0.007
halimah,0.007
hanya,0.02
hapus,0.02
harap,0.02
harga,0.007
hari,0.114
harus,0.013
hasil,0.007
hati,0.027
haus,0.007
hebat,0.007
hemat,0.007
hesti,0.013
hidung,0.007
hidup,0.027
hikmah,0.02
hilang,0.027
hingga,0.013
hiruain,0.007
hormat,0.007
hua,0.013
huahahahahah,0.007
hubung,0.007
hujan,0.02
ibu,0.04
ide,0.007
ideal,0.007
ih,0.007
ikut,0.02
imut,0.007
indah,0.007
indomaret,0.013
informasi,0.007
ingat,0.007
ini,0.054
instagram,0.007
irit,0.007
isi,0.007
itu,0.047
iya,0.054
jadi,0.074
jadin,0.007
jajan,0.007
jalan,0.007
jam,0.013
jarang,0.007
jari,0.013
jaring,0.007
jauh,0.013
jawab,0.013
jelek,0.013
jemur,0.007
jng,0.013
joget,0.013
juga,0.174
jujur,0.013
jumat,0.013
juni,0.007
jurang,0.007
jutan,0.007
kabel,0.007
kacamata,0.007
kadang,0.02
kagum,0.007
kaki,0.007
kalah,0.007
kalau,0.147
kali,0.02
kalimat,0.007
kamar,0.007
kan,0.08
kanan,0.007
kao,0.007
karena,0.027
kasi,0.013
kasih,0.013
kasur,0.007
kata,0.027
kebaikanamu,0.007
kebgtan,0.007
kebucinanya,0.007
kecil,0.02
kedengeran,0.007
kekeyi,0.007
kelaperan,0.013
keluar,0.013
keluh,0.007
kemarin,0.007
ken,0.027
kenapa,0.04
keranjang,0.007
keren,0.007
kering,0.007
kerja,0.033
ketemu,0.007
khilaf,0.007
kira,0.013
kiri,0.013
kita,0.007
kolam,0.007
komedo,0.007
kontak,0.007
kopi,0.007
korea,0.007
kos,0.013
kosong,0.107
kostan,0.013
kuat,0.02
kucing,0.007
kudngr,0.007
kulkas,0.007
kumafkan,0.007
kuota,0.007
kurang,0.02
la,0.007
ladygaga,0.007
lagi,0.067
lagu,0.013
lah,0.013
laki,0.02
laku,0.007
lakuin,0.007
lama,0.013
lampu,0.013
lampung,0.007
lansung,0.013
lapar,0.027
lari,0.007
lebaran,0.04
lebih,0.074
lebik,0.007
lelah,0.007
lelucon,0.013
libur,0.007
lihat,0.067
luka,0.007
lup,0.007
lyke,0.007
maaf,0.027
mafkan,0.007
magrib,0.007
maha,0.007
majikan,0.007
maki,0.007
makin,0.027
maksain,0.007
mala,0.013
malah,0.02
malam,0.02
maleman,0.007
malu,0.007
mampir,0.007
mana,0.033
mantan,0.007
mantemanku,0.007
manusia,0.04
masa,0.013
masalah,0.007
masih,0.033
masing,0.007
masker,0.007
masuk,0.007
mata,0.04
matahari,0.007
mati,0.027
mau,0.127
melengkat,0.007
memang,0.04
menikah,0.007
menjauhkanya,0.007
mentang,0.007
mentemen,0.007
mewek,0.013
minta,0.013
minum,0.013
model,0.007
modyan,0.007
mon,0.007
monang,0.013
monangis,0.007
mudah,0.007
mudik,0.007
muka,0.007
mulai,0.013
mulut,0.013
mungkin,0.02
nah,0.007
nama,0.013
nampol,0.007
nang,0.047
nangung,0.007
negatif,0.007
nemplok,0.007
nerima,0.007
ngalamin,0.013
ngalir,0.007
ngantuk,0.027
ngapasih,0.007
ngebuat,0.007
ngejatuhinya,0.007
ngeliatnya,0.013
ngenal,0.007
ngerias,0.007
ngertin,0.007
ngiang,0.013
niat,0.013
nihil,0.007
nikmatla,0.007
notif,0.007
ntah,0.007
nuntut,0.007
nurani,0.007
nutup,0.013
nya,0.074
nyakitin,0.007
nyaman,0.007
nyata,0.027
nyerah,0.007
nyeri,0.013
nyeritain,0.007
nyiksa,0.007
nyut,0.013
obrol,0.007
oke,0.007
omong,0.114
ongkos,0.007
online,0.007
orang,0.087
padahal,0.013
padan,0.007
pagi,0.054
paham,0.047
pakai,0.02
paksa,0.007
pala,0.007
paling,0.027
panas,0.027
panjang,0.007
parah,0.013
pasar,0.007
payah,0.007
pdhalan,0.007
pdhlan,0.02
pegal,0.007
pegang,0.007
pekerjaan,0.013
peluk,0.007
pena,0.013
penuh,0.007
per,0.007
perak,0.007
peras,0.033
percaya,0.007
perempuan,0.007
perkara,0.007
pernah,0.033
pertama,0.02
perut,0.02
pesan,0.007
pikir,0.013
pilih,0.007
pindah,0.007
pohon,0.007
pokok,0.007
positif,0.007
promosi,0.007
ps,0.007
puasa,0.02
pulang,0.007
pulsa,0.007
punya,0.04
punyo,0.007
pusing,0.007
putar,0.007
putih,0.007
rama,0.007
ramai,0.007
rasa,0.067
rebah,0.02
receh,0.007
rem,0.007
rencana,0.007
renti,0.013
reviewnya,0.007
rezeki,0.007
rindu,0.013
rosa,0.007
rugi,0.013
rumah,0.007
rumit,0.007
rusak,0.007
sabar,0.02
sahabat,0.007
sahur,0.007
saja,0.187
sakit,0.02
sakitin,0.007
salah,0.02
salon,0.007
sama,0.12
samasekali,0.007
sampai,0.06
sana,0.007
sapa,0.007
satu,0.02
saudara,0.054
saya,0.294
sayang,0.02
sedang,0.013
sederhana,0.007
sedih,0.013
sedikit,0.007
segar,0.02
sehat,0.007
sejuk,0.007
sekali,0.248
sekian,0.007
selalu,0.02
selesai,0.007
seluruh,0.007
semangat,0.013
sembuh,0.007
seminggu,0.007
semoga,0.02
sempat,0.007
sempurna,0.007
semua,0.054
sendiri,0.067
seperti,0.08
serah,0.02
serius,0.02
seru,0.007
seta,0.007
sgl,0.007
shoppe,0.013
sial,0.007
siang,0.007
siap,0.013
siapa,0.027
sih,0.06
singgung,0.007
singlet,0.007
sini,0.007
sinyal,0.007
skr,0.074
smlm,0.007
soal,0.013
sok,0.007
sombong,0.007
sore,0.007
suami,0.007
suara,0.007
suasana,0.013
sudah,0.174
sudzon,0.007
suka,0.047
susah,0.013
susu,0.007
syekali,0.007
syukur,0.007
tadi,0.007
tahan,0.033
tahu,0.04
tahun,0.013
takbir,0.007
takut,0.013
tamu,0.007
tanda,0.02
tangan,0.007
tanggal,0.007
tangis,0.033
tanjung,0.027
tanya,0.027
tapi,0.094
tawa,0.294
tega,0.007
teman,0.033
tenaga,0.007
tenang,0.013
tengah,0.007
terimakasih,0.007
terus,0.027
tetangga,0.007
thr,0.02
ti,0.013
tiap,0.02
tiati,0.007
tiba,0.02
tidak,0.515
tidur,0.08
tiktok,0.027
tinggal,0.007
tipis,0.007
tolong,0.007
tonton,0.007
tren,0.007
tua,0.013
tuhan,0.04
tukar,0.007
tulus,0.013
tumbang,0.007
turun,0.02
tutup,0.033
twitter,0.007
uang,0.013
ubah,0.013
ucap,0.007
udahla,0.007
ui,0.007
ulang,0.007
umat,0.007
umur,0.007
unfaedah,0.007
untung,0.007
uras,0.007
usah,0.007
utama,0.02
video,0.007
voucher,0.007
wadow,0.007
waktu,0.02
wanita,0.033
waras,0.007
warbyzah,0.007
wardah,0.007
warna,0.007
wejang,0.007
whatsap,0.013
wifi,0.013
wkwkwkwkwkwk,0.007
ya,0.007
yak,0.02
yang,0.167
youtube,0.007
yowesla,0.007
zodiak,0.013
