term,weight
abah,0.008
abc,0.008
aci,0.008
ada,0.008
adalah,0.008
adi,0.008
adil,0.008
aduh,0.033
afui,0.008
agar,0.033
ah,0.05
aigo,0.017
ain,0.008
air,0.008
ajak,0.008
akhir,0.025
alami,0.008
alasan,0.008
ampyun,0.017
an,0.017
anak,0.05
anda,0.099
aneh,0.017
antrianya,0.008
anyar,0.008
apa,0.05
apakabar,0.008
apakabs,0.008
apalnya,0.008
arane,0.008
astaga,0.017
atur,0.008
awal,0.008
ayam,0.025
ayey,0.008
ayo,0.033
baca,0.008
baik,0.083
bajing,0.017
baju,0.008
baku,0.008
balas,0.008
bandel,0.008
banding,0.008
bangun,0.033
banyak,0.041
banyumas,0.008
bapak,0.05
barang,0.017
baru,0.041
baskom,0.008
batin,0.008
bawah,0.008
bayar,0.025
bayi,0.008
bayik,0.017
beberapa,0.017
beda,0.008
begitu,0.05
belah,0.008
belakang,0.017
belang,0.008
beli,0.041
belum,0.025
benci,0.008
bengkak,0.008
bentar,0.008
ber,0.008
berapa,0.025
beras,0.025
bersih,0.008
bertemu,0.008
besar,0.008
bhineka,0.008
biasa,0.025
bicara,0.008
bila,0.008
bilang,0.033
bimbing,0.017
bingung,0.008
bisa,0.008
bisane,0.008
blackpink,0.017
bledeg,0.008
blokir,0.008
bodoh,0.017
bontot,0.008
bos,0.008
buah,0.017
buang,0.008
buat,0.116
bubar,0.008
buka,0.008
bukan,0.033
bulan,0.017
bungkus,0.008
bunyi,0.008
buruk,0.008
butuh,0.033
byar,0.008
cabai,0.008
cantik,0.008
cantip,0.017
cara,0.008
cari,0.041
cemburu,0.008
cemil,0.099
cepat,0.017
cepon,0.008
cerita,0.033
chatime,0.008
checkout,0.017
cidro,0.008
cilok,0.041
coba,0.008
corona,0.008
cosplay,0.008
cubit,0.008
cuci,0.008
cukup,0.017
cuma,0.033
cuy,0.008
daging,0.008
dalai,0.008
damping,0.017
dan,0.008
dapat,0.017
dari,0.008
dasar,0.008
datang,0.017
daun,0.008
dedy,0.008
degdegan,0.008
deh,0.025
dekat,0.017
demi,0.008
dengan,0.033
dengar,0.017
depan,0.017
desa,0.017
desak,0.008
di,0.025
dia,0.017
diam,0.017
dijabah,0.008
dikau,0.008
dimarahin,0.008
dipendem,0.008
diri,0.025
diskusi,0.008
disni,0.017
ditutupin,0.017
diurusin,0.008
djiwa,0.008
dmnapun,0.008
doa,0.008
dokter,0.008
dong,0.008
dosa,0.017
drama,0.025
dudu,0.008
dulu,0.075
dunia,0.017
edukasi,0.008
eh,0.017
ekspetasi,0.008
elus,0.008
ember,0.008
enak,0.05
es,0.008
euy,0.017
facebook,0.008
faiz,0.008
favorit,0.008
film,0.008
firasat,0.008
fitri,0.008
foto,0.017
frekuensi,0.008
gaga,0.008
galak,0.008
gambar,0.017
garam,0.008
garap,0.008
gasik,0.008
gegera,0.008
gel,0.008
gelap,0.008
gerimis,0.017
gigi,0.008
gigit,0.008
gila,0.017
gimna,0.017
gin,0.008
girlband,0.008
gituan,0.008
gosip,0.008
gratis,0.008
gudeg,0.017
gula,0.008
guna,0.008
gusi,0.008
gusti,0.008
habis,0.033
hadapin,0.008
hadehw,0.008
hadew,0.017
haha,0.033
hai,0.008
halah,0.008
halus,0.008
hamdalah,0.025
hampir,0.017
hantam,0.008
hanya,0.017
harga,0.025
hari,0.017
hati,0.025
hayok,0.017
heran,0.008
hidup,0.008
hijau,0.008
huan,0.008
hujan,0.025
humoris,0.008
ibu,0.066
ibuknya,0.008
idul,0.008
iket,0.008
ikuti,0.008
iman,0.008
inalilahi,0.008
indah,0.008
ingat,0.025
ingin,0.041
ini,0.075
instagram,0.017
introvet,0.008
iri,0.008
isi,0.008
isin,0.008
istri,0.008
item,0.008
itu,0.025
iya,0.075
iz,0.008
jadi,0.099
jaga,0.025
jahil,0.008
jajan,0.025
jalan,0.033
jalang,0.008
jam,0.033
jamah,0.008
jamal,0.008
jaman,0.025
jamin,0.008
jarak,0.025
jarang,0.008
jari,0.008
jarum,0.008
jaya,0.008
jelas,0.008
jerawat,0.008
jero,0.008
jimbon,0.008
jiwa,0.017
jok,0.008
jual,0.033
juara,0.008
juga,0.033
jumat,0.017
juta,0.008
kacang,0.008
kadang,0.033
kain,0.008
kalah,0.008
kalau,0.191
kali,0.017
kambing,0.025
kamis,0.008
kan,0.025
kapan,0.017
kapoke,0.008
karena,0.058
kartu,0.008
karung,0.008
kasih,0.008
kasihan,0.008
kata,0.025
kawan,0.008
kbnyakan,0.008
ke,0.008
kecil,0.008
kedewasan,0.008
kejut,0.008
keliling,0.008
keluar,0.008
keluyur,0.008
kemah,0.008
kemarin,0.008
kembang,0.008
kembar,0.008
kenapa,0.066
kentang,0.008
kenyang,0.008
kepala,0.008
kepeng,0.008
keranjang,0.008
kering,0.008
kertas,0.008
kerugianya,0.008
kesal,0.017
kesan,0.008
kesana,0.008
kesini,0.008
ketangkep,0.008
ketawa,0.017
ketemu,0.008
keujanan,0.008
khawatirin,0.008
khong,0.008
kian,0.008
kicil,0.017
kilogram,0.008
kira,0.008
klambi,0.008
kmna,0.008
kn,0.008
koda,0.008
koentji,0.008
kolokium,0.008
kolong,0.008
komentar,0.008
kontras,0.008
korea,0.017
kos,0.008
kostan,0.008
koyo,0.008
kring,0.017
krisna,0.008
kro,0.017
ktg,0.017
kuas,0.008
kucing,0.091
kue,0.008
kuku,0.008
kunyah,0.008
kursi,0.008
kyanya,0.025
lagi,0.066
lagu,0.017
lah,0.041
lahat,0.008
lahir,0.008
laki,0.066
lama,0.025
langit,0.017
langka,0.008
lanjut,0.008
lari,0.008
layak,0.008
le,0.017
lebaran,0.008
lebih,0.017
lega,0.008
lelah,0.083
lemah,0.008
lemari,0.008
lepasin,0.008
lgian,0.008
liang,0.008
libur,0.008
lihat,0.05
lope,0.008
luar,0.008
lucu,0.008
lupa,0.033
maaf,0.017
mageran,0.008
maghrib,0.008
maha,0.025
mahal,0.008
makan,0.017
makanya,0.017
makin,0.017
maklum,0.017
malah,0.033
malaikat,0.008
malam,0.025
malas,0.008
maling,0.033
malu,0.041
mana,0.017
mangkal,0.008
mangkok,0.008
manis,0.008
mantap,0.025
manusia,0.025
manut,0.008
marah,0.017
masak,0.017
masig,0.008
masjid,0.008
maske,0.008
masker,0.008
masuk,0.033
masya,0.017
mati,0.008
mau,0.058
meja,0.008
memang,0.075
mendengarkan,0.008
mendung,0.017
mengebu,0.008
mengunakan,0.008
mengurui,0.008
menit,0.017
meong,0.008
mesake,0.008
mie,0.033
mikum,0.008
milik,0.017
mimih,0.008
mimpi,0.008
minggu,0.017
minum,0.017
minyak,0.008
mirota,0.008
miskin,0.008
mlaku,0.008
mnurtku,0.008
mohon,0.008
mtor,0.017
mudik,0.008
muka,0.025
mulai,0.008
mungkin,0.008
mv,0.008
mw,0.033
nafkah,0.008
naik,0.017
nang,0.025
napak,0.008
nasi,0.008
ndwe,0.008
nenek,0.017
neraka,0.017
nganterin,0.008
ngelanjutin,0.008
ngeong,0.008
ngimpi,0.017
ngimpinya,0.008
nguantuk,0.008
ngukuk,0.008
ngumpet,0.017
ngurus,0.008
nikmat,0.008
ningal,0.008
nonoton,0.008
nuhun,0.008
nurutin,0.017
nya,0.017
nyadran,0.008
nyaman,0.008
nyanyi,0.041
nyata,0.008
nyong,0.008
nyut,0.025
omong,0.025
omongin,0.008
onty,0.008
opor,0.017
orang,0.075
oren,0.008
owowowowo,0.008
padahal,0.025
pagi,0.025
pakai,0.058
panase,0.008
pandang,0.008
panen,0.008
parah,0.008
parno,0.008
parsel,0.017
pasang,0.008
pasar,0.017
patner,0.008
pelihara,0.008
pena,0.008
penak,0.008
penganguran,0.008
penginya,0.008
pensiun,0.008
penting,0.041
penuh,0.008
perahu,0.008
perak,0.008
perang,0.008
percaya,0.017
pergi,0.017
perlu,0.008
pernah,0.05
pertama,0.008
peta,0.008
petir,0.008
pikir,0.116
pindah,0.017
pintu,0.008
ploen,0.008
pngin,0.033
pnginya,0.008
pokok,0.017
pol,0.008
positip,0.017
positipcovid,0.008
preman,0.008
puasa,0.008
pulang,0.017
pulsa,0.008
puluh,0.008
punya,0.033
purbasari,0.008
pusing,0.025
putih,0.017
ra,0.008
rabu,0.008
ramadhan,0.008
ramai,0.017
rapat,0.008
rasa,0.017
rebah,0.008
redzone,0.008
refnya,0.008
rem,0.008
rempeyek,0.008
rengek,0.008
renginang,0.017
rewatch,0.008
ribu,0.008
rumah,0.083
rumput,0.017
sabar,0.008
sabtu,0.008
sadar,0.008
saha,0.008
saja,0.174
sakit,0.008
salah,0.017
salam,0.008
sama,0.157
sambal,0.017
sambat,0.008
sampah,0.017
sampai,0.141
sangat,0.008
santang,0.008
sanyo,0.008
sapa,0.017
sate,0.008
saudara,0.124
saya,0.249
sayang,0.017
sebentar,0.017
seblak,0.008
sebuah,0.008
sedia,0.008
sedih,0.008
segala,0.008
sehat,0.017
sejuk,0.017
sekali,0.149
sekarang,0.099
sekarat,0.008
sekerdus,0.008
sekrang,0.008
selalu,0.017
selamat,0.05
selasa,0.008
selesai,0.008
semoga,0.05
semua,0.058
semut,0.008
senang,0.008
sendiri,0.058
sepeda,0.017
seperti,0.066
sepi,0.017
sering,0.008
serius,0.008
sesak,0.008
sesal,0.008
sesuai,0.008
setan,0.008
shopee,0.008
shopi,0.008
si,0.017
siang,0.025
sih,0.041
siksa,0.008
sim,0.008
simpan,0.008
sindir,0.008
sini,0.017
sirup,0.008
sisi,0.008
sistar,0.017
smbuh,0.008
soal,0.008
solikhin,0.008
sore,0.033
stiker,0.008
