term,weight
aa,0.009
abdo,0.009
ada,0.018
adalah,0.009
admin,0.009
aduh,0.009
agama,0.009
agen,0.009
ahli,0.009
air,0.009
ajar,0.009
aju,0.009
akan,0.018
akhir,0.092
akhiranya,0.009
akun,0.018
al,0.009
alam,0.009
alhamdulilahnya,0.009
alm,0.009
ambek,0.009
amin,0.009
an,0.037
anak,0.009
anda,0.073
andai,0.009
andi,0.009
aneh,0.009
angka,0.018
anhis,0.009
anisa,0.009
anku,0.009
anti,0.009
apa,0.128
apoteker,0.009
ar,0.009
arab,0.009
arti,0.009
arus,0.009
asal,0.027
ashraf,0.009
asik,0.018
asing,0.009
asli,0.009
atas,0.018
atau,0.018
awal,0.009
awkmu,0.009
ayah,0.009
ayo,0.037
baca,0.055
bagai,0.018
bagaimana,0.037
bagi,0.009
bagus,0.018
bahasa,0.037
bahkan,0.018
baik,0.055
bajrangi,0.009
baju,0.018
balik,0.018
bangga,0.009
bangun,0.018
bantu,0.009
banyak,0.027
bapak,0.018
barang,0.009
baru,0.055
bayang,0.009
bebas,0.009
beda,0.027
begini,0.018
begitu,0.046
beh,0.009
beliau,0.009
belum,0.046
ben,0.009
benar,0.11
benerlah,0.009
bentar,0.037
bentuk,0.018
ber,0.009
berapa,0.009
beri,0.009
bersih,0.009
beruang,0.009
besar,0.009
besok,0.027
betul,0.027
bhaijan,0.009
biasa,0.009
bilang,0.073
bimbing,0.009
bingung,0.027
bisa,0.037
bodoamat,0.009
bohong,0.009
bom,0.009
borang,0.018
bosan,0.018
bosene,0.009
bosenya,0.009
buat,0.073
bukan,0.037
buku,0.018
buruk,0.009
cahaya,0.009
cair,0.009
canda,0.009
captionya,0.009
cara,0.009
cari,0.046
catat,0.018
cemil,0.009
cerita,0.018
chatnya,0.009
chaza,0.009
ciat,0.009
cinta,0.009
coba,0.009
cocok,0.009
corona,0.027
cukup,0.009
cuma,0.046
cuy,0.018
cybercampus,0.009
dadah,0.009
dalam,0.018
dan,0.018
dapat,0.064
dari,0.037
daripada,0.009
dat,0.009
deact,0.009
deh,0.018
dekat,0.009
dengan,0.018
dexametason,0.009
dhifari,0.009
di,0.018
dia,0.027
diam,0.018
dian,0.027
didm,0.009
digoxin,0.009
dikangenin,0.009
dilike,0.009
dilingno,0.009
dingin,0.009
diniatin,0.009
dipelajarin,0.009
diperhatin,0.009
dipertahanin,0.009
direspon,0.009
diri,0.009
disi,0.009
dmku,0.009
doa,0.009
dong,0.027
dulcolax,0.009
dulu,0.055
dunia,0.009
duta,0.009
eh,0.027
ekor,0.009
ela,0.009
elena,0.009
embarasing,0.009
emot,0.009
empat,0.009
enak,0.018
enam,0.009
endapanya,0.009
energi,0.009
engkas,0.009
etika,0.009
facebook,0.009
fakta,0.009
fakultas,0.009
farkin,0.009
farkol,0.009
farkom,0.009
farmasi,0.009
farmasis,0.009
farter,0.009
fileku,0.009
film,0.009
fiq,0.009
fiqi,0.009
flashsale,0.009
fokus,0.009
foto,0.018
freya,0.018
gae,0.009
gajelas,0.009
gaksih,0.009
galak,0.009
gans,0.009
gausa,0.009
genset,0.009
gila,0.018
gilir,0.009
gin,0.027
gomawo,0.009
gratis,0.009
grup,0.009
gulir,0.009
gwenchana,0.018
habis,0.027
hadir,0.009
hafal,0.009
hafidz,0.009
haha,0.027
hai,0.009
hakim,0.009
hanya,0.009
harap,0.009
hari,0.009
hati,0.009
helow,0.009
hening,0.009
henti,0.009
hewan,0.009
hibur,0.009
hidup,0.009
hih,0.009
hilang,0.009
hitung,0.009
hiyahiya,0.009
hobi,0.009
hopefully,0.009
hubung,0.009
humoris,0.009
ibadah,0.009
ibu,0.027
ihi,0.009
ihiy,0.009
ii,0.009
iii,0.009
ikilo,0.009
ikut,0.009
iling,0.009
indahe,0.009
indonesia,0.018
info,0.009
ingat,0.046
ingin,0.027
ini,0.018
instagram,0.018
instastory,0.009
invitro,0.009
ipe,0.009
isi,0.018
iso,0.009
istilah,0.009
istirahat,0.009
istri,0.009
itu,0.073
iv,0.009
iya,0.165
jadi,0.11
jadwal,0.009
jaket,0.009
jalan,0.037
jam,0.009
jarang,0.027
jauh,0.018
jawab,0.009
jebak,0.027
jek,0.009
jelas,0.018
jelek,0.009
jiwa,0.009
jodoh,0.009
jor,0.009
joran,0.009
jual,0.009
juga,0.027
jujur,0.009
juni,0.009
juri,0.009
jurnal,0.009
justru,0.018
kabeh,0.009
kaca,0.009
kadang,0.009
kaki,0.009
kalau,0.202
kali,0.037
kamis,0.018
kampanye,0.009
kan,0.027
karena,0.046
karepe,0.009
kasih,0.009
kata,0.027
kayak,0.027
kecil,0.018
kejut,0.009
kelas,0.009
keluar,0.018
keluarga,0.009
keluh,0.009
kemarin,0.009
kemendikbud,0.009
kemeng,0.009
kena,0.018
kenal,0.009
kenapa,0.064
kenipi,0.018
kepala,0.009
keras,0.018
keren,0.009
kerja,0.037
kerjain,0.009
kertas,0.009
kerudung,0.009
ketimbang,0.009
kie,0.037
klinik,0.009
kn,0.009
kocok,0.018
komunikasi,0.027
konyol,0.009
korea,0.009
kosong,0.046
koyoe,0.018
kucatet,0.009
kucing,0.009
kuliah,0.027
kuota,0.027
kurang,0.009
kutip,0.018
kyumil,0.009
label,0.009
laboratorium,0.009
lage,0.009
lagi,0.018
lagu,0.009
lah,0.046
lama,0.018
langsung,0.018
lapar,0.009
laptop,0.009
larang,0.009
larut,0.037
lebih,0.046
lek,0.009
lengan,0.009
lengkap,0.009
lewat,0.018
libur,0.009
lihat,0.018
lingkar,0.018
lintas,0.009
litrev,0.018
lucu,0.009
luk,0.009
lulus,0.009
lupa,0.018
maaf,0.009
macam,0.009
mahasiswa,0.009
mahir,0.009
maino,0.009
maksud,0.027
malah,0.018
malam,0.018
mana,0.027
mantap,0.009
manut,0.009
masa,0.018
masalah,0.009
masih,0.009
masing,0.018
masker,0.009
masuk,0.009
masya,0.009
materi,0.018
mati,0.018
mau,0.082
mels,0.009
memang,0.064
memberi,0.009
menang,0.009
menara,0.009
menit,0.009
mensyen,0.009
mereka,0.009
mesti,0.018
mhs,0.009
mikirku,0.009
mil,0.009
minggu,0.009
minimarket,0.018
minum,0.009
mirip,0.009
mobil,0.009
model,0.009
molor,0.009
moralitas,0.009
mudah,0.027
mudik,0.009
mules,0.027
mungkin,0.027
mushola,0.009
myself,0.009
nah,0.037
naik,0.009
najwa,0.009
nama,0.009
nang,0.009
nasihat,0.009
ncen,0.009
nd,0.009
ndredeg,0.018
ndri,0.037
nenek,0.009
nentuin,0.009
nepuk,0.009
neraka,0.009
ngadepin,0.009
ngalami,0.009
ngebayangin,0.018
ngechat,0.009
ngedapetin,0.009
ngelike,0.027
ngene,0.009
ngereply,0.009
ngitung,0.009
ngobrol,0.009
nilai,0.018
ninjaku,0.009
nobat,0.009
nomernya,0.009
nomor,0.009
novel,0.009
nuzulul,0.009
nya,0.037
nyamuk,0.018
nyanyi,0.009
nyata,0.055
nyetel,0.009
nyetok,0.009
oalah,0.009
obrol,0.009
offline,0.009
oke,0.018
omong,0.073
online,0.027
orang,0.11
pacar,0.009
padahal,0.037
pagi,0.009
paham,0.009
pakai,0.027
paling,0.027
panas,0.009
panjang,0.009
partikel,0.009
pasang,0.009
pasuk,0.009
pdf,0.009
pedas,0.009
penasaran,0.009
pengirim,0.009
penuh,0.009
peras,0.009
percaya,0.009
perih,0.009
periksa,0.027
perlu,0.046
pernah,0.055
pertama,0.009
pesawat,0.009
peta,0.009
petisi,0.009
phl,0.009
pijat,0.018
pikir,0.037
pilih,0.009
pintar,0.009
pokok,0.009
polemik,0.009
ponakan,0.037
positif,0.009
postinganya,0.009
potensi,0.009
prei,0.009
preskrip,0.009
preskripsi,0.009
profesi,0.009
psikologi,0.009
puas,0.009
puasa,0.009
publik,0.009
pulsa,0.018
punya,0.009
purnama,0.009
putar,0.009
qur,0.009
ramai,0.009
rasa,0.073
rating,0.009
ratingnya,0.009
redecor,0.027
rekomendasi,0.009
rename,0.009
rewel,0.009
ribu,0.009
rik,0.018
rindu,0.027
rumah,0.027
run,0.009
sabar,0.027
sahur,0.009
saiki,0.018
saja,0.11
saking,0.018
sakit,0.018
salah,0.009
salur,0.009
sama,0.082
sampai,0.137
sarkasme,0.009
satu,0.027
saudara,0.046
saya,0.366
sayang,0.009
sby,0.009
se,0.009
sebagai,0.009
sebuah,0.009
sedih,0.018
sehat,0.018
sejak,0.009
sekali,0.064
