term,weight
abrik,0.006
acak,0.006
acara,0.006
aci,0.006
actornya,0.006
ada,0.062
adalah,0.034
aduh,0.04
agar,0.045
aging,0.006
ah,0.017
ajaib,0.006
ajar,0.017
ajatu,0.006
akan,0.04
akang,0.006
akhir,0.057
ala,0.011
alat,0.006
alir,0.011
alsize,0.006
alur,0.006
amal,0.006
aman,0.006
ambil,0.006
ambilin,0.006
ampuh,0.011
ampun,0.006
an,0.006
anak,0.006
anda,0.079
aneh,0.011
anonim,0.006
apa,0.068
apas,0.006
api,0.006
aplikasi,0.006
aplod,0.006
apresiasi,0.006
aroma,0.006
arti,0.023
asap,0.006
asli,0.011
astaga,0.006
atas,0.017
atau,0.011
atuhlah,0.006
awal,0.011
ayah,0.006
ayam,0.017
babying,0.006
baca,0.023
baegyul,0.006
bagai,0.006
bagaimana,0.034
bagi,0.011
bagus,0.011
bahagia,0.006
bahanya,0.006
bahasa,0.011
bahaya,0.006
bahkan,0.017
baik,0.017
baju,0.006
balas,0.006
balik,0.017
bambang,0.006
bandung,0.006
bangga,0.006
bangtan,0.006
bangun,0.011
bangunin,0.011
bantal,0.006
bantu,0.023
banyak,0.057
barang,0.006
bareng,0.006
baru,0.034
basically,0.006
batas,0.006
bawa,0.028
bayang,0.006
bayar,0.017
bcs,0.011
beda,0.028
bedug,0.006
begini,0.051
begitu,0.057
bekas,0.006
belah,0.006
belakang,0.006
beli,0.023
belok,0.006
belum,0.011
belut,0.006
benar,0.057
bene,0.006
bengkak,0.006
bentar,0.006
bentuk,0.011
berac,0.006
berani,0.006
berapa,0.006
berhubungan,0.006
berisik,0.006
berries,0.006
besar,0.011
beud,0.006
bias,0.011
biasa,0.034
bicara,0.006
bilang,0.023
binder,0.011
bingung,0.006
bintang,0.017
biodata,0.006
bisa,0.057
bodoh,0.023
bom,0.006
bosan,0.006
both,0.006
buah,0.011
buat,0.102
bubu,0.011
bubuk,0.006
budak,0.006
buka,0.023
bukain,0.006
bukan,0.006
bukti,0.006
buku,0.006
bulan,0.006
buluk,0.011
buru,0.011
buruk,0.006
butuh,0.023
called,0.006
cameramen,0.006
camil,0.006
cantik,0.006
cara,0.017
cari,0.011
celaka,0.023
cemil,0.062
cepat,0.023
cerdas,0.006
cerita,0.006
cetak,0.006
ceu,0.006
chanelnya,0.011
choi,0.006
chores,0.006
chox,0.011
churos,0.006
cicak,0.006
cimeng,0.011
cinta,0.017
cium,0.006
clingy,0.006
coba,0.045
cocok,0.006
cokelat,0.011
colek,0.006
cons,0.006
copot,0.006
cuaca,0.006
cubit,0.006
cuci,0.006
cuco,0.006
cuma,0.028
da,0.006
daftar,0.011
dagang,0.011
daging,0.006
dalgona,0.034
dalih,0.006
dan,0.045
dapat,0.028
dapur,0.006
darah,0.023
dari,0.074
darimana,0.006
darurat,0.006
definisi,0.006
deh,0.034
dekat,0.006
deketin,0.006
del,0.006
demi,0.006
dengan,0.028
dengar,0.006
deokson,0.011
depan,0.006
desa,0.006
detik,0.006
di,0.028
dia,0.04
diam,0.017
diangap,0.006
dibedain,0.006
dibisikin,0.006
diciumin,0.006
didn,0.006
dihabisin,0.006
dijadin,0.011
dikit,0.011
diliatin,0.006
dinamain,0.011
dingin,0.011
dinosaurnya,0.006
diri,0.028
disembuhin,0.006
disini,0.006
disturb,0.006
disuapin,0.006
disumbangin,0.006
ditambahin,0.006
diteleponin,0.006
doa,0.006
doang,0.034
doger,0.006
doing,0.006
dokter,0.011
dokumen,0.006
dom,0.006
dompet,0.006
dong,0.028
drama,0.023
drivernya,0.006
dua,0.011
dubbing,0.006
dude,0.006
duduk,0.006
dukung,0.006
dulu,0.023
dunia,0.006
duper,0.006
durasi,0.006
edun,0.006
efek,0.017
eh,0.023
ehe,0.011
ekspekdisi,0.006
elah,0.011
emas,0.006
ember,0.006
enak,0.023
enakeun,0.011
engap,0.006
episode,0.034
es,0.017
esde,0.006
euy,0.006
except,0.006
exfo,0.006
extracurricular,0.011
falasol,0.006
fantasi,0.006
favorit,0.006
fif,0.006
fine,0.006
fitur,0.006
flower,0.006
fokus,0.006
foto,0.011
gadget,0.011
gadis,0.006
gagal,0.006
gakuat,0.011
gambar,0.006
gandum,0.006
ganti,0.011
gara,0.011
gasih,0.028
gatal,0.023
gaya,0.006
gazing,0.011
ge,0.011
gel,0.006
gemas,0.011
gempa,0.006
gempor,0.006
gendut,0.006
gerimis,0.006
gesit,0.006
getting,0.006
gila,0.011
gilagilagilagila,0.006
gin,0.051
gojek,0.017
greget,0.017
gregetan,0.011
gretongan,0.006
guling,0.006
gulir,0.011
gumush,0.006
guru,0.006
habis,0.011
haduh,0.011
haha,0.006
hai,0.017
