term,weight
ada,0.05
adat,0.007
admin,0.007
agar,0.007
ah,0.014
ain,0.007
air,0.021
ajagua,0.007
ajanih,0.007
ajar,0.007
ajasih,0.007
aju,0.007
ajuin,0.007
aka,0.007
akan,0.014
akhir,0.05
akun,0.014
alami,0.007
alias,0.007
ambil,0.014
ambis,0.007
an,0.064
anak,0.057
anda,0.05
aneh,0.007
anggap,0.007
angkat,0.021
anime,0.014
anjc,0.021
anjg,0.014
antem,0.007
apa,0.043
apakabar,0.014
apas,0.007
aqua,0.007
arti,0.014
astaga,0.014
atau,0.007
autowisuda,0.007
babon,0.007
baca,0.036
bagaimana,0.036
bagos,0.014
bagus,0.021
bahaya,0.007
baik,0.021
balas,0.007
balik,0.014
balikin,0.014
balut,0.007
bang,0.021
bantujawab,0.007
banyak,0.043
bapak,0.021
barang,0.021
baru,0.043
bayanginy,0.007
bayar,0.014
bayi,0.014
beban,0.007
beda,0.014
begini,0.021
begitu,0.071
beli,0.036
belum,0.021
benar,0.071
benci,0.014
bentar,0.007
bentuk,0.007
beranda,0.007
berani,0.014
bersih,0.007
bersin,0.014
besar,0.021
betina,0.007
biadab,0.007
biasa,0.014
bilang,0.021
bimbing,0.007
bingung,0.021
biore,0.007
bisa,0.036
bisnis,0.007
blackhead,0.014
bodoamat,0.007
bodoh,0.007
bodrex,0.014
bolehin,0.007
bosan,0.014
buat,0.136
buka,0.014
bukan,0.014
bukit,0.007
buku,0.014
bulan,0.007
bunuh,0.007
buru,0.007
burung,0.007
buta,0.014
byebye,0.014
ca,0.021
calon,0.007
candu,0.007
canes,0.007
captionya,0.007
cari,0.029
carla,0.007
cemil,0.014
cepat,0.021
cerewet,0.014
cerita,0.043
ceu,0.007
children,0.007
cloy,0.007
coba,0.007
cocok,0.014
coklat,0.007
congrats,0.007
creepy,0.007
cukup,0.007
cuma,0.043
curhat,0.007
curiga,0.007
cus,0.014
cuy,0.021
da,0.007
dan,0.014
dapat,0.014
daripada,0.021
days,0.007
deadline,0.021
deadlinenya,0.007
deadman,0.021
definisi,0.007
deh,0.064
dek,0.014
dekat,0.007
dengan,0.007
denver,0.007
depan,0.021
desa,0.029
di,0.029
diajuin,0.007
diam,0.021
diapus,0.007
dibatalin,0.007
diemin,0.007
dikit,0.021
dilindungin,0.007
dimanesi,0.007
dipinjem,0.014
dipinjemin,0.014
diplesetin,0.007
diri,0.014
dni,0.014
doang,0.014
domestik,0.007
dong,0.057
downgrade,0.007
drh,0.007
duga,0.007
dulu,0.029
dulunya,0.007
eh,0.021
ekspresi,0.007
ekstraksi,0.007
elite,0.029
enak,0.014
enek,0.007
episode,0.007
erased,0.021
estetis,0.007
estimasi,0.007
euy,0.007
evergarden,0.007
fajar,0.007
fera,0.007
fifty,0.007
film,0.014
following,0.014
gajelas,0.007
gakminat,0.007
gakuat,0.007
galon,0.007
gantung,0.007
geblek,0.007
geli,0.007
gemas,0.043
genting,0.007
gepeng,0.007
gerus,0.007
gila,0.029
goa,0.407
grusukan,0.007
guadan,0.007
gundu,0.007
habis,0.014
hacker,0.007
hadap,0.007
hai,0.021
halusinasi,0.007
hamil,0.007
hangat,0.007
hanya,0.014
harga,0.007
hari,0.043
harus,0.007
hasil,0.007
hatah,0.014
hati,0.007
hebat,0.007
hehehehe,0.007
heist,0.014
heleh,0.007
heran,0.007
heu,0.007
heuheu,0.007
hidung,0.007
hidup,0.014
hilang,0.036
hindar,0.007
hitam,0.014
hobi,0.007
hormat,0.007
horor,0.007
hubung,0.029
hukum,0.021
humoris,0.021
hvs,0.007
ibadah,0.007
ibu,0.05
identitas,0.007
ijuk,0.007
ikat,0.007
ikut,0.007
ilmu,0.014
in,0.007
incendies,0.007
incest,0.007
indoapril,0.007
indonesia,0.007
ingat,0.029
ingin,0.007
ini,0.05
instagram,0.021
ipk,0.007
istirahat,0.014
itu,0.057
itumah,0.007
iya,0.057
jadi,0.071
jail,0.007
jakarta,0.014
jaket,0.007
jalan,0.021
jalur,0.007
jam,0.064
jaman,0.014
jamanya,0.007
janji,0.007
jarak,0.007
jauh,0.007
jelas,0.007
jelek,0.007
jeng,0.021
jenuh,0.007
jepang,0.007
jha,0.029
jiah,0.021
jiakh,0.1
jodoh,0.007
jorok,0.007
judul,0.014
juga,0.036
jumat,0.007
jumlah,0.007
juni,0.021
juniman,0.007
juta,0.007
kabarin,0.007
kacau,0.007
kadang,0.007
kakegurui,0.007
kalah,0.007
kalau,0.079
kali,0.021
kamar,0.007
kampus,0.007
kan,0.021
kaos,0.007
karena,0.007
kasi,0.007
kasih,0.029
kasus,0.007
kata,0.021
kawin,0.007
kayak,0.079
keburu,0.007
kecil,0.007
kedele,0.007
keingetan,0.014
kekeyi,0.007
kelas,0.007
keluar,0.014
keluarga,0.007
kemko,0.007
kemudian,0.007
ken,0.021
kenapa,0.071
kenapasih,0.014
kep,0.014
kepala,0.021
keren,0.007
keriting,0.007
kerja,0.043
kerjain,0.014
kesal,0.007
kesdaran,0.007
kesi,0.007
ketawa,0.007
khan,0.007
kilas,0.007
kira,0.014
kirim,0.007
kit,0.021
kita,0.007
konsisten,0.021
