term,weight
abing,0.012
ada,0.037
adalah,0.037
adan,0.012
adi,0.012
aduh,0.037
agar,0.012
agresif,0.012
ah,0.012
aidzin,0.025
aju,0.025
akhir,0.012
alpukat,0.012
amel,0.012
ampun,0.05
anak,0.062
anda,0.149
aneh,0.037
angep,0.012
angkutan,0.012
apa,0.162
apil,0.012
aprilio,0.012
aqidahnya,0.012
aqua,0.012
arah,0.025
asin,0.012
awokwowk,0.012
ayah,0.012
ayam,0.037
ayo,0.1
baca,0.037
backup,0.012
bagaimana,0.012
bagus,0.012
bahagia,0.012
bahkan,0.012
baik,0.037
baju,0.012
bakar,0.012
bandung,0.025
bang,0.012
banyak,0.05
bapak,0.062
barang,0.037
baru,0.05
basa,0.012
basi,0.025
batin,0.05
bayang,0.025
beberapa,0.012
beda,0.012
bedain,0.012
bedo,0.012
begitu,0.012
bekas,0.012
beku,0.012
bel,0.012
belakang,0.025
benar,0.012
berapa,0.012
berat,0.025
bersih,0.012
besar,0.012
betah,0.012
betapa,0.025
biasa,0.012
bibir,0.012
bicara,0.025
bilang,0.012
bingung,0.012
bisa,0.025
blokir,0.012
bola,0.012
bong,0.025
bosan,0.012
boys,0.012
buat,0.037
buka,0.075
bukan,0.05
bulan,0.012
bumi,0.012
bunder,0.012
butuh,0.012
cabene,0.025
cahaya,0.012
cari,0.037
castengel,0.012
cemil,0.037
choyo,0.025
cinta,0.012
coba,0.012
coboy,0.012
coklat,0.012
coret,0.012
corona,0.025
cumi,0.025
dapat,0.012
dari,0.012
daripada,0.037
datang,0.012
dek,0.012
dekat,0.012
dengan,0.025
des,0.037
desita,0.012
di,0.025
dia,0.05
diam,0.012
dian,0.012
dibarin,0.012
digeprek,0.012
dikabarin,0.012
dilakuin,0.012
dimandin,0.012
dimarahin,0.012
dingetin,0.012
dingonokne,0.012
dipelotin,0.012
diri,0.025
dititipin,0.012
domba,0.012
dosen,0.012
doyan,0.012
dulu,0.037
eh,0.025
ehehe,0.012
ehsan,0.012
emoh,0.012
enak,0.075
enegnya,0.012
ewuwu,0.012
fadil,0.025
faidzin,0.025
famungas,0.012
fitri,0.012
fizi,0.012
foto,0.025
fud,0.012
futsal,0.012
gabus,0.012
gadis,0.012
gado,0.012
gakuat,0.012
ganas,0.012
ganti,0.025
gawe,0.012
gaweke,0.012
gawene,0.012
gedhe,0.012
geprek,0.037
gin,0.037
golek,0.012
golex,0.012
goreng,0.037
gur,0.025
guru,0.012
habis,0.037
hadir,0.012
haduh,0.012
haha,0.012
hai,0.037
halodoc,0.012
hapus,0.012
hari,0.075
harus,0.025
hati,0.025
heran,0.025
hesjan,0.012
hidup,0.012
hih,0.012
hilang,0.025
ho,0.012
hpku,0.012
huf,0.012
ian,0.012
ibu,0.062
idem,0.012
idul,0.012
igku,0.012
ijat,0.012
ikan,0.025
ikut,0.012
in,0.012
indira,0.012
indomih,0.012
indonesia,0.012
ingat,0.025
ini,0.025
insekyur,0.012
instagram,0.025
instruktur,0.012
intel,0.012
inul,0.012
ipid,0.012
ipin,0.012
iqbal,0.012
isi,0.012
iso,0.012
istirahat,0.012
itu,0.037
iya,0.062
iyain,0.012
ja,0.012
