term,weight
acara,0.007
ada,0.075
adil,0.007
admin,0.007
agar,0.02
agung,0.007
ah,0.007
ahn,0.061
akan,0.007
akh,0.007
akhir,0.02
akibat,0.007
aktor,0.007
akun,0.007
al,0.014
album,0.014
alda,0.007
alhambra,0.007
alias,0.027
alif,0.007
alifah,0.007
aloha,0.007
ambil,0.007
ambyar,0.007
amin,0.027
ampun,0.014
anak,0.034
anda,0.068
andal,0.007
andrea,0.027
anggota,0.007
antro,0.007
apa,0.156
aplikasi,0.007
apricot,0.007
ar,0.007
arah,0.007
artis,0.007
asli,0.034
asuransi,0.007
atlet,0.007
awal,0.007
ayam,0.02
ayo,0.109
baca,0.041
baekhyun,0.02
baeksang,0.014
bagaimana,0.02
bagi,0.007
bagus,0.014
bahagia,0.007
bahkan,0.007
bahu,0.007
baik,0.048
bajing,0.007
balas,0.068
balik,0.027
bantu,0.007
banyak,0.034
bapak,0.041
barang,0.02
bareng,0.014
baru,0.048
baseball,0.014
batik,0.007
batin,0.007
bawa,0.007
bawang,0.007
bayang,0.007
bayangin,0.007
bayi,0.007
bazar,0.014
beda,0.007
begitu,0.034
belakang,0.007
beli,0.007
beliau,0.02
benar,0.068
berapa,0.007
beri,0.007
besar,0.007
biasa,0.014
bibit,0.007
bible,0.007
bicara,0.007
biduren,0.007
bilang,0.014
bincang,0.007
bingung,0.014
bintang,0.014
bis,0.007
bisa,0.054
boem,0.007
bola,0.007
boleh,0.007
bom,0.007
bong,0.007
bongkar,0.007
bq,0.007
buat,0.068
budak,0.02
buka,0.007
bukan,0.02
bulan,0.007
buru,0.007
butuh,0.007
buzerp,0.007
cahaya,0.007
cameo,0.007
cangkir,0.014
cantik,0.02
canting,0.007
capeq,0.007
cara,0.007
cari,0.007
catat,0.007
cela,0.007
celaka,0.02
cemil,0.014
cerita,0.02
cetak,0.007
chihong,0.007
chilbong,0.007
cincin,0.007
cinta,0.027
cloy,0.007
coba,0.007
contoh,0.007
corona,0.007
cuma,0.054
cuy,0.014
daftar,0.027
dagang,0.014
damar,0.007
dapat,0.014
dari,0.014
debat,0.007
deh,0.048
dekat,0.014
del,0.007
deoksun,0.007
depan,0.014
desa,0.007
detail,0.007
di,0.027
dia,0.007
dighosting,0.007
digituin,0.007
dingin,0.027
dinotice,0.007
diomongin,0.007
dirtychick,0.007
doa,0.007
doang,0.014
doctors,0.007
dokter,0.027
dokukip,0.007
dompet,0.007
dong,0.027
dp,0.007
dpkm,0.007
dpl,0.027
drama,0.061
dulu,0.048
dumbledore,0.007
dunia,0.007
eh,0.02
eifel,0.007
episode,0.054
es,0.007
eun,0.014
exo,0.02
favorit,0.034
fely,0.007
findy,0.007
fir,0.007
firda,0.02
flu,0.007
foto,0.014
freya,0.007
friends,0.007
galeria,0.007
gambar,0.007
gantenk,0.027
gantung,0.014
gapaham,0.007
garapke,0.007
gelandang,0.007
gembira,0.007
ghosting,0.007
gin,0.02
goals,0.007
gondrong,0.007
gopay,0.007
goreng,0.007
guru,0.007
habis,0.041
hadeu,0.014
hadiah,0.007
hafal,0.02
hai,0.027
haitai,0.007
halusinasi,0.007
hamil,0.007
han,0.007
hanya,0.014
hapus,0.007
harap,0.007
harry,0.007
haru,0.007
hati,0.014
hayo,0.014
hello,0.007
hermione,0.007
hidup,0.007
hilang,0.007
ho,0.007
hoo,0.007
hormat,0.007
hospla,0.007
hosplay,0.061
hotel,0.007
hua,0.034
humoris,0.027
hwan,0.007
hye,0.014
hyeong,0.007
hyo,0.007
hyuk,0.014
hyunbin,0.02
ibrahim,0.007
ibu,0.034
ih,0.007
ihiyu,0.007
ikjun,0.014
iku,0.007
ikut,0.014
iman,0.007
imut,0.034
in,0.014
indomaret,0.014
ingat,0.014
ini,0.075
inova,0.007
instagram,0.02
instastory,0.007
isi,0.007
isine,0.007
itu,0.095
iya,0.048
izah,0.007
jadi,0.143
