term,weight
abisin,0.011
able,0.021
abu,0.011
ada,0.074
adalah,0.042
agar,0.021
agung,0.011
ah,0.021
air,0.011
ajala,0.011
akan,0.095
akhir,0.042
ala,0.021
alamin,0.011
alexa,0.011
alita,0.011
alwyn,0.011
americana,0.011
amin,0.021
amoeba,0.011
ampuh,0.011
ampun,0.021
an,0.011
anak,0.011
ancyur,0.011
anda,0.305
aneh,0.011
ano,0.011
apa,0.053
apaka,0.011
apus,0.011
ardini,0.011
asal,0.011
asi,0.011
atas,0.063
atau,0.021
atet,0.011
awan,0.011
ayah,0.011
ayo,0.032
baca,0.074
badan,0.021
bagaimana,0.095
bagus,0.021
bahkan,0.053
baik,0.021
bakar,0.011
bangun,0.021
banjir,0.011
bantu,0.021
banyak,0.032
bapak,0.021
batas,0.011
bct,0.011
beban,0.011
beda,0.011
begini,0.021
begitu,0.042
beli,0.053
belok,0.011
belum,0.011
benang,0.011
benar,0.021
benci,0.032
bengkak,0.011
berani,0.011
berapa,0.032
bermanfat,0.011
besar,0.032
besok,0.021
biasa,0.011
bicara,0.011
bil,0.011
bilang,0.011
bingo,0.011
biru,0.011
bisa,0.053
bonus,0.011
boong,0.011
bop,0.011
br,0.021
brgktnya,0.011
buah,0.011
buat,0.105
bubur,0.011
buka,0.011
bukan,0.011
buku,0.011
bulanya,0.011
bullying,0.011
buruk,0.011
butuh,0.011
cantik,0.011
captionya,0.011
cara,0.032
cc,0.011
cemil,0.042
cepat,0.021
certain,0.011
cheesy,0.011
chen,0.011
cinta,0.021
closest,0.021
cuaca,0.011
cukup,0.011
cuma,0.011
cyber,0.011
da,0.021
dan,0.053
dapat,0.021
dari,0.021
darimana,0.011
dasar,0.011
days,0.011
demo,0.011
dengan,0.021
dengar,0.021
depan,0.011
depkes,0.011
di,0.053
diam,0.011
dibes,0.011
dibest,0.011
dikorbanin,0.011
dimana,0.021
dinosaurus,0.011
dipantengin,0.011
diri,0.021
ditanyain,0.011
doang,0.011
dong,0.011
dufan,0.011
dukung,0.011
dulu,0.011
duluan,0.011
dunia,0.011
eh,0.011
elah,0.021
emosi,0.011
enak,0.021
enough,0.011
every,0.011
exo,0.011
favourite,0.011
fine,0.042
foto,0.011
friday,0.011
frightening,0.011
fucked,0.011
gagal,0.011
gajelas,0.011
ganti,0.011
gara,0.011
gelisah,0.021
geng,0.021
getting,0.011
gigi,0.011
gila,0.021
gin,0.032
goa,0.021
gotta,0.011
habis,0.021
hadap,0.011
hadid,0.011
hai,0.053
halte,0.011
halunya,0.011
hana,0.011
hangat,0.011
hanya,0.116
happened,0.011
happens,0.011
harap,0.021
hari,0.126
hebat,0.011
hehehehehe,0.011
heran,0.021
hft,0.011
hibernasi,0.011
hidung,0.011
hidup,0.011
hilang,0.021
hitung,0.011
hologram,0.011
hujan,0.011
ibu,0.011
in,0.042
indah,0.011
independen,0.011
indespoiled,0.011
ingin,0.021
ini,0.147
itaewon,0.011
itu,0.116
iya,0.074
iyap,0.011
jadi,0.221
jadwal,0.011
jalan,0.021
jam,0.011
jatuh,0.011
jawab,0.011
jinyoung,0.011
joe,0.011
juga,0.032
julid,0.042
kaca,0.021
kalah,0.011
kalau,0.053
kali,0.032
kalian,0.011
kampus,0.011
kan,0.021
kantor,0.011
karena,0.011
kartu,0.011
karya,0.011
kasih,0.011
kecil,0.011
kejar,0.011
kelas,0.021
keluar,0.032
ken,0.042
kena,0.011
kenal,0.011
kenapa,0.032
kenya,0.011
kerja,0.042
kerugianya,0.011
ketika,0.011
kinda,0.011
kita,0.011
kompres,0.011
kondangan,0.011
kucing,0.032
kumpulin,0.011
lagi,0.011
lah,0.021
lain,0.021
laki,0.021
lama,0.042
lambat,0.011
lambung,0.011
langsung,0.021
lanjur,0.011
lebaran,0.011
lebih,0.021
lelah,0.021
leleh,0.011
lembut,0.021
lewat,0.011
libur,0.021
lihat,0.053
lives,0.011
lockdown,0.011
loh,0.021
luar,0.011
maaf,0.032
macet,0.021
main,0.011
makan,0.011
makin,0.011
malam,0.032
malas,0.021
mana,0.011
manglingi,0.011
manis,0.011
manusia,0.011
marah,0.011
masuk,0.021
mata,0.011
mati,0.021
mau,0.095
memang,0.042
meng,0.011
merek,0.011
mereka,0.021
messed,0.011
milik,0.042
mimpi,0.021
minggu,0.011
model,0.011
mol,0.011
mon,0.011
muci,0.011
mukul,0.011
mungkin,0.021
murung,0.011
myself,0.042
nabi,0.011
nang,0.032
nasib,0.011
natrep,0.011
negeri,0.011
neh,0.011
netflix,0.011
ngantuk,0.011
niat,0.011
nikmat,0.011
nila,0.011
nya,0.011
nyala,0.021
nyata,0.021
obat,0.011
officially,0.011
often,0.011
ojolnya,0.011
oke,0.011
