term,weight
able,0.003
acak,0.003
ada,0.017
adalah,0.122
adan,0.003
adios,0.003
aduh,0.003
adventures,0.003
advisor,0.003
agama,0.003
agar,0.007
ah,0.01
air,0.003
ajar,0.003
ajawi,0.003
akan,0.051
akhir,0.034
akun,0.003
akur,0.003
al,0.003
alam,0.003
alas,0.007
allah,0.01
alpaca,0.003
amal,0.003
aman,0.02
ambience,0.003
ambil,0.003
amin,0.017
ampun,0.01
an,0.017
anak,0.003
anbu,0.003
anda,0.135
aneh,0.007
angkat,0.007
anku,0.003
anniversary,0.003
any,0.014
anyone,0.003
apa,0.074
aplikasi,0.003
arti,0.003
artikel,0.003
artsy,0.003
arus,0.003
asa,0.01
asiknya,0.003
asked,0.003
asli,0.017
asuransi,0.007
atas,0.01
atur,0.003
autodebet,0.003
avoided,0.003
awal,0.01
ax,0.007
axa,0.007
ayah,0.003
ayo,0.024
baca,0.014
baekhyun,0.003
bagai,0.003
bagaimana,0.024
bagi,0.014
bagus,0.007
bahahaha,0.003
bahan,0.003
bahkan,0.007
baik,0.044
baju,0.014
bakat,0.003
balada,0.003
balas,0.014
balik,0.014
banding,0.003
bangga,0.007
bangun,0.01
bank,0.024
bantu,0.003
banyak,0.041
baru,0.03
based,0.007
batal,0.003
bateq,0.003
batik,0.007
bawa,0.007
bayang,0.003
bayar,0.01
bayi,0.02
bca,0.014
bebasin,0.003
becak,0.003
beda,0.034
bedain,0.003
begini,0.007
begitu,0.034
belakang,0.003
belanja,0.003
beli,0.007
belum,0.007
benar,0.034
benci,0.003
benda,0.003
berani,0.01
berapa,0.014
beri,0.003
berita,0.02
bersih,0.003
besar,0.017
besok,0.003
betrayed,0.003
biasa,0.037
biaya,0.003
bicara,0.003
bihalal,0.003
bik,0.007
bilang,0.003
bilangin,0.003
billing,0.003
bintang,0.003
bioskop,0.01
biru,0.014
bisa,0.041
bisnis,0.003
blonde,0.003
bohong,0.007
boko,0.003
bola,0.007
bong,0.003
bosan,0.003
boys,0.003
brand,0.003
braver,0.003
browsing,0.003
buat,0.115
budak,0.003
buka,0.024
bukan,0.017
bukti,0.003
bulan,0.01
bule,0.003
bumi,0.007
bunga,0.003
buruk,0.003
butuh,0.01
cadang,0.003
cahaya,0.007
cair,0.007
canda,0.01
cantik,0.003
capa,0.003
capai,0.003
cara,0.017
cari,0.017
casts,0.003
cat,0.01
catat,0.003
cath,0.003
cathy,0.003
cats,0.003
cc,0.014
celaka,0.003
celana,0.007
cemil,0.034
cemilan,0.003
cepat,0.01
cepetan,0.003
cerita,0.017
chanyeol,0.014
chanyeolnya,0.003
chanyeols,0.003
chatnya,0.003
chilling,0.003
cie,0.003
cinta,0.027
cipta,0.003
cita,0.003
coba,0.024
coban,0.003
