term,weight
ada,0.021
admin,0.027
aduh,0.014
agama,0.014
agar,0.027
ai,0.007
aidzin,0.014
ajar,0.007
akal,0.007
akan,0.034
akhir,0.027
akhlak,0.007
akun,0.007
alam,0.007
alas,0.014
alat,0.007
alim,0.007
alis,0.007
aman,0.007
ambil,0.048
ambyar,0.014
an,0.014
anak,0.027
anda,0.13
andal,0.007
aneh,0.007
anggap,0.007
antem,0.007
antre,0.007
apa,0.172
ara,0.007
ari,0.007
arti,0.034
asik,0.007
astaga,0.007
atas,0.021
awal,0.007
awat,0.007
ayah,0.007
ayo,0.007
babi,0.007
bagaimana,0.041
bagus,0.014
bahagia,0.041
baik,0.103
baju,0.021
balik,0.007
banding,0.007
bang,0.069
bangga,0.007
banyak,0.076
bareng,0.014
baru,0.048
batal,0.007
batin,0.007
bau,0.007
bawa,0.027
bayang,0.007
becandanya,0.007
beda,0.014
begitu,0.096
begok,0.007
belah,0.007
belakang,0.007
beli,0.007
belum,0.014
benang,0.007
benar,0.021
bengkel,0.007
berani,0.014
berapa,0.014
berat,0.007
beri,0.027
berita,0.007
berkah,0.014
bermanfat,0.007
bersih,0.007
besar,0.007
besok,0.014
betul,0.007
bias,0.007
biasa,0.048
bicara,0.007
bilang,0.027
bingung,0.007
bisa,0.027
blok,0.007
bni,0.007
bodoh,0.041
boong,0.007
borong,0.007
bosan,0.021
brengsek,0.007
buat,0.069
buka,0.027
bukan,0.055
bukber,0.007
bulan,0.021
bung,0.007
buruk,0.007
butuh,0.007
ca,0.007
cae,0.069
cakep,0.007
calon,0.007
canda,0.014
cantik,0.027
capai,0.014
cara,0.007
cari,0.034
cat,0.007
celaka,0.007
cemil,0.007
cepat,0.021
cerewet,0.007
chatan,0.007
chatnya,0.007
cie,0.021
cilok,0.007
cinta,0.014
cipta,0.007
cium,0.007
coba,0.027
cocok,0.007
cong,0.007
corona,0.034
cowonya,0.007
cpt,0.021
cubit,0.007
cuma,0.069
curang,0.007
curhat,0.007
cuy,0.007
da,0.007
daging,0.007
dagu,0.007
dalam,0.007
dan,0.007
dapat,0.007
darah,0.007
datang,0.007
daya,0.007
dbaca,0.007
definisi,0.007
deh,0.007
dekat,0.034
dengar,0.007
depan,0.007
di,0.034
dia,0.055
diabisin,0.014
diam,0.007
diangap,0.007
dibaikin,0.007
dibuly,0.007
dicuekin,0.014
didonorin,0.007
dihargain,0.007
dijadin,0.007
dijahatin,0.007
dikit,0.007
dikomentarin,0.007
dilancarin,0.007
dilema,0.007
dimafin,0.007
dimanfatin,0.014
dinas,0.014
dipaksain,0.007
diperjuangin,0.007
diri,0.034
disalahgunakan,0.007
diseriusin,0.007
ditentuin,0.007
ditingalin,0.007
diturutin,0.007
diungkapin,0.007
doa,0.014
doang,0.021
dokter,0.014
dompet,0.007
dosa,0.007
duka,0.007
dulu,0.007
dunia,0.014
eca,0.021
efek,0.007
ego,0.021
eh,0.007
email,0.007
emosi,0.007
enak,0.007
entah,0.007
entar,0.027
facebook,0.014
faidzin,0.007
fakboy,0.007
fakta,0.007
fansnya,0.007
fizi,0.007
foto,0.021
gadis,0.021
gagak,0.007
gaji,0.007
ganti,0.014
gantung,0.007
gara,0.007
gas,0.007
gaya,0.014
gebetan,0.007
gel,0.007
gemas,0.007
gemini,0.014
gendut,0.007
gengsi,0.007
gera,0.007
gertak,0.007
gila,0.055
gin,0.027
golong,0.007
gosip,0.007
gugah,0.007
habis,0.014
hadap,0.007
haha,0.165
haja,0.007
halal,0.007
handal,0.007
hantu,0.007
hanya,0.014
hanyut,0.007
hari,0.034
harim,0.007
hati,0.027
hianat,0.007
hidup,0.034
hilang,0.007
hina,0.007
hubung,0.007
hujat,0.014
ibu,0.027
idupnya,0.007
ied,0.007
ih,0.014
ikhlas,0.007
ikut,0.021
ilanginya,0.007
imajinasi,0.007
in,0.014
inalilahi,0.007
indira,0.007
indy,0.007
infoin,0.007
ingin,0.014
ini,0.014
instagram,0.007
iring,0.007
isi,0.007
istimewa,0.007
istri,0.007
itu,0.027
itungan,0.007
iya,0.041
jabat,0.007
jadi,0.096
jaga,0.007
jajan,0.014
jala,0.007
jalan,0.007
jam,0.027
jaman,0.027
janji,0.007
jarang,0.014
jasa,0.007
jatuh,0.007
jauh,0.007
jelas,0.007
jelek,0.021
jemput,0.007
jer,0.027
jerawat,0.007
jerwatan,0.007
jijik,0.007
jiwa,0.007
jogging,0.007
joging,0.007
jomblo,0.007
jual,0.007
juang,0.034
juga,0.014
julid,0.021
juni,0.014
kacamata,0.014
kadang,0.014
kalah,0.007
kalau,0.165
kali,0.021
kalian,0.014
kamy,0.007
kan,0.048
kapan,0.055
karena,0.062
karma,0.007
kasi,0.014
kasih,0.007
kata,0.027
kekey,0.014
kekeyi,0.014
kelana,0.007
kelas,0.014
keluar,0.007
keluarga,0.034
keluh,0.007
keluyur,0.007
kemarin,0.007
ken,0.034
kena,0.021
kenal,0.007
kenapa,0.041
kepercayan,0.007
kepercyan,0.007
keren,0.021
kerja,0.014
kerumun,0.007
ketemu,0.007
ketika,0.007
kilogram,0.007
kinderjoy,0.007
kira,0.007
kita,0.007
komentar,0.014
komentarin,0.014
komitmen,0.007
konsep,0.007
konsumsi,0.007
konten,0.007
konyol,0.007
korban,0.007
kosong,0.021
kuat,0.007
kuliah,0.007
kulit,0.007
kumpul,0.027
kurang,0.021
lagi,0.021
lah,0.034
lahir,0.007
laki,0.055
lalu,0.021
lama,0.041
lancar,0.034
langsung,0.048
lanjut,0.014
lasmi,0.007
latih,0.034
lazada,0.007
lebar,0.007
lebaran,0.048
lebih,0.062
lelah,0.014
lentud,0.014
lihat,0.076
lihatin,0.014
lindung,0.007
loh,0.007
lolos,0.007
lulus,0.007
lupa,0.014
maaf,0.055
macam,0.007
main,0.014
mainanya,0.007
makan,0.007
makin,0.021
mal,0.014
malah,0.021
malas,0.007
malesin,0.007
malu,0.014
mamang,0.007
mampu,0.014
mana,0.014
mandi,0.007
mantan,0.021
manusia,0.027
masa,0.007
masih,0.007
masjid,0.007
masker,0.014
masuk,0.048
matang,0.007
mati,0.041
mau,0.13
mdh,0.007
media,0.007
medis,0.034
mei,0.007
memafkan,0.007
memang,0.014
memberi,0.014
mendengarkan,0.007
menikah,0.027
mental,0.007
menteri,0.014
mentok,0.007
mesti,0.007
minder,0.014
minta,0.034
miring,0.007
mirip,0.027
mnta,0.007
mobil,0.007
mohon,0.007
morotin,0.007
muak,0.021
mudah,0.021
muka,0.021
mukena,0.007
mulai,0.007
munafik,0.007
mungkin,0.027
musuh,0.007
nabrak,0.007
naik,0.007
nama,0.007
nampol,0.007
nang,0.007
naruh,0.007
nawar,0.007
nene,0.021
neraka,0.014
netizen,0.007
ngegas,0.007
ngelakuin,0.007
ngjleb,0.007
ngobatin,0.007
ningalin,0.014
ningsih,0.007
nlp,0.007
norek,0.007
notif,0.007
nurutin,0.007
nya,0.034
nyadar,0.007
nyakitin,0.014
nyaman,0.034
nyamanya,0.007
nyanyi,0.007
nyata,0.007
