term,weight
acak,0.006
ada,0.096
adab,0.006
admin,0.006
agar,0.036
agriana,0.006
agustus,0.012
ah,0.012
ais,0.012
ajak,0.018
akan,0.012
akhir,0.084
akses,0.006
aktif,0.018
aktivitas,0.006
akun,0.006
ala,0.012
alat,0.012
alhasil,0.006
alkohol,0.006
amal,0.012
aman,0.006
ambil,0.024
amin,0.012
ampun,0.012
an,0.03
anak,0.06
anda,0.036
aneh,0.006
ang,0.006
angy,0.024
antar,0.012
anterin,0.006
apa,0.169
apabila,0.012
aplikasi,0.012
apps,0.006
apsnya,0.006
asal,0.006
asam,0.006
asik,0.006
asumsi,0.006
atas,0.036
avatar,0.006
awal,0.006
awet,0.006
ayo,0.042
babies,0.006
bada,0.006
badan,0.072
bagaimana,0.024
baget,0.006
bahagia,0.006
bahan,0.006
bahkan,0.018
baik,0.03
bakar,0.006
bakso,0.006
balabala,0.006
balik,0.012
bandel,0.006
banding,0.006
bangetngetnget,0.012
bangun,0.006
banyak,0.024
bapak,0.012
barang,0.09
baru,0.121
basa,0.006
basah,0.006
basi,0.006
batas,0.006
bawa,0.024
bawah,0.006
bayar,0.006
bayi,0.024
bayik,0.048
beberapa,0.012
beda,0.012
begitu,0.066
bekal,0.006
belah,0.006
belakang,0.006
belanja,0.06
beli,0.042
belum,0.006
benar,0.048
bentar,0.024
berapa,0.012
berat,0.042
berita,0.006
bersih,0.006
besar,0.018
besok,0.018
biasa,0.024
bijak,0.006
bik,0.012
bikinin,0.006
bilang,0.018
bingung,0.024
bintaro,0.006
bisa,0.036
biskuit,0.006
bosan,0.048
brownies,0.006
buah,0.018
buang,0.006
buat,0.133
bubur,0.006
buka,0.036
bukan,0.024
bulan,0.06
bumbu,0.006
bungkus,0.006
bunyi,0.012
buru,0.006
buruk,0.006
butuh,0.042
bwc,0.006
cahaya,0.006
cantum,0.006
cara,0.024
cari,0.024
carte,0.006
cemil,0.169
cemilan,0.012
cepat,0.036
cerah,0.006
checkout,0.006
chetos,0.012
cindy,0.018
cita,0.006
coba,0.03
coban,0.006
cocok,0.006
corona,0.018
