term,weight
ada,0.051
adalah,0.015
adol,0.005
aduh,0.01
agama,0.02
agar,0.041
agun,0.005
agus,0.005
agustus,0.005
ah,0.005
ajak,0.005
ajar,0.041
akan,0.01
akhir,0.026
aku,0.005
akun,0.01
alam,0.01
alami,0.01
alas,0.005
alat,0.005
aman,0.041
amangboru,0.005
ambil,0.005
ampas,0.01
ampun,0.005
an,0.01
anak,0.036
analisis,0.005
anda,0.071
andaliman,0.005
anggota,0.005
angin,0.01
anin,0.005
anough,0.005
antropologi,0.005
apa,0.117
apapaun,0.005
apsc,0.005
arah,0.005
arep,0.01
arsik,0.005
arti,0.005
asal,0.015
asean,0.01
asumsi,0.01
atau,0.005
ateis,0.005
atur,0.015
awak,0.01
awkawkakak,0.005
awokawok,0.005
ayo,0.02
baca,0.026
bacan,0.005
bada,0.005
badan,0.02
bagai,0.02
bagaimana,0.061
bagas,0.005
bagi,0.031
bagus,0.046
bahaha,0.005
bahahaha,0.005
bahan,0.015
bahas,0.015
bahasa,0.01
bahkan,0.01
bahwa,0.01
baik,0.046
balek,0.005
balik,0.01
banding,0.005
bang,0.031
bangsa,0.005
bangun,0.005
bank,0.01
bantu,0.026
banyak,0.051
bapak,0.01
baru,0.026
batak,0.02
batas,0.005
bau,0.01
bawa,0.041
bawang,0.005
bayang,0.01
beban,0.005
beberapa,0.031
beda,0.005
begimana,0.005
begini,0.005
begitu,0.071
behel,0.005
bekal,0.005
bekas,0.005
belakang,0.01
beli,0.005
beliau,0.026
belum,0.02
ben,0.005
benar,0.051
benarkan,0.005
benci,0.005
benernya,0.005
benjamin,0.005
bentar,0.005
bentuk,0.01
berani,0.005
berat,0.015
beri,0.01
bermanfat,0.005
bersih,0.005
berterimakasih,0.005
besar,0.015
beta,0.005
betarti,0.005
betol,0.005
betul,0.02
bgke,0.005
biasa,0.005
biaya,0.005
bicara,0.041
bilang,0.041
biologis,0.01
bisa,0.02
bising,0.005
bla,0.01
blueprint,0.005
boh,0.005
boleh,0.005
bolu,0.005
boong,0.005
bos,0.005
boyfriend,0.005
buah,0.005
buat,0.061
bucinan,0.01
budak,0.005
budayane,0.005
buka,0.02
bukan,0.056
bukti,0.005
buku,0.005
buron,0.005
buset,0.01
buyong,0.005
buyung,0.005
cabut,0.005
cahaya,0.005
cairin,0.005
canda,0.015
cara,0.031
cari,0.036
carik,0.005
catcalling,0.005
cem,0.005
cemil,0.02
cepat,0.01
ceramah,0.005
cerita,0.005
ceritane,0.005
cinta,0.02
coachnya,0.005
coba,0.031
cocok,0.01
cok,0.01
comparing,0.005
competitionya,0.005
copas,0.005
crita,0.01
critical,0.005
cukup,0.031
cuma,0.082
curug,0.01
daftar,0.005
daging,0.005
dal,0.005
dalam,0.01
dan,0.01
dapetnya,0.005
dar,0.005
dari,0.026
datang,0.005
dedi,0.005
deh,0.041
dekat,0.01
dengan,0.01
dengar,0.01
depa,0.005
depan,0.005
desa,0.01
desain,0.01
desc,0.005
dewan,0.005
dewek,0.005
di,0.02
dia,0.015
dialektis,0.005
diam,0.005
dian,0.005
diet,0.02
dijalanin,0.01
dina,0.005
diperhatin,0.005
diri,0.026
diseriusin,0.005
doa,0.005
doang,0.02
dokter,0.02
dokumenter,0.005
dolan,0.005
dong,0.01
dorong,0.005
dosa,0.005
dospem,0.01
doyan,0.005
dpr,0.005
dua,0.005
dulu,0.066
dunia,0.005
duo,0.005
durasi,0.005
eala,0.005
ebt,0.005
edukasi,0.01
eh,0.02
ejek,0.005
ekonomi,0.01
ekspetasi,0.005
eksplorasi,0.005
ekspresi,0.005
elen,0.005
empat,0.005
enak,0.036
enek,0.005
energi,0.02
enggan,0.005
epik,0.005
et,0.005
facebok,0.01
fantasi,0.005
faux,0.01
feminisme,0.01
film,0.005
filsafat,0.005
finis,0.031
fitri,0.005
folder,0.005
formalitas,0.005
foto,0.02
franklin,0.005
gabung,0.005
gae,0.005
gais,0.015
gambar,0.02
ganti,0.026
gantung,0.005
gara,0.026
gasalah,0.005
gawe,0.005
gaya,0.005
gdocs,0.005
generalisasi,0.005
gera,0.01
geser,0.005
giamana,0.005
gigi,0.005
gin,0.046
goa,0.138
gomak,0.005
google,0.005
gotu,0.005
growing,0.005
habis,0.02
hadir,0.005
haduh,0.005
hai,0.02
hal,0.02
hala,0.01
halus,0.005
hamil,0.005
hampir,0.005
hancur,0.005
hapus,0.005
harasment,0.005
harga,0.005
hari,0.015
harus,0.015
hasil,0.02
hati,0.01
henti,0.01
hepi,0.005
heran,0.01
hidup,0.02
highlight,0.005
hilang,0.01
hilih,0.005
hindar,0.005
hobi,0.005
homan,0.005
horas,0.01
horbo,0.005
hormon,0.005
hubung,0.005
hujat,0.005
humoris,0.01
hutang,0.02
ibarat,0.005
ibu,0.036
idam,0.005
ikan,0.02
ikhlas,0.01
iku,0.005
ikune,0.005
ikut,0.005
iman,0.005
impi,0.005
in,0.01
indah,0.005
indeed,0.005
indonesia,0.015
indra,0.005
info,0.015
informasi,0.005
ingat,0.026
ingetin,0.01
ingin,0.005
ini,0.082
inisiatif,0.005
insentif,0.005
insha,0.005
instagram,0.005
intervensi,0.005
inti,0.015
irwan,0.005
ise,0.005
iso,0.01
istri,0.005
isu,0.01
ito,0.005
itu,0.077
iya,0.097
jadi,0.117
jadwal,0.005
jaga,0.01
jail,0.005
jakarta,0.015
jal,0.005
jalan,0.031
jam,0.01
jangkau,0.005
janjihom,0.005
jateng,0.005
jatim,0.005
jauh,0.005
jawab,0.026
jaya,0.005
jejak,0.005
jek,0.005
jelas,0.041
jelekin,0.005
jenis,0.01
jiwa,0.005
juang,0.015
juara,0.005
judgement,0.005
judgemental,0.005
juga,0.036
kabar,0.01
kabarin,0.005
kabeh,0.005
kabur,0.005
kadang,0.061
kalah,0.005
kalau,0.153
kali,0.087
kalian,0.005
kalp,0.005
kampanye,0.005
kampong,0.005
kampus,0.005
kan,0.071
kanan,0.005
kapan,0.01
karena,0.015
karet,0.005
karim,0.005
karya,0.005
kasi,0.005
kasih,0.031
kata,0.051
kawat,0.005
kayak,0.01
kb,0.01
kebun,0.005
kecil,0.005
kelamin,0.01
keliatanya,0.005
keliling,0.015
kelola,0.005
keluarga,0.01
keluh,0.005
kemarin,0.02
kembang,0.015
ken,0.036
kena,0.015
kenal,0.01
kenapa,0.112
kendali,0.005
kepala,0.01
kepsyen,0.005
keras,0.005
kerbau,0.005
kerjain,0.005
kes,0.01
kesah,0.005
kesal,0.005
kesini,0.005
ketidaksetaran,0.005
kevin,0.005
khilaf,0.005
killer,0.005
kilogram,0.005
kira,0.02
kiri,0.01
kirim,0.005
kita,0.026
kiye,0.005
koe,0.005
kola,0.005
komitmen,0.005
komunikasi,0.01
komunisme,0.005
konsensus,0.005
konsep,0.01
konsul,0.005
konsumsi,0.01
konvensional,0.005
koperasi,0.005
kordinasi,0.005
kos,0.005
kosong,0.015
kota,0.005
kp,0.005
kreativitas,0.005
kritik,0.005
krungu,0.005
kuasa,0.005
kuliah,0.015
kurang,0.005
la,0.01
labora,0.005
ladenin,0.005
lagi,0.01
lago,0.005
lagu,0.01
lah,0.026
lahir,0.01
lain,0.026
laki,0.097
laku,0.01
lakuin,0.005
lalu,0.015
lama,0.036
lang,0.005
lanjut,0.005
lantai,0.005
lapar,0.005
lapo,0.005
larang,0.005
layan,0.005
lebih,0.071
leceh,0.01
lelah,0.005
lembut,0.01
lempar,0.005
lepas,0.005
les,0.005
letting,0.005
lgbt,0.005
lihat,0.046
lima,0.005
lingkar,0.005
lingkung,0.005
link,0.01
linked,0.005
logat,0.005
loh,0.005
luar,0.015
luka,0.005
lunga,0.005
lupa,0.015
maaf,0.031
mahasiswa,0.01
makam,0.005
makanya,0.005
makas,0.005
makdeg,0.005
makin,0.01
makjang,0.005
maknya,0.005
maksimal,0.005
maksud,0.02
malah,0.01
malam,0.015
malas,0.01
malu,0.02
mampu,0.005
mana,0.046
mangan,0.01
mangsane,0.005
mantap,0.051
manukna,0.005
manusia,0.026
masa,0.01
masak,0.01
masalah,0.015
mase,0.005
masih,0.02
masuk,0.02
masup,0.005
masy,0.005
masyarakat,0.01
mata,0.005
matang,0.005
mates,0.005
mati,0.031
matriarki,0.005
mau,0.082
maya,0.005
mbahas,0.01
mboten,0.005
mcd,0.005
medan,0.015
media,0.005
meh,0.01
mei,0.005
mejawab,0.005
memang,0.128
membayangkanya,0.005
menang,0.005
mendele,0.005
mendoan,0.026
mengerutu,0.005
menikah,0.015
mental,0.005
mentok,0.01
menut,0.005
meranti,0.005
mereka,0.005
meski,0.015
mie,0.01
mil,0.005
mimpi,0.005
minder,0.005
ming,0.005
minimal,0.005
minimum,0.005
minum,0.005
misal,0.01
modal,0.01
modus,0.01
mrebes,0.005
mudah,0.005
mulai,0.026
mulak,0.005
mulih,0.005
mulut,0.005
mulyadi,0.005
mungkin,0.041
muntah,0.01
musuh,0.01
mutualku,0.005
mutualmu,0.005
myleo,0.005
na,0.005
nagih,0.005
nah,0.005
nama,0.01
namboru,0.005
nandur,0.005
nang,0.01
nanti,0.01
napsu,0.005
nasihat,0.005
nasrani,0.005
negara,0.015
negeri,0.005
neko,0.01
nenek,0.015
ngakunya,0.005
ngapak,0.005
ngawor,0.005
ngelepasin,0.005
ngih,0.01
ngko,0.005
ngobatin,0.005
ngolet,0.005
ngulang,0.005
ngunduh,0.005
ngunu,0.005
nikmat,0.01
ning,0.01
njr,0.005
non,0.005
nopo,0.005
norma,0.005
normal,0.005
norwey,0.005
ntah,0.005
nya,0.02
nyaman,0.015
nyambung,0.005
nyambut,0.005
nyanyi,0.01
nyanyike,0.005
nyata,0.015
nyaut,0.005
nyebelin,0.005
nyinyirin,0.005
nyong,0.005
obat,0.005
obrol,0.005
oi,0.005
oke,0.015
olah,0.02
oleh,0.015
omong,0.031
online,0.01
operandi,0.005
opini,0.01
orang,0.097
oranglain,0.005
pacar,0.015
