term,weight
abah,0.005
acara,0.005
accepting,0.005
ada,0.028
adalah,0.092
adoh,0.005
agama,0.005
agar,0.009
ajar,0.018
aju,0.005
akal,0.005
akan,0.037
akang,0.009
akhir,0.009
akibat,0.005
akun,0.005
alam,0.023
alas,0.009
alhasil,0.005
aman,0.005
ambil,0.018
ame,0.005
amin,0.005
ampun,0.005
an,0.032
anak,0.028
anda,0.331
anga,0.005
anjur,0.005
anugerah,0.005
any,0.009
apa,0.023
appear,0.005
apresiasi,0.005
arti,0.005
asa,0.009
asal,0.005
ask,0.005
atap,0.005
atas,0.018
atau,0.018
attend,0.005
attracting,0.005
aware,0.005
awat,0.009
ayo,0.005
ba,0.037
bac,0.005
baca,0.032
badan,0.005
bagai,0.005
bagi,0.018
bagimana,0.005
bagitu,0.005
bagitue,0.005
bahasa,0.005
bahkan,0.009
baik,0.06
bakar,0.009
bakat,0.005
balik,0.005
banaspati,0.005
bang,0.005
bangka,0.005
bangun,0.005
bantu,0.009
banya,0.005
banyak,0.06
bapak,0.005
bareng,0.005
baru,0.032
batin,0.005
bawa,0.009
bebas,0.005
begadang,0.005
begitu,0.005
beliefs,0.005
belok,0.005
belum,0.005
benar,0.005
berani,0.014
berapa,0.005
bercuap,0.005
beri,0.005
berita,0.005
bertangung,0.005
besar,0.009
besok,0.014
between,0.005
biadab,0.005
biara,0.005
biarjo,0.005
biasa,0.009
bicara,0.009
bigbos,0.005
bijaksana,0.009
bisa,0.046
blanja,0.005
blasting,0.005
bli,0.005
blok,0.005
bos,0.009
bosan,0.009
both,0.005
bra,0.005
brani,0.005
brudel,0.005
buah,0.005
buang,0.009
buat,0.028
buka,0.009
bukan,0.014
bulan,0.023
bunda,0.005
buru,0.005
cair,0.005
called,0.005
capa,0.009
captivated,0.005
cara,0.014
cari,0.005
cause,0.009
celaka,0.005
cemil,0.009
cepat,0.009
cerita,0.009
cermat,0.005
chances,0.005
charisma,0.005
cinta,0.014
classroom,0.005
clos,0.005
closest,0.005
coba,0.009
collaborating,0.005
com,0.005
comes,0.014
contained,0.005
corona,0.028
credo,0.005
cse,0.005
cuap,0.005
cultivates,0.005
cuma,0.018
curah,0.009
da,0.023
daftar,0.005
daging,0.009
dam,0.005
damba,0.005
dan,0.073
dana,0.005
dapur,0.005
dari,0.129
daripada,0.005
datang,0.005
dearest,0.005
deep,0.005
defenses,0.005
deh,0.005
dekat,0.018
demo,0.009
demokrasi,0.005
deng,0.014
dengan,0.041
dengar,0.009
depe,0.009
desire,0.005
devotion,0.005
di,0.037
dia,0.005
diam,0.018
dibawain,0.005
dicuekin,0.005
didik,0.005
dijadin,0.005
dikelolah,0.005
dimana,0.005
dinterogasi,0.005
diri,0.037
diskus,0.005
doa,0.028
doang,0.005
donkz,0.005
dorang,0.018
dorong,0.005
doyan,0.005
drive,0.005
dukun,0.009
dulu,0.009
dunia,0.005
dur,0.005
durian,0.005
edu,0.005
edukasi,0.005
ef,0.005
efek,0.005
ekstrim,0.005
else,0.005
emotions,0.005
enak,0.014
energi,0.005
enjoyment,0.005
etik,0.005
eug,0.009
expanding,0.005
feelings,0.005
felix,0.005
finer,0.005
fisik,0.014
fit,0.005
fitur,0.005
flowing,0.005
fo,0.009
focused,0.005
fokus,0.005
forces,0.005
formi,0.005
friends,0.005
gabung,0.014
gairah,0.009
gambar,0.014
gandum,0.005
gara,0.018
garam,0.005
gatal,0.005
gaza,0.005
geli,0.005
gelincir,0.005
gelo,0.018
gereja,0.014
getting,0.009
gila,0.005
giling,0.005
gives,0.009
goa,0.005
goroho,0.009
gowa,0.005
goyang,0.005
grown,0.005
gubernur,0.005
gus,0.005
habis,0.028
hadiah,0.005
hadirin,0.005
hakim,0.005
hal,0.005
halal,0.005
halusinasi,0.009
hampir,0.005
handling,0.005
hanya,0.014
hari,0.115
harus,0.005
has,0.005
hasil,0.014
hati,0.014
heads,0.005
hebat,0.005
heboh,0.005
henti,0.005
hesitate,0.005
hibur,0.005
hidup,0.032
hilang,0.005
hingga,0.005
his,0.005
hobi,0.009
hola,0.014
holand,0.005
horang,0.005
horizons,0.005
hormat,0.005
hubby,0.005
hujan,0.005
hukum,0.005
husband,0.005
hutang,0.005
hypersensitive,0.005
ibu,0.009
iii,0.005
ikut,0.018
ilc,0.005
imam,0.014
in,0.018
indonesia,0.018
inga,0.014
ingin,0.005
ini,0.129
instagram,0.005
intens,0.005
isn,0.005
isolasi,0.014
itu,0.193
iya,0.009
izin,0.005
ja,0.009
jabat,0.005
jadi,0.22
jalan,0.009
jalur,0.009
jam,0.009
jamah,0.005
jang,0.009
janji,0.014
jantung,0.005
jarak,0.005
jaring,0.005
jauh,0.005
jawab,0.009
jemput,0.005
jera,0.005
jika,0.018
jo,0.032
juga,0.009
juices,0.005
junjung,0.005
jupiter,0.005
jurang,0.005
jurus,0.005
juta,0.005
kabal,0.009
kabul,0.005
kacamata,0.005
kalah,0.005
kalang,0.005
kalau,0.055
kali,0.018
kaluar,0.009
kamar,0.005
kampanye,0.005
kanya,0.005
karantina,0.005
karmel,0.009
karya,0.005
kasana,0.005
kase,0.005
kasiang,0.009
kasih,0.005
kasus,0.009
kata,0.005
kati,0.005
katu,0.005
kawan,0.005
kayah,0.005
kayak,0.009
ke,0.005
kebal,0.005
kebun,0.005
kelelawar,0.005
kelompok,0.005
keluar,0.009
keluarga,0.009
keluh,0.005
keluyur,0.005
kemarin,0.014
kembali,0.009
kena,0.018
kenal,0.009
kenapa,0.009
kepada,0.005
kepel,0.005
keras,0.005
kerja,0.023
kesempatan,0.005
kilo,0.005
kingsley,0.005
kini,0.005
kira,0.018
kirim,0.009
kita,0.009
kiyoshi,0.005
klapie,0.005
kompetisi,0.005
kompleks,0.005
kondisi,0.009
koneksi,0.005
konfirmasi,0.005
kong,0.028
konspirasi,0.005
konsumsi,0.009
korban,0.009
koreyah,0.005
koro,0.005
koroang,0.005
korupsi,0.005
kosong,0.005
kreatif,0.014
kredit,0.005
kuala,0.005
kuartet,0.005
kuasa,0.014
kuat,0.023
kucing,0.014
kue,0.005
kurang,0.009
kursi,0.005
kurung,0.005
kurus,0.005
kwa,0.014
laeng,0.005
lagi,0.349
lain,0.005
laki,0.014
lalu,0.005
lama,0.014
langgan,0.005
langsung,0.009
langsunh,0.005
larang,0.005
lately,0.005
le,0.005
lebe,0.005
lebih,0.032
leceh,0.005
lelah,0.005
lelucon,0.005
lembur,0.005
letting,0.005
lewat,0.005
ley,0.005
li,0.005
lia,0.014
liar,0.005
liberating,0.005
lihat,0.009
link,0.005
listrik,0.005
ll,0.005
loh,0.005
looking,0.005
loved,0.005
loyalitas,0.005
luar,0.009
luas,0.005
lugu,0.005
lumayan,0.005
lupa,0.005
maaf,0.009
mabuk,0.005
macam,0.005
maju,0.005
makang,0.005
makin,0.028
making,0.005
maksud,0.005
malah,0.023
malam,0.009
malas,0.005
malu,0.005
mana,0.005
mandi,0.005
mandiri,0.014
manfaat,0.005
mangstap,0.005
manja,0.005
mantap,0.009
manusia,0.005
marah,0.014
maria,0.009
masa,0.005
masalah,0.009
masbro,0.005
masih,0.005
masker,0.005
masyarakat,0.009
matahari,0.005
mati,0.005
mau,0.06
mawar,0.005
may,0.064
medan,0.005
meja,0.005
melon,0.005
memanfatkan,0.005
memang,0.037
memperkenalkan,0.005
menantu,0.005
mental,0.005
mentega,0.005
mereka,0.009
meski,0.005
milik,0.152
mimpi,0.005
minimal,0.005
minta,0.009
minyak,0.005
mitra,0.005
moca,0.005
modal,0.009
most,0.009
motor,0.005
mudah,0.018
mukulin,0.005
mulai,0.005
mungkin,0.005
mustahil,0.005
nae,0.005
nakal,0.005
nama,0.009
namun,0.005
nan,0.005
nang,0.005
nasib,0.005
ndro,0.005
nearest,0.005
negara,0.014
negatif,0.005
neh,0.005
nentau,0.005
nesi,0.005
netizen,0.005
ngacak,0.009
ngana,0.005
ngoni,0.023
nikmat,0.005
noda,0.005
nongkrong,0.005
novena,0.005
numpang,0.005
nurani,0.005
nurturing,0.005
nya,0.009
nyala,0.032
nyantai,0.005
nyata,0.005
nyoblos,0.005
obsesi,0.005
ogah,0.005
oknum,0.014
ole,0.009
oleh,0.009
oma,0.005
omong,0.009
once,0.005
operating,0.005
orang,0.092
ordo,0.005
ov,0.005
oyen,0.023
pa,0.028
pacar,0.005
pada,0.005
padahal,0.005
pagi,0.005
pakai,0.009
paksa,0.005
paling,0.023
paman,0.005
pamer,0.005
pandang,0.005
pandemi,0.009
panggil,0.005
pangilan,0.005
panjang,0.009
pantas,0.009
papar,0.005
parno,0.005
pascal,0.018
pasien,0.028
pasti,0.005
pasu,0.005
patuh,0.005
pe,0.014
peduli,0.005
peka,0.005
pelakor,0.005
penting,0.009
penuh,0.005
perang,0.005
percaya,0.014
percuma,0.005
perhati,0.009
perintah,0.014
pernah,0.014
pesan,0.005
pesta,0.005
pigi,0.005
pikir,0.009
pilih,0.005
piling,0.005
pilkada,0.009
pimpin,0.005
pindah,0.005
pinjam,0.005
pintar,0.005
pisang,0.009
plans,0.005
pleasure,0.005
plin,0.005
pluto,0.005
poge,0.005
pokok,0.005
pol,0.005
ponpes,0.005
positif,0.028
positivity,0.005
possible,0.005
pouring,0.005
pribadi,0.005
productiv,0.005
produktif,0.005
profesional,0.005
program,0.005
protokol,0.014
psb,0.005
puji,0.009
pulang,0.005
pun,0.005
punya,0.055
purging,0.005
pusat,0.005
putri,0.005
putting,0.005
quick,0.005
racun,0.005
rajin,0.009
rakyat,0.005
ramai,0.005
rampok,0.005
rasa,0.014
ravio,0.005
realize,0.005
rebellious,0.005
rebut,0.005
receive,0.005
rekoleksi,0.009
rela,0.005
relatives,0.005
relax,0.005
remaja,0.005
remeh,0.005
rencana,0.005
renunganya,0.005
retret,0.005
retwet,0.005
rewarded,0.005
riah,0.005
rincian,0.005
rindu,0.009
roadmap,0.005
rohani,0.005
romo,0.005
roti,0.005
roy,0.005
ruang,0.005
rubah,0.009
rumah,0.06
runtuh,0.005
rusak,0.009
rutin,0.005
sadar,0.005
saja,0.032
sakit,0.005
saksi,0.005
salam,0.005
salur,0.005
sama,0.06
sambil,0.009
sambung,0.005
sampai,0.051
samua,0.014
sana,0.032
sanang,0.005
sangat,0.005
sangkal,0.005
satu,0.009
saudara,0.023
saya,0.064
sayang,0.005
says,0.005
sayur,0.009
sch,0.005
scorpio,0.326
se,0.005
sebagai,0.018
sebentar,0.005
sebuah,0.175
sedang,0.009
sehat,0.055
sejak,0.005
sekali,0.009
sekarang,0.018
sekolah,0.005
seksual,0.005
sekutu,0.005
selalu,0.023
seleksi,0.005
selesai,0.005
selinap,0.005
selubung,0.005
semangat,0.028
sembuh,0.014
sembunyi,0.005
semoga,0.014
sempat,0.009
semua,0.005
sendiri,0.009
sengaja,0.005
sengit,0.005
sentosa,0.005
separated,0.005
seperti,0.018
sepi,0.005
sering,0.009
ses,0.014
seseorang,0.041
sesku,0.005
sesuatu,0.005
setia,0.005
setuju,0.005
sextile,0.005
shares,0.005
si,0.023
sial,0.005
siap,0.005
siapa,0.023
signif,0.005
sih,0.005
simpang,0.005
simpatik,0.005
sini,0.009
sisa,0.005
sl,0.005
snacking,0.005
somo,0.005
spangal,0.005
spending,0.005
stories,0.005
strain,0.005
stru,0.005
suami,0.014
suara,0.018
suatu,0.009
sudah,0.023
sudi,0.005
suka,0.009
sulawesi,0.005
sulit,0.005
sumber,0.005
sunbathing,0.005
sungai,0.005
suntele,0.005
support,0.005
surat,0.005
suruh,0.005
susun,0.005
susyah,0.005
suzy,0.005
syibuk,0.005
tadi,0.009
tahan,0.005
tahu,0.009
tahun,0.014
tako,0.014
takut,0.037
tali,0.005
tambah,0.014
tampan,0.005
tampusu,0.005
tanam,0.005
tangguh,0.005
tanggung,0.005
tani,0.005
tanta,0.009
tapi,0.018
taruh,0.009
tasks,0.005
tat,0.009
tawa,0.018
tekan,0.023
telah,0.014
telepon,0.005
telur,0.005
tema,0.005
tembus,0.005
tempat,0.009
temu,0.014
tengah,0.014
tentang,0.009
tepi,0.005
terasa,0.009
terigu,0.005
terima,0.005
terimakasih,0.005
tersebut,0.005
terus,0.014
tetangaku,0.005
tetangga,0.009
tetap,0.014
though,0.005
through,0.014
tiap,0.014
tiba,0.009
tidak,0.152
tidor,0.005
tikus,0.005
timbang,0.005
ting,0.005
tinggal,0.014
tipu,0.005
titik,0.009
todays,0.005
toiling,0.005
tolong,0.009
tomohon,0.009
torang,0.023
tren,0.009
triump,0.005
tua,0.005
tuan,0.005
tubuh,0.005
tugas,0.023
tuhan,0.028
tuju,0.005
tumbal,0.005
tunggu,0.005
tunjuk,0.005
turun,0.014
turut,0.005
tutup,0.009
twitter,0.014
two,0.005
uang,0.032
ubah,0.014
uji,0.009
ulang,0.005
ular,0.005
umat,0.005
undang,0.005
under,0.005
undergoing,0.005
unt,0.005
untuk,0.551
upacara,0.005
uranus,0.005
urus,0.014
usah,0.005
usir,0.005
usually,0.005
utama,0.014
utara,0.009
value,0.005
values,0.005
versi,0.005
video,0.005
virtual,0.005
virus,0.009
wakacau,0.005
waktu,0.028
walafiat,0.005
walaupun,0.005
wanita,0.005
waras,0.009
warga,0.005
warna,0.005
wawancara,0.005
weaker,0.009
wh,0.005
whatsapp,0.005
wisuda,0.005
withstood,0.005
wol,0.005
xixixi,0.005
yah,0.009
yaitu,0.005
yakin,0.005
yang,0.051
yeo,0.005
youtube,0.005
youve,0.005
ziarah,0.005
