term,weight
abs,0.008
acara,0.008
ada,0.042
adalah,0.102
admin,0.008
aduh,0.008
afdal,0.008
africon,0.008
agama,0.017
agar,0.025
ah,0.017
aidin,0.008
aisyah,0.008
akan,0.076
akhir,0.017
akhlak,0.008
akun,0.008
alias,0.008
aman,0.008
ambil,0.008
ampuh,0.008
an,0.008
anak,0.034
ancang,0.008
anda,0.186
angin,0.008
antar,0.008
apa,0.161
arti,0.008
asa,0.008
asal,0.008
atas,0.034
aurat,0.008
ayah,0.025
ayo,0.017
baca,0.051
bagaimana,0.042
bagi,0.025
bahas,0.017
bahkan,0.017
baik,0.017
bajing,0.042
balas,0.008
balon,0.008
banding,0.008
bangga,0.008
bangun,0.008
bantu,0.008
banyak,0.059
barat,0.008
basro,0.008
batal,0.017
batin,0.008
bau,0.008
bawa,0.008
bayang,0.008
beda,0.008
begini,0.008
begitu,0.119
bela,0.008
belum,0.034
benar,0.025
benci,0.025
bentuk,0.008
beranda,0.008
berapa,0.008
berhenti,0.008
beri,0.008
berkata,0.017
berontak,0.008
berterimakasih,0.008
besar,0.025
biadab,0.025
biasa,0.017
bimbing,0.008
bisa,0.068
bisnis,0.008
blender,0.008
bodoh,0.034
bosan,0.008
buat,0.059
budak,0.008
buka,0.017
bukan,0.017
bulan,0.008
bunuh,0.008
burger,0.008
buru,0.008
buruk,0.017
butuh,0.034
cacat,0.008
cahaya,0.017
canggung,0.008
cantik,0.008
cara,0.025
cari,0.017
cat,0.017
celana,0.008
cemil,0.008
cimoy,0.008
cinta,0.025
cocok,0.008
corona,0.008
cringines,0.008
cuma,0.008
dalam,0.008
damai,0.017
dan,0.093
dapat,0.051
darat,0.008
dari,0.051
dengan,0.034
dengar,0.017
depan,0.008
di,0.051
dia,0.034
did,0.017
difolbak,0.008
diform,0.008
dihack,0.008
dijulidin,0.008
dinding,0.008
dinput,0.008
diri,0.008
diselipin,0.008
doang,0.008
does,0.008
doing,0.008
dokter,0.008
dong,0.042
dosen,0.017
dude,0.008
dulu,0.017
edukasi,0.008
eh,0.017
eid,0.008
either,0.008
emas,0.008
emosi,0.017
enam,0.008
eyelash,0.008
fakultas,0.008
fancam,0.008
favorites,0.008
fisik,0.008
five,0.008
flu,0.008
foto,0.008
futsal,0.008
gadis,0.025
gambar,0.017
game,0.008
gantung,0.008
gara,0.017
gelap,0.008
gemini,0.008
gerutu,0.008
gila,0.017
gilir,0.008
gin,0.034
goa,0.008
gombrang,0.008
gopay,0.008
grafis,0.008
gym,0.008
habis,0.068
hadap,0.008
hadiah,0.008
haha,0.008
hak,0.017
halusinasi,0.008
hanya,0.093
haram,0.008
harap,0.017
harfiah,0.008
hari,0.034
harus,0.017
hatsune,0.008
heist,0.008
hembus,0.008
