term,weight
abad,0.01
abai,0.01
abrahamik,0.01
ada,0.051
adalah,0.03
adaptasi,0.01
adat,0.02
aduh,0.01
agam,0.01
agama,0.051
agenda,0.01
agh,0.01
agung,0.01
air,0.01
ajar,0.03
akan,0.01
akar,0.01
akhir,0.02
akhlak,0.01
akun,0.01
alam,0.152
alami,0.01
ali,0.01
alquran,0.01
ambil,0.01
amrydium,0.01
anak,0.071
anda,0.081
andal,0.01
aneh,0.02
angin,0.01
antah,0.02
antroposentrisme,0.01
anugerah,0.01
anut,0.01
apa,0.122
apabila,0.01
apalagi,0.01
aplikatif,0.01
arab,0.03
aren,0.01
arep,0.03
arti,0.01
artine,0.01
asli,0.01
aspal,0.051
atas,0.03
awal,0.01
ayo,0.041
bab,0.01
baca,0.03
bacan,0.01
badk,0.01
bagai,0.051
bagaimana,0.02
bagi,0.01
bagus,0.041
bahas,0.01
bahwa,0.01
baik,0.02
bakul,0.01
balik,0.01
bambu,0.01
banyak,0.071
bar,0.01
barang,0.03
baru,0.02
batas,0.02
batin,0.02
bawah,0.01
bayang,0.01
beasiswa,0.01
beda,0.01
begini,0.02
begitu,0.03
beku,0.01
belakang,0.01
beliau,0.061
ben,0.02
benang,0.01
benar,0.01
benda,0.01
bengi,0.01
bentar,0.01
bentuk,0.01
berapa,0.01
beri,0.041
besar,0.01
besok,0.03
bgmn,0.01
bhwa,0.01
bias,0.01
biasa,0.01
biasane,0.02
bicara,0.01
bijak,0.01
biola,0.01
bioregion,0.01
bisa,0.03
bismo,0.01
bisnis,0.01
blio,0.01
bonus,0.01
bos,0.01
bosan,0.01
botani,0.03
buah,0.01
buat,0.061
bubuh,0.01
buka,0.01
bukan,0.051
bukti,0.03
buku,0.03
bulan,0.01
bumi,0.03
bunda,0.01
buru,0.01
busuk,0.01
buwos,0.01
cabai,0.01
cadas,0.01
cahaya,0.01
cair,0.01
cakap,0.01
calon,0.01
cara,0.051
cari,0.01
cc,0.02
cengkeh,0.041
cerukcuk,0.01
cetak,0.01
cetek,0.01
cetha,0.01
cilacap,0.01
cilembu,0.01
coba,0.03
coban,0.02
coco,0.01
cocok,0.03
cocopeat,0.01
contoh,0.01
corat,0.01
coret,0.03
cuk,0.01
cukup,0.03
cuma,0.03
dada,0.01
dadi,0.03
dagang,0.01
dalam,0.03
damai,0.01
dampak,0.01
dapat,0.02
dari,0.02
daripada,0.01
darurat,0.02
dasar,0.03
datar,0.01
daun,0.041
dawa,0.01
dawan,0.01
debat,0.01
dekat,0.01
deklarasi,0.01
dekomposisi,0.01
dekorasi,0.01
dengan,0.101
dengar,0.01
depresi,0.01
dewi,0.01
dhewe,0.01
dhisik,0.01
dhwe,0.01
di,0.01
dia,0.02
diangep,0.01
didih,0.01
dieng,0.041
digangu,0.01
dihyang,0.01
dikomen,0.01
dinternet,0.01
diri,0.041
diritwit,0.01
disingung,0.01
diskusi,0.03
dk,0.01
doa,0.01
dominasi,0.01
dri,0.03
