term,weight
ada,0.032
adi,0.008
aduh,0.032
afi,0.048
agar,0.016
ajak,0.008
ajar,0.008
ajudan,0.008
ajyar,0.008
akan,0.056
akhir,0.056
akun,0.008
alas,0.008
alergi,0.008
alright,0.008
aman,0.016
ambruk,0.008
amin,0.008
ampun,0.008
an,0.008
anak,0.008
anda,0.135
andal,0.008
aneh,0.008
anti,0.008
apa,0.127
apakabar,0.008
arah,0.016
aresaresan,0.008
arsyi,0.008
arti,0.008
ask,0.008
astaga,0.008
atas,0.016
atau,0.008
atlet,0.008
aturanya,0.008
aufa,0.008
awat,0.032
ayo,0.008
baca,0.024
badminton,0.008
bagai,0.016
bagaimana,0.08
bahagia,0.016
bahaya,0.008
bahkan,0.008
baik,0.024
balik,0.008
bangga,0.016
bangsal,0.024
bangun,0.016
bantal,0.008
bantu,0.008
banyak,0.024
bapak,0.032
bareng,0.008
baru,0.032
batas,0.008
batman,0.016
batuk,0.008
bawa,0.016
bawah,0.016
bayang,0.008
bebas,0.016
beberapa,0.008
beda,0.008
begini,0.008
begitu,0.056
belanja,0.008
belanjan,0.008
belok,0.008
benar,0.048
bentar,0.016
beranda,0.016
berapa,0.016
berat,0.016
berekspektasi,0.008
berfikir,0.008
berhubungan,0.008
berita,0.008
berkata,0.008
bersin,0.024
besar,0.032
besok,0.008
bhay,0.008
bhd,0.048
biasa,0.008
bicara,0.024
bidan,0.008
bil,0.016
bils,0.008
bingung,0.016
biru,0.008
bisa,0.008
bobok,0.008
bodoh,0.008
bom,0.032
borang,0.024
buat,0.064
budak,0.016
buka,0.032
bukti,0.016
buku,0.008
bulan,0.032
bulu,0.008
buluk,0.016
bumi,0.008
bupati,0.008
buru,0.008
buruk,0.008
cabs,0.008
cacing,0.024
cahaya,0.008
calon,0.008
camernya,0.008
candu,0.008
cara,0.016
cardiac,0.008
cc,0.008
cemburu,0.008
cemil,0.008
cepat,0.008
cerita,0.016
cie,0.008
cinta,0.024
ckckckck,0.008
coba,0.024
cokelat,0.008
corona,0.04
correct,0.008
couldn,0.008
cp,0.008
cuma,0.056
dada,0.032
daftar,0.008
dalam,0.008
dan,0.04
dana,0.008
dapat,0.016
dari,0.024
datang,0.008
deh,0.008
delete,0.008
dengan,0.016
derajat,0.008
derita,0.008
di,0.032
dia,0.024
dianterin,0.008
dicheck,0.008
digombalin,0.008
dilema,0.008
dilock,0.008
diomelin,0.008
diri,0.016
diskon,0.008
ditingalnya,0.008
doa,0.008
doang,0.008
dokter,0.056
dong,0.016
dosa,0.008
drama,0.008
duku,0.016
dulu,0.048
dunia,0.008
dysmenorhea,0.008
edgar,0.016
edukasi,0.008
efek,0.008
ehehehe,0.008
emosi,0.008
eror,0.008
etika,0.008
everytime,0.008
ext,0.008
favorit,0.008
fer,0.024
fi,0.04
film,0.008
fira,0.008
fitnah,0.016
flash,0.008
folder,0.008
foto,0.008
fresh,0.008
gagal,0.008
gaje,0.008
gar,0.008
garis,0.008
gaskeun,0.008
gelar,0.008
gendong,0.008
gertak,0.008
gin,0.048
gosah,0.008
gosip,0.008
gramedia,0.008
guideline,0.008
gumush,0.016
habis,0.024
hai,0.032
hamil,0.016
hanya,0.008
hapy,0.008
hari,0.04
hartono,0.008
haru,0.008
harus,0.008
hastag,0.008
hati,0.008
hazelnut,0.008
hd,0.008
hehehehe,0.008
hemat,0.008
heu,0.016
hibur,0.016
hidup,0.016
hilang,0.016
hormat,0.008
hpnya,0.008
hubungan,0.016
hujat,0.008
huruf,0.008
ibu,0.032
icu,0.008
ih,0.008
ihiy,0.008
ikut,0.032
indonesia,0.024
ingat,0.016
ini,0.056
inj,0.008
instagram,0.016
iri,0.008
iship,0.048
ishipnya,0.016
isi,0.048
isip,0.008
isolasi,0.008
istirahat,0.008
istora,0.008
item,0.008
itu,0.143
iya,0.032
jadi,0.135
jadwal,0.008
jaga,0.04
jail,0.008
jalan,0.016
jam,0.016
jamal,0.024
janji,0.008
jarak,0.024
jateng,0.016
jauh,0.016
jawat,0.008
jelas,0.016
jijik,0.008
jogs,0.008
jual,0.016
judged,0.008
juga,0.032
juha,0.008
juni,0.008
kadang,0.016
kala,0.008
kalau,0.135
kamar,0.024
kamo,0.008
kamoh,0.008
kan,0.08
kapal,0.008
kapan,0.048
karam,0.008
karier,0.008
kartun,0.008
kasih,0.008
kasus,0.008
kata,0.032
kayak,0.048
ke,0.008
kecil,0.016
kejang,0.016
keluar,0.024
keluarga,0.008
kemarin,0.008
kembali,0.008
ken,0.016
kena,0.016
kenal,0.008
kenapa,0.048
kentut,0.008
kepedean,0.008
keranjang,0.016
kerja,0.04
kerudung,0.016
kesal,0.008
kesini,0.008
ketemu,0.024
ketika,0.016
khawatir,0.008
khay,0.008
kidi,0.008
kira,0.016
kita,0.008
klinik,0.016
klub,0.008
kosong,0.008
kuadh,0.008
kuat,0.008
kucing,0.008
kunjung,0.016
kurang,0.024
kutin,0.008
lagi,0.016
lagu,0.008
lah,0.04
laki,0.032
laku,0.008
lama,0.04
langsung,0.008
lanjur,0.016
lanjut,0.008
lari,0.008
latih,0.008
layan,0.008
lebaran,0.016
lebih,0.04
lelah,0.016
lembar,0.008
lewat,0.008
lho,0.008
lihat,0.056
lik,0.008
linda,0.008
lingkar,0.008
lipstik,0.016
lof,0.008
loh,0.024
lulus,0.016
macet,0.008
magelang,0.008
mahal,0.008
makin,0.016
maksud,0.008
malah,0.064
malam,0.016
maling,0.008
malioboro,0.008
mall,0.008
malu,0.024
mana,0.016
mandi,0.008
mandiri,0.008
manja,0.008
mantap,0.016
mantu,0.008
manusia,0.008
mao,0.008
masa,0.024
masih,0.008
masker,0.024
masuk,0.016
mati,0.008
mau,0.08
mbah,0.008
mbantul,0.008
meja,0.008
mellow,0.008
memang,0.096
memberi,0.008
menangung,0.008
mendapatkanya,0.008
mendetoks,0.008
menggunakan,0.008
menikah,0.008
menit,0.008
menkes,0.008
menstruasi,0.008
meong,0.008
meretwet,0.008
merokemndasikanku,0.008
mesti,0.008
mewek,0.016
mie,0.008
minat,0.008
minggu,0.008
minta,0.024
miskin,0.008
misuh,0.008
mobil,0.032
mohon,0.008
molol,0.008
mudah,0.008
muehehe,0.016
mulai,0.016
muncul,0.016
mungkin,0.008
nada,0.016
nang,0.016
nanti,0.016
neh,0.008
nelfon,0.008
nemuinya,0.008
nerima,0.008
netizen,0.008
ngamen,0.024
ngangenin,0.008
ngantri,0.008
nge,0.016
ngebaca,0.008
ngebut,0.016
ngedukung,0.008
ngelakuin,0.008
ngelewatin,0.008
ngepens,0.008
ngisinya,0.008
ngobrol,0.008
nila,0.008
nopita,0.008
norak,0.008
normal,0.008
novel,0.008
ntah,0.016
nularin,0.008
nya,0.056
nyaman,0.008
nyata,0.024
nyawa,0.008
nyenyak,0.008
nyest,0.008
nyolokin,0.008
oke,0.016
oleh,0.008
once,0.008
orang,0.064
pada,0.024
padahal,0.032
pagi,0.024
paham,0.016
pakai,0.032
paman,0.024
pamit,0.008
panen,0.008
pangku,0.008
pantau,0.008
parah,0.016
parenting,0.008
parkir,0.008
pasang,0.032
pasien,0.032
pasienya,0.016
pasrah,0.008
pasu,0.008
pdp,0.008
peka,0.008
pekat,0.008
peluk,0.016
pelukin,0.008
penuh,0.016
pep,0.008
percaya,0.008
perdana,0.008
pergi,0.024
periksa,0.008
perintah,0.016
periplus,0.008
perlu,0.016
pernah,0.016
pertama,0.008
pertanyanku,0.008
perut,0.008
peta,0.008
pikir,0.064
pilih,0.008
pindah,0.016
pingangnya,0.008
pingit,0.008
pokok,0.024
pos,0.008
posesif,0.008
potong,0.016
pria,0.008
prognosa,0.008
program,0.008
pua,0.008
pulang,0.016
punya,0.032
pusing,0.008
puskesmas,0.008
ramai,0.008
ranjau,0.008
rasa,0.032
rekening,0.008
rere,0.008
resep,0.008
rhinitis,0.008
rindu,0.016
risiko,0.008
romantis,0.008
ron,0.04
rujuk,0.024
rumah,0.088
rusak,0.008
saat,0.016
sabar,0.024
sadar,0.008
saja,0.135
sakit,0.04
sal,0.008
salah,0.024
salma,0.008
salompret,0.008
sama,0.231
sambat,0.024
sampai,0.048
samping,0.008
sangat,0.016
santai,0.008
sapa,0.008
satu,0.056
saudara,0.112
saya,0.494
sayang,0.04
sebentar,0.024
sebuah,0.016
sedih,0.024
segera,0.008
sehat,0.016
sejak,0.008
sekali,0.072
sekarang,0.048
sekitar,0.008
sekolah,0.008
selalu,0.024
selamat,0.016
selesai,0.08
selingkuh,0.008
semangat,0.024
semoga,0.008
semua,0.056
senang,0.016
sendiri,0.008
sengaja,0.008
