term,weight
abdun,0.006
actors,0.006
acu,0.006
ad,0.006
ada,0.056
adalah,0.056
adan,0.012
adil,0.006
ads,0.006
aduh,0.012
aduk,0.006
afiha,0.006
agama,0.019
agar,0.019
ah,0.006
aidin,0.006
air,0.006
ajak,0.006
ajar,0.062
akan,0.05
akhir,0.043
akhirat,0.012
al,0.025
ala,0.006
alahumaghfirlaha,0.006
alam,0.012
alas,0.019
alat,0.006
alhasil,0.006
alir,0.006
allah,0.012
alni,0.012
aman,0.006
amarah,0.006
ambil,0.025
amin,0.012
an,0.043
anak,0.025
analogi,0.006
anda,0.217
angka,0.006
anti,0.006
apa,0.143
api,0.012
april,0.006
arab,0.037
arabia,0.006
arit,0.006
ariul,0.006
arti,0.043
asas,0.006
asik,0.006
asli,0.006
atas,0.006
atraksi,0.006
atur,0.006
awal,0.012
awas,0.006
ayo,0.025
bab,0.006
babat,0.006
baca,0.012
badan,0.006
bagai,0.031
bagaimana,0.068
bagi,0.006
bagus,0.019
bahagia,0.019
bahan,0.006
bahaya,0.031
bahkan,0.006
baik,0.081
baju,0.006
baki,0.019
balas,0.006
balik,0.019
bandung,0.006
bangku,0.006
bangun,0.006
bantu,0.006
banyak,0.043
banyakin,0.006
bapak,0.006
baqarah,0.006
barakalahu,0.006
bareng,0.006
baru,0.031
batin,0.006
batu,0.006
bawa,0.012
bawah,0.006
bayang,0.006
beban,0.006
begini,0.006
begitu,0.031
bela,0.006
belakang,0.019
belanga,0.006
beli,0.012
belum,0.006
benang,0.006
benar,0.056
benara,0.006
bencana,0.012
benda,0.006
benteng,0.006
bentuk,0.012
berani,0.006
berat,0.006
beri,0.012
berita,0.006
bermanfat,0.006
bermingu,0.006
bersih,0.006
bertangung,0.006
berterimakasih,0.006
besar,0.037
besok,0.019
biasa,0.019
biaya,0.006
bicara,0.012
bila,0.006
bilang,0.025
bimbel,0.006
bingung,0.006
biodata,0.006
bis,0.006
bisa,0.031
bismillah,0.012
blablabla,0.006
bodoh,0.006
buah,0.025
buat,0.093
budak,0.05
buk,0.006
bukan,0.168
bukti,0.031
buku,0.019
bulan,0.012
buletin,0.006
bumbu,0.006
busuk,0.006
buta,0.012
butuh,0.025
cakep,0.006
calon,0.006
campur,0.012
cantik,0.006
cara,0.012
cari,0.025
cc,0.012
cekcok,0.006
cemil,0.025
cerewet,0.012
ceria,0.006
cerita,0.006
ceritain,0.006
ceroboh,0.006
cha,0.006
children,0.006
chose,0.006
cinta,0.068
cipta,0.043
cita,0.012
coba,0.019
cocok,0.006
comot,0.006
cont,0.019
corona,0.006
couldnt,0.012
covernya,0.006
cuci,0.006
cuit,0.006
cukup,0.019
cuma,0.025
curhat,0.006
curhatan,0.006
cushing,0.006
da,0.006
daging,0.006
dalam,0.031
dalil,0.037
dan,0.031
dari,0.056
dasar,0.006
datang,0.025
debat,0.006
debus,0.006
definisi,0.006
deh,0.006
dekat,0.006
demikian,0.012
dengan,0.068
depan,0.012
desak,0.006
dhdhsjs,0.006
di,0.081
dia,0.019
diam,0.006
diceritain,0.006
dicurhatin,0.006
didengerin,0.006
dimsum,0.019
dimsumnya,0.006
dingat,0.006
diniatin,0.006
dipangil,0.006
diri,0.031
disalamin,0.006
disaranin,0.006
disini,0.006
ditemenin,0.006
djdjdj,0.006
doa,0.043
doang,0.006
does,0.006
dokter,0.006
domba,0.006
dong,0.012
dosa,0.012
drilling,0.006
duduk,0.006
dulu,0.025
dunia,0.056
edan,0.006
eh,0.012
elektronik,0.006
eljibiti,0.006
emot,0.006
enak,0.012
enam,0.006
euy,0.006
except,0.006
eyak,0.006
eyang,0.025
fa,0.006
faedah,0.006
fakta,0.006
fasil,0.006
fi,0.006
fisik,0.006
fitrah,0.006
fodcourt,0.006
following,0.006
foto,0.019
fuadhnaim,0.031
fuanha,0.006
gadis,0.025
ganjelan,0.006
ganti,0.012
gejala,0.006
gelar,0.006
gelas,0.006
gelombang,0.019
generalisasi,0.006
gengaman,0.006
geografi,0.006
gera,0.006
geser,0.006
gils,0.012
gin,0.012
girlgroup,0.006
given,0.006
golok,0.006
google,0.006
goreng,0.019
gratis,0.006
guru,0.056
guten,0.006
habis,0.012
hadap,0.012
hafidz,0.006
hafidzoh,0.006
hago,0.019
hajat,0.006
hajj,0.012
halal,0.012
haluan,0.006
hamba,0.012
hantar,0.006
hanya,0.043
harap,0.006
harga,0.019
hari,0.062
harus,0.012
has,0.012
hasil,0.012
hati,0.031
heboh,0.006
henti,0.019
hidup,0.037
hilang,0.006
hingga,0.012
hingha,0.006
hitung,0.006
hitz,0.006
hobi,0.006
hormat,0.006
hua,0.006
hubung,0.006
hujan,0.006
hujat,0.006
humoris,0.012
huni,0.012
husband,0.006
ia,0.019
ibu,0.093
ide,0.012
ideal,0.006
idola,0.006
ijah,0.006
ik,0.006
ikat,0.006
ikhlas,0.006
iklan,0.012
ikut,0.05
ilmu,0.012
iman,0.012
imbang,0.006
inap,0.006
indah,0.019
indonesia,0.006
ingat,0.025
ingin,0.019
ini,0.043
inten,0.006
intensif,0.006
inti,0.006
isi,0.019
islam,0.019
