term,weight
abal,0.009
aber,0.009
abord,0.004
acara,0.009
acteur,0.004
acupunture,0.004
ada,0.009
adalah,0.061
admetre,0.004
administrasi,0.004
aduh,0.004
adulte,0.004
afganistan,0.004
afrika,0.004
agama,0.004
agar,0.013
agen,0.004
ah,0.009
aha,0.009
ahlala,0.004
ai,0.039
aiji,0.004
aime,0.013
aimer,0.004
air,0.009
ajaib,0.004
ajar,0.004
akan,0.022
akhir,0.022
aktualisieren,0.004
alam,0.009
algrien,0.004
alias,0.004
alir,0.004
alors,0.022
als,0.009
alsace,0.004
amant,0.004
ameriki,0.004
amplop,0.004
anak,0.035
anctres,0.004
anda,0.184
andal,0.004
anggota,0.004
angkat,0.004
ani,0.004
anorexique,0.004
ans,0.004
anti,0.004
antusias,0.004
antwort,0.004
any,0.004
apa,0.087
apam,0.004
apartemen,0.004
apele,0.009
aprend,0.004
aprendre,0.004
apris,0.009
aproche,0.004
arab,0.004
aransemenya,0.004
arif,0.004
ariv,0.004
arogante,0.004
arti,0.004
asi,0.004
asiatique,0.013
asimiliating,0.004
asli,0.013
astaga,0.004
atau,0.026
atendre,0.004
attacked,0.004
attends,0.004
atur,0.022
aujourd,0.004
aus,0.004
australia,0.004
autre,0.004
aux,0.009
avais,0.004
avant,0.004
avec,0.035
aventure,0.004
avoir,0.013
awal,0.013
ayam,0.004
ayo,0.004
azab,0.004
baca,0.017
badan,0.009
bagai,0.013
bagaimana,0.031
bah,0.004
bahas,0.004
bahasa,0.035
bahkan,0.013
baik,0.035
bajing,0.022
balas,0.009
balik,0.013
bambang,0.004
banane,0.004
banci,0.031
bangga,0.004
bangka,0.004
bank,0.013
banlieue,0.009
banten,0.004
banteng,0.004
bantu,0.004
banyak,0.057
bapak,0.031
barang,0.009
barat,0.004
baru,0.004
barudak,0.009
basic,0.004
basically,0.009
batal,0.004
batas,0.004
bau,0.004
bawa,0.004
bawang,0.004
bawel,0.004
bayang,0.009
bayar,0.004
bayi,0.004
beasiswa,0.004
beaucoup,0.004
bebas,0.004
begini,0.013
begitu,0.048
begrenzte,0.004
behind,0.004
belah,0.004
belaka,0.009
belakang,0.009
beli,0.017
belle,0.004
belok,0.004
benar,0.048
benci,0.013
benda,0.009
bendera,0.004
bensin,0.004
bentar,0.009
bentuk,0.004
bentukanya,0.004
berani,0.004
berapa,0.004
berat,0.004
beri,0.004
berkata,0.004
berterimakasih,0.004
besar,0.022
besoin,0.009
besoins,0.004
beterai,0.004
betul,0.026
beur,0.004
beurete,0.013
biasa,0.017
biaya,0.009
bicara,0.013
bien,0.035
bigger,0.004
bijoux,0.004
bilang,0.031
bilangin,0.004
billets,0.004
bingung,0.009
bio,0.004
bionya,0.009
bis,0.009
bisa,0.031
bisnis,0.013
bla,0.009
blancs,0.004
blesures,0.004
blog,0.004
bloqu,0.004
boarding,0.004
bodoh,0.017
bohong,0.004
bola,0.013
bom,0.004
bon,0.026
bonheur,0.004
bonjour,0.009
boom,0.004
bordel,0.004
bordels,0.004
boro,0.004
bosan,0.009
bote,0.004
both,0.004
bouleversant,0.004
boyfriend,0.004
boyong,0.004
bravo,0.004
breast,0.004
bretagne,0.004
bri,0.004
brigite,0.004
brisik,0.004
brunei,0.004
buah,0.009
buanga,0.004
buat,0.061
bubar,0.004
budaya,0.013
buka,0.009
bukan,0.044
bumi,0.004
bunga,0.004
buruk,0.004
butuh,0.013
cachent,0.004
cadeaux,0.009
cahaya,0.004
cakap,0.004
camat,0.004
cambrioleur,0.004
camelia,0.004
camile,0.004
campagnes,0.004
campur,0.004
cannot,0.004
cara,0.004
carte,0.009
cat,0.009
ce,0.035
cemburu,0.004
cemil,0.017
cenderung,0.004
cerah,0.009
cerewet,0.004
cete,0.009
cewenya,0.004
ch,0.004
chaque,0.004
cheese,0.004
chefs,0.004
cher,0.004
cherche,0.004
