term,weight
abu,0.03
ada,0.02
adalah,0.02
adan,0.02
aduh,0.01
agar,0.04
air,0.01
ajak,0.01
ajar,0.01
ajasi,0.01
aji,0.01
akan,0.02
akhir,0.051
akhirat,0.01
akses,0.01
aksi,0.02
akun,0.01
akyu,0.01
alam,0.01
alisa,0.01
aman,0.03
ambyar,0.02
amin,0.02
an,0.02
anak,0.02
anda,0.182
anen,0.01
anggota,0.01
angin,0.02
angkasa,0.01
apa,0.04
arah,0.01
arti,0.01
astv,0.01
atur,0.01
awam,0.01
awas,0.01
ayan,0.01
ayo,0.04
baca,0.02
bacane,0.01
badan,0.01
bagai,0.01
bagaimana,0.04
bahagia,0.01
bahasa,0.01
baik,0.03
bang,0.04
bangga,0.02
bantu,0.01
banyak,0.03
bapak,0.04
barakalah,0.04
baru,0.03
basa,0.01
bawa,0.01
beberapa,0.051
beda,0.01
bedug,0.01
begini,0.01
begitu,0.01
bel,0.01
bela,0.01
belah,0.01
belum,0.02
benar,0.051
benci,0.01
bep,0.01
beranda,0.02
berat,0.01
besar,0.01
betina,0.01
bi,0.03
biasa,0.01
bicara,0.01
bilang,0.04
bisa,0.04
bodi,0.01
boleh,0.01
bosq,0.01
bot,0.01
buah,0.01
buat,0.061
buguru,0.02
buka,0.01
bukan,0.01
bukti,0.01
buruh,0.01
butuh,0.01
cakep,0.01
cangih,0.01
cantiq,0.01
cari,0.02
cause,0.01
cegah,0.01
cemburu,0.02
cemil,0.04
cerah,0.02
cerai,0.01
cerita,0.051
cilegon,0.04
cing,0.01
cinta,0.01
cium,0.01
ckckck,0.02
coba,0.02
cocok,0.01
coldplay,0.02
congrats,0.03
corona,0.01
cuamat,0.01
cuci,0.01
cukup,0.01
cuma,0.01
cuplik,0.01
da,0.03
dadar,0.01
daftar,0.01
daging,0.01
dalam,0.02
dan,0.01
dapaneh,0.01
dapat,0.04
dari,0.051
datang,0.04
daun,0.01
dek,0.01
dekat,0.01
dengar,0.01
depan,0.01
desa,0.01
dewan,0.01
di,0.02
dian,0.01
diapain,0.01
did,0.01
didi,0.01
diet,0.01
dijogja,0.01
dikit,0.01
diri,0.02
diskusi,0.02
dompet,0.01
dong,0.02
doyan,0.01
drama,0.02
du,0.01
duduk,0.01
dukung,0.01
dulu,0.01
dunia,0.03
eh,0.01
ekekek,0.01
ekspedisi,0.01
empeng,0.01
enak,0.01
filosofis,0.01
fokus,0.01
fresh,0.01
gadis,0.01
galakin,0.01
gapaham,0.01
garing,0.01
gasabar,0.01
gawe,0.01
gejolak,0.01
geng,0.02
gin,0.01
girang,0.01
gmtv,0.01
gojek,0.01
gondrong,0.01
gratis,0.01
hadir,0.01
haha,0.03
hai,0.02
hajah,0.01
haji,0.01
hamba,0.01
hanin,0.01
hanya,0.02
harga,0.01
hari,0.051
harus,0.02
hati,0.04
headlos,0.01
hidup,0.02
hijra,0.01
hilang,0.03
himah,0.01
hitam,0.01
hoh,0.01
ibu,0.03
ih,0.01
ihir,0.01
ikhlas,0.01
iku,0.01
ikut,0.04
ikutin,0.01
ilmu,0.01
iman,0.01
inalilahi,0.01
indonya,0.01
indoprogres,0.01
info,0.03
ingat,0.01
ingin,0.01
ini,0.071
insipirasi,0.01
isi,0.01
islam,0.02
istirahat,0.01
isu,0.101
itu,0.03
iya,0.03
jadi,0.152
jam,0.01
jare,0.01
jatah,0.01
jawab,0.02
jelas,0.01
jerawat,0.01
ji,0.061
jilid,0.01
jiwa,0.02
juga,0.04
jujur,0.01
jumpa,0.01
justifikasi,0.01
justru,0.01
kabarin,0.02
kacamata,0.01
kafir,0.01
kaji,0.01
kakaji,0.01
kakaku,0.01
kalau,0.111
kali,0.02
kalimantan,0.01
kan,0.03
kanya,0.01
karena,0.111
karma,0.01
kartini,0.01
kasus,0.02
kata,0.02
kawal,0.01
kbi,0.01
kecewa,0.02
kejut,0.01
keliling,0.01
keluar,0.02
kemane,0.01
kemarin,0.01
kembang,0.01
kembar,0.01
kempot,0.01
kemudian,0.01
ken,0.071
kenapa,0.03
kendaran,0.01
kenya,0.01
kering,0.01
kesini,0.02
ketawa,0.01
ketik,0.01
khusus,0.02
kibo,0.01
kira,0.01
klub,0.01
kode,0.01
koentji,0.01
komentar,0.01
komersial,0.01
komparasi,0.01
konco,0.01
konkret,0.01
konser,0.01
konsol,0.01
kopi,0.01
korban,0.02
kpk,0.051
ks,0.01
kuad,0.01
kuat,0.01
kucing,0.01
kulit,0.01
lagi,0.02
lagu,0.02
lah,0.04
laki,0.071
laku,0.01
lalu,0.01
lancar,0.02
langsung,0.071
lapang,0.01
lapar,0.03
lapor,0.01
latih,0.01
lebar,0.01
lebaran,0.01
lebih,0.061
lek,0.01
