term,weight
acak,0.006
ada,0.028
adalah,0.051
adan,0.006
adon,0.006
agar,0.017
ahli,0.006
ajar,0.011
akan,0.034
akar,0.006
akhir,0.056
akrab,0.006
akses,0.006
akun,0.028
al,0.006
alarm,0.006
alas,0.006
alias,0.017
allah,0.006
alm,0.006
aman,0.006
amat,0.006
ambil,0.017
ambisi,0.006
ambyar,0.006
amdal,0.006
amin,0.023
ampun,0.023
an,0.017
anak,0.039
analisa,0.006
anda,0.141
aneh,0.011
anga,0.006
antar,0.006
apa,0.096
apresiasi,0.006
argh,0.006
arif,0.006
arti,0.023
artikel,0.006
artis,0.006
asa,0.011
asia,0.006
asimetris,0.006
astaga,0.006
atas,0.017
atik,0.006
atr,0.006
atur,0.006
awal,0.017
ayo,0.045
ayun,0.006
baca,0.023
backsound,0.006
bagai,0.006
bagaimana,0.051
bagus,0.028
bahagia,0.011
bahas,0.011
bahasa,0.006
baik,0.062
baim,0.006
balas,0.011
balik,0.023
banding,0.006
bang,0.006
bangga,0.006
bangun,0.068
bantu,0.023
banyak,0.068
bapak,0.023
bapenas,0.006
baru,0.068
batang,0.006
batin,0.006
batu,0.006
bau,0.006
bawah,0.006
bawang,0.006
bayang,0.011
bayar,0.006
bayik,0.006
bebas,0.006
beberapa,0.017
beda,0.017
begini,0.006
begitu,0.084
belanja,0.011
beli,0.011
beliau,0.017
belum,0.045
belva,0.011
benah,0.006
benar,0.039
benarkan,0.006
benda,0.006
bentuk,0.023
bentur,0.006
berani,0.017
berapa,0.017
beri,0.023
berita,0.006
bertangung,0.006
beruang,0.006
besar,0.011
besok,0.006
betah,0.006
betul,0.017
bew,0.028
biasa,0.023
bicara,0.034
bijak,0.011
bilang,0.039
biru,0.011
bisa,0.051
blaming,0.006
bogor,0.006
bola,0.006
bom,0.011
bombay,0.006
bosan,0.006
brand,0.006
buah,0.006
buat,0.163
buka,0.034
bukan,0.062
bukti,0.006
buku,0.011
bulan,0.006
buna,0.011
butuh,0.039
cacing,0.006
cair,0.006
calon,0.011
cara,0.023
cari,0.017
catat,0.006
celaka,0.006
cemil,0.011
cenderung,0.006
cepat,0.028
cerah,0.011
cerdas,0.006
ceria,0.006
cerita,0.023
chances,0.006
chatan,0.006
chava,0.006
cicil,0.006
cinta,0.011
ciwi,0.006
coba,0.039
cocok,0.006
corona,0.006
