term,weight
acaranare,0.012
ada,0.037
admin,0.037
aduh,0.012
agama,0.012
agar,0.025
ah,0.012
air,0.012
akan,0.025
akhir,0.037
akun,0.012
alamin,0.012
alas,0.012
alaya,0.012
alergi,0.05
aman,0.012
ambil,0.025
amin,0.037
ampun,0.012
an,0.062
anak,0.05
anda,0.074
apa,0.149
aremanita,0.012
asih,0.012
asli,0.025
asper,0.012
astaga,0.037
ayam,0.012
ayo,0.037
ba,0.012
babakan,0.012
baca,0.05
bacan,0.025
bagaimana,0.05
bagi,0.025
bagus,0.037
bahasa,0.012
baik,0.124
balik,0.025
bang,0.012
bangun,0.037
bangunin,0.025
bansos,0.012
bantu,0.025
banyak,0.05
bapak,0.062
bareng,0.012
baru,0.087
bata,0.012
batal,0.012
batu,0.012
bebek,0.012
bedan,0.012
begini,0.012
begitu,0.05
belah,0.012
beli,0.012
beliau,0.012
belum,0.025
benar,0.05
bening,0.012
bentol,0.025
berapa,0.025
berat,0.012
berita,0.012
berkat,0.012
besar,0.012
betul,0.012
biadab,0.012
biasa,0.062
bib,0.012
bilang,0.012
binatang,0.012
bingung,0.012
bogor,0.025
bonsai,0.037
buah,0.012
buat,0.112
buaya,0.012
buka,0.074
bukan,0.012
bulan,0.037
bulane,0.012
bunder,0.012
bunuh,0.012
bunyi,0.012
buruk,0.012
butuh,0.012
cahaya,0.012
calo,0.025
calon,0.012
cantik,0.025
cara,0.012
cari,0.037
cemil,0.012
cendol,0.012
ceplok,0.012
cerewet,0.012
cinta,0.05
coba,0.025
cocok,0.012
cocokologi,0.012
corona,0.012
cuci,0.012
cuma,0.025
cumi,0.025
da,0.012
dadit,0.012
daftar,0.025
dalam,0.012
damai,0.012
dan,0.012
dapat,0.025
dasar,0.037
debat,0.037
deh,0.012
dekat,0.037
dekor,0.012
dengar,0.012
deras,0.012
dhumah,0.012
dia,0.012
dicengin,0.012
didi,0.025
dil,0.012
dingin,0.012
diri,0.012
dita,0.012
dong,0.012
dosa,0.012
dospem,0.012
dospemku,0.012
drama,0.025
dsm,0.012
duaniawi,0.025
dudidudidam,0.012
dulu,0.062
duniawi,0.012
duplikat,0.012
dustin,0.012
eh,0.087
elek,0.012
enak,0.05
es,0.037
euy,0.012
fala,0.012
fardu,0.012
firda,0.012
fizi,0.012
formalitas,0.012
fungsi,0.012
gabus,0.012
gadis,0.025
game,0.012
gatelnya,0.012
gelas,0.012
ghodlobun,0.012
gibah,0.012
gila,0.037
gin,0.037
gladi,0.012
gulma,0.012
gunung,0.012
guru,0.062
gus,0.025
habis,0.012
hadir,0.012
hai,0.012
handai,0.012
hanya,0.012
hara,0.012
hari,0.062
harus,0.025
hati,0.062
hayo,0.012
hebat,0.012
hibernasi,0.012
hidung,0.037
hijrah,0.012
hil,0.012
hitam,0.012
hiyaks,0.012
humoris,0.012
huruf,0.012
hyun,0.012
ian,0.012
ibarat,0.012
ibu,0.05
ikut,0.012
ilmu,0.012
in,0.012
inalilahi,0.012
informatif,0.012
ingin,0.062
ini,0.099
insting,0.012
irit,0.012
istri,0.012
itu,0.025
iya,0.074
jadi,0.124
jaga,0.012
jagain,0.012
jagal,0.012
jal,0.025
jalan,0.025
jam,0.025
janjin,0.012
jaran,0.012
jari,0.012
jateng,0.012
jauh,0.025
jebule,0.012
jelas,0.012
jelek,0.012
jemarine,0.012
jepara,0.05
jiwa,0.025
jodoh,0.012
jomblo,0.012
jual,0.025
juga,0.012
kabar,0.012
kacamata,0.012
kadang,0.012
kalah,0.012
kalau,0.174
kali,0.05
kalian,0.012
kambung,0.012
kamera,0.012
kami,0.012
kan,0.05
kangkung,0.012
kapan,0.012
karang,0.012
karena,0.025
karya,0.025
kasih,0.012
kasus,0.012
kata,0.012
kaum,0.012
kayak,0.062
kayalnya,0.012
ke,0.025
kebun,0.025
kecil,0.025
kelai,0.012
kelas,0.012
keliling,0.012
keluarga,0.062
kemarin,0.012
kembali,0.012
kempot,0.025
ken,0.037
kena,0.037
kenal,0.012
kenang,0.012
kenapa,0.05
kepedean,0.012
kepiting,0.037
kerabat,0.012
keren,0.025
kesasar,0.012
kesini,0.012
ketawain,0.012
ketemu,0.05
ketimbang,0.012
kim,0.012
kiri,0.012
kirim,0.012
kisah,0.012
kita,0.012
kla,0.012
koda,0.012
koma,0.012
komentar,0.012
komitmen,0.012
kontes,0.012
korea,0.012
krapyak,0.012
kua,0.012
kulit,0.012
kuota,0.012
kurang,0.012
lagi,0.025
lagu,0.025
