term,weight
abortus,0.004
acan,0.004
ada,0.036
adalah,0.047
adan,0.004
admin,0.012
aduh,0.004
agak,0.004
agar,0.032
agen,0.004
ah,0.004
ai,0.004
air,0.012
ajaib,0.004
ajak,0.004
ajar,0.004
akan,0.032
akhir,0.032
akses,0.036
akun,0.008
alas,0.004
alat,0.004
algamax,0.004
alias,0.004
alkohol,0.004
allah,0.008
altar,0.004
aman,0.008
amarah,0.004
amatsik,0.004
ambil,0.024
amin,0.004
ampun,0.012
an,0.004
anak,0.028
ancol,0.004
anda,0.261
andil,0.004
aneh,0.004
anggur,0.004
angin,0.004
angka,0.004
angkat,0.008
angur,0.004
antar,0.004
anti,0.004
any,0.004
apa,0.103
apansih,0.004
apart,0.004
apelo,0.004
apes,0.004
aplikasi,0.008
april,0.004
arah,0.008
arti,0.016
asa,0.004
asal,0.004
asap,0.004
asi,0.004
asip,0.004
asking,0.008
asli,0.008
atas,0.04
atau,0.032
atur,0.004
awal,0.004
aware,0.012
ayah,0.008
ayam,0.004
ayo,0.012
baba,0.004
babe,0.004
babies,0.004
bablas,0.004
baca,0.047
badai,0.004
badan,0.012
bagai,0.008
bagaimana,0.032
bagorsi,0.004
bagus,0.004
bahagia,0.012
bahasa,0.004
bahkan,0.008
baik,0.051
bajigur,0.004
bakar,0.004
balasan,0.004
balik,0.02
bandara,0.004
bandel,0.004
bang,0.004
bangga,0.004
bangku,0.004
bangun,0.008
bantu,0.008
banyak,0.04
bapak,0.051
bareng,0.008
baru,0.067
batal,0.008
batita,0.004
batuk,0.004
bawa,0.008
bawah,0.016
bawang,0.02
bayang,0.004
bayar,0.016
bayi,0.008
bcs,0.004
beban,0.004
bebas,0.004
begini,0.024
begitu,0.059
beku,0.008
belas,0.004
beli,0.008
belum,0.016
ben,0.004
benar,0.051
benarkan,0.004
benci,0.004
benda,0.004
beranta,0.004
berapa,0.028
berat,0.008
bercandan,0.004
berduan,0.004
beri,0.008
bersih,0.004
bersin,0.004
beruang,0.004
besar,0.012
besok,0.004
biadab,0.004
biasa,0.02
bibir,0.004
bicara,0.004
bigger,0.004
bilang,0.04
bimo,0.004
binatang,0.004
bintang,0.004
bionik,0.004
bisa,0.043
bisnis,0.004
blablabla,0.004
blocked,0.004
blok,0.004
blow,0.004
bodoh,0.004
bogor,0.004
boleh,0.016
bosan,0.004
brengsek,0.004
briefing,0.004
buang,0.004
buat,0.099
bubar,0.004
bubuk,0.004
buibu,0.004
buka,0.016
bukan,0.063
buket,0.004
buku,0.008
bulan,0.012
bulu,0.004
bumbu,0.004
bumi,0.012
bunga,0.004
bungkus,0.004
burger,0.004
butuh,0.024
buzug,0.004
cahaya,0.016
calming,0.004
cangkang,0.004
cangkir,0.008
cara,0.028
cari,0.008
cause,0.008
celaka,0.008
cemil,0.036
cengeng,0.004
cepat,0.012
cepetan,0.004
cerewet,0.004
cerita,0.028
chip,0.004
choco,0.004
choupinete,0.008
ci,0.016
cigs,0.004
cinta,0.02
ciptan,0.004
ciripa,0.004
cisapride,0.004
citilink,0.008
cium,0.008
coba,0.008
couldn,0.004
crawling,0.004
cuaca,0.004
cuap,0.008
cukup,0.008
cukur,0.004
cuma,0.012
cuteness,0.004
dada,0.008
dadah,0.008
daerah,0.004
dagang,0.004
dalam,0.004
damai,0.004
dan,0.067
dapat,0.028
dapur,0.004
darah,0.004
dari,0.047
daripada,0.016
darlie,0.004
dasar,0.004
datang,0.008
deh,0.016
dekat,0.004
demam,0.004
denda,0.004
dendam,0.004
dengan,0.059
depan,0.012
derajat,0.004
derita,0.004
dese,0.004
detik,0.004
di,0.043
dia,0.071
diam,0.004
dibesarin,0.004
dicancel,0.004
did,0.004
didik,0.008
digodain,0.004
dijelasin,0.004
dijodohin,0.004
dikangenin,0.004
dikirain,0.004
dikit,0.024
dikomentarin,0.004
dilema,0.004
dimana,0.004
dingin,0.008
diomongin,0.004
diri,0.043
disini,0.004
ditelfon,0.004
ditemenin,0.004
ditunjukin,0.004
diupdate,0.004
dki,0.004
doang,0.016
doc,0.004
does,0.004
doesn,0.008
dokter,0.008
dokumen,0.004
dokumentasi,0.004
domperidone,0.004
donat,0.008
dong,0.012
dosa,0.004
doyan,0.004
drama,0.004
dude,0.004
duduk,0.008
dugan,0.004
dugem,0.004
dulu,0.04
dunia,0.028
eh,0.024
email,0.004
emis,0.008
emosi,0.004
enak,0.004
enough,0.004
erik,0.004
esp,0.004
every,0.008
example,0.004
eyebrow,0.004
fail,0.004
fakta,0.004
fase,0.004
fast,0.008
feeding,0.004
feelings,0.004
filled,0.004
fired,0.004
flexed,0.004
flu,0.004
fokus,0.004
foto,0.012
freezer,0.004
french,0.008
frustrasi,0.004
further,0.004
gairah,0.004
gais,0.008
gaji,0.008
gambar,0.004
ganti,0.008
gantung,0.004
gapake,0.004
gausa,0.004
gebu,0.004
geli,0.004
gelisah,0.004
gemetar,0.004
gemetch,0.004
gemeter,0.004
gempal,0.004
gendut,0.008
genges,0.004
gengs,0.004
geram,0.004
gercep,0.004
gerd,0.004
gereja,0.008
gez,0.004
giat,0.004
gibah,0.004
gigi,0.004
gila,0.012
gin,0.032
goa,0.008
gojek,0.008
gopay,0.008
goreng,0.028
gr,0.008
gubuk,0.008
gula,0.004
habis,0.016
had,0.008
hadap,0.012
haha,0.004
hahahahahaha,0.004
hahahahahahanangisyuk,0.004
hai,0.004
hak,0.008
hakim,0.008
hal,0.004
hallelujah,0.004
hampir,0.016
hancur,0.004
hangat,0.004
hanya,0.036
happened,0.004
harap,0.008
harga,0.004
hari,0.028
haru,0.004
harus,0.036
hasil,0.008
hati,0.028
haus,0.004
heard,0.004
hebat,0.004
heck,0.004
hello,0.008
helps,0.004
henti,0.028
hias,0.004
hibur,0.008
hidup,0.024
hilang,0.016
hindar,0.008
his,0.008
hitam,0.008
hits,0.004
hitung,0.004
hobs,0.004
hormat,0.004
hotel,0.043
hotelier,0.012
hubung,0.004
hugs,0.004
hujan,0.012
hujanya,0.004
hurts,0.012
hwe,0.004
hype,0.004
ibu,0.067
ikhlas,0.004
ikut,0.024
ikuti,0.016
in,0.071
indonesia,0.004
infected,0.004
ingat,0.036
ingin,0.012
ini,0.103
inner,0.004
inpepsa,0.004
instagram,0.012
inti,0.004
invited,0.004
iri,0.004
isi,0.004
istimewa,0.008
istirahat,0.008
isu,0.016
itu,0.17
iya,0.055
izin,0.004
ja,0.004
jabat,0.004
jadi,0.15
jadwal,0.004
jaga,0.004
jagain,0.004
jahahaha,0.004
jaja,0.004
jajan,0.008
jakarta,0.012
jalan,0.024
jalanin,0.004
jam,0.055
jamblang,0.004
jamu,0.004
janji,0.016
jarang,0.004
jari,0.008
jasa,0.008
