term,weight
ada,0.071
adam,0.012
adan,0.012
adekmu,0.012
aduh,0.048
agar,0.048
ah,0.024
ahahahahah,0.024
ajal,0.012
ajar,0.012
akakak,0.012
akakakak,0.012
akakakakakak,0.012
akan,0.012
aman,0.012
ambil,0.012
amin,0.024
an,0.012
anak,0.012
anda,0.119
aneh,0.012
angi,0.012
angkat,0.012
anjg,0.012
antem,0.012
anyinc,0.012
apa,0.083
ariel,0.012
astaga,0.024
asyik,0.012
atas,0.012
awas,0.024
ayo,0.048
bagaimana,0.024
bagi,0.012
baik,0.012
bajing,0.024
bakar,0.012
bakoh,0.012
bakso,0.024
bakul,0.024
bakule,0.012
balik,0.024
bangeut,0.012
bangga,0.012
bangun,0.012
bantu,0.012
banyak,0.095
baru,0.024
batin,0.048
bawa,0.012
bcs,0.036
bebas,0.012
bebe,0.024
beda,0.012
bedosa,0.012
begini,0.036
begitu,0.036
bel,0.012
belakang,0.012
beli,0.024
ben,0.012
benalu,0.012
benar,0.024
bengeut,0.024
bening,0.024
beri,0.012
berisik,0.012
bertuby,0.012
besar,0.024
besok,0.024
bgsat,0.012
biadab,0.036
biasa,0.012
bisa,0.036
bisabisanya,0.012
bnya,0.012
bodoh,0.012
bojo,0.012
bonus,0.012
bos,0.012
bosan,0.071
brti,0.012
buang,0.012
buat,0.119
buibu,0.012
buka,0.024
bukan,0.036
buku,0.012
bulan,0.012
butuh,0.024
cabai,0.024
cagaku,0.012
cantik,0.059
cantip,0.012
carane,0.012
cari,0.024
cemil,0.012
cemilan,0.012
cen,0.012
cepat,0.036
cerewet,0.024
ceribel,0.012
cerita,0.012
cicak,0.012
cinta,0.012
cipta,0.024
coba,0.012
cok,0.012
corona,0.048
cowoku,0.012
cuk,0.012
cuma,0.048
cutek,0.012
da,0.012
daerah,0.012
dafa,0.012
dapat,0.036
datang,0.012
deh,0.036
dengan,0.012
dengar,0.012
derita,0.012
deteksi,0.012
dewe,0.024
dicarin,0.012
dijak,0.012
dikit,0.012
diperhatin,0.012
diri,0.036
diuneke,0.012
dokter,0.012
dota,0.012
drama,0.012
dulu,0.036
dunia,0.024
dw,0.024
ekwkwkwk,0.012
embok,0.012
enak,0.024
endul,0.012
eneg,0.012
erti,0.012
fast,0.012
fitri,0.012
gadis,0.012
gagal,0.012
gajelas,0.012
gakenal,0.012
ganti,0.012
gas,0.012
gasik,0.012
gawe,0.012
gayeng,0.012
gedang,0.012
gegayan,0.012
gemas,0.012
gembira,0.012
gerang,0.012
gila,0.012
gin,0.048
gms,0.012
gombrang,0.024
gosah,0.012
gr,0.036
gratisin,0.012
guna,0.012
gur,0.024
habis,0.012
hampir,0.012
handal,0.012
hanya,0.036
harga,0.024
hari,0.048
harus,0.024
hati,0.024
hayo,0.012
hempas,0.012
hepi,0.048
heran,0.012
hidup,0.012
howo,0.012
hubungan,0.012
humoris,0.024
hz,0.012
ibu,0.048
idul,0.012
ikan,0.012
informasi,0.012
ingat,0.024
ingin,0.012
ini,0.048
insekyur,0.036
iri,0.012
isih,0.012
iso,0.024
itu,0.036
iya,0.083
iyak,0.012
jadi,0.119
jaga,0.012
jagat,0.012
jajan,0.024
jajanin,0.012
jam,0.059
jaman,0.024
jamin,0.012
jamu,0.012
jancuk,0.012
jangkit,0.012
janji,0.012
jarak,0.012
jatah,0.012
jauh,0.012
jelas,0.012
jelek,0.024
jemput,0.012
jigur,0.012
jose,0.012
jt,0.012
juga,0.012
kacaw,0.012
kalau,0.178
kalepatan,0.012
kali,0.036
kalian,0.048
kalori,0.012
kan,0.059
kantong,0.012
karena,0.024
kasitau,0.012
katah,0.012
kayak,0.024
keburu,0.012
kecil,0.012
kejut,0.012
kekuranganya,0.012
kelas,0.024
keluar,0.024
kemas,0.036
kemosyian,0.012
ken,0.048
kenapa,0.036
kenya,0.012
keras,0.012
kerja,0.012
kesini,0.012
ketemu,0.024
ketoe,0.012
kezl,0.012
ki,0.012
kira,0.012
kirik,0.012
kirim,0.012
klean,0.012
klimaks,0.012
kod,0.012
koe,0.059
kreatifitas,0.012
kripik,0.012
ksl,0.024
kuat,0.012
kui,0.012
kuliah,0.012
kulo,0.012
kunyuk,0.012
kuping,0.012
lah,0.024
lahir,0.059
laki,0.071
lakyo,0.012
lali,0.012
lama,0.012
lanjot,0.012
lapar,0.012
lebaran,0.024
lebih,0.048
lgsung,0.012
lha,0.024
lho,0.012
lihat,0.024
lima,0.012
lindung,0.012
loh,0.024
loncat,0.012
lov,0.012
lthan,0.012
luber,0.012
lupa,0.048
maaf,0.048
maki,0.012
makin,0.036
malah,0.012
malas,0.024
malu,0.036
mambu,0.012
mana,0.012
manten,0.012
manusia,0.048
marah,0.036
marahin,0.012
marni,0.012
martiano,0.012
maruk,0.012
masak,0.012
masalah,0.036
masih,0.012
masker,0.012
mati,0.024
mau,0.083
maupun,0.012
maw,0.012
mbaku,0.012
mbien,0.012
memang,0.166
mendengarkan,0.012
mengangap,0.012
mie,0.012
mimik,0.012
minta,0.012
minum,0.012
mirip,0.012
misale,0.012
mm,0.012
modar,0.012
mohon,0.036
monmap,0.012
mudah,0.012
mulai,0.012
mumpung,0.012
muncul,0.012
mungkin,0.036
murah,0.024
murid,0.024
murtad,0.012
musik,0.012
musnah,0.012
mustahil,0.012
mwarah,0.012
mzkun,0.012
nama,0.012
nang,0.012
napas,0.012
nata,0.012
ndue,0.012
ndupak,0.012
nenek,0.024
neraka,0.012
ngadek,0.024
nganyelke,0.012
ngebak,0.012
ngebut,0.012
ngemal,0.012
ngo,0.012
ngrepoti,0.012
ngrepotin,0.012
nis,0.012
njaluk,0.012
njuk,0.012
noah,0.012
noel,0.012
nya,0.024
nyacat,0.012
nyapa,0.012
nyata,0.012
nyuwun,0.012
oke,0.024
omong,0.024
online,0.012
ono,0.012
orang,0.143
oranglain,0.012
orkes,0.012
otak,0.012
ovo,0.012
pacar,0.024
pacaranya,0.012
pada,0.024
padahal,0.012
pagi,0.024
paham,0.024
pakai,0.024
paling,0.012
