term,weight
abdaubismilahi,0.011
ada,0.022
adalah,0.022
adi,0.011
admin,0.044
aduh,0.022
adus,0.022
adzanin,0.011
agama,0.011
agar,0.022
agung,0.011
ajak,0.011
aji,0.011
akan,0.022
akhlak,0.011
alfa,0.011
alkohol,0.011
almond,0.011
aman,0.011
ambil,0.022
amin,0.022
anak,0.066
analis,0.011
ancene,0.011
anda,0.088
angkat,0.011
angur,0.011
anti,0.022
anyar,0.011
apa,0.263
apotek,0.011
arti,0.011
artis,0.011
asal,0.011
asli,0.011
asline,0.011
astaga,0.011
atas,0.011
awanys,0.011
ayah,0.022
ayas,0.011
ayat,0.011
ayo,0.142
baca,0.044
backsoundnya,0.011
bacol,0.011
badai,0.011
bagaimana,0.022
bagus,0.022
bah,0.011
bahas,0.011
bahasa,0.011
bahaya,0.011
baik,0.011
balik,0.011
balon,0.011
balsem,0.011
ban,0.011
bangsa,0.011
bangun,0.011
bangung,0.011
bantu,0.022
banyak,0.055
banyu,0.022
bapak,0.055
baptis,0.011
bar,0.033
barang,0.011
bareng,0.011
baring,0.011
baru,0.033
batu,0.011
bawa,0.011
bawah,0.011
bayi,0.011
bcl,0.022
beban,0.011
beda,0.011
begitu,0.044
belah,0.011
belakang,0.011
beli,0.022
benar,0.011
berantas,0.011
berapa,0.033
berat,0.033
beri,0.022
berkat,0.022
besar,0.011
besok,0.033
beton,0.011
bibir,0.011
bibit,0.011
biji,0.022
bilang,0.011
bima,0.011
bintang,0.011
binti,0.011
bisa,0.022
bisikin,0.011
blereng,0.022
bobok,0.011
bodoh,0.011
boker,0.011
bola,0.011
boleh,0.011
boom,0.011
bosan,0.011
bram,0.011
brame,0.011
buang,0.022
buat,0.088
buka,0.033
bukan,0.033
burjo,0.011
cahaya,0.022
cakap,0.011
cangkir,0.011
cari,0.044
catur,0.011
cawan,0.011
cela,0.011
cemil,0.011
cerak,0.011
cerdas,0.011
cerita,0.033
cik,0.011
ckckck,0.022
coba,0.022
cok,0.011
cokelat,0.011
cor,0.011
corona,0.011
cuma,0.022
daftar,0.011
dal,0.011
dalam,0.011
damar,0.011
dapat,0.022
darah,0.022
datang,0.011
dbl,0.011
dedek,0.011
deh,0.044
dekat,0.011
demam,0.011
desember,0.011
dharma,0.011
di,0.011
dia,0.011
diar,0.011
diare,0.011
dibalikin,0.011
dibilangin,0.011
dihe,0.011
diombe,0.011
direndem,0.011
diri,0.022
disikan,0.011
diucapin,0.011
doa,0.011
doang,0.011
dokter,0.022
dolan,0.022
dong,0.044
dosa,0.011
dowo,0.011
dulu,0.033
dusun,0.011
duwur,0.011
eaeaea,0.022
eaeaeaeaea,0.011
ecie,0.011
edan,0.011
eh,0.033
ekstrim,0.011
elah,0.011
elus,0.011
enak,0.033
engkau,0.011
engko,0.011
entah,0.011
es,0.011
faldi,0.011
fcnya,0.011
foto,0.011
gabung,0.011
gadis,0.022
gae,0.033
gaje,0.011
gaji,0.011
gandeng,0.011
ganjur,0.011
gara,0.033
gatal,0.011
gbu,0.011
gebe,0.011
geh,0.011
gejayan,0.011
gembala,0.011
gendut,0.011
generasi,0.011
gereja,0.022
