term,weight
acak,0.009
ada,0.018
adalah,0.046
admin,0.009
aduh,0.018
agam,0.009
agar,0.018
ah,0.037
ajar,0.009
akan,0.018
akhir,0.037
akun,0.009
alamat,0.018
alur,0.009
aman,0.009
ampun,0.037
anak,0.018
anda,0.082
aneh,0.046
anggota,0.009
angin,0.018
anyone,0.009
apa,0.228
api,0.009
arek,0.009
arti,0.009
artis,0.018
asam,0.009
astaga,0.009
astagah,0.009
atas,0.009
autopsi,0.009
awal,0.009
awas,0.009
ayo,0.027
baca,0.018
bagaimana,0.046
bahagia,0.018
bahagiain,0.009
bahkan,0.009
baik,0.082
baju,0.046
balas,0.018
balasan,0.009
balik,0.009
bang,0.027
bangga,0.009
banyak,0.037
bapak,0.046
bareng,0.018
baru,0.064
basically,0.009
bawa,0.009
baze,0.009
bedua,0.009
begini,0.009
begitu,0.046
beli,0.046
belum,0.027
benar,0.055
benci,0.009
benda,0.009
bentuk,0.009
beranda,0.009
berani,0.009
berhomelader,0.009
berita,0.009
beruang,0.009
betah,0.009
bicara,0.018
bilang,0.037
bingung,0.018
biru,0.009
bis,0.009
bisa,0.037
biyangedh,0.009
blooms,0.009
bo,0.009
bohemian,0.009
boleh,0.009
boneka,0.018
born,0.009
bosan,0.009
buah,0.009
buang,0.009
buat,0.027
buka,0.027
bukan,0.046
bumi,0.018
buola,0.009
butuh,0.009
cahaya,0.018
cakep,0.018
camellia,0.009
capslock,0.009
cara,0.046
cari,0.018
catat,0.009
ce,0.018
ceci,0.009
cem,0.009
cemil,0.037
cepat,0.009
cerita,0.009
coba,0.027
congratulation,0.009
corona,0.018
cuci,0.009
cuma,0.009
daftar,0.009
darat,0.009
daripada,0.037
deh,0.009
dekat,0.009
dengan,0.018
dengar,0.009
depan,0.009
depresi,0.009
detik,0.009
dia,0.027
diadmit,0.009
dicopotin,0.009
dideketin,0.009
didik,0.009
digombalin,0.009
dilema,0.009
diludahin,0.009
diomongin,0.009
diri,0.009
dokter,0.009
dong,0.018
donorin,0.009
doyan,0.009
drama,0.046
drtd,0.009
duduk,0.009
dulu,0.009
dunia,0.009
durian,0.009
dusta,0.009
edukasi,0.009
eh,0.009
emosional,0.009
enak,0.009
engkau,0.009
entah,0.009
episode,0.037
es,0.009
facebok,0.009
film,0.027
format,0.009
foto,0.009
fotografi,0.009
gagal,0.027
ganja,0.009
ganti,0.027
gausa,0.009
gaya,0.018
gel,0.009
gelombang,0.009
gem,0.009
gemar,0.009
gemas,0.018
gembira,0.009
gila,0.009
gin,0.055
goes,0.009
gojek,0.018
google,0.018
gramed,0.009
gravitasi,0.009
grenscren,0.009
gumush,0.009
gusi,0.009
habis,0.027
hadap,0.027
haha,0.009
hai,0.046
haid,0.009
haish,0.009
hantu,0.009
harfiah,0.018
hari,0.027
harus,0.018
hati,0.027
heavy,0.009
hebat,0.009
heli,0.009
henti,0.027
heran,0.018
hibur,0.009
hidup,0.018
hih,0.009
hilang,0.009
hilih,0.009
hobi,0.009
hoho,0.009
hpnya,0.009
hukum,0.009
ibu,0.128
ibuibu,0.009
ih,0.009
ikut,0.027
ikuti,0.027
il,0.009
ilma,0.009
ind,0.009
indonesia,0.009
indosi,0.009
info,0.018
ingin,0.009
ini,0.164
instagram,0.018
inti,0.009
ip,0.009
isi,0.018
itaewon,0.009
itu,0.091
iya,0.101
iyha,0.009
jabat,0.009
jadi,0.21
jajan,0.009
jam,0.018
jantung,0.009
jatuh,0.027
jauh,0.009
jayakarta,0.009
jebol,0.009
jelasin,0.009
jeng,0.018
ji,0.009
jiwa,0.009
joget,0.009
jomblo,0.009
judul,0.009
juga,0.101
jungpal,0.009
juru,0.009
kadang,0.027
kado,0.009
kalau,0.119
kali,0.009
kalian,0.009
kamar,0.009
kan,0.064
kantor,0.009
kapan,0.009
karena,0.037
karokean,0.009
kasi,0.018
kasih,0.009
kata,0.027
kecap,0.009
kecil,0.009
keduabelah,0.009
kejut,0.018
kelas,0.009
keliling,0.009
keluar,0.009
keluh,0.009
kembali,0.009
kemudian,0.009
ken,0.018
kena,0.009
kenal,0.009
kenapa,0.11
kentang,0.009
kenyang,0.009
kepala,0.037
keren,0.009
kereta,0.009
keringet,0.009
kerupuk,0.009
kesal,0.009
kesana,0.009
ketemu,0.018
ketika,0.009
khan,0.009
khusus,0.009
kim,0.018
kirim,0.009
kisah,0.009
kita,0.009
klaten,0.009
klik,0.009
kobar,0.009
komentar,0.009
komunikasi,0.009
konfirmasi,0.009
korea,0.018
kosong,0.046
kuda,0.018
kue,0.018
kumpul,0.009
lagi,0.046
lagu,0.018
laki,0.046
lama,0.018
lambat,0.009
lanjutin,0.009
lapang,0.009
lapar,0.018
lapindo,0.009
lapis,0.018
laposeh,0.009
laprak,0.009
latih,0.009
lauk,0.009
lawan,0.009
lebaran,0.018
lebih,0.037
lego,0.009
lelah,0.027
lembaga,0.009
lepas,0.009
leyeh,0.018
lhah,0.009
lho,0.009
lihat,0.064
linenya,0.009
lingkar,0.018
lokasi,0.009
luap,0.009
luas,0.009
lucu,0.009
lulus,0.009
lumayan,0.009
lupa,0.009
maaf,0.018
maenya,0.009
maju,0.009
makanya,0.009
makin,0.018
maksud,0.009
malah,0.018
malam,0.018
mall,0.009
malu,0.009
mamam,0.009
mana,0.027
mandi,0.018
mantul,0.018
manusia,0.009
masak,0.009
masakin,0.009
masalah,0.018
masih,0.018
masker,0.009
masuk,0.027
mata,0.009
mati,0.027
mau,0.082
medan,0.009
memang,0.037
memberi,0.027
menemani,0.009
menikah,0.073
merah,0.009
mereka,0.009
mes,0.009
midsomar,0.009
mie,0.009
mimpi,0.009
minder,0.009
mingdep,0.009
minggu,0.018
minta,0.018
mirip,0.009
misi,0.018
mobil,0.009
model,0.009
mohon,0.018
monde,0.009
muak,0.009
muda,0.009
muka,0.018
mulut,0.009
mungkin,0.009
musim,0.009
nah,0.009
nanda,0.009
nang,0.037
nanyain,0.009
napak,0.009
nasi,0.018
nat,0.027
ned,0.009
ner,0.009
neraka,0.009
ngaduknya,0.009
nganjuk,0.009
ngebayangin,0.009
ngeri,0.018
ngizinin,0.009
ngupasin,0.009
nikah,0.009
nikmat,0.009
nongki,0.018
nontonin,0.009
normal,0.027
nya,0.046
nyala,0.009
nyaleg,0.009
nyata,0.064
nyeri,0.009
nyis,0.009
obrol,0.009
oiyaya,0.009
oke,0.046
oleh,0.046
omong,0.082
orang,0.119
organ,0.009
otomatis,0.046
otot,0.009
padahal,0.018
padang,0.009
paham,0.027
pajang,0.009
pakai,0.037
paling,0.018
pamer,0.009
pamit,0.009
panas,0.018
pandang,0.009
parah,0.018
parsel,0.009
pasang,0.037
patah,0.009
payah,0.009
pecah,0.009
pena,0.027
penciptan,0.009
pengirim,0.009
penting,0.018
peras,0.009
percaya,0.009
pergi,0.009
periksa,0.046
perkara,0.018
perlu,0.009
pernah,0.018
petualanganya,0.009
pft,0.009
pihak,0.009
pikir,0.018
pilih,0.009
pipi,0.009
pocong,0.018
pokok,0.009
pori,0.037
positif,0.009
potongin,0.009
potonya,0.009
potret,0.009
premium,0.009
pria,0.018
profesor,0.009
puasa,0.018
pulang,0.009
punya,0.046
pusing,0.027
putar,0.174
qon,0.009
quotenya,0.009
rada,0.009
ramai,0.009
ranga,0.009
rapsody,0.009
rasa,0.073
ratingnya,0.009
rencana,0.009
replyanya,0.046
resep,0.009
retweet,0.018
rindu,0.018
rolls,0.009
rumah,0.018
rumit,0.009
rusak,0.009
saat,0.037
sabar,0.009
sabtu,0.009
sadar,0.009
sadgurl,0.009
saja,0.101
salur,0.009
sama,0.11
sampai,0.018
sangat,0.018
santay,0.009
saring,0.009
satu,0.055
saudara,0.073
saya,0.411
sayang,0.009
se,0.009
sebuah,0.027
sedang,0.009
sedih,0.009
sehat,0.009
sejagad,0.009
sekali,0.174
sekarang,0.027
selalu,0.018
selamat,0.018
semangat,0.018
sembarang,0.009
sembunyi,0.009
sempat,0.009
semua,0.037
senang,0.018
sendiri,0.037
sendok,0.009
seperti,0.082
sepi,0.009
seri,0.009
seriesnya,0.009
serius,0.027
seru,0.037
sesuai,0.018
sesunguhnya,0.009
sh,0.018
shall,0.009
si,0.046
siang,0.009
siap,0.009
siapa,0.018
siar,0.009
sih,0.018
sinetron,0.009
sini,0.009
sisa,0.009
situ,0.018
soal,0.009
solusi,0.009
spaghetti,0.009
spanduk,0.009
stgh,0.009
suami,0.009
such,0.009
sudah,0.128
suka,0.027
sumbang,0.009
sungguh,0.027
sunwo,0.009
surabayan,0.009
surga,0.009
suruh,0.027
susah,0.009
syekali,0.009
syukur,0.018
tacun,0.009
tadi,0.027
tahan,0.027
tahu,0.055
tahun,0.018
taman,0.009
tambah,0.009
tangan,0.018
tangis,0.009
tantang,0.009
tante,0.009
tanya,0.018
tapi,0.064
tari,0.009
tarik,0.009
tawa,0.219
telanjang,0.009
telepon,0.037
telur,0.009
teman,0.046
template,0.009
temu,0.018
tenang,0.009
teriak,0.009
terimakasih,0.046
terus,0.009
tetap,0.018
tiap,0.027
tidak,0.384
tidur,0.018
tiket,0.009
tilas,0.009
timun,0.018
tine,0.009
ting,0.018
tinggal,0.027
tinggi,0.037
tingkat,0.009
tinju,0.009
tips,0.009
tolong,0.018
tom,0.009
tonton,0.11
tsundere,0.009
tua,0.018
tuhan,0.009
tuk,0.009
tulis,0.009
tulisan,0.009
tulus,0.009
tunggu,0.009
turun,0.009
turut,0.018
tutup,0.009
uang,0.018
ubah,0.009
ulang,0.009
ultang,0.009
unicorn,0.018
untuk,0.046
utama,0.046
vagabond,0.009
visual,0.009
wah,0.009
wajar,0.009
waktu,0.009
wanita,0.027
warga,0.009
whatsap,0.009
wikipedia,0.009
ya,0.009
yak,0.037
yale,0.009
yang,0.219
yasalam,0.009
yeay,0.009
youtube,0.018
yuri,0.009
