term,weight
abad,0.009
abadi,0.009
abu,0.019
ada,0.038
adalah,0.047
adios,0.009
admin,0.019
aduh,0.009
agama,0.019
agar,0.057
ah,0.009
ahahahahahahah,0.009
air,0.009
ajak,0.009
ajar,0.009
ajirni,0.009
aju,0.009
akan,0.009
akherat,0.009
akhir,0.019
aksi,0.009
al,0.009
alahuma,0.009
allow,0.009
ambil,0.009
ambyar,0.009
amin,0.076
amnesia,0.009
ampun,0.009
an,0.047
anak,0.028
anda,0.19
anggota,0.009
anti,0.009
antipeluru,0.009
antre,0.009
apa,0.123
arah,0.009
asa,0.009
asal,0.009
asin,0.009
asli,0.009
atap,0.009
ayam,0.019
ayo,0.009
bablas,0.009
baca,0.009
bagaimana,0.019
bagi,0.009
bahan,0.009
bahasa,0.009
bahkan,0.019
baik,0.047
baja,0.019
bajing,0.009
baju,0.009
bak,0.038
baku,0.009
bal,0.009
balas,0.009
balepan,0.009
balik,0.057
bang,0.009
bangun,0.009
banyak,0.038
bapak,0.028
bareng,0.009
baru,0.009
batas,0.009
bau,0.009
bawah,0.009
bayang,0.009
beberapa,0.009
bedug,0.009
begini,0.009
begitu,0.028
beli,0.047
benahin,0.009
benar,0.066
benarkan,0.019
benci,0.009
benda,0.019
bengong,0.009
bentuk,0.019
beri,0.028
berita,0.009
besar,0.009
bias,0.009
biasa,0.009
bijak,0.009
bilang,0.038
bingung,0.019
bis,0.019
bisa,0.019
bisan,0.009
bisargh,0.009
bismillah,0.009
blekping,0.009
bneran,0.009
bobok,0.009
bohong,0.009
bolak,0.009
bonang,0.009
bosan,0.019
brisik,0.009
bronzer,0.009
buah,0.009
buat,0.152
bukan,0.028
buku,0.009
bulan,0.019
bumerang,0.009
bumilnya,0.009
bunga,0.009
bunuh,0.019
buru,0.009
buset,0.019
busway,0.009
cakep,0.009
calon,0.009
candu,0.009
canteng,0.009
cantik,0.009
cara,0.028
cari,0.009
ceku,0.009
cemil,0.019
cepat,0.009
cerewet,0.009
cerita,0.009
cetus,0.009
chit,0.009
cik,0.019
ciko,0.009
cinta,0.028
cipta,0.009
circumstances,0.009
ckck,0.009
cloy,0.009
coba,0.028
couplenya,0.019
cuci,0.009
cukup,0.009
cuma,0.019
dalam,0.009
dan,0.009
dapat,0.038
dari,0.066
dasar,0.009
daya,0.009
debut,0.009
delulu,0.009
dendy,0.009
dengan,0.028
dengar,0.028
depan,0.019
desa,0.009
desember,0.009
detik,0.009
di,0.028
diam,0.009
diangap,0.019
dihadepin,0.009
dingomong,0.009
diri,0.076
disuruh,0.009
doang,0.009
does,0.009
dokumenter,0.009
dong,0.038
drama,0.009
duka,0.009
dulu,0.028
dunia,0.038
dup,0.009
dusta,0.009
ebusyet,0.009
edit,0.009
ega,0.028
ego,0.009
eh,0.019
ehe,0.009
eid,0.019
eike,0.019
enak,0.019
enyah,0.009
es,0.009
esok,0.009
euforia,0.009
euy,0.009
felnya,0.009
film,0.009
fknya,0.009
flatshoes,0.009
foto,0.009
gabung,0.009
gantung,0.009
gara,0.009
gartic,0.009
gave,0.009
gela,0.009
gelap,0.019
geli,0.019
gem,0.009
gengs,0.009
gerah,0.009
gin,0.019
gogh,0.009
grup,0.028
grusu,0.009
gudjub,0.009
guidenya,0.009
gulir,0.009
guru,0.019
gusti,0.009
habis,0.009
haft,0.009
haha,0.009
hai,0.019
halte,0.009
hamil,0.009
hampura,0.009
hanya,0.047
harap,0.009
harga,0.009
hari,0.028
haru,0.009
harus,0.009
hati,0.019
hidup,0.047
himalaya,0.009
ho,0.009
hody,0.009
hormat,0.009
hubung,0.009
hujan,0.009
huwe,0.009
ibok,0.009
ibu,0.085
ica,0.009
idola,0.009
ied,0.009
ih,0.019
ikan,0.009
ikuti,0.009
ilham,0.009
in,0.038
indonesia,0.019
indonesians,0.009
indosiar,0.009
ingat,0.057
ingin,0.028
ini,0.123
instagram,0.009
isi,0.009
istigfar,0.009
istri,0.009
itu,0.161
iya,0.066
iyah,0.019
jabodetabek,0.009
jadi,0.209
jalan,0.019
jam,0.028
jamanya,0.009
jari,0.009
jauh,0.009
jebak,0.019
jelajah,0.009
jenuh,0.009
jeruk,0.009
jika,0.019
jim,0.009
jomblo,0.009
jual,0.009
judul,0.009
juga,0.057
julur,0.009
juta,0.009
jutek,0.009
kabar,0.019
kaca,0.019
kadang,0.028
kafirun,0.009
kake,0.009
kaki,0.009
kaku,0.009
kalau,0.076
kali,0.028
kampanye,0.009
kamus,0.009
kan,0.009
kanan,0.009
kapan,0.019
karakter,0.009
karena,0.028
kasih,0.009
kata,0.028
kayak,0.009
kebalikanya,0.009
kebita,0.009
kejar,0.019
keju,0.009
kejut,0.009
kelam,0.009
kelas,0.019
kelingking,0.009
keluar,0.009
kemudian,0.028
ken,0.009
kena,0.009
kenal,0.009
kenapa,0.066
kenek,0.009
keran,0.009
keren,0.009
kereta,0.009
keriweuhanya,0.009
kerja,0.028
kesal,0.028
ketawa,0.009
ketemu,0.009
ketidakberuntungan,0.009
ketika,0.028
kevol,0.009
khairum,0.009
khilaf,0.009
kiblat,0.009
kicep,0.009
kiddos,0.009
killer,0.009
kim,0.009
kimia,0.028
kir,0.009
kiri,0.009
kita,0.009
klas,0.009
kobra,0.009
kokok,0.009
koma,0.009
komentar,0.019
kompetisi,0.009
konsep,0.009
konten,0.009
kosong,0.009
kostan,0.009
kota,0.009
kpop,0.009
kuah,0.009
kuat,0.028
kurang,0.009
lagi,0.057
lagu,0.019
lain,0.009
laki,0.019
lalu,0.028
lama,0.009
lancar,0.009
langit,0.009
langsung,0.009
lanjut,0.009
lantai,0.019
larut,0.009
layar,0.009
lebaran,0.009
lebih,0.019
lehi,0.009
lengkoas,0.009
letak,0.009
letting,0.009
lewat,0.009
liatin,0.009
lidah,0.009
lihat,0.076
lindung,0.009
lingkar,0.009
lipo,0.009
ll,0.009
loh,0.019
lomba,0.009
lope,0.009
lubang,0.009
lumayan,0.009
lumrah,0.009
lupa,0.038
lupeh,0.009
macam,0.019
maenya,0.009
makenya,0.009
makin,0.009
maklum,0.009
makna,0.009
malah,0.038
malam,0.019
malas,0.019
mall,0.009
malu,0.009
mana,0.038
manusia,0.038
marah,0.009
masa,0.028
masjid,0.009
masuk,0.009
mata,0.019
matematika,0.009
mau,0.057
may,0.009
mayat,0.009
mcd,0.009
mcflury,0.009
medis,0.009
medok,0.009
mekar,0.009
melodi,0.009
memang,0.047
memangilnya,0.009
memberi,0.009
mendengarkan,0.019
mengapa,0.009
meningalpun,0.009
menit,0.009
mental,0.009
mereka,0.009
merinding,0.009
milik,0.009
mimpi,0.047
minggu,0.009
minum,0.009
miscal,0.009
mobil,0.028
mohon,0.009
muak,0.009
mubarak,0.028
mudah,0.009
mukul,0.009
muncul,0.009
mungkin,0.028
murni,0.009
musik,0.009
musim,0.009
muslim,0.009
nafas,0.009
nah,0.009
naik,0.009
nama,0.009
name,0.009
nar,0.009
nasi,0.009
naum,0.009
ndasmu,0.009
negara,0.009
netijen,0.009
ngantri,0.009
ngawur,0.009
ngegas,0.009
ngelakuin,0.019
ngeliatin,0.009
ngepost,0.009
ngetwet,0.009
ngiang,0.009
ngobatin,0.009
ngobrolnya,0.009
ngomongnya,0.009
ngumpul,0.009
nguras,0.009
niat,0.009
nice,0.009
nikmat,0.038
nikmatin,0.009
nkcthi,0.009
nop,0.009
nora,0.009
normal,0.009
nurul,0.019
nutup,0.019
nya,0.076
nyamuks,0.009
nyandar,0.009
nyata,0.028
obrol,0.009
oke,0.019
omija,0.009
omong,0.009
once,0.009
ondel,0.009
ontel,0.009
opor,0.009
orang,0.076
otomatis,0.009
over,0.009
overproud,0.009
ow,0.009
pada,0.009
padahal,0.019
padang,0.009
pagi,0.009
pahala,0.009
paham,0.009
pakai,0.019
pala,0.009
palin,0.009
panjang,0.009
pantas,0.009
panyirapan,0.009
parno,0.009
parodi,0.009
password,0.009
peh,0.076
pekat,0.009
pelakor,0.009
penuh,0.009
penyok,0.009
perahu,0.009
peras,0.009
percaya,0.009
pergi,0.028
perlu,0.019
pernah,0.009
persaudaran,0.009
pertama,0.009
pesan,0.019
peta,0.009
pikir,0.066
pimpin,0.019
pindah,0.009
pintu,0.028
planologi,0.009
pokok,0.009
polisi,0.019
positif,0.009
pranknya,0.009
priyanka,0.009
proses,0.009
puasa,0.009
pulang,0.009
punya,0.028
purnama,0.009
pusing,0.009
putar,0.019
putih,0.009
racun,0.009
raja,0.019
raka,0.009
rakyat,0.019
ramadhan,0.009
ramping,0.009
rando,0.009
rasa,0.047
rasisme,0.009
rata,0.009
ratap,0.009
raya,0.009
rebu,0.009
rec,0.009
rel,0.009
rem,0.019
rencana,0.009
repisian,0.009
retweet,0.009
rindu,0.019
riri,0.009
ris,0.009
rude,0.009
rumah,0.028
rumit,0.009
saat,0.009
sabar,0.009
sadar,0.019
sahur,0.028
saja,0.123
saki,0.009
saking,0.009
sakit,0.038
salah,0.076
salto,0.009
sama,0.142
samar,0.009
sambil,0.009
sampai,0.066
sana,0.019
sapa,0.009
sapose,0.009
satu,0.047
saudara,0.095
saus,0.009
saya,0.247
sdg,0.009
se,0.009
sebagai,0.019
seblak,0.019
sebuah,0.038
second,0.009
sedih,0.019
segala,0.019
sehat,0.019
sejahtera,0.009
sekali,0.066
sekarang,0.019
sekomplek,0.009
sel,0.019
selalu,0.028
selamanya,0.009
selamat,0.028
seluruh,0.009
semangat,0.009
semangt,0.009
sembuh,0.009
sembunyi,0.009
semeriwingmu,0.009
seminggu,0.009
semoga,0.028
semua,0.047
senang,0.019
sendiri,0.047
sengaja,0.009
seperti,0.133
seragam,0.009
serah,0.009
sesal,0.019
sesi,0.009
sesuatu,0.009
setan,0.009
seyeung,0.009
shalatu,0.009
sharingnya,0.009
siang,0.009
siapa,0.019
sibuk,0.019
sih,0.028
sihir,0.009
siklus,0.019
sini,0.009
sisi,0.009
situ,0.009
soal,0.009
sok,0.009
sombong,0.009
songenge,0.009
sore,0.009
sory,0.009
stan,0.009
stgah,0.009
suara,0.009
suasana,0.019
suatu,0.009
sudah,0.095
sugih,0.019
suka,0.038
sunday,0.009
sungguh,0.009
surat,0.009
suruh,0.009
syahdu,0.019
syok,0.038
syukur,0.047
tadi,0.019
tahan,0.009
tahu,0.066
tajam,0.009
takjub,0.009
takut,0.009
tali,0.009
tambah,0.009
tampung,0.009
tamvan,0.009
tangerang,0.009
tanya,0.019
tapi,0.085
tauk,0.009
tawa,0.266
teh,0.009
telat,0.009
telepon,0.009
telolet,0.009
tema,0.009
tempat,0.009
temu,0.009
tenang,0.028
tentang,0.009
tepung,0.009
terang,0.009
terbaik,0.019
terbang,0.009
tergrasa,0.009
terhinga,0.028
teriakin,0.009
terima,0.009
terimakasih,0.038
terus,0.047
tetangga,0.009
tetap,0.038
tg,0.009
tgr,0.009
thailand,0.009
thx,0.009
tiap,0.019
tiba,0.047
tidak,0.465
tidur,0.028
tiga,0.009
tingalkan,0.009
tinggal,0.009
tingkat,0.009
titik,0.009
tolak,0.009
toleransi,0.009
tolong,0.019
tonton,0.009
tps,0.009
trakhir,0.009
tren,0.028
tried,0.019
truk,0.009
tugaz,0.009
tuhan,0.057
tul,0.019
tulis,0.009
tumben,0.009
tunggu,0.038
turun,0.009
turunin,0.009
tutup,0.009
twitter,0.009
typonya,0.009
ucap,0.028
udang,0.009
udik,0.009
ue,0.009
uji,0.009
ulang,0.009
umur,0.019
untirta,0.009
untuk,0.085
untukulah,0.009
usaha,0.019
ustadzah,0.009
ustadznya,0.009
utama,0.009
uyun,0.009
van,0.009
viralin,0.009
wajah,0.009
wakil,0.009
waktu,0.066
wala,0.009
wanita,0.038
warga,0.038
wel,0.009
whatsapp,0.009
wifinya,0.009
wisata,0.009
wo,0.038
ya,0.009
yah,0.047
yak,0.038
yang,0.313
yep,0.009
yoih,0.009
youtube,0.009
yun,0.009
zam,0.019
