term,weight
abb,0.013
absolutely,0.007
acara,0.007
ada,0.007
admin,0.007
adon,0.007
aduh,0.02
aelah,0.007
agar,0.013
agus,0.007
agustus,0.007
ah,0.013
ahok,0.013
air,0.007
ajak,0.007
ajar,0.007
ajh,0.099
akhir,0.013
alasan,0.007
alquran,0.013
amar,0.007
ambil,0.007
amin,0.013
ampun,0.013
an,0.033
anak,0.033
anda,0.118
aneh,0.007
angara,0.007
angaran,0.007
angun,0.007
anies,0.039
ank,0.007
antam,0.007
anteng,0.007
anting,0.007
aokaoakoak,0.007
aokaokaokaok,0.007
apa,0.085
aparat,0.013
arti,0.007
asiknya,0.007
asli,0.007
astaga,0.007
astaganaga,0.007
atmojo,0.007
atur,0.007
awas,0.007
ayah,0.007
ayang,0.026
ayat,0.007
ayo,0.02
baca,0.039
badan,0.007
bagai,0.007
bagi,0.007
bahan,0.007
bahas,0.007
bahkan,0.007
baik,0.033
baju,0.007
balik,0.02
balil,0.007
bambu,0.02
banci,0.007
banding,0.007
bang,0.013
bangun,0.013
banjir,0.007
bank,0.007
bantaran,0.007
bantu,0.007
banyak,0.046
bapak,0.072
barakalah,0.007
baru,0.033
batal,0.013
batu,0.007
bawah,0.007
bayangin,0.007
bayar,0.007
bayi,0.02
bea,0.007
bearti,0.007
bebas,0.007
beda,0.007
begitu,0.079
belah,0.013
beli,0.013
beliau,0.007
belum,0.026
benar,0.033
bengkalai,0.007
bentuk,0.007
berapa,0.007
berat,0.007
bergo,0.007
berisik,0.007
berita,0.007
besar,0.02
betewe,0.013
betrand,0.007
betul,0.013
bicara,0.007
bilang,0.007
bini,0.013
biru,0.007
bisa,0.059
boba,0.007
bobanya,0.007
bobby,0.007
bocor,0.007
bodoh,0.013
bogor,0.007
bolak,0.007
bri,0.007
bruntusan,0.007
buah,0.007
buang,0.007
buat,0.099
buka,0.007
bukan,0.039
bukti,0.007
bulan,0.013
bulet,0.007
bunyi,0.007
buruk,0.007
buton,0.02
butuh,0.007
bysanya,0.013
calon,0.007
camen,0.007
cantik,0.013
capai,0.007
cara,0.007
cat,0.007
catat,0.007
cc,0.013
cemil,0.007
cepat,0.007
cerewet,0.007
cerita,0.013
ci,0.053
cian,0.007
ciji,0.026
cileungsi,0.013
cimahi,0.007
cina,0.033
cincin,0.007
cinta,0.02
cipou,0.007
ck,0.013
ckckckck,0.007
coba,0.007
contentny,0.007
corona,0.013
cucuny,0.007
cuma,0.02
cuman,0.013
dada,0.013
dagelanya,0.007
dalam,0.007
dapat,0.007
darah,0.007
dari,0.072
dasar,0.007
datang,0.007
datar,0.007
daun,0.007
dbales,0.007
dedek,0.007
deh,0.007
dekat,0.013
dendam,0.007
dengan,0.007
dengkur,0.007
depan,0.013
depresi,0.007
desa,0.02
desak,0.007
dgtuin,0.007
dhe,0.013
dia,0.099
diam,0.007
dian,0.007
dien,0.007
dikeluarin,0.007
dikit,0.007
diri,0.02
dirumahaja,0.007
dkabarin,0.007
dkasih,0.007
dki,0.007
dliatin,0.007
dluar,0.007
doa,0.013
doank,0.013
dodol,0.007
dokter,0.026
domba,0.007
dong,0.02
dosa,0.007
dpaksa,0.007
dperpanjang,0.007
drmh,0.02
drmhnya,0.007
dsamping,0.007
dsana,0.007
dsini,0.007
dsitu,0.02
dulu,0.079
dululah,0.007
eci,0.013
efek,0.013
eh,0.013
eim,0.007
ekspor,0.007
el,0.007
emaknya,0.007
emas,0.007
en,0.007
enak,0.007
enas,0.007
es,0.007
esde,0.007
everydays,0.007
facial,0.007
faedah,0.007
faisal,0.007
fdration,0.007
foto,0.007
fpi,0.007
fridaynight,0.007
fu,0.007
fucknya,0.007
fufufu,0.007
gabernernya,0.007
gabung,0.007
gadget,0.007
gadis,0.007
gagal,0.007
gambar,0.007
ganti,0.007
gara,0.007
gemuk,0.007
geplak,0.007
gia,0.007
gin,0.02
ginih,0.007
gmnh,0.007
gmw,0.02
gogodino,0.013
gratis,0.007
gtw,0.013
gubernur,0.007
guede,0.007
gueh,0.007
gulir,0.007
guru,0.013
habis,0.02
hadist,0.007
hai,0.007
hak,0.007
halah,0.007
halaman,0.007
hamil,0.013
hantu,0.007
hanya,0.013
harga,0.013
hari,0.033
