term,weight
abstrak,0.007
ada,0.047
admin,0.013
aduch,0.007
aduw,0.007
agar,0.033
ajak,0.013
ajani,0.007
ajar,0.033
akal,0.013
akan,0.007
akhir,0.027
akuarium,0.007
alayan,0.007
alfa,0.007
amin,0.027
ampun,0.02
an,0.013
anak,0.047
anda,0.094
angin,0.007
angkat,0.007
antam,0.007
ap,0.007
apa,0.08
apalapal,0.007
apalu,0.007
apapa,0.007
api,0.007
aplod,0.007
ashar,0.007
asli,0.027
aslidah,0.007
atas,0.02
awal,0.007
awet,0.007
ayam,0.02
ayo,0.04
baca,0.047
backsound,0.007
badan,0.007
bagaimana,0.033
bagas,0.013
bagus,0.013
bahaya,0.007
bahkan,0.007
baik,0.013
baju,0.007
bala,0.007
balik,0.013
banci,0.007
bandung,0.007
bang,0.007
bangun,0.013
banjir,0.033
bantu,0.007
banyak,0.013
bapak,0.047
bareng,0.02
baru,0.06
bawah,0.007
bawang,0.007
bayang,0.007
bayar,0.007
bayik,0.007
bcnd,0.007
beda,0.027
begini,0.007
beginiheu,0.007
begitu,0.067
bekas,0.013
belanja,0.013
beli,0.007
belum,0.027
benang,0.007
benar,0.033
bentar,0.007
bentukanye,0.007
berat,0.007
bersih,0.02
besar,0.007
besok,0.007
betah,0.007
bgtko,0.007
biasa,0.007
bibier,0.007
bieber,0.007
bik,0.007
bim,0.053
bioskop,0.007
bisa,0.053
bisnis,0.007
bobok,0.007
bodoh,0.013
bok,0.013
bola,0.007
bolak,0.007
boleh,0.013
bolehtu,0.007
bom,0.013
bongkar,0.007
bonus,0.007
boong,0.007
bor,0.007
bosan,0.013
brewok,0.007
bromo,0.007
btul,0.02
buah,0.007
buat,0.1
budak,0.007
budhe,0.007
buka,0.007
bukan,0.02
buku,0.007
bulan,0.027
bupati,0.013
buru,0.007
butuh,0.013
ca,0.013
cabang,0.007
caca,0.013
cahaya,0.007
cakep,0.007
cantik,0.007
cari,0.007
catat,0.007
cc,0.007
celaka,0.007
cem,0.007
cemil,0.02
cemilan,0.007
cepat,0.033
cerita,0.007
ch,0.007
chandra,0.007
chatmu,0.007
cibitung,0.013
cililitan,0.013
cinta,0.013
cirebon,0.007
ckck,0.007
coba,0.02
cocok,0.007
colabnya,0.007
coret,0.013
corona,0.013
cukup,0.007
cuma,0.02
cupang,0.013
cus,0.007
cuy,0.007
cv,0.007
daftar,0.007
dalam,0.02
dapat,0.007
darah,0.013
dari,0.013
daripada,0.007
datang,0.013
deh,0.013
dekat,0.007
dengan,0.007
dengkul,0.007
depan,0.02
deras,0.007
des,0.007
desa,0.013
detik,0.007
di,0.033
dia,0.013
dijadin,0.007
dikenalin,0.007
dikumpulin,0.007
dilakuin,0.007
dilema,0.007
dilep,0.007
diliatin,0.007
dingin,0.007
dipangil,0.007
diri,0.013
disave,0.007
disemutin,0.02
disisain,0.007
ditambahin,0.007
diupload,0.007
doa,0.027
doang,0.027
donat,0.007
dong,0.053
duduk,0.013
dulu,0.067
efek,0.007
eh,0.02
elah,0.007
emosi,0.007
enak,0.013
episode,0.013
evita,0.007
fanbase,0.007
fansnya,0.007
far,0.007
fenbes,0.007
foto,0.033
gabot,0.007
gadis,0.007
gaenak,0.007
gainget,0.007
galeri,0.007
gamao,0.007
gandeng,0.007
ganjil,0.007
ganti,0.013
gapake,0.007
gapal,0.007
gaperna,0.013
garagara,0.007
gas,0.02
gates,0.013
gausa,0.007
genteng,0.007
gentian,0.007
gerah,0.007
gerak,0.007
gila,0.013
gin,0.007
gm,0.007
goa,0.047
gofod,0.007
gokana,0.007
goler,0.013
grup,0.013
gtw,0.007
habis,0.04
hafal,0.007
haha,0.013
hai,0.027
haid,0.007
handuk,0.013
hanya,0.007
harga,0.007
harganye,0.007
hari,0.06
harus,0.013
harvestmon,0.007
hasil,0.007
hati,0.007
hemat,0.007
heran,0.007
hilang,0.007
hiya,0.007
hobi,0.007
hoho,0.013
hoo,0.013
hujan,0.013
hujat,0.007
humoris,0.033
ibu,0.06
idola,0.007
ih,0.007
ijazah,0.007
ikan,0.013
ikut,0.013
in,0.007
inar,0.007
ingat,0.007
ingetnya,0.007
ingin,0.007
ini,0.06
inimah,0.007
inspirasi,0.013
iq,0.007
isi,0.007
item,0.007
itu,0.047
itungan,0.007
iya,0.1
jadi,0.067
jakarta,0.027
jaksel,0.007
jaktim,0.007
jalan,0.02
jalananya,0.007
jam,0.013
jaman,0.007
jamber,0.007
jamet,0.007
jangkrik,0.007
jarang,0.007
jastin,0.007
jatuh,0.007
jauh,0.02
jawa,0.007
jb,0.007
jco,0.007
jejer,0.013
jemur,0.007
jengukin,0.007
jijik,0.007
jodoh,0.007
jogging,0.013
jomblo,0.013
jompo,0.007
jual,0.02
judul,0.007
juga,0.067
jujur,0.007
jumlah,0.013
justin,0.007
kabar,0.007
kabul,0.007
kabur,0.013
kacau,0.007
kadang,0.04
kalau,0.154
kali,0.033
kalian,0.007
kalimas,0.007
kamera,0.007
kamis,0.007
kamo,0.007
kan,0.033
kandung,0.007
kanguru,0.007
kantor,0.02
kapa,0.007
kapan,0.033
karena,0.033
karma,0.007
kasi,0.007
kasih,0.007
kasitaw,0.007
kasur,0.007
kata,0.007
kayak,0.02
ke,0.007
kecetit,0.007
kecil,0.013
kejut,0.007
kelas,0.007
kelelawar,0.007
keluar,0.013
keluarga,0.013
kemarin,0.027
kembang,0.007
kembar,0.007
ken,0.027
kena,0.007
kenang,0.007
kenapa,0.053
kendaran,0.007
kenya,0.007
kenyang,0.007
kepala,0.007
kepsyenmu,0.007
keranjang,0.007
keras,0.007
kereta,0.007
keringetan,0.007
kerja,0.013
kerudung,0.02
kesal,0.007
kesan,0.007
kesana,0.007
ketemu,0.033
ki,0.02
kilas,0.007
kim,0.007
kimia,0.007
kira,0.027
kiri,0.007
kirim,0.007
kita,0.033
kmn,0.007
knpya,0.007
kocakda,0.007
kode,0.007
kolam,0.007
komuknya,0.007
kopi,0.02
kosong,0.007
kota,0.007
krispi,0.007
kt,0.007
kuchat,0.007
kuda,0.007
kue,0.02
kuliah,0.007
kulo,0.007
kuping,0.007
kutuk,0.007
kyknya,0.013
lagi,0.04
lagu,0.007
lah,0.007
lain,0.013
laki,0.04
lalu,0.013
lama,0.007
lamar,0.013
lambat,0.007
lambung,0.007
lampir,0.007
langsung,0.047
lanjut,0.007
lapang,0.007
lapo,0.007
laptop,0.007
larang,0.007
layang,0.013
lebaran,0.02
lebih,0.053
lelah,0.013
lepas,0.007
libur,0.007
licin,0.007
lihat,0.033
lingkar,0.007
lolos,0.007
luar,0.007
lucuk,0.007
lulus,0.007
lupa,0.02
lupak,0.007
maghrib,0.007
main,0.007
makanya,0.013
maklum,0.007
maksud,0.013
malam,0.013
malang,0.007
malas,0.007
malin,0.007
mall,0.007
malu,0.013
mana,0.047
mandi,0.02
mantu,0.007
manusia,0.007
manyar,0.007
masa,0.027
masih,0.007
masjid,0.02
masuk,0.04
mata,0.013
mati,0.02
mau,0.154
mbah,0.007
mcd,0.013
mekah,0.02
memang,0.047
mempan,0.007
menikah,0.02
merah,0.007
mereka,0.007
mimpi,0.087
minat,0.007
minimal,0.007
minta,0.02
minum,0.007
mirip,0.02
misah,0.013
mniez,0.007
mual,0.013
mudik,0.007
muhamad,0.007
mukanye,0.007
mulai,0.013
mungkin,0.007
muntah,0.013
murid,0.007
musim,0.007
mz,0.007
nabawi,0.007
nadhia,0.007
nah,0.013
naik,0.013
nama,0.033
nar,0.033
nawa,0.007
ndi,0.007
neh,0.007
nelongso,0.013
nensi,0.007
netizen,0.007
ngabisinya,0.007
ngapalin,0.007
ngebantu,0.007
ngedoain,0.007
ngehide,0.007
ngemil,0.007
ngemol,0.007
ngereview,0.007
ngerusakin,0.007
ngetag,0.007
ngetik,0.007
ngitung,0.007
nguawur,0.007
ngunci,0.007
ngunduh,0.007
ninis,0.007
nis,0.007
nov,0.007
ntah,0.007
nyaman,0.007
nyamper,0.007
nyanyi,0.007
nyasar,0.007
nyata,0.053
nyenya,0.007
nyetir,0.007
nyutnyutan,0.007
obrol,0.02
oiya,0.013
oke,0.007
olahraga,0.007
omaigat,0.007
omong,0.04
ondel,0.013
online,0.007
orang,0.04
otot,0.007
oya,0.007
pabrik,0.013
pacar,0.007
padahal,0.033
pagi,0.007
pahlawan,0.007
pakai,0.02
pakde,0.033
pamit,0.007
panadol,0.007
pandang,0.007
panggil,0.007
pangkal,0.007
panik,0.007
panjang,0.007
pantas,0.013
parsel,0.007
pasar,0.007
pasti,0.007
pedesan,0.007
pekerjaan,0.007
pelet,0.007
peluk,0.007
penasaran,0.007
penuh,0.007
perahu,0.007
perbarui,0.013
pergi,0.007
perna,0.007
pernah,0.02
pertama,0.007
pesan,0.013
peta,0.007
pikir,0.027
pindang,0.007
pinggang,0.007
pintar,0.007
pintu,0.007
pis,0.007
po,0.013
pol,0.007
pondok,0.007
pria,0.013
promosi,0.013
puding,0.007
pulang,0.067
pundak,0.007
punya,0.047
pusing,0.027
putih,0.007
radit,0.007
ramadhan,0.007
rasa,0.027
rawan,0.007
rel,0.007
rem,0.007
rendah,0.013
repot,0.013
rezeki,0.007
rian,0.007
rias,0.007
rief,0.007
rik,0.007
rindu,0.074
ruang,0.007
rul,0.007
rumah,0.08
saat,0.007
saham,0.013
saja,0.094
sakit,0.013
sala,0.013
salah,0.007
sama,0.147
sampah,0.007
sampai,0.14
samper,0.007
samsung,0.007
sana,0.02
sapa,0.007
sas,0.013
saudara,0.107
saya,0.448
sayang,0.033
sblmnya,0.007
seafood,0.007
seatnya,0.007
sebentar,0.027
sebuah,0.013
sebut,0.007
sedibgt,0.007
sedih,0.007
segar,0.007
sehat,0.007
sekali,0.08
sekarang,0.053
selalu,0.007
selamat,0.013
selesai,0.02
selese,0.007
semangat,0.007
sembuh,0.013
semoga,0.053
sempat,0.007
semua,0.033
sen,0.007
senang,0.033
sendiri,0.013
senyam,0.007
senyum,0.013
