term,weight
abs,0.008
acak,0.008
ada,0.016
adat,0.008
aduh,0.008
aelah,0.008
afgan,0.008
agar,0.056
ajar,0.016
akan,0.016
akhir,0.016
akibat,0.008
alami,0.008
alarm,0.008
aman,0.088
ambil,0.008
amin,0.024
ampuh,0.008
an,0.008
anak,0.072
anda,0.096
aneh,0.008
angin,0.008
angkat,0.024
apa,0.072
aplikasi,0.008
apps,0.008
arabika,0.008
arhglsndkdkdbaldbywuxkskwcenflg,0.008
asgar,0.008
asik,0.008
asli,0.016
atas,0.016
atm,0.008
awal,0.008
awat,0.024
ayam,0.008
ayo,0.04
baca,0.016
bagaimana,0.032
bagi,0.032
bagus,0.024
bahagia,0.016
baik,0.008
bajing,0.008
baku,0.008
balik,0.016
bamboo,0.008
ban,0.008
bandung,0.008
bang,0.016
bank,0.008
bantu,0.032
banyak,0.04
bapak,0.144
baru,0.04
bayang,0.008
bayangin,0.008
bca,0.008
begadang,0.008
begini,0.024
begitu,0.056
belah,0.032
belakang,0.008
beli,0.016
beliau,0.008
belum,0.024
ben,0.016
benar,0.048
beng,0.016
bentar,0.016
ber,0.008
beranda,0.008
berapa,0.008
berat,0.008
berfikir,0.008
berita,0.04
berkat,0.016
besar,0.024
besok,0.016
betah,0.008
betapa,0.008
beterai,0.008
bi,0.008
biang,0.008
bicara,0.008
bilang,0.032
bim,0.008
biru,0.008
bisa,0.04
bising,0.008
bitt,0.008
blok,0.008
bodoh,0.008
bok,0.008
boleh,0.024
bolong,0.008
bos,0.008
botol,0.008
brand,0.008
bri,0.008
buat,0.096
bude,0.008
buka,0.024
bukan,0.056
bulan,0.024
bulat,0.008
bumi,0.016
bunuh,0.008
buruk,0.008
butuh,0.016
cadbury,0.008
cahaya,0.008
campur,0.008
canda,0.016
cantik,0.008
cara,0.008
cari,0.016
cemil,0.048
centil,0.008
ceria,0.008
ci,0.008
cik,0.048
cina,0.008
cita,0.016
coba,0.032
cocok,0.008
coklat,0.016
corak,0.008
corona,0.04
cpt,0.016
cuma,0.008
dapat,0.024
dari,0.064
datang,0.008
dazar,0.008
deep,0.008
deh,0.016
deng,0.008
dengan,0.008
depan,0.008
desa,0.008
dewasa,0.016
di,0.016
diabetes,0.008
diangap,0.008
diemin,0.008
diri,0.032
dis,0.008
diucapin,0.008
dk,0.016
doang,0.008
dong,0.032
dosen,0.008
drama,0.016
dtng,0.008
duan,0.008
duka,0.008
dukung,0.008
dulu,0.096
dunia,0.008
duwol,0.008
ego,0.008
eid,0.008
embun,0.016
emoticon,0.008
enak,0.008
energi,0.016
entar,0.008
era,0.008
es,0.008
everytime,0.008
fen,0.008
fer,0.008
fisioterapi,0.008
folbek,0.008
foto,0.008
gadis,0.008
gais,0.016
galak,0.008
gandeng,0.016
gaweane,0.008
gaya,0.008
gelisah,0.008
gemas,0.008
generasi,0.008
gerak,0.008
gih,0.008
gila,0.016
gin,0.032
gituan,0.008
gofod,0.008
goreng,0.008
gosip,0.008
gosong,0.008
gubernur,0.008
gugup,0.016
gustia,0.008
habis,0.048
haha,0.088
hai,0.024
halaman,0.008
halusinasi,0.016
hantam,0.008
hanya,0.008
harga,0.016
hari,0.024
harus,0.024
hati,0.024
hebat,0.04
heliped,0.008
hembus,0.008
henti,0.008
hibur,0.016
hidup,0.016
himbauan,0.008
