term,weight
ada,0.085
adpg,0.011
agar,0.032
ah,0.011
ahli,0.011
ajane,0.011
akhir,0.021
alih,0.021
ampun,0.032
an,0.011
anak,0.011
anda,0.074
aneh,0.032
apa,0.128
aplikasi,0.011
apotek,0.021
arek,0.011
asal,0.011
asik,0.011
asupan,0.011
atas,0.011
atm,0.011
awkakwkwak,0.011
awkawkakwk,0.011
awkm,0.011
ayo,0.032
baca,0.085
bagaimana,0.021
bagus,0.032
bahaya,0.011
baik,0.032
bakar,0.011
bakat,0.011
bakpia,0.011
bakso,0.011
balas,0.032
ban,0.011
bangkrut,0.011
bangun,0.011
bantu,0.011
banyak,0.053
baru,0.032
batas,0.011
bayar,0.011
bayi,0.011
beda,0.011
begini,0.021
begitu,0.021
bela,0.011
beli,0.064
belum,0.043
benar,0.032
benci,0.011
besar,0.021
besok,0.032
biasa,0.011
bibir,0.011
bimbing,0.011
bisa,0.021
bisan,0.011
biyen,0.011
bom,0.011
boong,0.011
bosan,0.043
boso,0.011
bpjs,0.011
buat,0.043
buka,0.011
bulan,0.011
bulu,0.021
bunuh,0.011
bupati,0.011
buset,0.011
butuh,0.011
bwahahaha,0.011
cadang,0.011
cari,0.011
cemil,0.053
cemilin,0.011
cendol,0.011
chatnya,0.011
coba,0.021
coban,0.011
coklat,0.011
cuci,0.011
cuma,0.011
dakm,0.011
dapat,0.011
darah,0.011
dari,0.011
darkor,0.011
dawet,0.011
debu,0.011
deh,0.021
dengar,0.021
depan,0.011
dia,0.032
diabetes,0.011
diam,0.011
dingin,0.032
diri,0.021
ditemenin,0.011
doang,0.011
dokter,0.011
dosa,0.011
drama,0.011
dua,0.011
duka,0.021
dukur,0.011
dunia,0.011
en,0.011
enak,0.064
endi,0.011
everidei,0.011
folio,0.011
fresh,0.011
fungsi,0.011
gabung,0.011
gaco,0.011
gadis,0.011
gajauh,0.011
gamampu,0.011
ganti,0.011
gapake,0.032
gaptek,0.011
gayakin,0.011
gel,0.011
gelap,0.011
gemas,0.021
gemesin,0.011
gentong,0.011
ghosts,0.011
gigi,0.021
gila,0.021
gin,0.021
gituan,0.011
gizi,0.011
golek,0.011
goler,0.032
golge,0.011
gopay,0.011
goreng,0.021
goyang,0.011
gratis,0.011
gulung,0.011
gunung,0.011
habis,0.064
hai,0.032
hala,0.011
hambar,0.011
hana,0.011
hantu,0.011
hanya,0.021
hapus,0.011
hari,0.074
haru,0.021
harus,0.011
hati,0.011
hayuk,0.011
hdiupku,0.011
hih,0.011
hihiw,0.011
hijau,0.021
hilang,0.011
hingga,0.011
hobi,0.021
horor,0.032
hrskah,0.011
hubung,0.011
huf,0.011
hwa,0.011
hwaw,0.011
hwe,0.011
ibu,0.074
id,0.011
ih,0.011
