term,weight
abu,0.02
acak,0.01
acara,0.01
ada,0.039
adab,0.01
adalah,0.069
adopter,0.01
aduh,0.029
agar,0.02
ah,0.01
ajak,0.01
ajar,0.029
akan,0.01
akbar,0.01
akhir,0.02
alam,0.01
alias,0.02
allah,0.01
alquran,0.01
aman,0.029
ambil,0.02
ampuh,0.01
ampun,0.01
anak,0.02
ancyur,0.01
anda,0.079
aneh,0.01
anime,0.01
anisah,0.01
anugerah,0.01
apa,0.069
apas,0.01
arti,0.01
asa,0.01
asing,0.01
asli,0.029
atas,0.02
ayat,0.01
ayo,0.079
baca,0.02
bacan,0.01
backsound,0.01
bagaimana,0.059
bagus,0.02
baik,0.108
bait,0.01
bajing,0.01
baju,0.01
bakmie,0.02
bakwan,0.01
bandel,0.01
bang,0.01
banyak,0.059
bapak,0.02
baru,0.02
bas,0.01
basi,0.01
batas,0.01
batu,0.01
bawa,0.029
bayik,0.01
beberapa,0.01
begini,0.01
begitu,0.01
beku,0.01
bel,0.02
beli,0.02
belum,0.01
benang,0.01
benar,0.029
benda,0.01
berapa,0.02
beraq,0.01
beri,0.01
berlian,0.01
besok,0.01
bhaga,0.01
biadab,0.01
biasa,0.01
bicara,0.01
bijak,0.01
bina,0.01
biru,0.01
bisa,0.079
bodoh,0.01
bogor,0.01
boom,0.01
boong,0.01
buah,0.02
buang,0.01
buat,0.098
bubur,0.01
buka,0.029
buron,0.01
buruk,0.01
butuh,0.029
ca,0.02
caca,0.01
cair,0.01
cakep,0.01
canda,0.01
cara,0.02
cari,0.01
casa,0.01
cat,0.01
catat,0.01
cause,0.01
cemil,0.02
cepat,0.01
cepe,0.01
choco,0.01
citizens,0.01
clear,0.01
cloy,0.02
clyo,0.01
coba,0.02
coban,0.01
cocok,0.02
colab,0.01
confused,0.01
corea,0.01
cramps,0.01
cried,0.01
cukup,0.01
cuma,0.02
cupang,0.02
dadar,0.01
dakjal,0.01
dalam,0.01
dalgona,0.01
damai,0.01
dan,0.079
dapat,0.039
dapur,0.01
dar,0.01
dari,0.049
daripada,0.02
datang,0.01
debat,0.01
deh,0.02
dekat,0.01
dengan,0.049
depan,0.02
desain,0.01
dewasa,0.01
di,0.049
dia,0.039
diajarin,0.01
dibanyakin,0.01
diemin,0.01
dikit,0.01
diluar,0.01
dimana,0.01
dini,0.01
diri,0.01
disini,0.01
ditelfon,0.01
divisi,0.01
doang,0.01
dokter,0.01
dong,0.039
dongman,0.01
dor,0.01
drama,0.029
duar,0.01
dude,0.02
dukung,0.01
dulu,0.029
dunia,0.01
during,0.01
eca,0.01
eh,0.039
ehem,0.01
either,0.01
elzar,0.01
emil,0.01
emoticon,0.01
enak,0.01
episode,0.02
esai,0.01
eul,0.01
europe,0.01
extracurricular,0.02
faforitku,0.01
favorit,0.01
felin,0.01
fine,0.02
fmw,0.01
folkative,0.01
foto,0.01
foundernya,0.01
frezer,0.01
fsrd,0.01
gaji,0.01
gatuh,0.01
gelap,0.01
gemas,0.02
geram,0.01
gerobak,0.02
geser,0.01
gets,0.01
ghibah,0.01
gila,0.01
gin,0.01
gmnasi,0.01
goosebumps,0.01
gugup,0.01
gyuri,0.01
habis,0.039
hadap,0.01
hai,0.01
haleluya,0.01
hampir,0.01
handmaiden,0.01
hanya,0.02
happened,0.01
harap,0.029
harfiah,0.01
hari,0.049
hati,0.039
hebat,0.01
heist,0.02
hela,0.01
hello,0.01
hemat,0.01
hembus,0.01
heran,0.01
hidung,0.01
hidup,0.039
highly,0.01
hilang,0.02
homan,0.02
hubung,0.01
humoris,0.01
ibu,0.029
ica,0.02
icha,0.01
idam,0.01
identitas,0.01
ikut,0.039
in,0.049
indah,0.01
indonesia,0.01
ingat,0.01
ingin,0.01
ini,0.186
instastory,0.01
investment,0.01
iring,0.01
isap,0.01
istighpar,0.01
itaewon,0.02
itu,0.226
iya,0.069
jadi,0.206
jail,0.01
jajan,0.01
jaksel,0.01
jakut,0.01
jalan,0.029
jam,0.039
jari,0.02
jauh,0.01
jebak,0.02
jiaya,0.01
jijik,0.01
juga,0.079
jujur,0.01
kabur,0.01
kadang,0.01
kaki,0.02
kalau,0.069
kali,0.039
kamar,0.01
kamaren,0.01
kampeninya,0.01
kampus,0.01
kan,0.01
kanvas,0.01
kapten,0.01
karamel,0.01
karantina,0.029
karena,0.029
kasi,0.01
kasitau,0.01
kastengel,0.01
kasus,0.01
kati,0.01
kebumen,0.01
kecil,0.01
kelam,0.01
kelas,0.049
kemarin,0.02
kemeja,0.01
