term,weight
abstrak,0.006
acne,0.006
ada,0.011
adalah,0.006
aduh,0.011
agar,0.029
ah,0.011
ahli,0.011
air,0.034
akan,0.006
akhir,0.017
alam,0.006
alamat,0.006
alamin,0.006
aman,0.006
ambo,0.011
amin,0.011
amit,0.006
ampun,0.006
ampyun,0.006
an,0.017
anak,0.017
anda,0.046
angin,0.006
antisipasi,0.006
apa,0.097
apendisitis,0.006
apo,0.006
asik,0.006
aslik,0.006
atas,0.006
atau,0.006
atur,0.006
awet,0.006
ayah,0.006
ayo,0.006
babe,0.011
baca,0.006
badan,0.006
bagaimana,0.034
bagus,0.006
bahas,0.006
bahkan,0.006
baik,0.029
baju,0.011
balik,0.034
bandung,0.052
bangga,0.006
bangun,0.023
bantu,0.006
banyak,0.063
bapak,0.006
baperan,0.006
barang,0.006
barbie,0.006
bareng,0.006
baros,0.006
barter,0.006
baru,0.08
batik,0.017
batin,0.006
bawa,0.011
bawah,0.006
bayang,0.023
bcl,0.006
beban,0.006
becandanya,0.006
beda,0.006
begini,0.006
begitu,0.109
belati,0.006
beli,0.017
belum,0.034
bemasker,0.006
benar,0.052
benarkan,0.006
benci,0.006
bengkulu,0.006
bengong,0.006
benjol,0.006
bentak,0.006
berapa,0.011
berat,0.006
beri,0.006
besar,0.023
besok,0.011
betul,0.006
bhkn,0.006
biasa,0.023
bicara,0.011
bidang,0.011
bingong,0.006
bingung,0.011
bisa,0.017
bkulu,0.011
boleh,0.017
boom,0.006
bosan,0.006
brokoli,0.006
buat,0.138
buka,0.006
bukan,0.006
bukber,0.006
buku,0.011
bulan,0.011
bumbu,0.006
bumi,0.006
byebye,0.006
caknyo,0.006
canda,0.011
cantik,0.011
cari,0.011
cekinut,0.006
celana,0.011
cemil,0.052
cepat,0.011
cerita,0.023
cetak,0.006
chairul,0.006
cheating,0.006
chiyo,0.006
ci,0.011
cikurnya,0.006
cilukba,0.006
cimahi,0.023
cinta,0.006
cita,0.006
citilink,0.006
ciwalk,0.006
coba,0.029
coconut,0.006
com,0.006
corona,0.023
cotta,0.006
counting,0.006
cuma,0.023
cumi,0.006
curhat,0.006
dagang,0.006
daksih,0.006
dalam,0.006
dan,0.006
dandan,0.006
dapat,0.011
darah,0.006
darat,0.006
daripada,0.006
daster,0.006
datar,0.006
debur,0.006
deep,0.006
degdegan,0.029
deh,0.017
dek,0.011
dekan,0.011
dekat,0.006
dengan,0.006
dengar,0.011
depan,0.023
dey,0.011
di,0.017
dia,0.011
diangap,0.006
dibkulu,0.006
diet,0.011
dikit,0.006
dilema,0.006
dimatin,0.006
dipakai,0.006
dipangil,0.006
diri,0.023
diskon,0.017
dita,0.006
ditepungin,0.006
ditunjukin,0.006
doa,0.006
doang,0.029
doesn,0.006
doesnt,0.006
dokter,0.023
dong,0.011
doy,0.006
drama,0.011
drum,0.006
dulu,0.057
durian,0.006
dustira,0.017
dustria,0.006
edar,0.011
edit,0.011
edukasi,0.006
efek,0.006
eh,0.017
eits,0.006
elektif,0.006
emas,0.017
ember,0.006
enak,0.034
engap,0.006
entah,0.006
eror,0.006
eskrim,0.006
euy,0.006
evakuasi,0.006
ewin,0.011
fase,0.006
fk,0.006
fokus,0.006
foto,0.006
gabung,0.006
gadis,0.006
gais,0.006
gajelas,0.006
galak,0.006
gambar,0.011
gandeng,0.006
gandhi,0.006
ganjel,0.006
gara,0.006
garuda,0.006
gasabar,0.006
gasiap,0.006
gasih,0.017
gaunya,0.006
gaya,0.006
gejala,0.006
gel,0.006
gemesh,0.006
geus,0.006
gila,0.011
gin,0.034
gitutu,0.006
giur,0.006
gopay,0.006
grup,0.006
gudang,0.006
guna,0.006
habis,0.011
haduh,0.017
haha,0.006
hai,0.011
hal,0.006
halim,0.011
hampir,0.006
hangus,0.006
hanya,0.006
harga,0.006
hari,0.023
hasil,0.006
hati,0.017
heartbeat,0.006
hebat,0.006
hembus,0.006
henti,0.006
heran,0.006
hidung,0.011
hidup,0.011
hilang,0.011
histo,0.006
hormat,0.006
hua,0.006
humoris,0.006
ibu,0.069
idak,0.006
ikut,0.017
iman,0.017
indah,0.006
info,0.011
ingat,0.011
ini,0.075
inimah,0.006
insta,0.006
instagram,0.011
inti,0.006
isi,0.006
isin,0.006
isolasi,0.011
istiqomah,0.006
istri,0.006
itu,0.092
iya,0.046
izin,0.017
jadi,0.115
jadwal,0.006
jaga,0.011
jam,0.04
jamah,0.006
jangka,0.006
jarak,0.006
jari,0.006
jasko,0.006
jauh,0.023
jazakilahu,0.006
jeans,0.006
jelantah,0.006
jenuh,0.006
jika,0.006
jodoh,0.006
jogging,0.006
jual,0.023
juga,0.109
juli,0.006
jurnal,0.006
justru,0.006
juta,0.006
kadang,0.034
kaki,0.006
kalau,0.172
kali,0.052
kalian,0.023
kamera,0.006
kan,0.04
kantor,0.006
kapan,0.017
karena,0.034
karin,0.006
karir,0.006
kasih,0.023
kasihan,0.006
kasus,0.006
kata,0.046
kato,0.006
kayak,0.04
keburu,0.006
kecil,0.006
kekep,0.006
kekeyi,0.006
kelak,0.006
kelas,0.006
keliling,0.006
kelompok,0.006
keluar,0.006
keluarga,0.011
keluyur,0.006
kemarin,0.034
kembali,0.006
kembang,0.006
ken,0.034
kena,0.006
kenapa,0.075
kepel,0.006
keren,0.006
keringetan,0.011
kerja,0.006
ketek,0.006
ketemu,0.023
khair,0.006
khawatir,0.006
kilo,0.006
kira,0.023
kirim,0.006
kirimin,0.006
kita,0.011
kito,0.017
kmi,0.006
koas,0.04
koasnya,0.006
koasnyo,0.006
komentar,0.006
konsulen,0.006
kopi,0.006
korban,0.006
kortisol,0.006
kota,0.006
kreatif,0.006
krim,0.006
kualitas,0.006
kuat,0.034
kucing,0.011
kuliah,0.023
kulit,0.006
kumpul,0.006
kurang,0.006
kurus,0.011
kyut,0.006
lagi,0.092
lagu,0.011
lah,0.011
lahir,0.006
lain,0.006
laki,0.006
lalu,0.006
lama,0.034
lancar,0.006
langsing,0.006
langsung,0.011
lanjut,0.006
lapar,0.006
laptop,0.011
lebaran,0.04
lebih,0.052
lelah,0.017
lemak,0.006
libur,0.04
lieur,0.006
lihat,0.029
loh,0.011
longar,0.006
luar,0.011
lucu,0.006
luka,0.011
lulus,0.006
lupo,0.006
lusa,0.006
maaf,0.017
mafkan,0.006
mager,0.006
maha,0.011
mahal,0.011
mahatma,0.006
mahmud,0.006
mai,0.006
main,0.006
mak,0.006
makan,0.006
makin,0.017
maksain,0.006
maksud,0.006
malah,0.023
malam,0.006
malas,0.006
malu,0.017
mamih,0.006
mana,0.029
mandi,0.011
mandiri,0.006
manis,0.006
marah,0.006
masa,0.006
masak,0.011
masakan,0.011
masakin,0.006
masalah,0.011
masih,0.034
masjid,0.006
masker,0.011
masuba,0.006
masuk,0.023
mata,0.006
matras,0.006
matre,0.006
mau,0.08
maut,0.006
media,0.006
medis,0.006
mei,0.006
melar,0.006
melek,0.006
memang,0.04
menang,0.006
mengangap,0.006
mengangu,0.006
menghianati,0.006
menikah,0.023
menu,0.006
merah,0.006
mewek,0.006
mimpi,0.017
minta,0.023
minum,0.011
minyak,0.006
misal,0.006
misi,0.017
mitos,0.006
mohon,0.006
molly,0.006
motivasi,0.006
motor,0.006
muda,0.006
mudah,0.017
mudik,0.006
mueza,0.006
mukenah,0.006
mulai,0.011
mulut,0.006
mumpung,0.006
mundur,0.006
mungkin,0.029
murah,0.006
musuh,0.017
nafsu,0.006
nah,0.006
naik,0.006
nang,0.017
naskah,0.006
nebeng,0.006
nenek,0.006
nengok,0.011
neraka,0.006
ngadep,0.006
ngajarinya,0.006
ngantri,0.006
ngarang,0.006
nge,0.006
ngebela,0.006
ngedumel,0.006
ngejalanin,0.006
ngejelasin,0.006
ngelangar,0.006
ngeliatin,0.011
ngemal,0.006
ngepromoin,0.006
ngomel,0.011
ngomelin,0.006
nian,0.011
niat,0.023
nin,0.006
nina,0.006
nobody,0.006
nongkrong,0.011
normal,0.006
nti,0.006
nugget,0.006
nya,0.092
nyakitin,0.006
nyalahin,0.011
nyaman,0.017
nyampah,0.006
nyata,0.034
nyemangatin,0.006
nyiapin,0.006
nyo,0.023
nyolot,0.006
olahraga,0.029
ombak,0.006
omong,0.023
ongkir,0.006
online,0.029
operasi,0.006
orang,0.115
organ,0.006
otak,0.006
otopsi,0.006
pacar,0.034
pada,0.023
padahal,0.052
pagi,0.029
paitnya,0.006
pakai,0.063
paling,0.017
paman,0.006
pana,0.006
panacota,0.006
panas,0.011
panjang,0.04
pantai,0.011
pantas,0.011
para,0.006
parkir,0.006
parsel,0.006
pasien,0.006
pasteur,0.006
pc,0.006
peduli,0.017
pelit,0.006
pempek,0.011
pengirim,0.006
penting,0.011
penuh,0.017
percaya,0.023
pergi,0.006
perih,0.006
periksa,0.006
perlu,0.006
pernah,0.029
persepsi,0.006
pertama,0.006
perubahanya,0.006
pesawat,0.017
peta,0.006
pi,0.006
pikir,0.04
pindah,0.011
pingit,0.006
pintu,0.006
pisau,0.006
pita,0.006
pj,0.023
plastik,0.006
polip,0.006
pondok,0.006
pop,0.006
pori,0.006
positif,0.006
preparat,0.006
presentasi,0.006
privasi,0.006
profesor,0.006
promosi,0.006
proses,0.006
psikis,0.006
pula,0.011
pulang,0.006
pulo,0.006
punya,0.034
pusing,0.006
putar,0.011
putus,0.006
rabal,0.006
rahasia,0.011
ramadhan,0.006
ramai,0.011
rapat,0.017
rasa,0.023
ratu,0.006
rawan,0.006
rawat,0.017
rebah,0.006
receh,0.006
redup,0.006
referat,0.006
relaksasi,0.006
rencana,0.006
resep,0.006
resepsi,0.006
rezeki,0.006
ribut,0.006
rindu,0.017
robek,0.006
ruang,0.006
rumah,0.075
rumit,0.006
rusuh,0.006
rutinitasnya,0.006
saat,0.011
sabun,0.006
sadar,0.011
sadis,0.006
sahur,0.006
saja,0.143
sakit,0.017
salah,0.017
saling,0.011
sama,0.183
sampai,0.052
sampis,0.006
sangka,0.011
sangking,0.006
saran,0.006
sarkasme,0.006
saudara,0.103
saya,0.229
sayang,0.017
sayangkuh,0.006
se,0.006
sebentar,0.034
sebuah,0.006
sebut,0.006
second,0.006
sedang,0.011
sedih,0.029
sehat,0.011
sejarah,0.006
sekal,0.006
sekala,0.006
sekali,0.149
sekarang,0.034
selalu,0.029
selamat,0.023
selesai,0.006
selingkuh,0.017
semangat,0.017
semoga,0.023
semua,0.017
sen,0.006
senang,0.011
sendiri,0.046
sengaja,0.017
senjata,0.006
sensor,0.006
senter,0.006
sepatu,0.006
sepeda,0.006
seperti,0.023
serame,0.006
sering,0.023
seringkali,0.006
serius,0.006
setuju,0.006
sezuzurnya,0.006
shaf,0.006
shalatnya,0.006
shaming,0.023
shoes,0.006
sial,0.011
siang,0.006
siap,0.006
siapa,0.011
siar,0.006
sibuk,0.011
sidang,0.011
sih,0.057
simpan,0.006
simpenin,0.006
singa,0.011
sini,0.011
skripsi,0.017
soal,0.034
soeta,0.006
sok,0.011
sopanya,0.006
sore,0.006
sosial,0.011
standar,0.006
stase,0.011
storenya,0.006
suami,0.017
suara,0.006
subuh,0.006
sudah,0.12
suka,0.063
sulit,0.006
sumatera,0.006
sumber,0.011
sumdok,0.006
sunda,0.006
suplai,0.006
surat,0.011
suruh,0.006
susah,0.006
susu,0.011
syawal,0.006
syok,0.011
tadi,0.029
tahan,0.017
tahu,0.046
tahun,0.046
tajam,0.006
takut,0.029
tambah,0.011
tangan,0.011
tanggal,0.011
tangis,0.006
tanpa,0.011
tante,0.006
tanya,0.006
tapi,0.149
target,0.017
taruh,0.011
tawa,0.287
tegor,0.006
teks,0.006
tekwan,0.011
telepon,0.011
telinga,0.006
teman,0.04
tembak,0.006
tempat,0.023
tenaga,0.006
tengs,0.006
teori,0.011
tepung,0.011
teraweh,0.006
terbang,0.017
terhura,0.006
terimakasih,0.023
terlalu,0.006
terus,0.069
tes,0.006
tetap,0.011
tetiba,0.011
thr,0.006
tiap,0.04
tiba,0.006
tidak,0.562
tidur,0.011
tiket,0.017
