term,weight
acak,0.009
acan,0.009
acara,0.009
acu,0.009
ada,0.043
adan,0.009
adaptasi,0.009
aduh,0.078
agar,0.035
aidin,0.009
ajar,0.026
akan,0.026
akhir,0.043
alasan,0.009
alat,0.009
alice,0.009
alis,0.009
ambyar,0.009
amin,0.009
ampun,0.009
an,0.043
anak,0.017
anda,0.087
ang,0.009
anggota,0.009
angin,0.009
angkut,0.009
anjaiy,0.009
anjr,0.026
apa,0.2
apel,0.017
asin,0.017
asli,0.009
astaga,0.035
asyiq,0.009
atas,0.017
atmosfir,0.009
avatar,0.009
awet,0.009
ayo,0.043
bablas,0.009
baca,0.043
bagaimana,0.026
bagi,0.026
bagianya,0.009
bagus,0.017
bahas,0.035
baik,0.009
bajing,0.009
baju,0.009
balas,0.035
balita,0.009
bangga,0.009
bangsa,0.009
bangun,0.009
banyak,0.009
bapak,0.026
barang,0.009
bareng,0.009
baru,0.095
batin,0.009
batuk,0.009
bau,0.009
bawa,0.009
bayar,0.009
bc,0.009
bcan,0.009
begitu,0.052
bel,0.009
belai,0.026
belakang,0.009
belum,0.017
benang,0.009
benar,0.052
beranda,0.017
beranta,0.009
berapa,0.017
berat,0.009
berita,0.009
bersih,0.017
besar,0.009
besok,0.017
betul,0.009
beuh,0.009
biasa,0.009
bicara,0.009
bingkis,0.009
bingung,0.009
biru,0.026
bisa,0.035
blablabla,0.009
bljr,0.009
bodoamat,0.009
bom,0.017
boruto,0.009
bosan,0.009
breng,0.009
brimob,0.026
brti,0.009
buah,0.035
buaji,0.009
buat,0.087
buaya,0.009
bujur,0.009
buka,0.026
bukan,0.061
buku,0.009
bulan,0.017
bunga,0.009
butuh,0.009
cakep,0.009
calon,0.009
cantik,0.009
cara,0.009
cari,0.009
cat,0.009
cbd,0.009
cemil,0.026
centang,0.017
cerita,0.009
changwok,0.009
ci,0.009
cinta,0.026
ciputat,0.009
cita,0.009
coban,0.009
confused,0.009
copot,0.009
corners,0.009
coronanya,0.009
cuci,0.009
cuma,0.017
cuy,0.009
daftar,0.009
daging,0.009
dan,0.026
dapat,0.009
dari,0.026
daripada,0.017
deadlines,0.009
deh,0.017
demenya,0.009
dengan,0.009
depan,0.009
desir,0.009
dftr,0.009
di,0.017
dia,0.009
digugel,0.009
dih,0.009
dijejelin,0.009
dikangenin,0.009
dikerjain,0.009
dikumpulin,0.009
dilema,0.009
dimimpin,0.009
dimples,0.009
dimusuhin,0.009
dingetin,0.017
dis,0.009
diskusi,0.009
diterusin,0.009
doang,0.035
donal,0.009
dong,0.009
dorprize,0.009
dovey,0.009
drama,0.043
dri,0.009
duduk,0.009
dulu,0.043
dwa,0.009
ed,0.009
edit,0.009
eh,0.035
ehe,0.009
emaknya,0.009
emosi,0.009
enak,0.026
engap,0.009
entah,0.009
estetik,0.009
faizin,0.009
fal,0.009
fanta,0.009
far,0.009
favorit,0.009
fifth,0.009
film,0.026
fisip,0.009
foto,0.026
gadis,0.009
gakuat,0.009
game,0.009
gandeng,0.009
gegulingan,0.009
gel,0.009
gemas,0.009
genfm,0.009
gila,0.009
gin,0.095
git,0.009
gitasav,0.009
gratis,0.009
greget,0.009
grup,0.009
gugup,0.043
gulir,0.009
gumush,0.009
habis,0.026
haduh,0.009
haha,0.026
hahahahahahahah,0.009
hahahahahahahahaha,0.009
hai,0.069
haid,0.009
hanya,0.026
hapal,0.009
harga,0.009
hari,0.017
hati,0.026
hidup,0.026
highlight,0.009
hijau,0.009
hilang,0.017
hingap,0.009
ho,0.026
hormony,0.009
hostnya,0.009
hughughug,0.009
hujat,0.009
humoris,0.009
hyunbin,0.009
ibarat,0.009
ibu,0.017
ih,0.026
iklanya,0.009
ikut,0.017
in,0.009
indonesia,0.009
indosiar,0.009
ini,0.026
isi,0.017
istri,0.009
itu,0.113
ituloh,0.017
iya,0.035
iyadeh,0.009
iyala,0.009
jadi,0.121
jaga,0.009
jajan,0.009
jalan,0.009
jam,0.043
jaman,0.009
jarah,0.009
jarak,0.017
jauh,0.009
jelasin,0.009
jerit,0.017
jodoh,0.009
jongsuk,0.009
jual,0.009
judul,0.017
juga,0.017
jugijagijugijagiju,0.009
jung,0.009
jurnal,0.009
kabarin,0.009
kadang,0.017
kalah,0.009
kalau,0.156
kali,0.026
kalian,0.009
kaling,0.009
kamar,0.017
kan,0.087
kaos,0.009
karena,0.052
kartun,0.009
kasi,0.009
katara,0.009
kati,0.009
ke,0.009
kecil,0.009
kegemesan,0.009
kekal,0.017
kelas,0.009
kelelawar,0.017
kelompok,0.009
keluar,0.009
keluh,0.009
kemarin,0.009
kematengan,0.009
kemudi,0.009
ken,0.035
kenapa,0.052
kendali,0.009
kepala,0.009
kepentok,0.009
kesal,0.009
ketawa,0.009
ketemu,0.009
ketika,0.009
ki,0.009
kira,0.009
kisah,0.009
koko,0.009
kolang,0.009
kondangan,0.009
kontak,0.009
kopi,0.017
korban,0.009
korea,0.043
kuat,0.009
kue,0.009
kuisioner,0.009
kulon,0.017
kulonya,0.009
laba,0.009
lagi,0.026
lagu,0.043
lah,0.043
lahir,0.009
lahiya,0.009
laki,0.043
laku,0.009
lalu,0.017
lama,0.052
langit,0.009
lantai,0.009
laras,0.009
latar,0.009
lathi,0.009
lebaran,0.035
lebih,0.026
lega,0.009
lewat,0.017
libur,0.017
lihat,0.043
loh,0.009
lovey,0.009
lupa,0.026
maaf,0.009
magrib,0.026
main,0.026
makanya,0.026
makas,0.009
makin,0.009
maklum,0.009
mal,0.009
malam,0.026
malas,0.017
malming,0.009
malu,0.009
mana,0.043
mangtap,0.009
manis,0.009
mantap,0.017
manusia,0.009
masa,0.017
masalah,0.017
masang,0.009
masih,0.017
masjid,0.009
masker,0.009
masuk,0.009
masyaloh,0.009
matanajwa,0.009
matkul,0.009
mau,0.069
may,0.009
memang,0.026
menikah,0.009
merah,0.009
merinding,0.026
mimpi,0.017
mimpin,0.017
minggu,0.009
minguan,0.009
minho,0.009
minmip,0.009
minum,0.009
mirip,0.017
misi,0.009
moana,0.009
mobil,0.017
mohon,0.009
momen,0.009
monmap,0.009
motipasi,0.009
motu,0.009
muda,0.009
mudik,0.009
muka,0.017
mules,0.009
muncul,0.035
na,0.009
nada,0.017
nah,0.009
nama,0.009
namatin,0.009
nampol,0.009
nasi,0.017
nayangin,0.009
ngampus,0.009
nganter,0.017
ngantuk,0.009
nge,0.009
ngechatin,0.009
ngelewatin,0.009
ngeteh,0.009
ngetrit,0.009
ngewarnain,0.009
ngiang,0.009
