term,weight
abu,0.016
acara,0.008
aceh,0.008
ada,0.048
adalah,0.024
addict,0.008
admin,0.016
ads,0.016
aduh,0.008
afi,0.008
agama,0.016
agar,0.008
ah,0.008
ajaib,0.008
ajar,0.057
aju,0.008
akal,0.016
akan,0.04
akar,0.008
akses,0.008
aktivitas,0.008
akun,0.008
alam,0.016
alas,0.016
alumni,0.008
aman,0.008
ambil,0.008
anak,0.024
analisis,0.008
anda,0.081
aneh,0.008
anggar,0.008
angkat,0.008
antar,0.008
antre,0.008
apa,0.153
arah,0.008
argumen,0.008
arti,0.016
asih,0.008
ask,0.008
atas,0.016
atraksi,0.008
attractive,0.008
awal,0.016
awang,0.016
ayam,0.008
ayo,0.008
bab,0.008
baca,0.008
bagai,0.04
bagaimana,0.016
bagi,0.016
bahagia,0.008
bahas,0.024
bahasa,0.008
bahkan,0.008
baik,0.105
balas,0.008
balik,0.016
balut,0.008
bandara,0.008
bandung,0.032
bang,0.016
bangkit,0.008
bangun,0.008
bantai,0.008
bantu,0.097
bantuanya,0.008
banyak,0.065
bapak,0.008
barang,0.008
baru,0.032
bawa,0.016
bayar,0.008
beban,0.008
beberapa,0.016
beda,0.016
begini,0.016
begitu,0.008
belah,0.008
beli,0.008
belo,0.008
belum,0.008
benang,0.008
benar,0.065
bentar,0.008
bentuk,0.008
berani,0.008
berapa,0.008
berat,0.016
berisik,0.008
besar,0.016
besok,0.024
biasa,0.024
bijak,0.008
bilang,0.016
bingung,0.008
bisa,0.048
boardgamearena,0.008
bodor,0.008
boga,0.008
bogor,0.008
bom,0.016
bos,0.008
bredel,0.008
buah,0.032
buat,0.202
bugis,0.008
bujur,0.008
buka,0.024
bukan,0.024
bukankah,0.008
bukti,0.008
buku,0.048
bulan,0.008
bunda,0.016
bunga,0.016
bunuh,0.024
buron,0.008
butuh,0.04
caci,0.008
cahaya,0.016
canggung,0.008
cangkir,0.008
cara,0.073
cari,0.04
celah,0.008
cemil,0.016
cepat,0.008
cerai,0.016
cercan,0.016
cerita,0.032
cgk,0.008
chatnya,0.008
chinese,0.008
cipta,0.008
coba,0.04
cokelat,0.008
colek,0.008
coret,0.008
corona,0.016
cp,0.016
cuci,0.008
cukup,0.008
cuma,0.057
da,0.008
daemon,0.008
dagang,0.008
dalih,0.008
dar,0.008
darah,0.04
dari,0.016
dasar,0.024
deh,0.024
dengan,0.008
dengar,0.032
dengung,0.016
depan,0.008
detail,0.008
detil,0.008
di,0.032
dia,0.024
diam,0.008
didn,0.016
dijelasin,0.016
dikit,0.008
dilakuin,0.008
dinoy,0.016
dintip,0.008
diperhatin,0.008
diri,0.048
disclaimernya,0.008
ditemenin,0.008
doa,0.008
doang,0.008
dobrak,0.008
dokter,0.065
domisili,0.016
dong,0.032
drama,0.016
dua,0.008
duduk,0.008
dulu,0.073
dunia,0.016
earphone,0.008
edan,0.008
efektif,0.008
email,0.032
emosi,0.073
enak,0.024
energi,0.024
entah,0.016
episode,0.008
esensial,0.008
etis,0.008
euy,0.008
ex,0.008
fans,0.008
fasilitas,0.008
film,0.008
filosofi,0.016
filsafat,0.024
fisik,0.008
fungsi,0.024
gadget,0.008
gadis,0.016
gagal,0.04
gaib,0.008
game,0.008
gamenya,0.008
gara,0.032
garut,0.008
ge,0.008
gelap,0.008
gen,0.008
generalisasi,0.008
generasi,0.008
gengs,0.008
ges,0.008
gilir,0.008
gin,0.024
golong,0.016
goreng,0.008
grup,0.008
gula,0.016
guna,0.016
habis,0.032
hadap,0.008
haduh,0.024
haha,0.057
haid,0.008
hak,0.008
hakim,0.008
hal,0.024
hamil,0.016
hancur,0.008
hanya,0.008
hari,0.048
harmonis,0.008
harus,0.008
hasil,0.016
hati,0.024
hendak,0.008
hetero,0.008
hidup,0.048
hijau,0.008
hikmah,0.008
himp,0.008
hingga,0.032
hobi,0.008
hokien,0.008
hormat,0.008
hubung,0.073
hujat,0.008
humoris,0.016
ibu,0.057
ic,0.008
icip,0.008
idola,0.008
ikut,0.048
imbang,0.008
indonesia,0.024
ingat,0.016
ingin,0.016
ini,0.065
insightnya,0.008
intervensi,0.008
ir,0.008
isi,0.008
islam,0.008
istirahat,0.016
isu,0.016
itu,0.048
iya,0.04
izin,0.016
ja,0.024
jadi,0.121
jakarta,0.008
jalan,0.016
jauh,0.024
jawab,0.024
jelas,0.008
jelasin,0.008
jepang,0.008
jiemi,0.008
jika,0.008
jis,0.008
juga,0.032
jumat,0.008
jumlah,0.008
justru,0.016
kabur,0.008
kadang,0.024
kait,0.008
kalau,0.21
kalbar,0.008
kale,0.008
kali,0.032
kalian,0.024
kalianya,0.008
kalimat,0.008
kalteng,0.008
kaltim,0.016
kamar,0.008
kan,0.057
kaos,0.008
kapan,0.032
karasa,0.008
karena,0.008
kasi,0.008
kasih,0.032
kata,0.016
kategori,0.008
katering,0.008
kawin,0.008
ke,0.016
kebunuhdirian,0.008
kecil,0.008
kejut,0.008
kelas,0.016
kelelawar,0.008
kelompok,0.008
keluar,0.008
keluarga,0.016
kemarin,0.016
kembang,0.016
ken,0.04
kenang,0.016
kenapa,0.089
kental,0.008
kentara,0.008
keras,0.016
keren,0.016
kerja,0.024
kesan,0.008
ketang,0.008
ketemu,0.008
ketinggalan,0.008
ketriger,0.008
khusus,0.016
kieu,0.008
kini,0.008
kiri,0.008
kirim,0.008
kita,0.032
klaten,0.008
koneksi,0.008
konflik,0.008
konseling,0.057
konselor,0.008
konsultasi,0.008
kontak,0.016
kordinasi,0.008
kota,0.016
kpop,0.008
kualitas,0.008
kucing,0.008
kuliah,0.008
kunjung,0.008
kuno,0.008
kurang,0.024
kursi,0.008
labu,0.024
lagi,0.04
lagu,0.024
lah,0.008
lain,0.016
laki,0.016
laku,0.048
lalu,0.016
lama,0.024
lampias,0.008
langsung,0.073
lanjut,0.008
lapar,0.008
laptop,0.008
layan,0.008
lebih,0.065
lelah,0.016
lemah,0.008
lepas,0.016
lewat,0.008
lho,0.008
lihat,0.04
lingkar,0.024
lipat,0.008
logat,0.008
loncat,0.008
longar,0.008
luas,0.008
luka,0.016
lumayan,0.008
maaf,0.008
maafin,0.008
magenta,0.008
maha,0.016
mahal,0.016
mailer,0.008
makananya,0.008
makanya,0.04
maki,0.016
makin,0.016
maksud,0.016
malah,0.04
mampu,0.024
mana,0.008
manis,0.008
mantap,0.008
mantu,0.008
manusia,0.016
marah,0.016
masa,0.032
masalah,0.016
masih,0.016
masing,0.032
masuk,0.032
mata,0.008
mati,0.008
matin,0.008
mau,0.105
mazhab,0.008
mecahin,0.008
mekanisme,0.008
memafkan,0.024
memang,0.057
mendengarkan,0.008
mengangu,0.008
menikah,0.04
menstruasi,0.04
mental,0.024
mereka,0.008
merk,0.016
meunang,0.008
mewah,0.024
mie,0.008
mikirnya,0.008
milenial,0.008
milik,0.008
minta,0.04
minum,0.008
mistakes,0.008
monetisasi,0.008
monmap,0.008
motif,0.008
mudah,0.008
muka,0.008
mulai,0.04
mun,0.024
muncul,0.008
mungkin,0.016
mzbojo,0.008
na,0.008
nago,0.008
naik,0.016
nama,0.008
nang,0.113
nangkep,0.008
narkoba,0.008
negatif,0.016
ner,0.008
netflix,0.024
netral,0.008
ngajedog,0.008
ngantuk,0.008
ngefans,0.008
ngelakuin,0.016
ngira,0.008
ngobrol,0.008
ngobrolin,0.008
ngurus,0.016
normal,0.016
nu,0.016
nutup,0.008
nya,0.032
nyaman,0.016
nyambung,0.008
nyamperin,0.008
nyata,0.048
nyekil,0.008
nyiram,0.008
