term,weight
acu,0.013
adalah,0.237
againts,0.013
agar,0.013
ajar,0.013
akan,0.013
akhir,0.04
al,0.026
alas,0.013
album,0.013
along,0.013
aman,0.013
ambil,0.013
anak,0.013
anda,0.185
andy,0.013
anymore,0.04
apa,0.04
api,0.013
archie,0.013
asal,0.013
ashley,0.013
asing,0.013
ask,0.013
atas,0.053
atm,0.04
auah,0.013
ayo,0.04
baca,0.04
badan,0.013
bagaimana,0.013
bahkan,0.013
baik,0.066
bajing,0.066
bakar,0.013
bangun,0.013
banyak,0.013
barang,0.013
baris,0.013
baru,0.013
bau,0.013
bekas,0.013
belum,0.026
benar,0.105
benci,0.026
bentuk,0.013
berapa,0.013
besar,0.013
biarin,0.013
bis,0.013
bisa,0.132
blomqvist,0.013
bodoh,0.013
bola,0.013
brah,0.013
bruh,0.04
bts,0.013
buka,0.013
bukti,0.013
bunuh,0.013
buruk,0.013
buset,0.026
butuh,0.04
cahaya,0.013
catat,0.013
cavs,0.013
centernya,0.013
cheerleader,0.026
chelsea,0.026
cil,0.013
cinta,0.013
claymore,0.013
co,0.092
coba,0.013
cole,0.013
colek,0.026
comes,0.026
congratulation,0.013
congratulations,0.013
crh,0.013
cruciatus,0.013
curi,0.013
dan,0.066
dang,0.013
dapat,0.079
darah,0.013
dari,0.119
daridulu,0.013
datang,0.013
david,0.013
dendi,0.013
dez,0.013
dhk,0.013
di,0.079
dia,0.053
dicaprio,0.013
did,0.013
dimana,0.04
disini,0.04
doesn,0.013
doing,0.013
dosa,0.04
douche,0.013
dubsteb,0.013
dude,0.026
dunia,0.013
dur,0.013
dut,0.013
dxcapc,0.013
eaten,0.013
edqsngbos,0.013
eg,0.013
egede,0.013
eh,0.013
email,0.026
enak,0.013
etc,0.013
expeliarmus,0.013
fail,0.013
fantastic,0.013
fast,0.013
felaini,0.013
filipina,0.013
fisik,0.013
five,0.013
fokin,0.013
foto,0.026
friends,0.013
ft,0.026
fxa,0.013
gagal,0.013
gal,0.013
game,0.04
games,0.013
gara,0.013
gataunya,0.013
gea,0.013
gembira,0.013
gigit,0.013
gila,0.026
goa,0.04
goal,0.026
goalie,0.013
goals,0.026
golazo,0.013
gotta,0.013
gus,0.013
habis,0.013
hacker,0.013
had,0.026
haha,0.013
hai,0.013
hantu,0.013
hanya,0.066
harap,0.013
hari,0.053
harry,0.013
harus,0.04
haryanto,0.013
hebat,0.053
henti,0.013
his,0.013
hogwarts,0.013
hoki,0.013
horay,0.013
hours,0.013
htp,0.092
hurts,0.013
ibu,0.013
ikhlas,0.013
ikut,0.04
in,0.053
indonesia,0.026
ingin,0.053
ini,0.264
instagram,0.026
irving,0.013
isn,0.013
itu,0.33
iya,0.066
jadi,0.171
jaya,0.026
jc,0.013
jelas,0.013
ji,0.013
jijik,0.013
jika,0.013
jme,0.013
jones,0.013
juan,0.013
juara,0.013
juga,0.026
jumlah,0.013
kacau,0.013
kaisar,0.053
kakashi,0.013
kalah,0.066
kali,0.013
kapal,0.013
karena,0.013
kas,0.013
kayak,0.013
kecil,0.013
kejut,0.066
kelakar,0.013
kelelawar,0.013
keluar,0.026
kembali,0.066
kena,0.026
kenapa,0.04
kendara,0.013
kepala,0.013
kerja,0.013
kertas,0.013
ketika,0.026
kevin,0.013
kilat,0.013
kirim,0.013
kota,0.013
kotor,0.04
ksatria,0.013
ksi,0.026
kuda,0.013
kutuk,0.026
kyrie,0.013
kzjsw,0.013
laba,0.013
laboratorium,0.013
lagi,0.04
lah,0.013
lahir,0.013
lain,0.013
laki,0.013
lalu,0.013
lama,0.026
lambung,0.013
las,0.013
latih,0.013
lawan,0.026
layan,0.013
least,0.013
lebih,0.013
lelucon,0.013
leonardo,0.013
leviosa,0.013
liga,0.013
lihat,0.053
lingard,0.013
lions,0.013
lips,0.013
log,0.013
lololololololololol,0.013
lompat,0.013
look,0.013
lucu,0.013
makes,0.013
malfoy,0.013
mana,0.013
mandiri,0.013
manfaat,0.013
manusia,0.119
maria,0.013
marjan,0.013
masih,0.013
mata,0.026
mati,0.026
may,0.013
memang,0.013
menang,0.013
mereka,0.026
mes,0.013
mesti,0.026
milik,0.013
minato,0.013
mobil,0.013
moments,0.013
movies,0.013
muda,0.013
mulai,0.013
myself,0.013
nah,0.013
navi,0.013
neraka,0.053
ngengat,0.013
nice,0.013
nyala,0.026
offside,0.013
oke,0.013
oleh,0.026
omi,0.013
orang,0.053
oruwo,0.013
ouch,0.013
ouw,0.013
over,0.013
oyea,0.013
oyeah,0.013
pada,0.013
padahal,0.013
pagi,0.04
paling,0.013
parents,0.013
parkir,0.013
pasang,0.013
password,0.013
penalties,0.013
pergi,0.053
pernah,0.026
pertama,0.026
pesantren,0.013
phew,0.013
pic,0.013
pikir,0.013
piring,0.013
piss,0.013
pissed,0.013
plankton,0.013
playing,0.013
plays,0.013
posted,0.013
potter,0.013
pria,0.013
prioritas,0.013
proses,0.013
pt,0.013
puncak,0.013
punya,0.04
pusing,0.105
raja,0.013
ras,0.013
rekening,0.013
resmi,0.013
retarded,0.013
rio,0.013
rojo,0.013
run,0.04
rusian,0.013
saing,0.013
saja,0.013
sake,0.013
salah,0.026
sama,0.079
sambil,0.013
sampai,0.013
sana,0.026
sangat,0.026
sanlat,0.026
satu,0.013
saudara,0.053
saya,0.488
says,0.013
sby,0.013
scholes,0.013
schweinsteiger,0.013
sebentar,0.013
sebuah,0.158
sedang,0.013
sekali,0.04
sekarang,0.013
sekolah,0.013
selalu,0.013
selam,0.013
selamat,0.013
selesai,0.013
sembuh,0.013
sempat,0.013
semua,0.026
senang,0.026
seperti,0.066
serasa,0.013
seri,0.013
serikat,0.026
shoes,0.026
siang,0.013
siap,0.013
sie,0.013
sisi,0.013
skor,0.013
slapped,0.013
smaling,0.013
stupefy,0.013
sudah,0.092
sung,0.013
sungguh,0.04
super,0.013
tadi,0.013
tahu,0.066
tahun,0.026
takut,0.013
taman,0.013
tangan,0.013
tanpa,0.013
tapi,0.013
tarnat,0.013
tawa,0.277
telah,0.013
tempat,0.013
temu,0.013
tentang,0.013
tentu,0.013
tepat,0.013
terbaik,0.013
tertawa,0.013
tetap,0.04
threw,0.013
tidak,0.145
tidur,0.04
times,0.013
tinggi,0.026
tolak,0.013
tonton,0.04
transaksi,0.013
tua,0.013
tunggu,0.013
turun,0.013
tutup,0.013
uang,0.026
ubah,0.013
ulang,0.026
ulgbyil,0.013
unfortunately,0.013
untuk,0.119
upgrade,0.013
urus,0.013
urv,0.013
usul,0.013
utama,0.013
utd,0.026
van,0.013
ve,0.013
veggie,0.013
vg,0.013
via,0.053
video,0.013
videos,0.013
vine,0.013
waktu,0.04
wanita,0.013
warriors,0.026
wasup,0.013
watchin,0.013
westlife,0.013
wgwgw,0.013
whoah,0.013
wifi,0.013
wingardium,0.013
wnyjexy,0.013
ya,0.04
yadika,0.013
yang,0.013
yikes,0.013
youtuber,0.013
youtubers,0.013
yow,0.013
yuhu,0.013
yun,0.013
