term,weight
able,0.004
ada,0.044
adalah,0.11
adam,0.004
adan,0.007
adil,0.004
admin,0.004
aduh,0.004
adviceny,0.004
affect,0.004
affected,0.004
agar,0.015
agrees,0.004
agung,0.004
agus,0.004
ah,0.007
ajar,0.018
ajib,0.004
akan,0.029
akar,0.004
akhir,0.026
alam,0.018
alas,0.004
alias,0.004
alir,0.004
alkitab,0.121
allah,0.004
alquran,0.004
alternatif,0.007
ambang,0.004
ambil,0.011
amin,0.004
an,0.011
anak,0.011
analogi,0.004
anda,0.121
aneh,0.004
angaran,0.007
anggota,0.004
angka,0.007
angkat,0.004
angkut,0.004
answered,0.004
answers,0.004
antar,0.004
antara,0.004
any,0.004
anymore,0.004
anyone,0.004
apa,0.121
apart,0.004
appearances,0.004
appreciate,0.004
apps,0.004
arah,0.007
aren,0.004
argumen,0.007
arimatea,0.004
arti,0.026
asa,0.004
ask,0.004
asli,0.018
aspek,0.004
asrama,0.004
asumsi,0.004
atas,0.029
atau,0.011
ateis,0.004
atur,0.004
awal,0.004
awesome,0.004
ayah,0.048
baca,0.018
bagai,0.048
bagaimana,0.029
bagi,0.011
bagus,0.004
bahasa,0.004
bahkan,0.015
baik,0.044
baju,0.004
bakar,0.004
balas,0.015
balasan,0.004
balik,0.015
balikin,0.004
bandara,0.004
banding,0.007
bandung,0.007
bang,0.004
bangga,0.004
bangkit,0.029
bangsa,0.004
bangun,0.011
bantu,0.004
banyak,0.07
barang,0.004
baru,0.081
based,0.004
batas,0.011
bawa,0.004
bawah,0.015
bayang,0.004
bdskn,0.004
beasiswa,0.007
bebas,0.007
beberapa,0.022
beda,0.007
begini,0.007
begitu,0.022
behind,0.004
bel,0.004
belakang,0.004
beli,0.015
beliefs,0.004
believers,0.004
belum,0.018
benar,0.147
benara,0.004
benda,0.011
bentuk,0.011
berani,0.004
berapa,0.007
berat,0.004
beri,0.018
berita,0.004
berkata,0.004
berontak,0.011
besar,0.018
besides,0.004
betul,0.004
biasa,0.015
bible,0.007
bicara,0.004
bilang,0.037
bingung,0.007
bisa,0.051
blundernya,0.004
bobrok,0.004
bodoh,0.004
bohong,0.015
bolong,0.004
bongkar,0.007
boros,0.004
bright,0.007
buah,0.018
buat,0.081
budak,0.004
budaya,0.007
buka,0.004
bukan,0.033
bukankah,0.004
bukany,0.004
bukti,0.004
buku,0.015
bulan,0.029
bundar,0.004
buntu,0.004
bunuh,0.004
buruk,0.004
buta,0.004
butuh,0.011
cannot,0.004
cara,0.037
cari,0.011
caseku,0.004
catat,0.007
cc,0.004
cebur,0.004
celah,0.004
celaka,0.004
celana,0.004
cemburu,0.004
cenderung,0.011
cepat,0.007
