term,weight
aa,0.006
acara,0.121
acis,0.006
ada,0.036
adalah,0.079
adan,0.006
adib,0.006
admin,0.006
adopter,0.006
aduh,0.024
agar,0.018
ah,0.024
aha,0.006
air,0.012
ajak,0.018
ajar,0.024
akan,0.024
akh,0.006
akhir,0.043
akhirat,0.006
akses,0.006
alas,0.012
alat,0.006
albums,0.006
allah,0.012
almarhumah,0.006
alright,0.006
alun,0.006
aman,0.055
amare,0.006
amat,0.012
ambil,0.03
ambon,0.006
amd,0.006
amin,0.049
ampun,0.006
anak,0.006
anda,0.188
andai,0.012
anies,0.006
anniversary,0.006
antik,0.006
aom,0.006
apa,0.049
aparat,0.018
api,0.006
april,0.006
arrangements,0.006
artefacts,0.006
arti,0.012
asal,0.012
aselik,0.006
asia,0.006
asik,0.012
asked,0.006
asli,0.018
asoy,0.006
atas,0.012
atau,0.036
ateuh,0.006
atoh,0.006
audrey,0.006
awal,0.006
awat,0.006
ayam,0.018
ayeuna,0.006
ayo,0.024
babi,0.006
baca,0.024
bagai,0.006
bagaimana,0.036
bageur,0.006
bagi,0.006
bagus,0.03
bahan,0.012
bahkan,0.006
baik,0.115
bakat,0.012
balas,0.012
balik,0.036
banding,0.012
bandoeng,0.006
bandung,0.012
bangga,0.006
bangsa,0.006
bangun,0.006
bangunin,0.012
bantu,0.006
banyak,0.085
bapak,0.146
bara,0.006
bari,0.006
baru,0.018
batal,0.018
batas,0.024
bathin,0.006
bawah,0.006
beatles,0.036
beda,0.018
bedug,0.006
begini,0.012
begitu,0.012
behalf,0.006
belah,0.006
belum,0.006
benah,0.006
benang,0.006
benar,0.012
bencong,0.006
benda,0.006
bengkok,0.006
bentuk,0.006
berani,0.03
berapa,0.012
berat,0.012
beri,0.024
berkah,0.024
bersih,0.018
bersitegang,0.006
besar,0.012
besok,0.024
betul,0.024
beuki,0.006
biadab,0.006
biasa,0.006
bicara,0.006
bila,0.006
bis,0.006
bisa,0.03
bisnis,0.006
blokir,0.006
bolak,0.03
boleh,0.006
bom,0.006
bonceng,0.006
bosan,0.006
both,0.006
boyot,0.006
boyzimeniyah,0.006
bravisima,0.006
brothaz,0.006
buang,0.006
buat,0.091
budaya,0.006
budi,0.006
buka,0.006
bukan,0.043
bukti,0.012
bulat,0.006
bung,0.018
bunuh,0.006
buruk,0.006
butuh,0.03
cadang,0.012
cahaya,0.006
cai,0.012
cara,0.024
cari,0.012
catat,0.006
celebtwat,0.006
cerita,0.006
cing,0.006
cinta,0.055
cita,0.006
cleanest,0.006
coba,0.012
cocok,0.006
congrats,0.006
consider,0.006
continues,0.006
corona,0.012
costumer,0.006
cuit,0.006
cukup,0.006
cuma,0.012
dadys,0.006
daerah,0.006
daftar,0.006
daging,0.012
dalam,0.012
damai,0.024
dampak,0.006
dan,0.128
dandyman,0.006
dangukeun,0.006
danke,0.012
dapat,0.012
dapetin,0.012
darah,0.006
darat,0.006
dari,0.067
daripada,0.012
david,0.012
debat,0.006
deh,0.024
dekorasi,0.006
denagn,0.006
dengan,0.018
dengar,0.03
depan,0.006
di,0.036
dia,0.061
diam,0.006
diangap,0.006
dib,0.006
dibaturan,0.006
dibikinin,0.006
did,0.006
didoain,0.006
dieu,0.006
dijelasin,0.018
dimamam,0.006
dinas,0.012
dinget,0.006
direktur,0.006
dishare,0.006
disinfektan,0.012
disini,0.006
ditengelamkan,0.006
djun,0.006
doa,0.012
doang,0.006
does,0.006
dong,0.018
dorong,0.006
doyan,0.006
dp,0.006
duga,0.006
duka,0.006
dukung,0.006
duli,0.006
dulu,0.018
dunia,0.012
durasi,0.006
edar,0.006
egois,0.006
eh,0.012
ehehe,0.006
ekonomi,0.006
elizabeth,0.006
emas,0.006
emosi,0.006
empati,0.006
empoyes,0.006
enya,0.006
erti,0.024
estetis,0.006
etapi,0.006
etika,0.006
eundeurkan,0.006
eusian,0.006
far,0.012
fark,0.006
film,0.012
fisik,0.006
frekwensi,0.006
fremantle,0.006
fruits,0.006
fungsi,0.006
gadis,0.006
gagah,0.006
gagal,0.006
gaji,0.006
galak,0.006
gandul,0.006
ganks,0.006
gantung,0.006
gaspol,0.006
gbu,0.006
ge,0.006
gedung,0.006
gelap,0.006
generasi,0.006
gengsi,0.006
gerak,0.006
getol,0.006
gets,0.006
giat,0.006
gigih,0.006
gin,0.03
granny,0.006
gunung,0.006
habis,0.006
hadap,0.006
hadepin,0.006
hadiah,0.006
hadir,0.012
haduh,0.018
haha,0.024
hai,0.006
haji,0.006
halus,0.006
hambur,0.006
hampir,0.006
hanas,0.006
hancur,0.006
hangat,0.006
hanks,0.006
hanya,0.049
harap,0.012
harariwang,0.006
hareudang,0.012
hari,0.024
harus,0.061
hasil,0.006
hats,0.006
hawu,0.006
hayalan,0.006
heard,0.006
helaw,0.006
henti,0.012
heran,0.006
heula,0.024
hibur,0.012
hidup,0.018
hikmah,0.006
his,0.006
hoahaha,0.006
homes,0.006
honoured,0.006
hoream,0.006
hormat,0.012
hotel,0.006
hukum,0.006
ibu,0.03
idi,0.006
ikut,0.03
imbang,0.006
in,0.036
indah,0.006
indeed,0.012
indonesia,0.006
info,0.006
ingat,0.012
ini,0.055
inputnya,0.018
instrumen,0.006
intan,0.012
istirahat,0.024
istri,0.018
isyana,0.006
itu,0.182
ive,0.006
iya,0.03
iyah,0.012
jadi,0.152
jadwal,0.006
jakarta,0.006
jalan,0.03
jamah,0.006
jaman,0.006
jamin,0.006
jaminanya,0.006
jantung,0.012
jatuh,0.018
jauh,0.006
jawab,0.018
jelas,0.024
jelasin,0.006
jelek,0.018
jemput,0.006
jenazah,0.006
jepret,0.006
jl,0.006
jo,0.006
jokes,0.006
juara,0.006
juga,0.024
june,0.006
kabar,0.006
kadang,0.006
kadrun,0.006
kadung,0.006
kagum,0.006
kait,0.012
kalah,0.012
kalau,0.085
kali,0.012
kalian,0.018
kamamana,0.006
kamar,0.006
kami,0.036
kampret,0.006
kan,0.012
kapan,0.018
karena,0.024
karir,0.006
karya,0.006
kasi,0.006
kasih,0.061
kata,0.012
kati,0.006
kawen,0.006
kayak,0.006
kecewa,0.006
kecil,0.006
kedah,0.006
kejut,0.006
kelas,0.006
kelelawar,0.006
kelihatanya,0.006
keliling,0.006
keluar,0.006
keluarga,0.103
kemarin,0.006
kempes,0.006
ken,0.006
kena,0.006
kenapa,0.006
kencleng,0.006
kendi,0.006
keras,0.006
keren,0.012
keri,0.006
kerja,0.03
ketemu,0.006
ketidakpedulian,0.006
keukeuh,0.018
khawatir,0.006
khotbah,0.006
kiddos,0.006
kids,0.006
kieu,0.006
kios,0.012
kira,0.012
kirang,0.006
kirim,0.012
kita,0.061
klasih,0.006
klien,0.006
komisioner,0.006
kompak,0.006
kompeten,0.006
kompromi,0.018
komunis,0.006
kondisi,0.006
kong,0.006
konpres,0.006
kontrak,0.006
koq,0.006
koruptor,0.006
kos,0.006
kosong,0.03
kostum,0.006
kota,0.006
kuat,0.018
kuatir,0.006
kudus,0.006
kuliner,0.006
kumandang,0.006
kunci,0.006
kursi,0.006
kusman,0.006
kusut,0.006
kutuk,0.006
kyknya,0.018
lagi,0.024
lagu,0.006
lahan,0.006
lahir,0.006
lain,0.024
laju,0.006
laki,0.097
laku,0.012
lalu,0.018
lama,0.006
lamper,0.006
langsung,0.012
lanjur,0.006
lanjut,0.067
lantai,0.006
lapor,0.006
lari,0.006
laut,0.012
lawa,0.006
lawan,0.006
lawas,0.006
layak,0.006
layan,0.012
layar,0.006
lazim,0.006
lebih,0.085
legleg,0.006
lelah,0.006
lengking,0.006
lgs,0.006
lho,0.006
lidah,0.006
lihat,0.018
lintas,0.006
linu,0.006
lockdown,0.006
loves,0.006
lupa,0.012
lyrics,0.006
maaf,0.024
maca,0.006
macam,0.012
mafhum,0.006
maka,0.006
makam,0.018
makanya,0.006
makin,0.049
maklum,0.012
maklumat,0.006
maksa,0.006
maksimal,0.006
maksud,0.006
malah,0.03
malam,0.006
malik,0.006
malu,0.012
mamang,0.006
mampu,0.006
mana,0.012
manajer,0.006
mandi,0.006
manga,0.012
mangkelukna,0.006
mantap,0.006
manusia,0.024
marba,0.006
maret,0.012
marina,0.006
mario,0.006
masa,0.012
masak,0.006
masalah,0.006
masih,0.018
masuk,0.006
masukanya,0.024
mata,0.012
matak,0.006
matang,0.006
mati,0.012
matur,0.024
mau,0.061
mauliate,0.006
maupun,0.006
may,0.006
maym,0.006
meh,0.006
melvin,0.006
memang,0.036
mempelai,0.012
menang,0.006
menangung,0.006
menikah,0.012
mepet,0.006
mereka,0.012
merhatinya,0.006
mesan,0.006
mesikpun,0.006
mie,0.012
milik,0.049
minimal,0.006
minta,0.049
modern,0.006
mohon,0.012
most,0.006
mpe,0.006
mr,0.012
mudah,0.012
mukim,0.006
mulai,0.012
mulut,0.018
mundur,0.024
mungkin,0.036
musik,0.012
na,0.012
nah,0.006
naha,0.006
naik,0.006
nama,0.012
nan,0.006
nasib,0.006
ndableg,0.006
nebak,0.006
negara,0.006
nekad,0.006
nempel,0.006
nerves,0.006
ngajaredog,0.006
ngange,0.006
ngebet,0.006
ngefans,0.006
ngehubungi,0.006
ngember,0.006
ngeyel,0.006
ngotot,0.018
nice,0.012
nikah,0.006
nilai,0.006
nilikan,0.006
ninuninunya,0.006
nolak,0.006
norma,0.006
nraktir,0.006
nuduh,0.006
numpuk,0.006
nunguan,0.006
nuwun,0.012
nya,0.024
nyala,0.018
nyaman,0.018
nyanyi,0.006
nyawa,0.012
nyetir,0.006
ocehanya,0.006
ogah,0.006
oge,0.006
oleh,0.006
omong,0.03
ooh,0.006
orang,0.061
otak,0.006
otentik,0.006
pa,0.006
padahal,0.024
paham,0.006
pahlawan,0.012
pajak,0.006
pakai,0.024
paksa,0.012
paling,0.018
palu,0.006
panasin,0.006
pandemi,0.006
panggung,0.006
panjang,0.006
pantai,0.012
pantas,0.006
para,0.012
parnoan,0.006
pasang,0.006
pasien,0.006
pasti,0.006
patah,0.006
paur,0.006
pelang,0.006
pelihara,0.006
pembicaran,0.006
pemeliharan,0.006
pemkot,0.006
penghianatan,0.006
penting,0.012
penuh,0.012
perahu,0.006
pergi,0.006
perhati,0.012
perih,0.006
perijinan,0.006
perintah,0.018
peristiwa,0.012
perkusi,0.006
perlu,0.018
pernah,0.018
pese,0.006
pesimis,0.006
pesta,0.006
peurih,0.006
pihak,0.024
pikir,0.012
