term,weight
abe,0.008
abistu,0.008
acak,0.025
aceh,0.008
ada,0.008
adak,0.008
adalah,0.008
aduh,0.025
aik,0.008
ainik,0.008
air,0.041
ajak,0.008
ajayok,0.008
akan,0.025
akhir,0.016
akhitnya,0.008
akirnya,0.016
aksen,0.008
ala,0.016
alamat,0.008
alhamdulila,0.008
alih,0.008
amatzi,0.008
ambil,0.016
ampun,0.008
an,0.008
anak,0.041
anda,0.049
andro,0.008
angin,0.008
antisosial,0.008
apa,0.139
apansik,0.008
apaya,0.008
asrama,0.008
atas,0.016
awal,0.016
awas,0.008
awet,0.008
ayah,0.025
ayam,0.016
ayo,0.025
baca,0.008
bagaimana,0.033
bagus,0.008
bahagia,0.008
baik,0.025
balik,0.016
ban,0.008
bandung,0.016
bangun,0.016
banjir,0.008
banyak,0.016
baru,0.049
bauk,0.008
bawa,0.008
beberapa,0.008
beda,0.016
bedua,0.008
begitu,0.066
bekel,0.008
beku,0.025
beli,0.066
belum,0.008
benar,0.041
bengkak,0.008
bentar,0.016
berani,0.008
beras,0.008
berkas,0.008
bersin,0.016
besok,0.025
bgtan,0.008
bilang,0.016
bingung,0.008
biru,0.008
bisa,0.066
bisak,0.008
blajar,0.008
bleding,0.008
blng,0.008
bojo,0.008
bola,0.016
bonton,0.008
bosan,0.016
buah,0.008
buang,0.008
buat,0.09
buka,0.025
bukan,0.008
bukber,0.008
buku,0.016
bulan,0.008
bunda,0.008
burger,0.016
burgerking,0.008
buru,0.016
burudi,0.008
ca,0.016
cabut,0.008
caca,0.016
cak,0.008
cakep,0.016
canai,0.025
cantik,0.008
cari,0.049
cayang,0.008
ceian,0.008
ceker,0.008
cemil,0.066
cepat,0.041
cerewet,0.008
ceu,0.008
coba,0.057
coco,0.008
coklat,0.008
congrats,0.008
conta,0.008
cony,0.008
corona,0.008
coronak,0.016
cpt,0.008
cuci,0.016
cuma,0.008
da,0.025
dada,0.008
dadak,0.008
daging,0.008
daka,0.008
dalgona,0.008
dalgonak,0.008
dan,0.008
dapur,0.008
darah,0.008
dari,0.041
daripada,0.008
daster,0.008
data,0.008
daun,0.008
deh,0.066
dek,0.008
dekat,0.008
dendeng,0.016
dengan,0.016
depan,0.016
di,0.008
dia,0.049
diabisin,0.008
diajakin,0.008
diam,0.008
dian,0.008
dibuatin,0.008
dideket,0.008
diemin,0.008
diet,0.008
digrabfod,0.008
dikaitin,0.008
dikalianda,0.008
dikit,0.008
dimana,0.016
dinda,0.008
disatuin,0.008
ditaburin,0.008
ditemenya,0.008
dong,0.025
dosa,0.008
dram,0.008
drama,0.016
dua,0.008
dulu,0.033
dunia,0.008
edeng,0.008
efek,0.008
eh,0.033
ehm,0.008
eksekusi,0.008
ekwk,0.008
elsa,0.008
em,0.016
email,0.008
emem,0.008
emnang,0.008
empu,0.008
enak,0.09
enjel,0.016
episode,0.025
ey,0.008
feling,0.008
film,0.016
foto,0.016
gaboet,0.008
gadak,0.008
gadis,0.008
gama,0.008
gaperna,0.008
garam,0.008
garangasen,0.008
gas,0.008
gasabar,0.008
gatahan,0.008
gatal,0.008
gazh,0.008
gelap,0.008
gin,0.025
gitcu,0.008
gitugasi,0.008
gladak,0.008
goa,0.008
gofud,0.008
goreng,0.025
gosah,0.008
gratis,0.016
gtgasi,0.008
gugup,0.016
gurih,0.008
habis,0.041
haha,0.057
hamka,0.008
hanya,0.008
hari,0.057
hasil,0.008
hati,0.008
hening,0.008
hepi,0.008
heum,0.008
hiatus,0.008
hidung,0.008
hidup,0.008
hijau,0.016
hilang,0.008
hitam,0.008
hoek,0.008
hormat,0.008
huaha,0.008
huf,0.025
huhuy,0.008
hujan,0.008
humoris,0.008
husna,0.008
ibu,0.066
ichibanya,0.008
ih,0.008
ijasah,0.016
ikut,0.008
indah,0.008
ingat,0.008
ini,0.033
instagram,0.016
ish,0.008
isi,0.008
itu,0.016
itutu,0.016
iuh,0.008
iya,0.139
iyah,0.008
iyes,0.008
iz,0.008
jabarin,0.008
jadi,0.107
jahe,0.008
jalan,0.016
jam,0.033
janji,0.016
jauh,0.025
jaya,0.016
jdinya,0.008
jrang,0.008
juga,0.016
kaca,0.008
kadang,0.008
kalau,0.098
kali,0.025
kaloga,0.016
kamar,0.008
kan,0.049
kandidat,0.008
kantor,0.041
kantung,0.008
kapan,0.008
karena,0.033
kari,0.008
kasar,0.008
kasi,0.025
kata,0.008
katsu,0.016
kayak,0.016
kecil,0.016
kecombrang,0.008
keluar,0.016
kemarin,0.016
kembang,0.008
kempis,0.008
ken,0.131
kenapa,0.033
kentang,0.033
kepimgin,0.008
kera,0.008
keran,0.008
keringetan,0.008
kerja,0.016
kertas,0.008
keruma,0.008
kesal,0.008
kesana,0.008
kesini,0.008
ketan,0.008
ketemu,0.016
ketrampilan,0.008
kfc,0.008
kicik,0.008
kilogram,0.008
kini,0.008
kira,0.008
klarifikasi,0.008
komputer,0.008
kopi,0.008
korban,0.008
korea,0.016
koriya,0.008
ksl,0.008
ktawa,0.008
ktingalan,0.008
kuasa,0.008
kue,0.008
kuliah,0.008
kulit,0.008
kulo,0.016
kumpul,0.008
kurang,0.016
kwkw,0.049
kwkwk,0.008
kwkwkw,0.033
kwkwkwk,0.016
kwkwkwkw,0.008
kwkwkwkwk,0.008
lable,0.008
lagi,0.041
laki,0.041
laku,0.016
lama,0.008
lampu,0.008
lampung,0.016
lancar,0.008
langsung,0.016
lantai,0.008
lapar,0.008
latih,0.008
laut,0.008
legenda,0.008
leher,0.008
lek,0.008
lekan,0.008
lelah,0.008
lelaps,0.008
lemas,0.008
lengkuas,0.008
lgsung,0.033
lho,0.016
liatin,0.008
libur,0.025
lihat,0.049
lipat,0.008
lobster,0.008
loh,0.008
loncat,0.008
lucifer,0.008
lulus,0.008
lupa,0.016
lusa,0.008
lwt,0.008
mageran,0.008
magrib,0.008
mahal,0.008
makanya,0.008
makas,0.016
mala,0.008
malah,0.008
malam,0.016
malas,0.008
malbi,0.008
malu,0.066
mana,0.025
mandi,0.008
mangat,0.008
manis,0.008
mantan,0.008
mantu,0.008
masa,0.016
masak,0.049
masakan,0.016
masker,0.016
masuk,0.008
masya,0.008
mata,0.025
matah,0.008
matak,0.008
mati,0.008
matin,0.008
mau,0.164
mcd,0.033
mei,0.008
mel,0.008
meleduak,0.008
melek,0.008
memang,0.008
memberi,0.008
mencet,0.008
menikah,0.008
menstruasi,0.016
menu,0.008
menurut,0.016
meriang,0.008
merk,0.008
mes,0.008
mesam,0.008
mesum,0.008
mimpi,0.016
minggu,0.008
minum,0.025
minyak,0.008
mobil,0.025
mode,0.008
mozzarella,0.008
mudah,0.008
muesli,0.008
mulai,0.016
mulut,0.025
mungkin,0.008
na,0.008
nah,0.016
naik,0.008
nama,0.008
nang,0.008
napas,0.025
nasabah,0.008
neh,0.008
nenek,0.008
neraka,0.016
ngaduknya,0.008
ngajin,0.008
ngantuk,0.008
ngebohongin,0.008
ngecewain,0.008
ngegangu,0.008
ngerebus,0.008
ngetwet,0.008
ngidupin,0.008
ngirimin,0.008
ngobrol,0.016
ngumpulin,0.008
nherasa,0.008
niat,0.008
nikmat,0.008
normal,0.008
nunjukin,0.008
nusantara,0.008
ny,0.008
nya,0.115
nyah,0.008
nyata,0.033
nyebrang,0.008
obat,0.008
obh,0.008
obrol,0.008
olahraga,0.016
onat,0.008
