term,weight
aa,0.093
absolutely,0.007
acara,0.007
ada,0.007
adalah,0.007
adha,0.007
adiak,0.007
adil,0.007
admin,0.029
aduh,0.021
afrika,0.007
agar,0.007
agiah,0.014
aia,0.007
air,0.007
ajak,0.007
ajo,0.014
akhir,0.014
alang,0.014
alias,0.007
allah,0.007
alun,0.029
amak,0.014
aman,0.021
ambo,0.007
amin,0.014
amuah,0.007
amuahnyo,0.007
an,0.007
anak,0.1
anda,0.079
antaro,0.007
apa,0.036
apalgi,0.007
apo,0.021
arah,0.014
arti,0.021
asi,0.007
atas,0.007
ateh,0.014
awak,0.007
ayo,0.072
baa,0.036
bagaimana,0.007
bagak,0.007
bagus,0.014
bahan,0.007
bahaso,0.014
baik,0.014
balado,0.007
baleh,0.007
balek,0.007
baliak,0.014
baliakan,0.007
bana,0.064
bang,0.057
bantuak,0.007
bantuaknyo,0.007
banyak,0.036
bar,0.014
bara,0.007
baraso,0.007
barek,0.007
baru,0.007
batambah,0.007
batigo,0.007
bawah,0.007
bayu,0.007
beatles,0.007
bebas,0.007
beda,0.007
begitu,0.007
beko,0.029
belai,0.007
benar,0.029
bengkulu,0.014
bengras,0.007
berkah,0.007
berterimakasih,0.007
besar,0.021
besok,0.007
beti,0.014
bgkulu,0.007
bhso,0.007
bia,0.021
bialah,0.007
bilo,0.007
biso,0.007
bob,0.007
bodoh,0.007
bos,0.021
bosan,0.007
breathing,0.007
brunei,0.007
brutal,0.007
buat,0.1
buayo,0.007
buk,0.007
bukan,0.014
bukik,0.014
buku,0.007
buliah,0.014
bumn,0.014
bung,0.036
bunuh,0.007
cak,0.014
cakap,0.007
cakmano,0.007
caliak,0.007
caliaknyo,0.007
cantik,0.007
cari,0.036
caro,0.014
cats,0.007
cemil,0.036
ceri,0.007
cinta,0.014
cocok,0.007
contoh,0.007
cucuik,0.007
curhat,0.007
cus,0.021
cuss,0.007
dakek,0.014
dan,0.007
dapat,0.007
dapek,0.007
dek,0.036
del,0.064
desa,0.007
dibaliakan,0.007
diharokan,0.007
dikontek,0.007
diri,0.007
disalek,0.007
disiko,0.007
doa,0.007
dong,0.007
dosa,0.007
dulu,0.014
dynasti,0.007
eh,0.007
eksploitasi,0.007
enak,0.007
eropa,0.007
fajri,0.007
fakultas,0.014
fedmil,0.007
foto,0.014
fu,0.007
gabung,0.007
gai,0.014
gaji,0.007
galak,0.007
galigaman,0.007
gamenya,0.007
garut,0.007
gas,0.021
gawat,0.014
gek,0.007
gem,0.05
gema,0.021
gercep,0.007
gigiah,0.014
goyang,0.007
habih,0.007
habis,0.007
hadir,0.007
haha,0.251
hampir,0.007
hangat,0.014
hanya,0.007
hari,0.007
hasil,0.007
hati,0.007
henti,0.014
hewan,0.014
hidup,0.014
hijau,0.007
hirarki,0.007
hobi,0.014
hujan,0.007
humoris,0.014
hutan,0.014
iblis,0.007
ibu,0.143
icak,0.014
idak,0.007
ik,0.043
iko,0.014
ikut,0.036
ikuti,0.014
ilmu,0.007
impor,0.007
in,0.021
inap,0.007
indak,0.007
indonesia,0.014
info,0.014
ingin,0.007
ini,0.014
intan,0.007
ismael,0.007
istirahat,0.014
itu,0.422
iya,0.107
jadi,0.043
jadih,0.014
jahe,0.007
jalan,0.007
jaleh,0.007
jambi,0.029
jando,0.007
japfa,0.007
jaran,0.007
jauah,0.007
jawa,0.007
jawab,0.007
jebak,0.007
jelas,0.007
ji,0.007
jo,0.057
juang,0.014
jude,0.007
juga,0.007
juli,0.007
jumlah,0.007
juni,0.007
juo,0.029
kacang,0.007
kada,0.007
kalau,0.029
kalua,0.007
kama,0.007
kan,0.043
kandak,0.007
kangkawan,0.007
kapandaianyo,0.007
kapau,0.021
karajo,0.007
kardus,0.007
karir,0.007
kaset,0.007
kawan,0.057
kawanyo,0.007
kecil,0.007
kedip,0.007
kejam,0.007
kelakuanya,0.007
keluarga,0.014
kembali,0.007
kenal,0.007
kenapa,0.129
keras,0.007
keren,0.007
kerja,0.007
ketek,0.007
ketemu,0.007
ketua,0.007
keywordnyo,0.007
ki,0.129
kilogram,0.007
kini,0.021
kiri,0.007
kita,0.014
kito,0.036
kojo,0.007
kom,0.007
kondisi,0.007
kopi,0.014
korban,0.007
kuasa,0.007
kuciang,0.014
kue,0.014
kulit,0.014
kuniang,0.007
la,0.007
lagi,0.007
