term,weight
aah,0.007
acak,0.007
ad,0.007
ada,0.015
adalah,0.007
adam,0.007
admin,0.007
aduh,0.037
agama,0.044
agar,0.022
ah,0.022
ajak,0.015
ajar,0.007
ajasi,0.007
ajs,0.007
akademisi,0.007
akhir,0.022
akrab,0.007
aksi,0.007
aktif,0.007
akun,0.015
akur,0.007
alarm,0.007
alergi,0.007
alhasil,0.007
alir,0.007
ambil,0.007
an,0.015
anak,0.059
anda,0.154
android,0.007
aneh,0.007
anjg,0.007
apa,0.139
apas,0.007
april,0.007
arti,0.037
aseksual,0.007
aseng,0.007
asik,0.015
asing,0.015
asli,0.015
astaga,0.029
asw,0.015
atas,0.015
atau,0.007
awal,0.007
ayo,0.029
babang,0.007
baca,0.022
badak,0.007
bagaimana,0.066
bagi,0.007
bagus,0.015
bahagia,0.007
bahan,0.007
baik,0.022
bajer,0.015
bajing,0.022
bakat,0.007
balas,0.007
balik,0.007
bang,0.007
bangga,0.007
bangun,0.015
banting,0.007
banyak,0.029
bapak,0.015
bapaq,0.007
bareng,0.007
baru,0.022
batang,0.007
bau,0.015
baur,0.007
bawa,0.007
bawah,0.015
beda,0.015
bedain,0.007
bedebu,0.007
begini,0.015
begitu,0.059
bekas,0.007
bel,0.007
belakang,0.007
beli,0.007
beliau,0.007
belum,0.015
benar,0.037
benci,0.007
benerangak,0.007
beranda,0.007
berani,0.007
berapa,0.007
berita,0.007
besar,0.007
biadab,0.044
biasa,0.007
biaya,0.007
bib,0.007
bibib,0.007
bibier,0.007
bibir,0.007
bicara,0.022
bikini,0.007
bilang,0.022
bingung,0.007
binsar,0.007
bisa,0.044
blacbery,0.007
bo,0.007
bodoh,0.044
boeka,0.007
bohong,0.029
bom,0.022
bosan,0.015
br,0.007
brisik,0.007
buat,0.11
buay,0.007
budi,0.015
bugnya,0.007
buka,0.007
bukak,0.007
bukan,0.029
bulan,0.022
bunda,0.015
bunuh,0.015
buru,0.015
butuh,0.007
cabang,0.007
cadar,0.007
canda,0.029
cara,0.007
carany,0.007
cari,0.007
cc,0.007
cemil,0.022
cendol,0.007
ceramah,0.007
cerca,0.007
cerita,0.007
cie,0.007
cina,0.007
cinta,0.007
cintain,0.007
cipta,0.007
classroom,0.007
coaster,0.007
coba,0.015
cocoklogi,0.007
cocroach,0.007
coklat,0.015
corona,0.022
cpt,0.007
cthnya,0.007
cukup,0.007
cula,0.007
cuma,0.029
daftar,0.029
dalam,0.007
damai,0.015
dapat,0.007
dari,0.044
daripada,0.015
dek,0.015
dekat,0.015
dengan,0.007
dengar,0.007
desa,0.007
di,0.015
dijadin,0.007
dijanjin,0.007
dikit,0.015
dil,0.007
dingin,0.007
dini,0.007
diomelin,0.007
diomongin,0.007
dipakai,0.007
diri,0.037
dirilu,0.007
disalahin,0.007
diselingkuhin,0.007
dluan,0.007
dokter,0.007
dong,0.051
dora,0.007
dosa,0.007
dosen,0.015
dulu,0.051
dunia,0.015
durhaka,0.007
dusun,0.007
edit,0.007
eh,0.022
ekonomi,0.007
emosi,0.015
enak,0.015
epin,0.007
es,0.007
fakultas,0.007
fasilitas,0.015
film,0.007
fokus,0.015
fp,0.007
fpi,0.007
fucek,0.007
gabeda,0.007
gabego,0.007
gadapet,0.007
gadis,0.022
gaenak,0.007
gagal,0.007
gakaruan,0.007
galunya,0.007
game,0.022
gamenya,0.007
games,0.007
gaminat,0.007
ganyampe,0.007
gapuny,0.007
gara,0.007
garing,0.007
gasalah,0.007
gasemua,0.015
gatenang,0.007
gawa,0.007
geli,0.015
gera,0.007
gigit,0.007
gih,0.007
gin,0.029
gklah,0.007
goa,0.469
google,0.007
goreng,0.007
gosah,0.015
guany,0.007
guru,0.015
habis,0.022
haha,0.007
hai,0.007
hal,0.015
halaman,0.007
hamba,0.007
harap,0.007
hari,0.015
hati,0.015
hidup,0.007
hilang,0.007
hits,0.007
hormat,0.007
hormon,0.007
hubung,0.007
hujan,0.007
hujat,0.007
hukum,0.015
ibadah,0.007
ibu,0.051
ied,0.007
ih,0.007
ikut,0.022
ilmiah,0.007
ilustrasi,0.007
imbal,0.007
inadah,0.007
indah,0.007
indih,0.007
indog,0.007
indonesia,0.029
ingat,0.007
ini,0.022
insekyur,0.007
internet,0.007
inti,0.007
ipa,0.007
isis,0.007
istri,0.007
isu,0.007
iti,0.007
itu,0.066
iya,0.044
izin,0.007
jabat,0.007
jadi,0.081
jakarta,0.015
jalan,0.007
jam,0.029
jaman,0.007
jambi,0.007
jangkau,0.007
jarang,0.015
jari,0.007
jawa,0.007
jelajah,0.007
jelas,0.007
jodoh,0.007
jokes,0.007
jomlo,0.007
jong,0.015
joninya,0.007
judulny,0.007
juga,0.051
kabeh,0.015
kadang,0.022
kaki,0.007
kaku,0.007
kalap,0.007
kalau,0.212
kali,0.007
kalong,0.007
kamar,0.007
kampus,0.007
kan,0.066
kandung,0.007
kantor,0.007
karena,0.073
kartu,0.007
kasi,0.022
kata,0.015
kawsn,0.007
kebahagian,0.007
keke,0.007
kekeyi,0.007
kekorea,0.007
kelompok,0.022
keluarga,0.022
keluargany,0.015
keluh,0.007
kemarin,0.007
kemenkes,0.007
ken,0.007
kena,0.015
kenal,0.022
kenapa,0.051
keong,0.007
kepikirab,0.007
keras,0.015
kerja,0.015
kertas,0.007
kesal,0.007
kesi,0.007
ketawa,0.007
ketik,0.007
khayal,0.007
kiamat,0.007
killers,0.007
kim,0.015
kini,0.007
kira,0.015
kiri,0.029
klarifikasi,0.007
koh,0.015
kohtol,0.007
kompromi,0.007
kondisi,0.007
konsep,0.007
kontol,0.007
korean,0.007
kota,0.015
kriteria,0.015
kuat,0.007
kucing,0.015
kuliah,0.022
kupas,0.007
kuping,0.007
kurang,0.051
kurus,0.007
lagi,0.11
lagu,0.015
lah,0.037
lain,0.007
laki,0.066
lama,0.022
lampu,0.007
langsat,0.007
langsung,0.029
lapor,0.007
larang,0.007
latar,0.007
layar,0.007
lebaran,0.015
lebih,0.059
lega,0.007
lelah,0.007
lelucon,0.007
lemah,0.015
lembaga,0.015
lembek,0.015
lempar,0.007
lewat,0.007
liatin,0.007
lihat,0.015
lima,0.007
liye,0.007
loh,0.007
lomba,0.007
luar,0.007
luhut,0.007
lumayan,0.007
lupa,0.015
lvl,0.007
maaf,0.007
mabuk,0.007
main,0.051
makab,0.007
makhluk,0.007
makin,0.007
maklum,0.007
malah,0.007
malam,0.007
malemnya,0.007
malu,0.015
mana,0.029
manajemen,0.007
mandi,0.007
mantan,0.007
mantap,0.015
manusia,0.022
marah,0.015
mas,0.007
masa,0.029
masalah,0.022
masarin,0.007
maskapai,0.007
masuk,0.015
masya,0.007
mata,0.007
mati,0.044
matiny,0.007
matkul,0.007
mau,0.081
maupun,0.007
maya,0.007
mebantai,0.007
megang,0.007
memang,0.037
mertua,0.015
meski,0.007
mesti,0.015
mesum,0.007
mie,0.007
milea,0.007
mileah,0.007
minta,0.044
mirip,0.007
miskin,0.037
mitos,0.007
mksdnya,0.007
mondok,0.007
motivasin,0.007
mubazir,0.007
muka,0.007
mukbang,0.007
mumpuni,0.007
mungkin,0.015
mus,0.007
muslim,0.022
mutusin,0.007
nabi,0.007
nah,0.007
nahkan,0.007
nahloh,0.007
naik,0.007
nama,0.015
nang,0.007
nanganin,0.007
napas,0.015
nasib,0.007
nasional,0.022
nebeng,0.007
negara,0.015
negri,0.007
nekat,0.007
neraka,0.007
netijen,0.015
ngab,0.007
ngaji,0.007
ngakses,0.007
ngambek,0.015
ngandelin,0.007
nge,0.007
ngebercandain,0.007
ngegedein,0.007
ngegoblok,0.007
ngehalu,0.007
ngehemat,0.007
ngehide,0.007
ngejaga,0.007
ngejelasin,0.007
ngencerin,0.007
ngikut,0.007
ngumpulin,0.007
nilai,0.051
non,0.007
nongkrong,0.007
ntahlah,0.015
nti,0.015
nuklir,0.015
nuntut,0.007
nya,0.044
nyala,0.007
nyata,0.015
nyegerin,0.007
nyetel,0.015
obrol,0.007
oernah,0.007
oke,0.015
olah,0.007
olahraga,0.015
omongany,0.007
ong,0.007
operasi,0.007
optimis,0.007
orang,0.066
otak,0.007
otoriter,0.007
pacar,0.015
pada,0.007
padahal,0.007
pagi,0.022
pakai,0.022
palalu,0.007
paman,0.015
pandang,0.015
pandemi,0.022
pandu,0.007
panjaitan,0.007
pantas,0.015
panutan,0.007
pap,0.007
para,0.007
pasang,0.007
pasien,0.007
patungan,0.007
payah,0.007
pecah,0.007
pelayananya,0.007
pena,0.007
penciptamya,0.007
penodan,0.007
penting,0.007
penuh,0.007
perang,0.007
perangkap,0.007
percaya,0.007
perhati,0.007
perintah,0.007
perlu,0.007
pernah,0.029
pesan,0.007
peta,0.007
pft,0.007
piala,0.007
pikir,0.015
pilih,0.007
pindah,0.007
pintar,0.007
pita,0.007
pithecantrhopus,0.007
pkn,0.007
plek,0.007
pln,0.007
polisiny,0.007
polos,0.007
pornhub,0.007
porsi,0.015
