term,weight
adalah,0.037
adam,0.012
adel,0.012
adelya,0.025
aduh,0.012
agen,0.012
agnes,0.012
ahsiyap,0.012
air,0.012
ajar,0.012
aji,0.012
akan,0.012
akun,0.012
alaya,0.025
almamater,0.012
alvin,0.025
amasa,0.012
ambyar,0.012
an,0.111
anak,0.012
anda,0.321
aneh,0.012
angels,0.012
ani,0.087
anjr,0.012
anoying,0.012
anyink,0.025
anzay,0.012
apa,0.062
apas,0.012
arabian,0.012
artis,0.012
arya,0.012
aryo,0.012
ashiap,0.012
asin,0.012
astaga,0.012
atas,0.012
awal,0.012
awam,0.012
ayah,0.012
ayam,0.049
ayo,0.025
ayoayo,0.012
ayunur,0.037
bagaimana,0.012
bahagia,0.012
bajing,0.012
baju,0.025
balikpapan,0.012
bandar,0.012
bandara,0.012
bangga,0.012
bangun,0.012
banjar,0.012
baru,0.037
bayi,0.012
beda,0.012
begitu,0.012
bekurang,0.012
beli,0.012
belut,0.012
benar,0.074
benerbener,0.012
berat,0.012
beri,0.012
besok,0.025
beut,0.012
biadab,0.012
biasaja,0.012
bilkas,0.012
bingsit,0.012
bipolar,0.025
bisa,0.025
bisik,0.012
bismillah,0.012
bnrbnr,0.012
bodoh,0.037
bomat,0.012
bombshell,0.012
bre,0.012
brighter,0.012
buat,0.025
buaya,0.012
bujur,0.012
buka,0.012
bulan,0.012
bungkus,0.012
cahaya,0.012
california,0.012
campur,0.012
cara,0.012
careless,0.012
cemil,0.062
cendol,0.012
cengang,0.012
cenil,0.025
centil,0.012
cerca,0.012
cerita,0.025
charnadila,0.025
chika,0.074
cici,0.012
cinta,0.025
ckck,0.025
cleo,0.012
coba,0.012
cobek,0.012
comel,0.025
cukstaw,0.012
cuy,0.025
dahi,0.025
damai,0.012
dan,0.26
dari,0.037
dasar,0.012
datang,0.012
dawet,0.012
dede,0.012
deh,0.012
dengan,0.396
dengar,0.012
depan,0.012
depot,0.012
dewa,0.012
di,0.408
dia,0.025
dicka,0.049
didik,0.012
digitukan,0.012
