term,weight
absah,0.007
ada,0.054
adalah,0.014
adegan,0.007
adil,0.007
admin,0.014
aduh,0.034
afeksi,0.007
agar,0.027
ah,0.041
ahahahahahahahahahahah,0.007
ahmad,0.007
akhir,0.081
akmu,0.007
akun,0.007
alam,0.014
alex,0.007
alur,0.014
aman,0.007
ampuh,0.007
ampun,0.007
an,0.007
anak,0.02
anda,0.109
anyng,0.014
apa,0.136
apaka,0.007
apel,0.007
arah,0.007
arg,0.007
artprint,0.007
asal,0.014
asset,0.007
astaga,0.007
asyap,0.007
atas,0.007
atau,0.007
attractive,0.007
awal,0.02
ayam,0.007
ayan,0.02
ayo,0.007
baca,0.007
badan,0.007
bagaimana,0.02
bagi,0.027
bagsu,0.007
bagus,0.047
bahasa,0.007
bahkan,0.007
baik,0.034
bajing,0.007
bajuw,0.007
balas,0.014
balik,0.007
balut,0.007
banci,0.007
bang,0.007
bangun,0.007
bantu,0.014
banyak,0.081
bapak,0.014
bareng,0.007
baru,0.02
bawa,0.007
bawah,0.02
beberapa,0.007
beda,0.02
begini,0.007
begitj,0.007
begitu,0.115
bekas,0.007
beli,0.034
belum,0.047
benar,0.034
berapa,0.02
berebeda,0.007
berimpact,0.007
berkas,0.007
berontak,0.007
bertahag,0.007
besok,0.02
biasa,0.014
biat,0.007
bicara,0.007
bilang,0.027
bingung,0.007
bisa,0.027
blok,0.007
bngdt,0.007
boco,0.007
bodoh,0.02
boleh,0.007
bos,0.007
bosan,0.007
brian,0.027
browser,0.007
buah,0.007
buang,0.007
buat,0.061
bubar,0.007
bubur,0.014
buka,0.034
bukan,0.007
bulan,0.007
buru,0.007
buruh,0.007
butuh,0.007
ca,0.007
cabut,0.007
cache,0.007
cahaya,0.02
cangkir,0.007
cara,0.014
cari,0.047
catair,0.007
cemil,0.02
cengengesan,0.007
cepat,0.014
ceria,0.007
cerita,0.027
ces,0.007
cess,0.007
cetak,0.014
charles,0.007
ciamis,0.007
cinta,0.041
cium,0.007
coba,0.027
contactnya,0.007
cucitangan,0.007
cuma,0.02
cus,0.007
cuss,0.014
cuy,0.034
daftar,0.014
dajal,0.007
dan,0.007
dapat,0.007
darah,0.014
dari,0.109
daripada,0.007
dasar,0.014
daun,0.007
deadline,0.007
