term,weight
acak,0.008
acar,0.008
ada,0.008
adalah,0.055
adaptasi,0.008
adl,0.008
admin,0.016
afirmasi,0.008
ah,0.016
ajak,0.008
ajar,0.063
akademik,0.016
akan,0.039
akhir,0.031
alam,0.008
alur,0.008
aman,0.008
amerika,0.008
amin,0.008
amit,0.008
an,0.016
anak,0.016
anda,0.063
apa,0.188
apik,0.008
aplikasi,0.016
arah,0.016
arti,0.008
asking,0.008
atas,0.008
auk,0.008
awal,0.008
awesome,0.016
ayah,0.008
ayan,0.008
ayo,0.016
bab,0.008
baca,0.055
bacod,0.008
badan,0.024
bagaimana,0.071
bagi,0.008
bagus,0.016
bahas,0.008
baik,0.055
bain,0.008
baju,0.016
balikin,0.016
bang,0.016
banking,0.008
banyak,0.055
bapak,0.024
baru,0.094
bawa,0.008
bayi,0.008
beban,0.008
beberapa,0.016
bedain,0.008
begini,0.016
begitu,0.047
bekas,0.008
belakang,0.008
beli,0.031
beliau,0.031
belum,0.008
benang,0.008
benar,0.039
benci,0.008
benda,0.016
bentuk,0.008
beranda,0.008
berani,0.008
berapa,0.008
berat,0.008
beri,0.024
berita,0.008
berontak,0.008
bersliweran,0.008
besar,0.031
biasa,0.024
bib,0.008
bilang,0.016
bimbing,0.008
bintik,0.008
bisa,0.055
bocor,0.008
boleh,0.016
bom,0.008
bos,0.008
bosan,0.016
brojol,0.008
buah,0.008
buak,0.008
buat,0.125
buka,0.031
bukan,0.016
buku,0.024
buruk,0.008
butuh,0.008
bwang,0.016
called,0.008
cangkir,0.008
cangung,0.008
cania,0.008
cantik,0.008
cara,0.031
careless,0.008
cari,0.008
celaka,0.008
celana,0.008
celery,0.008
cemas,0.008
cemil,0.016
cerita,0.016
cermat,0.008
children,0.016
cinta,0.008
cium,0.008
coba,0.016
cobak,0.008
comics,0.008
cuma,0.016
cupang,0.008
dada,0.008
dalam,0.024
dalgoblok,0.008
dan,0.008
dapat,0.008
dari,0.024
datang,0.008
debu,0.008
deh,0.016
del,0.008
dengan,0.039
dengar,0.016
depan,0.008
desember,0.008
detail,0.008
detik,0.016
di,0.047
dia,0.031
dibantuin,0.008
dijadin,0.008
dikit,0.008
dimaskerin,0.008
diplay,0.016
dipraktikin,0.008
diri,0.031
disimpen,0.008
doang,0.008
dodol,0.008
dokdes,0.016
dokter,0.024
domisili,0.008
dong,0.071
dosa,0.008
dosbing,0.008
dosen,0.008
dpr,0.008
drama,0.008
duduk,0.008
duka,0.008
