term,weight
ada,0.064
adalah,0.113
adama,0.014
adi,0.007
adidas,0.014
adil,0.007
adimakna,0.007
adjektiva,0.007
admin,0.028
aduk,0.014
ag,0.007
agama,0.014
agar,0.064
agnostik,0.007
agnostis,0.007
ahad,0.007
ahli,0.007
aidi,0.007
airpods,0.007
ajak,0.007
ajar,0.014
aji,0.007
akan,0.042
akhir,0.092
akses,0.007
aktivis,0.007
akun,0.035
akurat,0.007
al,0.021
alam,0.007
alaq,0.007
alat,0.007
alh,0.007
alhamdulilh,0.007
alih,0.007
alihprofesinya,0.007
alur,0.007
ambil,0.021
amin,0.021
amoled,0.007
an,0.028
anak,0.042
analisis,0.014
anda,0.219
angetin,0.007
anggar,0.014
angkut,0.014
antarstasiun,0.007
antre,0.007
apa,0.064
apalagi,0.007
apel,0.021
api,0.014
aplikasi,0.007
april,0.007
arah,0.014
arti,0.021
ary,0.007
asia,0.007
asli,0.014
assume,0.007
astaga,0.007
astuti,0.007
atas,0.014
atau,0.014
audit,0.007
audite,0.007
aus,0.007
australia,0.021
autorituit,0.007
awal,0.042
aware,0.007
awas,0.021
ayah,0.014
ayam,0.028
ayo,0.014
baca,0.035
backgrounds,0.007
badan,0.007
bagaimana,0.021
bagi,0.014
bagus,0.021
bahan,0.007
bahas,0.021
bahasa,0.021
bahkan,0.014
baik,0.057
baku,0.007
balik,0.014
bang,0.014
bangga,0.014
bangku,0.007
bangun,0.014
banjir,0.007
bantu,0.028
banyak,0.042
bapak,0.042
barakh,0.007
barang,0.021
barat,0.007
baru,0.021
batal,0.014
baterai,0.007
baticovid,0.007
bawa,0.007
bawan,0.007
bayar,0.021
bayi,0.014
beasiswa,0.007
beda,0.014
begini,0.014
begitu,0.028
bekas,0.007
belanja,0.028
belas,0.007
beli,0.035
beliau,0.007
belum,0.014
benar,0.042
bencana,0.007
benci,0.007
ber,0.007
beranda,0.014
berani,0.014
berapa,0.014
beras,0.007
berat,0.007
berhimpit,0.007
beri,0.007
berita,0.014
berkat,0.007
bersih,0.014
bersunguh,0.007
besi,0.021
betul,0.007
between,0.007
bhambhang,0.007
biasa,0.007
biaya,0.021
bicara,0.007
bijak,0.007
bil,0.007
bilang,0.007
bilangin,0.007
bimbing,0.007
bis,0.042
bisa,0.085
bisnis,0.014
bkal,0.007
bodoh,0.007
bola,0.007
bom,0.007
bongol,0.007
bonus,0.007
bor,0.014
boros,0.007
bosan,0.007
boso,0.007
bpjs,0.007
breadcrumbs,0.014
bsar,0.007
buah,0.007
buat,0.142
budaya,0.014
budidaya,0.007
budiman,0.007
buka,0.007
bukan,0.014
bukhr,0.007
buku,0.021
bulan,0.007
bundesliga,0.007
bunga,0.007
bungkam,0.007
caceres,0.007
cacing,0.007
cahaya,0.007
calon,0.007
campur,0.014
cangkir,0.007
cara,0.042
careers,0.007
cares,0.007
cari,0.021
catering,0.007
caught,0.007
cc,0.007
cemil,0.028
cenderung,0.007
centre,0.007
centuries,0.007
cepat,0.007
cerah,0.007
ceri,0.014
cerita,0.007
cerna,0.007
cherished,0.007
chili,0.014
chose,0.007
chutney,0.014
ci,0.007
cinta,0.028
ciptain,0.007
citacita,0.007
ciu,0.007
clinical,0.007
co,0.007
coba,0.014
cocok,0.014
colok,0.007
comes,0.007
comika,0.007
commences,0.007
commuters,0.007
composers,0.007
compulsive,0.007
comuterline,0.007
confounds,0.007
cont,0.021
coriander,0.014
corona,0.028
coronavirus,0.007
created,0.007
cth,0.007
cucu,0.007
cukup,0.007
cuma,0.042
currently,0.007
dada,0.007
dadi,0.007
daerah,0.014
daftar,0.007
dalam,0.014
damai,0.007
dampak,0.007
dan,0.241
dana,0.014
dapat,0.014
dari,0.17
dasar,0.007
datang,0.021
daya,0.007
dedaunan,0.014
dede,0.007
dekat,0.007
demikian,0.007
deng,0.014
dengan,0.057
dengung,0.007
depan,0.021
deras,0.007
derita,0.007
desa,0.007
deteksi,0.007
detik,0.007
detutup,0.007
di,0.05
dia,0.042
diberitahukan,0.007
dibuia,0.007
did,0.007
didik,0.021
digital,0.014
dilakuin,0.007
dilewatin,0.007
dimana,0.007
dinamika,0.007
dingatkan,0.007
dingin,0.007
dipublish,0.007
direksi,0.007
diri,0.028
disajin,0.007
diskusi,0.007
dkordinasi,0.007
dkorupsi,0.007
dlewatin,0.007
dng,0.007
doa,0.007
doang,0.007
dong,0.007
dosen,0.007
dost,0.007
downloadnya,0.014
dreams,0.007
dribbling,0.007
dsalahgunakan,0.007
dua,0.014
duduk,0.007
dukung,0.007
dulu,0.028
dunia,0.007
during,0.007
economic,0.007
eh,0.021
ekonomi,0.007
ekspor,0.007
ekstrem,0.014
email,0.007
emerging,0.007
en,0.007
enak,0.014
endang,0.014
endonesya,0.007
eni,0.007
episode,0.007
es,0.007
esensial,0.007
esmoni,0.007
etiket,0.007
examples,0.007
extrovert,0.007
fajr,0.007
fantasi,0.007
favorit,0.007
favourite,0.014
favours,0.007
fenomena,0.007
feperchild,0.007
fertilised,0.007
fes,0.007
fiestapoin,0.007
finis,0.014
finisher,0.007
firasat,0.014
fisik,0.007
fitting,0.007
five,0.007
focused,0.007
fokus,0.007
fondasi,0.007
foto,0.007
fotoin,0.007
frasa,0.021
fried,0.014
gaji,0.014
gambar,0.007
games,0.007
gandeng,0.007
ganguan,0.014
ganti,0.014
gantin,0.007
gantung,0.021
gara,0.007
garis,0.007
garwa,0.007
gave,0.007
gawl,0.007
gedein,0.007
gelas,0.014
gelut,0.007
gemblung,0.007
gen,0.014
genang,0.007
generasi,0.007
gengong,0.007
geographic,0.007
geographical,0.007
gerah,0.007
getting,0.007
giat,0.007
gila,0.007
gilir,0.014
gin,0.028
gives,0.007
glorious,0.007
goal,0.007
goals,0.007
goes,0.007
gokil,0.007
golput,0.007
gomez,0.007
grame,0.007
gratesan,0.007
gratis,0.007
gugur,0.007
habis,0.057
had,0.007
hadiah,0.021
hadir,0.007
haha,0.007
hakim,0.007
hampa,0.007
hancur,0.021
hanya,0.064
haram,0.007
harfiah,0.014
harga,0.028
hari,0.035
harus,0.028
haryuni,0.007
hasil,0.021
hati,0.035
hd,0.007
headphone,0.007
hebat,0.014
henings,0.007
hibah,0.007
hidup,0.028
hijau,0.007
hingga,0.007
his,0.007
hland,0.007
hlayo,0.007
hobi,0.007
hoo,0.014
hours,0.007
hrpan,0.007
hubung,0.028
hundreds,0.007
ibadan,0.007
ibu,0.071
id,0.007
ikan,0.007
iklan,0.014
ikut,0.035
ilmu,0.021
ilustrasi,0.007
imbang,0.007
impor,0.007
in,0.113
incar,0.007
indah,0.014
indian,0.014
indonesia,0.042
indonesianisasi,0.007
indri,0.007
inefektif,0.007
inefisien,0.007
inflasi,0.007
info,0.007
infrastructure,0.007
ini,0.106
inisiasi,0.007
injek,0.007
insana,0.007
inspirasi,0.014
instagram,0.007
instagramable,0.007
institusi,0.007
institutions,0.007
insya,0.007
inti,0.007
introvert,0.007
ipod,0.014
isi,0.007
iso,0.014
istilah,0.007
istimewa,0.014
istirahat,0.007
istri,0.035
isu,0.021
itu,0.304
itunes,0.007
iya,0.035
izi,0.007
jabodetabek,0.007
jadi,0.269
jakarta,0.021
jaket,0.007
jakmar,0.007
jalan,0.064
jalur,0.028
jam,0.021
jams,0.007
jangkrik,0.007
japanese,0.007
jarak,0.007
jari,0.007
jasa,0.007
jatiuwung,0.007
jauh,0.014
jawa,0.014
jawab,0.007
jb,0.007
jbdtabek,0.007
jebak,0.007
jelang,0.007
jelasketauan,0.007
jembatan,0.007
jempol,0.007
jenis,0.028
jepit,0.007
jerman,0.021
jigur,0.021
jika,0.007
jiwa,0.014
jmlh,0.007
jodoh,0.007
joget,0.014
jokowi,0.007
juara,0.007
judges,0.007
judul,0.007
juga,0.014
juminten,0.007
jurnalisme,0.007
jus,0.014
kae,0.007
kai,0.007
kait,0.007
kaki,0.007
kaku,0.007
kalau,0.184
kalaw,0.007
kali,0.007
kamar,0.014
kami,0.007
kamus,0.007
kan,0.064
kanal,0.007
kancing,0.007
kanopi,0.007
kantong,0.007
kapan,0.021
karena,0.035
karepe,0.007
kartel,0.007
kartu,0.007
karunia,0.014
karyawan,0.007
karyawati,0.007
kasih,0.085
kasihan,0.014
kata,0.007
kaus,0.007
kawaipuna,0.007
kayak,0.014
kebun,0.007
kecil,0.014
kehamilanya,0.007
kejut,0.007
kelak,0.007
kelakuanya,0.007
kelamin,0.014
kelas,0.014
kelola,0.021
keluar,0.021
kembali,0.035
kembang,0.007
kemudian,0.007
kena,0.014
kenal,0.014
kenang,0.014
kenapa,0.057
kendaran,0.014
kene,0.007
keren,0.021
kereta,0.021
kerja,0.028
kermit,0.007
kersa,0.007
ketemu,0.007
ketika,0.042
ketimbang,0.007
khalaqal,0.007
khusus,0.021
ki,0.021
kings,0.007
kini,0.014
kira,0.021
kire,0.007
kiri,0.007
kirim,0.007
kita,0.021
klasik,0.007
klose,0.007
kndran,0.007
koleksi,0.007
kolektif,0.007
kompleksitas,0.007
kompulsif,0.007
kondisi,0.014
kondo,0.007
konfeksi,0.007
konsep,0.007
konsultan,0.007
konsumen,0.014
konsumsi,0.014
konteks,0.007
korporasi,0.007
korup,0.007
kosong,0.035
kota,0.007
kotor,0.007
kritik,0.007
kritisi,0.007
krl,0.021
kta,0.014
ktp,0.007
kualitas,0.014
kuasa,0.014
kuat,0.007
kuliah,0.014
kunci,0.007
kuning,0.007
kupas,0.007
kurang,0.007
kurir,0.014
kursus,0.007
kuwi,0.007
lagi,0.035
lah,0.014
lahir,0.007
laik,0.007
lain,0.014
laki,0.007
laku,0.014
lalu,0.035
lama,0.007
lambat,0.007
langanan,0.007
langit,0.007
langsung,0.028
lanjut,0.007
lapang,0.007
lari,0.014
larik,0.007
latar,0.007
layak,0.007
layan,0.014
layar,0.007
laziness,0.007
leaving,0.007
lebar,0.007
lebaran,0.007
lebih,0.092
lega,0.007
legenda,0.007
leher,0.007
lemon,0.014
lesu,0.007
letoy,0.007
lewat,0.007
lewy,0.007
lgpula,0.007
libur,0.007
lihat,0.028
lingkung,0.007
linguistik,0.007
linkedin,0.007
lintas,0.007
liur,0.007
liverpol,0.007
lokal,0.007
lokalisasi,0.007
lokasi,0.007
