term,weight
abur,0.008
acara,0.008
adalah,0.186
admin,0.016
agar,0.032
ah,0.016
aigo,0.008
air,0.008
akan,0.049
akhir,0.057
album,0.024
alir,0.008
alis,0.008
ambil,0.008
amin,0.016
ampun,0.008
an,0.024
anak,0.016
anda,0.283
andwae,0.016
aneh,0.008
anes,0.008
anggota,0.016
anjing,0.008
anpaman,0.008
apa,0.105
api,0.008
arti,0.008
asal,0.008
asap,0.008
ask,0.016
atas,0.008
atleast,0.008
awat,0.008
ayo,0.024
baca,0.04
baekhyun,0.008
bagaimana,0.04
bagus,0.016
bahasa,0.008
bahkan,0.008
baik,0.024
balas,0.008
balik,0.016
bangdeng,0.024
banyak,0.016
bareng,0.032
baru,0.024
batal,0.008
bau,0.016
bayar,0.016
bcoz,0.016
bebas,0.008
beda,0.008
begitu,0.032
belah,0.008
beli,0.008
belum,0.008
benam,0.008
benar,0.016
benda,0.008
bentar,0.008
berapa,0.016
beri,0.016
berita,0.008
besar,0.008
beside,0.008
biasa,0.008
bicara,0.008
bijaksana,0.008
bikinin,0.008
bilang,0.008
biru,0.008
bisa,0.097
bluerose,0.008
boleh,0.008
bom,0.008
bong,0.008
bosan,0.008
bros,0.008
btch,0.008
bts,0.008
buat,0.008
bubar,0.016
buka,0.016
bukan,0.008
bukit,0.024
bungkus,0.008
buruk,0.008
butuh,0.008
called,0.008
cantik,0.016
cara,0.032
celebrate,0.008
cemburu,0.008
chose,0.008
chukae,0.008
ciawe,0.008
cinta,0.049
ciri,0.008
clear,0.008
clearly,0.008
coba,0.008
comeback,0.016
corona,0.008
cowonya,0.008
coz,0.008
cuma,0.008
daebak,0.008
daftar,0.016
dan,0.04
dapat,0.032
dari,0.032
darimana,0.016
daripada,0.008
dat,0.008
dating,0.008
dekat,0.008
del,0.008
demo,0.016
dengan,0.057
dengen,0.008
depan,0.016
deras,0.008
di,0.04
dia,0.121
did,0.016
dikit,0.008
dilemparin,0.008
dimana,0.008
dipikirin,0.016
diri,0.008
disini,0.008
doa,0.008
dong,0.016
drama,0.024
duhai,0.008
dulu,0.008
dunia,0.008
emis,0.008
enak,0.016
envy,0.016
episode,0.008
es,0.008
etik,0.008
eventho,0.008
every,0.008
everywhere,0.008
exo,0.008
ey,0.008
fandom,0.008
fangirling,0.008
fanmet,0.008
favorit,0.016
felnya,0.008
festival,0.008
fixnya,0.008
foto,0.008
gadis,0.016
gajelas,0.008
gal,0.008
garis,0.008
gas,0.008
gel,0.008
gemar,0.024
gila,0.024
goa,0.008
gojunhoe,0.008
goreng,0.008
gugup,0.008
gwenchana,0.008
habis,0.016
hadap,0.008
hadir,0.008
haeyoung,0.008
haha,0.04
hahahahahah,0.008
hai,0.008
hanbin,0.089
hanya,0.04
hapus,0.008
harap,0.024
harfiah,0.008
hari,0.04
harus,0.016
hati,0.016
henti,0.016
hibur,0.024
hidup,0.008
hiking,0.008
his,0.032
hotel,0.008
hours,0.016
hsh,0.008
hubung,0.008
hujan,0.008
humoris,0.008
hurts,0.008
ibu,0.016
icu,0.008
ide,0.008
idontunderstand,0.008
igd,0.008
ikon,0.073
ikonic,0.024
ikut,0.008
imut,0.008
in,0.04
informasi,0.008
ingin,0.016
ini,0.138
internasional,0.008
iri,0.008
isn,0.008
isnt,0.008
itu,0.113
iu,0.024
iya,0.081
jadi,0.202
jadwal,0.008
jakarta,0.04
jalan,0.016
jam,0.016
jamal,0.032
jatuh,0.008
jebal,0.008
jepang,0.016
jika,0.008
jiwa,0.008
jual,0.016
juga,0.057
june,0.032
juneya,0.016
juni,0.008
juseyo,0.024
kalau,0.073
kali,0.016
kan,0.049
kanghaneul,0.008
kapal,0.008
kapan,0.024
karena,0.024
kasus,0.008
ke,0.008
kecil,0.008
kejut,0.016
keluar,0.008
kena,0.008
kenapa,0.121
kepala,0.008
keras,0.024
kerja,0.008
kesal,0.008
ketemu,0.008
ketika,0.016
khusus,0.008
kim,0.008
kimbab,0.016
kimdongdong,0.008
kira,0.008
kirim,0.008
kirmizi,0.008
kita,0.016
koas,0.016
koh,0.057
komedi,0.008
konser,0.016
kontak,0.008
korea,0.016
kos,0.008
kuda,0.008
kurang,0.016
kuras,0.008
lagi,0.024
lagu,0.024
lah,0.008
lain,0.016
laki,0.016
laku,0.008
lalu,0.008
lama,0.016
lampung,0.008
lancar,0.008
langsung,0.008
least,0.008
lebay,0.008
lebih,0.024
lelah,0.016
lepas,0.016
lihat,0.04
ll,0.016
loh,0.008
loves,0.008
luar,0.008
lucu,0.016
lumayan,0.008
luna,0.008
lupa,0.008
lyrics,0.008
maaf,0.016
made,0.016
main,0.008
maju,0.008
makeupnya,0.008
makin,0.008
makna,0.008
malah,0.008
malaikat,0.008
malang,0.008
malesnya,0.008
malu,0.016
mana,0.008
manfatin,0.008
manis,0.016
marah,0.008
mariage,0.008
martabat,0.008
masa,0.032
masalah,0.016
masih,0.024
masuk,0.016
mata,0.008
matahari,0.008
mau,0.089
memang,0.024
menang,0.032
menikah,0.008
menteri,0.008
mereka,0.049
meskipun,0.016
mg,0.008
mianhae,0.016
milik,0.04
mimpi,0.024
minggu,0.008
minta,0.04
modal,0.008
mohon,0.008
mualaf,0.008
mulai,0.008
mungkin,0.024
myself,0.008
nad,0.016
naik,0.008
name,0.008
nangung,0.008
nanti,0.008
nasi,0.008
natrep,0.016
nawarin,0.008
nayoung,0.008
ne,0.008
negri,0.008
nemnya,0.008
neraka,0.008
ngabisin,0.008
ngantri,0.008
ngetok,0.008
ngira,0.008
nikmat,0.008
nona,0.008
nonas,0.008
nurut,0.008
nya,0.04
nyala,0.016
nyanyi,0.024
nyebar,0.008
nyerah,0.008
ofc,0.008
oh,0.008
ojek,0.016
oke,0.032
oleh,0.008
omong,0.049
once,0.008
opa,0.008
orang,0.049
ot,0.016
over,0.008
pacar,0.008
padahal,0.016
paham,0.008
pakai,0.008
paling,0.032
palsu,0.008
panas,0.008
panggil,0.016
panjang,0.032
pantas,0.008
pasang,0.008
pedih,0.008
peluk,0.016
penjara,0.008
penuh,0.008
percaya,0.008
perdana,0.008
pergi,0.008
peri,0.008
periksa,0.008
periode,0.008
pernah,0.016
pertama,0.016
pesan,0.008
petisi,0.008
pikir,0.016
pilih,0.008
polisi,0.008
pos,0.008
pov,0.016
prestasi,0.008
pria,0.008
puasa,0.008
pukpuk,0.008
pulang,0.016
punya,0.032
pusingin,0.008
putar,0.024
putri,0.008
racun,0.008
rambut,0.024
ranjau,0.008
rawa,0.008
realistis,0.008
realitas,0.008
realy,0.008
rekor,0.008
replying,0.008
rese,0.008
rindu,0.008
rscm,0.008
rsud,0.016
rumah,0.008
ruqyah,0.008
saengil,0.008
saja,0.065
sakit,0.008
salah,0.008
sama,0.105
sampai,0.016
sana,0.008
sangat,0.016
sangka,0.008
satu,0.049
saudara,0.04
saya,0.534
sebuah,0.057
sedih,0.024
segera,0.008
sehat,0.008
sekali,0.073
sekarang,0.008
selalu,0.008
selamanya,0.008
selamat,0.024
selesai,0.008
seluruh,0.008
semangat,0.008
semoga,0.016
sempurna,0.016
semua,0.04
senang,0.049
sendiri,0.016
sendokiran,0.008
senin,0.008
seperti,0.065
sepi,0.016
sesuai,0.008
sesuatu,0.008
set,0.008
setuju,0.008
shouldnt,0.008
siap,0.016
siapa,0.032
sih,0.049
singing,0.008
sini,0.024
situ,0.024
soal,0.008
solo,0.024
songchelin,0.008
songs,0.008
spanduk,0.008
spoiler,0.016
staf,0.024
stan,0.008
staysafe,0.008
suasana,0.008
such,0.008
sudah,0.162
sudut,0.008
suhyun,0.008
suka,0.032
sungguh,0.032
superduper,0.008
susah,0.008
sutradara,0.008
swasta,0.008
tadi,0.008
tahu,0.049
tahun,0.008
taiwan,0.008
takut,0.008
tales,0.008
tambah,0.024
tampil,0.008
tanda,0.008
tandatangani,0.008
tanggal,0.008
tangis,0.024
tante,0.008
tapi,0.024
tara,0.008
taruh,0.089
tawa,0.259
televisi,0.008
tell,0.016
teman,0.008
tempat,0.008
temu,0.016
tenaga,0.008
tengah,0.008
terimakasih,0.008
terjemah,0.008
terlihat,0.008
terus,0.008
thn,0.016
thx,0.024
tidak,0.291
tidur,0.008
tiket,0.016
times,0.008
tinggal,0.065
tinggi,0.008
tipe,0.016
titip,0.008
tolong,0.04
tonton,0.065
tugas,0.032
tuhan,0.016
tumit,0.008
tunggu,0.024
turun,0.008
turut,0.008
ubah,0.008
ucap,0.008
uh,0.016
ulang,0.008
undur,0.008
uni,0.024
untuk,0.219
untung,0.008
upgrade,0.008
uri,0.008
usah,0.016
utama,0.016
via,0.016
visum,0.008
vlive,0.024
volume,0.008
wah,0.008
wajar,0.008
wakakak,0.024
wakakakak,0.008
waktu,0.016
walking,0.008
wanita,0.008
wanjeon,0.008
warna,0.008
went,0.008
wyatb,0.008
ya,0.008
yah,0.008
yang,0.13
