term,weight
abu,0.007
ada,0.007
adalah,0.022
adoh,0.007
aduh,0.014
agar,0.036
agen,0.007
agung,0.014
air,0.014
ajar,0.087
akan,0.014
akhir,0.007
akhlak,0.007
akun,0.007
alat,0.007
alex,0.007
alir,0.007
allah,0.007
alus,0.007
alvonso,0.007
ambil,0.007
an,0.007
anak,0.109
anda,0.181
aneh,0.007
ang,0.007
apa,0.123
apel,0.007
aplikasi,0.007
apresiasi,0.007
arah,0.007
arti,0.007
artin,0.007
asa,0.007
asal,0.014
asin,0.014
aspek,0.007
astaga,0.007
atas,0.007
atau,0.007
atm,0.014
avatar,0.007
awam,0.007
awat,0.007
awkaowko,0.007
ayam,0.022
ayo,0.043
ba,0.007
babu,0.007
baca,0.043
bada,0.022
badan,0.014
bagaimana,0.029
bagus,0.036
bahas,0.014
bahasa,0.036
baik,0.087
bajing,0.007
baju,0.022
balas,0.007
balik,0.007
banding,0.007
bangga,0.007
bantu,0.036
banyak,0.087
bapak,0.014
barbar,0.014
baru,0.029
basa,0.007
basah,0.014
basi,0.007
bawa,0.022
bawain,0.007
bayangin,0.007
bayar,0.007
bct,0.007
beda,0.014
begini,0.007
begitu,0.072
belakang,0.007
belanja,0.022
beli,0.007
belum,0.007
benar,0.072
beras,0.007
beri,0.014
berita,0.007
bersihin,0.007
berudul,0.007
besar,0.007
biadab,0.022
bias,0.007
biasa,0.036
bibit,0.007
bicara,0.007
biji,0.007
bilang,0.029
bilangin,0.007
bima,0.007
bingung,0.014
bintang,0.007
bisa,0.022
bleaching,0.007
blok,0.007
blokade,0.007
bnr,0.007
bodoh,0.022
bohong,0.007
boleh,0.007
bom,0.022
bonbinya,0.007
bosan,0.022
botol,0.007
brisik,0.007
buat,0.152
buka,0.014
bukan,0.043
bulan,0.014
bulu,0.007
bungkus,0.007
buntel,0.007
buru,0.007
busa,0.007
butuh,0.014
cahaya,0.014
campurin,0.007
canda,0.007
caplok,0.007
cara,0.022
cari,0.014
catat,0.014
celaka,0.007
cemburu,0.014
cemil,0.051
cepat,0.022
cerewet,0.029
cerita,0.007
chef,0.007
cing,0.007
cinta,0.007
cipon,0.007
ciri,0.014
coba,0.014
cocok,0.022
cocokologi,0.007
cocol,0.007
comot,0.007
corona,0.007
couturier,0.007
cuma,0.029
cumi,0.007
curi,0.007
daftar,0.007
dagu,0.007
dakjal,0.007
dan,0.007
dana,0.014
dapat,0.029
dari,0.036
dasar,0.007
dat,0.007
data,0.007
datang,0.007
deadline,0.007
debet,0.014
dedy,0.007
dek,0.007
dekorasi,0.007
dendam,0.007
dengan,0.007
dengar,0.014
desa,0.007
desain,0.007
desak,0.007
di,0.029
dia,0.029
dialasin,0.007
dibutuhin,0.007
didik,0.007
dikatain,0.007
dimainin,0.007
dinamain,0.007
diri,0.043
diselesain,0.007
doa,0.007
doang,0.022
dokter,0.029
domisili,0.007
dong,0.014
dongo,0.007
dosen,0.007
drama,0.007
dulu,0.058
editin,0.007
ejek,0.007
emas,0.007
emol,0.007
enak,0.014
eng,0.007
espanol,0.007
et,0.007
euy,0.014
false,0.007
fckng,0.007
feelings,0.007
foreigners,0.007
fortunately,0.007
foto,0.007
fungsional,0.007
gadis,0.022
galak,0.007
galang,0.007
game,0.007
ganti,0.007
gapeduli,0.007
garpu,0.007
gawat,0.007
gblg,0.007
gel,0.007
gelplak,0.007
gemas,0.014
gembwul,0.007
gerogi,0.007
gigi,0.014
gila,0.014
gilir,0.007
gin,0.058
gogok,0.007
goreng,0.007
gorjes,0.007
gosip,0.007
gotong,0.007
gratis,0.007
guru,0.014
habis,0.036
hadiah,0.007
hai,0.029
hambar,0.007
hamil,0.007
