term,weight
abet,0.008
acung,0.008
ada,0.039
adan,0.008
adeknya,0.008
aduh,0.016
aduk,0.008
agar,0.008
ah,0.008
ahli,0.008
ajar,0.023
akan,0.008
akhir,0.078
akhlak,0.023
aktor,0.016
ala,0.008
alasan,0.008
ame,0.008
amin,0.016
amo,0.008
ampun,0.008
an,0.016
anak,0.031
anatomi,0.008
ancen,0.016
anda,0.281
android,0.008
aneh,0.008
anjr,0.023
apa,0.218
apik,0.008
aplikasi,0.008
apok,0.008
arti,0.023
artikel,0.008
asam,0.016
asik,0.008
asli,0.016
atas,0.008
atau,0.023
awak,0.023
awan,0.008
ayah,0.016
ayam,0.008
ayo,0.094
babu,0.008
baca,0.016
bagai,0.008
bagaimana,0.086
bagus,0.016
bahagia,0.016
bahasa,0.031
bahaya,0.016
bahkan,0.008
baik,0.023
bajing,0.008
bang,0.008
bangkai,0.008
bangkrut,0.008
bantu,0.016
banyak,0.023
bapak,0.008
barokah,0.008
baru,0.039
barudeh,0.008
basa,0.008
bawakno,0.008
beda,0.008
bedain,0.008
begini,0.008
begitu,0.062
belai,0.008
belakang,0.008
beliau,0.008
belum,0.008
benar,0.086
benci,0.023
bengkok,0.008
bentar,0.008
beranda,0.008
berapa,0.016
beri,0.008
besar,0.008
beta,0.008
bi,0.008
biadab,0.008
bias,0.008
biasa,0.016
bicara,0.047
biji,0.008
binar,0.008
binatang,0.016
bisa,0.016
bodoh,0.016
boleh,0.008
bolong,0.008
bot,0.008
braile,0.008
brewok,0.008
brewokan,0.008
brouw,0.031
brti,0.008
buah,0.008
buat,0.023
bubugaga,0.008
budak,0.008
buka,0.023
bukan,0.055
busek,0.008
buta,0.008
butuh,0.016
bz,0.008
cahaya,0.008
campur,0.008
cangar,0.008
cantik,0.008
cara,0.016
cari,0.023
cekne,0.008
celaka,0.008
cemil,0.016
cenayang,0.008
cepat,0.023
cerah,0.008
cerita,0.008
chatime,0.008
cilik,0.008
cilukba,0.008
cinta,0.031
cipta,0.008
coba,0.031
corona,0.008
cuma,0.062
da,0.008
daftar,0.016
daku,0.008
dar,0.008
dari,0.008
darimana,0.008
deep,0.008
deh,0.023
dek,0.008
dekat,0.023
deng,0.023
dengar,0.008
depan,0.008
deseu,0.008
df,0.055
dia,0.055
diandelin,0.008
dicekin,0.016
dieng,0.008
dijabani,0.008
dikit,0.016
dikongkon,0.008
dimpikan,0.008
dipakein,0.008
dipangil,0.008
diri,0.023
diskusi,0.008
dislok,0.008
ditanyain,0.008
ditingalin,0.008
doang,0.023
dokter,0.023
dosa,0.008
drama,0.008
dri,0.008
dua,0.008
dudu,0.008
dulu,0.039
durhaka,0.008
durung,0.008
dwong,0.008
eh,0.023
elegan,0.008
eling,0.008
emosi,0.008
enak,0.031
endog,0.008
ente,0.016
entek,0.008
eruh,0.008
facebok,0.008
favorit,0.023
fi,0.008
film,0.016
fisika,0.008
formalitas,0.016
gadis,0.023
gambar,0.008
game,0.008
ganok,0.016
ganti,0.008
gantung,0.008
gaopo,0.008
gapopo,0.008
gar,0.008
garemnya,0.008
gas,0.023
gase,0.008
gaspol,0.008
gatao,0.008
gel,0.008
gemuy,0.016
gendeng,0.016
gendenh,0.008
gendes,0.008
genduk,0.008
gentien,0.008
geprek,0.008
giat,0.008
giblik,0.016
gila,0.016
gilir,0.008
gimane,0.031
gin,0.023
ginjal,0.008
gitunag,0.008
gituya,0.008
gosong,0.008
gugup,0.008
gula,0.008
gumush,0.008
gundul,0.008
habis,0.008
hai,0.031
hakim,0.008
hanying,0.008
hapalan,0.008
hapus,0.008
harap,0.008
harga,0.008
hari,0.016
hasil,0.008
hati,0.031
hayuk,0.008
heard,0.008
hendak,0.008
henti,0.008
heran,0.016
hidup,0.008
hijau,0.008
hipoter,0.008
hitung,0.008
ho,0.008
hoo,0.008
ibu,0.023
iku,0.016
in,0.008
indah,0.016
indonesia,0.008
ingris,0.008
ini,0.047
instagram,0.008
ir,0.008
iring,0.008
ish,0.008
iso,0.008
istirahat,0.008
itu,0.023
ive,0.008
iya,0.078
iyase,0.008
iyoiyo,0.008
jadi,0.047
jadwal,0.008
jajan,0.016
jalan,0.016
jam,0.008
jametmu,0.008
jancok,0.008
jari,0.008
jawab,0.023
jelas,0.016
jelek,0.008
jempol,0.008
jenguk,0.008
jerman,0.008
jijik,0.008
jo,0.008
jodoh,0.008
john,0.008
jomblo,0.008
jowo,0.008
juga,0.016
kabot,0.008
kaca,0.008
kadang,0.008
kademen,0.008
kaki,0.008
kalau,0.117
kali,0.023
kalng,0.008
kamus,0.008
kan,0.094
kandung,0.008
kantong,0.008
kapan,0.008
karena,0.008
kasi,0.008
kata,0.023
katae,0.008
kate,0.016
kating,0.008
kayak,0.031
keak,0.008
kecil,0.008
kei,0.008
kelan,0.008
kelon,0.016
keluarga,0.008
kemarin,0.008
ken,0.055
kenal,0.016
kenapa,0.039
kencan,0.008
kene,0.023
kepala,0.016
kepiye,0.008
kerak,0.008
keraktelor,0.016
kerja,0.023
kerudung,0.016
kesal,0.008
kesan,0.016
kesleo,0.008
kesuwen,0.008
ket,0.008
ketawa,0.008
kicil,0.008
kilogram,0.008
kimia,0.008
kira,0.008
kiri,0.008
klopekan,0.008
kolam,0.008
kon,0.023
koneng,0.008
konspirasi,0.008
konteks,0.008
kontrak,0.008
kota,0.008
kowe,0.008
kraksan,0.008
kriwil,0.008
kuat,0.008
kucing,0.023
kuda,0.016
kui,0.008
kuin,0.008
kulit,0.008
kumat,0.016
kuyang,0.008
kyok,0.031
la,0.008
lage,0.008
lah,0.016
lak,0.008
laki,0.07
laku,0.016
lali,0.016
lambe,0.008
lambung,0.016
lancar,0.023
lapar,0.008
lapo,0.023
lawan,0.008
le,0.008
lebih,0.031
leceh,0.008
lek,0.055
lelah,0.008
lelucon,0.008
leo,0.008
les,0.008
lewat,0.008
lha,0.008
lho,0.031
lihat,0.031
lingkung,0.008
logika,0.008
loh,0.008
lokal,0.008
lonjong,0.008
loro,0.008
luar,0.008
lupa,0.031
lur,0.016
lurus,0.008
mabuk,0.008
macam,0.008
madu,0.008
maemunah,0.008
magrib,0.008
mahal,0.016
mahamin,0.008
mahasiswa,0.016
main,0.008
makas,0.016
makmu,0.008
maksa,0.008
maksud,0.008
mal,0.008
malah,0.008
malaikat,0.016
malam,0.016
malang,0.016
mall,0.008
malu,0.023
mana,0.016
mangap,0.008
mangkane,0.016
manis,0.008
mantap,0.008
manusia,0.008
masa,0.016
masalah,0.008
masio,0.016
masuk,0.039
masya,0.016
mata,0.023
matematika,0.023
mathane,0.008
mati,0.008
matkul,0.008
mau,0.055
mbliyeng,0.008
mbok,0.016
mbulet,0.008
meduro,0.008
megaya,0.008
megelno,0.008
memang,0.047
memberi,0.008
menang,0.023
menanges,0.016
mengunakanya,0.008
meo,0.031
meong,0.016
merah,0.008
mereka,0.008
merk,0.008
mesake,0.008
mesti,0.008
metu,0.016
mie,0.008
mimpi,0.016
minggu,0.008
mini,0.008
minta,0.016
minum,0.016
mlayu,0.008
modyar,0.008
muda,0.023
muka,0.016
mukul,0.023
mungkin,0.016
murah,0.016
muring,0.008
musim,0.016
nah,0.008
naik,0.008
nakal,0.008
nama,0.008
nang,0.023
napas,0.008
ndamau,0.008
nde,0.008
ndek,0.008
ndelok,0.008
ndi,0.008
nduk,0.008
ne,0.008
nebak,0.008
neraka,0.016
nesie,0.008
netap,0.008
ngab,0.023
ngaknya,0.008
ngalir,0.008
ngawe,0.008
ngefoto,0.008
ngehujat,0.008
ngela,0.008
ngendi,0.008
ngene,0.023
ngengek,0.008
ngitung,0.008
nglamak,0.008
ngliat,0.008
nglumpuk,0.008
ngolek,0.008
ngono,0.031
ngoreng,0.008
ngrasakno,0.008
ngunu,0.008
nguyu,0.008
nik,0.008
njaluk,0.016
njemur,0.008
nomor,0.008
nontonin,0.008
ntah,0.016
nu,0.008
nubruk,0.008
nuduh,0.008
nuko,0.008
nya,0.031
nyala,0.016
nyambung,0.008
nyaranin,0.008
nyemangatin,0.008
nyoh,0.008
nyusu,0.008
oalah,0.008
ofc,0.008
oke,0.008
omahmu,0.016
omelin,0.008
omong,0.016
ompol,0.008
online,0.008
ono,0.023
orang,0.055
oren,0.016
organisme,0.008
oricat,0.008
pacar,0.008
padahal,0.016
pager,0.016
paham,0.039
pakai,0.031
pakde,0.008
paksa,0.016
paleng,0.008
paling,0.031
paman,0.008
pancal,0.008
pangah,0.008
pantas,0.008
parah,0.008
paralayang,0.008
pasien,0.016
patut,0.008
peang,0.008
pemandanganya,0.008
pena,0.008
pengirim,0.016
perban,0.008
percaya,0.023
percuma,0.008
periksa,0.008
perkara,0.008
pernah,0.062
persegi,0.008
pertama,0.016
pertanyane,0.008
pesmaba,0.008
peta,0.039
pibesday,0.008
pikir,0.047
pilih,0.031
pindah,0.008
pis,0.016
pisah,0.008
pleasure,0.008
pol,0.008
pon,0.008
poni,0.016
posisi,0.008
postinglah,0.008
poteh,0.008
pred,0.008
pren,0.008
pria,0.016
profpict,0.008
proses,0.008
psikopat,0.008
punya,0.047
pusing,0.008
pute,0.008
putew,0.008
racun,0.008
rada,0.008
rambut,0.039
rampal,0.016
range,0.008
rasa,0.023
rausah,0.008
rekomnya,0.008
renang,0.023
rendang,0.008
replynya,0.008
ribut,0.008
rindu,0.008
rumit,0.016
sabar,0.008
saiki,0.008
saja,0.148
sakit,0.023
salah,0.016
sama,0.117
sambat,0.016
sampah,0.008
sampai,0.016
samsul,0.008
sangat,0.023
santai,0.008
saran,0.008
satu,0.039
saudara,0.148
sawah,0.008
saya,0.405
sayang,0.008
se,0.008
sebagai,0.008
sebentar,0.016
seblak,0.016
sebuah,0.031
sedang,0.023
sedih,0.008
segar,0.008
segeran,0.008
sekali,0.07
sekarang,0.055
selak,0.008
selamat,0.008
sembuh,0.008
semester,0.008
semire,0.008
semoga,0.008
semua,0.031
sendiri,0.023
seng,0.055
sengaknya,0.008
sengang,0.008
senin,0.008
senja,0.008
sepeda,0.008
seperti,0.062
set,0.008
setan,0.008
setuju,0.008
shen,0.023
si,0.016
sial,0.016
siapa,0.047
sih,0.016
sik,0.008
