term,weight
abjad,0.007
able,0.007
abu,0.007
ada,0.028
adalah,0.117
aduh,0.028
agar,0.021
agenda,0.007
ahli,0.007
ain,0.007
ajar,0.034
aju,0.014
akan,0.041
akhir,0.076
alasan,0.007
album,0.007
alibi,0.007
alih,0.007
allah,0.007
alur,0.007
aman,0.007
ambil,0.014
amoeba,0.007
ampuh,0.007
an,0.028
anak,0.034
analisa,0.007
anda,0.206
angkat,0.014
any,0.007
anyone,0.007
apa,0.083
apart,0.007
api,0.007
aplikasi,0.014
argo,0.014
arti,0.007
artikel,0.007
asa,0.007
asal,0.021
ashfal,0.007
astagah,0.007
atas,0.007
atau,0.021
atur,0.007
aturanya,0.007
aul,0.007
aum,0.007
awal,0.007
awan,0.007
ayat,0.007
baca,0.069
bagaimana,0.021
bagi,0.021
bagus,0.007
bahagia,0.007
bahari,0.007
bahas,0.007
bahkan,0.014
baik,0.041
bakat,0.007
balas,0.007
balik,0.014
banjir,0.007
banyak,0.034
bapak,0.028
bara,0.007
barang,0.007
baru,0.096
bas,0.007
bassist,0.007
batu,0.007
batuk,0.007
bayi,0.014
beberapa,0.028
becomes,0.007
beda,0.021
bedan,0.014
begitu,0.055
beku,0.007
belah,0.007
belakang,0.014
beli,0.021
beliau,0.007
belok,0.007
belum,0.034
benar,0.055
bencana,0.007
benda,0.007
beranda,0.014
berani,0.014
berapa,0.007
berat,0.021
berkat,0.007
berkata,0.007
bersih,0.007
bersihin,0.007
berterimakasih,0.034
besar,0.034
besok,0.014
beud,0.028
beuds,0.014
beyond,0.007
bias,0.007
biasa,0.014
biaya,0.007
bil,0.007
bilang,0.007
bimbing,0.007
bingkai,0.007
bingung,0.014
biologi,0.007
biosiences,0.007
bisa,0.062
boarding,0.007
bobot,0.007
bolak,0.007
bringing,0.014
brngkl,0.007
buat,0.103
bucyn,0.007
budaya,0.007
bukan,0.028
bukber,0.007
buku,0.028
bulan,0.007
butuh,0.021
cabut,0.007
cakap,0.007
cara,0.014
cari,0.021
cause,0.007
cemil,0.007
ceramah,0.007
cerita,0.076
cheribon,0.007
cicil,0.007
cielah,0.007
cinta,0.041
cireks,0.007
coba,0.034
colorama,0.007
contoh,0.014
cony,0.007
crb,0.007
cuma,0.055
daebak,0.014
daftar,0.007
dalam,0.021
dalgona,0.007
damai,0.007
dan,0.028
dapat,0.076
darah,0.007
dari,0.165
daripada,0.021
dasar,0.007
datenya,0.007
daun,0.007
davis,0.007
daya,0.014
