term,weight
aceh,0.008
ada,0.038
adalah,0.068
adan,0.008
adi,0.008
admin,0.015
adon,0.023
aduh,0.015
agar,0.015
agenda,0.008
agitasi,0.008
agustus,0.023
ah,0.008
ahli,0.015
ajar,0.015
akan,0.045
akhir,0.045
alaihi,0.008
alih,0.008
alm,0.008
alur,0.008
alyesa,0.008
ambil,0.03
ambon,0.008
amin,0.015
anak,0.03
anda,0.174
andy,0.008
aneh,0.023
angkat,0.008
angkin,0.008
angkut,0.008
antre,0.015
aoyama,0.008
apa,0.098
api,0.008
aplikasi,0.008
arah,0.015
aren,0.008
arti,0.015
arung,0.008
ashar,0.008
asing,0.008
asked,0.045
asli,0.015
asri,0.023
astaugfirulah,0.008
atas,0.023
atau,0.008
awal,0.015
ayah,0.038
ayak,0.008
ayo,0.03
baca,0.008
bagaimana,0.023
bagi,0.03
bagus,0.038
bahagia,0.015
bahas,0.008
bahkan,0.008
baik,0.083
bakar,0.008
balas,0.008
balesan,0.008
balik,0.015
bangun,0.015
bantat,0.008
bantu,0.023
banyak,0.038
bapak,0.045
baru,0.03
basalamah,0.008
batang,0.008
bau,0.008
bawa,0.015
bayi,0.015
bebas,0.008
beda,0.023
begini,0.008
begitu,0.023
belakang,0.008
belum,0.053
benar,0.053
beranda,0.008
berani,0.008
berat,0.015
bercengkrama,0.008
bergegeas,0.008
beri,0.068
berkas,0.015
bersih,0.008
besar,0.015
besok,0.015
betul,0.008
bgmn,0.008
bholam,0.008
biasa,0.015
bijaksana,0.015
biji,0.008
bilang,0.015
bimsilah,0.008
bina,0.015
binging,0.008
bingung,0.015
bintang,0.008
biru,0.008
bisa,0.045
boleh,0.008
bolong,0.008
bolu,0.008
boneka,0.008
both,0.008
brownies,0.015
buat,0.129
bubuk,0.015
bukan,0.008
bukti,0.008
buku,0.008
bulan,0.045
bumi,0.008
buru,0.015
burung,0.008
butir,0.008
butuh,0.023
cakap,0.008
calon,0.008
campur,0.008
cara,0.03
cari,0.015
catat,0.008
cemara,0.008
cemil,0.008
cepat,0.008
cerita,0.023
cermat,0.008
cermin,0.008
cgk,0.008
chatime,0.008
children,0.008
cina,0.008
cinta,0.03
cipta,0.008
cirebon,0.008
coba,0.045
cocok,0.008
cokelat,0.023
coklat,0.008
condong,0.008
cried,0.008
ctm,0.008
cuci,0.008
cukup,0.023
cuma,0.023
curhat,0.008
dadak,0.008
daftar,0.008
dalam,0.008
damai,0.008
dampak,0.023
dan,0.083
dangers,0.008
dapat,0.015
dari,0.113
daripada,0.008
darker,0.008
datang,0.015
deep,0.008
deh,0.015
dekat,0.015
dengan,0.038
dengar,0.015
depan,0.015
depok,0.023
dewasa,0.008
dftr,0.008
dhocolate,0.008
di,0.03
dia,0.023
did,0.008
dimana,0.008
dipikirin,0.008
direspon,0.008
diri,0.008
doa,0.015
domestik,0.008
dong,0.008
dongeng,0.008
dosa,0.008
dulu,0.045
dzuhur,0.015
ed,0.008
edisi,0.008
eh,0.023
emas,0.008
emosi,0.008
enak,0.008
estimated,0.008
fast,0.008
favorit,0.008
favors,0.008
film,0.023
foto,0.008
fresh,0.015
gadis,0.015
galus,0.008
gambir,0.008
ganti,0.03
garam,0.008
gas,0.008
gave,0.038
gaya,0.008
gelap,0.008
gelisah,0.008
generasi,0.008
gerak,0.008
gereja,0.008
gerimis,0.008
getting,0.008
gin,0.015
gocar,0.015
gojek,0.008
gondangdia,0.008
goreng,0.008
gosho,0.008
goyang,0.008
gr,0.038
gramer,0.008
gula,0.015
guling,0.008
gumam,0.008
habis,0.015
hadap,0.008
haha,0.015
hai,0.015
hakim,0.008
halus,0.008
hangat,0.008
harap,0.015
harga,0.008
hari,0.045
harus,0.008
hasil,0.008
hati,0.038
havent,0.008
hendak,0.008
hibur,0.023
hidayat,0.008
hidup,0.015
hijau,0.008
hilang,0.008
hilir,0.008
hore,0.008
