term,weight
abjir,0.008
acak,0.008
ada,0.041
adalah,0.016
adeganya,0.008
aduh,0.008
agama,0.008
agar,0.016
air,0.008
ajak,0.008
ajar,0.016
ajsjsjs,0.008
ajsjsksksk,0.008
akaksksk,0.008
akan,0.016
akdksksks,0.008
akhir,0.033
aksjsjsj,0.008
aksksk,0.008
aksksks,0.016
aksksksksk,0.008
akun,0.016
akuntansi,0.008
akzksksk,0.008
alam,0.008
album,0.016
aliad,0.008
alias,0.041
alir,0.008
alsjsjsjs,0.008
ambil,0.008
amboksing,0.008
ambyar,0.008
ampuh,0.008
anak,0.033
anda,0.139
aneh,0.008
angkat,0.008
anja,0.057
ap,0.016
apa,0.082
aplikasi,0.016
aps,0.008
apus,0.008
asli,0.016
atau,0.016
atraksi,0.008
ayam,0.008
ayo,0.049
baca,0.025
bacan,0.008
bagai,0.008
bagaimana,0.016
bahagia,0.008
bahasa,0.016
bahkan,0.016
baik,0.025
bajing,0.033
bakat,0.008
bakso,0.008
baku,0.008
balas,0.016
balik,0.008
bang,0.016
banjar,0.008
banyak,0.057
bapak,0.016
barang,0.016
bareng,0.025
baru,0.033
batu,0.008
bau,0.008
bawa,0.025
bawah,0.008
bawang,0.016
beban,0.008
beda,0.025
begini,0.008
begitu,0.156
bejo,0.008
belah,0.008
beli,0.033
beludru,0.008
benang,0.008
benar,0.074
benarkan,0.008
bensu,0.008
bentar,0.025
bentuk,0.008
berani,0.016
berapa,0.008
berisik,0.008
berita,0.008
berkah,0.008
besar,0.025
besok,0.008
betul,0.008
biadab,0.016
biasa,0.016
bibi,0.008
bicara,0.008
bilang,0.008
bintang,0.016
bio,0.008
biru,0.008
bisa,0.008
blok,0.008
bobanya,0.008
bodoh,0.016
boruto,0.008
botak,0.008
brave,0.008
bre,0.008
brownies,0.008
buat,0.098
buka,0.025
bukan,0.016
bukti,0.008
buku,0.016
bule,0.008
bungul,0.008
buram,0.008
burger,0.008
buruk,0.008
busa,0.008
canda,0.016
cara,0.008
cari,0.033
celak,0.008
cemil,0.033
cepat,0.008
cerah,0.008
cerewet,0.008
cerita,0.025
cetak,0.008
cho,0.008
cinta,0.008
co,0.016
coba,0.025
cocokin,0.008
comel,0.008
congratultion,0.008
contoh,0.008
corona,0.008
cpt,0.008
ctm,0.008
cuci,0.008
cukimai,0.008
cukup,0.008
culik,0.008
cuma,0.066
da,0.025
dablek,0.008
dan,0.016
dapat,0.008
datang,0.008
debu,0.008
decided,0.008
dengan,0.016
dengar,0.008
depan,0.008
derita,0.008
detik,0.008
di,0.033
dia,0.016
diafragma,0.008
dibasahin,0.008
diblock,0.008
didengerin,0.008
dihold,0.008
dikit,0.025
dikos,0.016
dikosan,0.008
dingin,0.033
dipanjangin,0.008
diri,0.008
disini,0.008
disodorin,0.008
doang,0.016
domino,0.008
dong,0.008
dosen,0.016
doy,0.016
drama,0.008
duabelas,0.008
dulu,0.041
dusta,0.008
dyam,0.008
efek,0.008
eh,0.016
ekonomi,0.008
eksoku,0.008
emon,0.016
emosi,0.025
enak,0.033
energi,0.008
engkau,0.008
episode,0.008
era,0.008
ex,0.008
eyeshadow,0.008
fanfiction,0.008
felly,0.008
fidy,0.008
finest,0.008
five,0.008
folo,0.016
footstep,0.008
foto,0.008
fr,0.008
frame,0.008
fresh,0.008
frik,0.008
gaban,0.008
gad,0.008
gadis,0.008
gajelas,0.025
gaks,0.008
gakuat,0.008
gambar,0.008
gapa,0.008
gaperlu,0.016
gegayanku,0.008
gelang,0.008
gelap,0.008
gelas,0.008
gelem,0.008
gelombang,0.008
gemesin,0.008
geprek,0.008
gera,0.008
getah,0.016
getar,0.008
giat,0.008
gila,0.049
gin,0.057
gondronk,0.008
gosok,0.008
gratis,0.016
grintinya,0.008
guru,0.008
habis,0.016
hai,0.008
halusinasi,0.008
han,0.008
hancur,0.008
hanya,0.008
hapal,0.008
hari,0.049
hasil,0.008
hati,0.008
his,0.008
hitung,0.008
horor,0.008
hujan,0.008
humoris,0.033
huw,0.008
hydrated,0.008
hyungnim,0.016
ibu,0.008
ih,0.016
ikut,0.016
in,0.025
indomu,0.008
indonesia,0.008
ingat,0.008
ingin,0.016
ini,0.115
insekyur,0.008
instagram,0.016
insya,0.008
ip,0.008
ipa,0.008
ipes,0.008
ireng,0.008
iri,0.008
islam,0.008
itu,0.098
iya,0.033
jadi,0.18
jajan,0.008
jajsjsjsjsj,0.008
jalan,0.008
jam,0.025
jambu,0.008
jamur,0.025
jancok,0.008
jaring,0.008
jeda,0.008
jelas,0.016
jelek,0.008
jet,0.008
jika,0.008
jink,0.008
jne,0.008
jogging,0.008
joki,0.008
jual,0.016
judul,0.016
juga,0.016
jujur,0.041
jun,0.008
juna,0.008
jurnal,0.008
kadang,0.008
kai,0.008
kalah,0.008
kalang,0.008
kalau,0.197
kali,0.041
kalian,0.008
kamar,0.025
kamis,0.016
kan,0.033
kanan,0.008
kapal,0.016
kapok,0.008
kapur,0.008
karena,0.041
kartu,0.008
kasar,0.008
kasih,0.008
kata,0.033
katara,0.016
keknyak,0.008
kelapany,0.008
kelas,0.008
kelompok,0.008
keluar,0.016
keluarga,0.016
kemarin,0.025
ken,0.016
kena,0.008
kenapa,0.025
kepanjanganya,0.008
keras,0.016
keren,0.016
kerja,0.008
khilaf,0.008
kimak,0.008
kira,0.016
kispray,0.008
kita,0.016
kitab,0.008
klan,0.008
klen,0.008
kode,0.008
kodok,0.008
kokobop,0.008
kokumi,0.008
kolonial,0.008
komentar,0.008
kondusif,0.008
kopstud,0.008
korondoy,0.008
kos,0.033
kosong,0.008
kpop,0.008
krisis,0.008
kucing,0.008
kue,0.008
kuliah,0.016
kulon,0.008
kup,0.008
kurang,0.016
labrak,0.008
lagi,0.049
lagu,0.008
lah,0.041
lahir,0.008
lain,0.008
laki,0.09
lama,0.033
lampu,0.008
langsung,0.025
lanjut,0.016
latih,0.008
laut,0.008
lebih,0.049
lega,0.008
leha,0.025
lemah,0.008
lembab,0.008
lepas,0.008
lepi,0.008
libur,0.008
lightrom,0.008
lihat,0.049
ling,0.008
loncat,0.016
looking,0.008
luar,0.008
luas,0.008
lupa,0.008
lur,0.016
lurus,0.008
maaf,0.008
mahal,0.008
mahasiswa,0.008
makin,0.016
malah,0.049
malam,0.016
malang,0.025
malas,0.025
malu,0.025
mana,0.033
mandarin,0.008
mandi,0.008
manis,0.025
mantap,0.025
masak,0.008
masih,0.008
masker,0.016
mata,0.033
matahnya,0.008
mati,0.025
matkul,0.008
mau,0.033
mawapres,0.008
medok,0.008
mekdi,0.008
memang,0.049
memberi,0.016
menang,0.008
mencet,0.008
mengembirakan,0.008
menit,0.008
menu,0.008
merah,0.025
milik,0.008
minder,0.008
minta,0.008
misal,0.008
miscal,0.008
misogini,0.008
mnambah,0.008
mobil,0.008
mudah,0.016
muka,0.008
mulai,0.008
murce,0.008
mw,0.008
nafas,0.008
nama,0.016
nang,0.041
napas,0.016
narkoba,0.008
nasgor,0.008
negara,0.016
nempel,0.008
nenek,0.016
neneku,0.016
netpliks,0.008
ngamuk,0.008
ngaret,0.008
ngent,0.008
nget,0.016
ngetwet,0.008
ngilu,0.008
ngl,0.008
ngobrol,0.008
ngomahku,0.008
ngontrol,0.008
ngulang,0.008
nihong,0.008
nikmat,0.008
nilai,0.016
nimbun,0.008
nk,0.008
nontonin,0.008
novbas,0.008
nutup,0.008
nutupin,0.008
nya,0.074
nyala,0.008
nyambung,0.008
nyata,0.025
nyedot,0.008
nyetrika,0.008
nyimak,0.008
nyonya,0.008
odol,0.016
oflien,0.008
ofline,0.008
oke,0.041
omong,0.008
ongkir,0.008
online,0.008
orang,0.041
orenmane,0.008
organisasi,0.008
overrated,0.008
padahal,0.016
paham,0.025
pait,0.008
pajang,0.008
pakai,0.123
pala,0.008
palid,0.008
paling,0.008
palsu,0.008
panas,0.008
pandang,0.008
panen,0.008
panitia,0.008
panjang,0.008
pantek,0.008
parfum,0.008
parut,0.008
pasang,0.008
pelakor,0.008
pemandanganya,0.008
pena,0.016
pendek,0.008
pengirim,0.123
penuh,0.008
per,0.008
pergi,0.016
periksa,0.008
pernah,0.008
persegi,0.008
pertama,0.033
pesiar,0.008
pibesdey,0.008
pict,0.016
pikir,0.033
pintar,0.025
piring,0.008
pitsa,0.008
pokok,0.008
pop,0.008
pose,0.008
poster,0.041
praktek,0.008
pria,0.008
proker,0.016
provokatif,0.008
puasa,0.008
pukul,0.016
puol,0.008
pusing,0.008
pusingin,0.008
putih,0.008
rab,0.008
rabes,0.008
rad,0.008
rada,0.008
ramadhan,0.008
rambut,0.016
ranjang,0.008
rasa,0.049
redacted,0.025
relateable,0.008
renti,0.008
rindu,0.025
robek,0.008
roti,0.008
rp,0.008
rubah,0.008
rubik,0.016
rugi,0.016
rumah,0.057
rumus,0.008
rupiah,0.008
ryeowok,0.008
sadar,0.008
saja,0.23
sakit,0.008
saku,0.008
salah,0.016
sama,0.123
sambal,0.008
sampah,0.008
sampai,0.082
sampan,0.008
sampul,0.008
sasuke,0.008
satu,0.016
saudara,0.164
saya,0.393
sayang,0.025
sc,0.008
sebelas,0.008
sebentar,0.033
sebuah,0.008
sedih,0.033
sejarah,0.008
sekali,0.172
sekarang,0.016
seko,0.008
sekolah,0.008
selamat,0.008
selasa,0.008
selimut,0.008
semangat,0.025
semester,0.016
seminggu,0.016
sempurna,0.008
semua,0.033
senam,0.008
sendiri,0.016
sengaja,0.008
senguk,0.008
seperti,0.123
sepupu,0.008
serial,0.008
sering,0.016
serius,0.008
seru,0.008
sesuai,0.008
setlist,0.008
setuju,0.008
seungwo,0.008
si,0.049
sial,0.23
siap,0.016
siapa,0.008
sicheng,0.008
sih,0.041
sikat,0.025
sinting,0.008
siram,0.008
sistem,0.008
sj,0.008
skit,0.008
smw,0.008
soal,0.049
sobek,0.008
sok,0.008
somehow,0.008
sora,0.008
soto,0.008
sp,0.016
spotify,0.008
srek,0.008
stabil,0.008
suara,0.008
suasana,0.008
sub,0.008
suci,0.008
sudah,0.107
suka,0.057
sumber,0.008
sumpah,0.049
suntik,0.008
sunting,0.008
susah,0.041
syok,0.025
syukur,0.008
tabung,0.016
tadi,0.016
taeil,0.008
tahilalat,0.008
tahu,0.057
tahun,0.016
takut,0.008
tambahin,0.008
tampan,0.016
tanah,0.008
tanda,0.008
tangan,0.008
tanggal,0.008
tangis,0.082
tangkap,0.008
tani,0.008
tapi,0.164
tara,0.008
taronya,0.008
taruh,0.025
tato,0.008
tawa,0.189
telaso,0.008
telepon,0.008
teman,0.041
tempat,0.016
terbaik,0.016
teriak,0.008
terima,0.008
terimakasih,0.008
teringat,0.016
terlalu,0.008
terlihat,0.008
terus,0.098
tg,0.008
tiap,0.041
tiba,0.016
tidak,0.361
tidur,0.008
tindak,0.008
tinggal,0.025
tinggi,0.025
tonton,0.049
trusted,0.008
tugas,0.016
tuhan,0.082
tukang,0.008
tukar,0.008
tumpang,0.025
tunggu,0.008
turut,0.016
uang,0.008
ucap,0.008
ujeu,0.008
ujung,0.016
ulat,0.008
ulung,0.008
under,0.008
underrated,0.008
untuk,0.049
untung,0.033
usah,0.016
utama,0.016
vaksin,0.008
valid,0.008
video,0.008
wajar,0.008
waktu,0.025
walaupun,0.008
walki,0.008
wang,0.008
wanita,0.025
webtun,0.008
winwin,0.008
wkwkmwm,0.008
yah,0.008
yan,0.008
yang,0.131
yut,0.008
yuta,0.008
zh,0.008
zonk,0.008
