term,weight
aa,0.016
abong,0.008
ada,0.049
adalah,0.008
admin,0.032
aduh,0.008
agar,0.016
ah,0.065
aisiya,0.008
ajak,0.008
ajar,0.024
akad,0.008
akan,0.008
akhir,0.024
akhlak,0.008
akibat,0.008
aktivitas,0.008
akuge,0.008
akumah,0.032
akun,0.008
akusih,0.008
alam,0.016
alamat,0.008
ambyar,0.008
amin,0.008
among,0.008
an,0.04
anak,0.04
anda,0.202
anehapakah,0.008
anjiw,0.016
apa,0.105
apaka,0.008
apaya,0.008
arti,0.008
asal,0.016
asique,0.008
asri,0.008
astaga,0.008
awal,0.008
awan,0.008
awas,0.008
bagai,0.008
bagaimana,0.057
bagus,0.008
bahagia,0.008
bahas,0.008
bahasa,0.032
baik,0.057
bajing,0.024
balas,0.016
balasbogo,0.008
bandung,0.024
bangga,0.008
bangjep,0.008
bangke,0.008
bangkong,0.008
banya,0.008
banyak,0.032
bapak,0.04
barin,0.008
baring,0.008
baris,0.008
baru,0.024
baturmah,0.016
bayang,0.008
bca,0.016
bcd,0.008
beberapa,0.008
beberes,0.008
begadang,0.008
begitu,0.032
beja,0.008
beli,0.016
benci,0.008
benget,0.008
bengets,0.008
bentuk,0.008
berapa,0.024
besok,0.024
betul,0.008
beul,0.016
biarin,0.008
biasa,0.008
bicara,0.008
bil,0.008
bila,0.008
bilang,0.032
billy,0.016
bingung,0.016
bintang,0.008
bisa,0.024
bismillah,0.008
bli,0.008
bodoh,0.008
bogoh,0.008
bohay,0.008
bonceng,0.008
boneka,0.008
bonus,0.016
bos,0.008
bosan,0.016
buang,0.008
buat,0.081
budak,0.016
buendah,0.016
buka,0.008
bukan,0.032
bulan,0.032
bulanya,0.008
bulu,0.008
bumi,0.008
camer,0.016
canggung,0.008
cantik,0.016
cari,0.016
cause,0.008
cemil,0.016
ceng,0.008
cengin,0.008
centil,0.008
cepat,0.008
ceramah,0.008
ceuk,0.008
cicak,0.008
cik,0.016
cinta,0.04
ciye,0.008
coklat,0.016
confused,0.008
corona,0.032
coz,0.008
cristiano,0.008
cucumber,0.008
cukup,0.008
da,0.024
damang,0.008
dan,0.024
darbost,0.008
dari,0.016
darimane,0.008
daripada,0.016
datang,0.008
daya,0.008
dede,0.008
deh,0.04
denim,0.008
depa,0.008
depok,0.008
detik,0.008
dewi,0.008
di,0.032
dia,0.016
dicuekin,0.016
didago,0.008
didi,0.008
didoain,0.008
dikerumunin,0.008
dikit,0.016
dilema,0.008
dimarahin,0.008
dinget,0.008
dipikirin,0.008
diri,0.024
diriweuhin,0.008
dirumahaja,0.008
diutangin,0.016
diwajarin,0.008
doang,0.024
dong,0.04
dosa,0.008
drakula,0.008
duanyanya,0.008
duduk,0.016
dulu,0.024
edisyen,0.008
eh,0.024
enak,0.008
ente,0.008
enya,0.024
enyakitu,0.008
euy,0.008
fizi,0.008
friends,0.016
fucek,0.008
fucklentine,0.008
gabegitu,0.008
gagabah,0.008
gaia,0.016
gaji,0.008
gakerasa,0.008
gakuat,0.016
gakuatnonton,0.008
gangerti,0.008
ganggu,0.008
garing,0.008
gausa,0.04
gawe,0.008
ge,0.016
geboy,0.008
gejelas,0.008
gelap,0.008
geleng,0.016
getok,0.008
gila,0.016
gin,0.024
gitar,0.008
gituloc,0.008
gosah,0.008
habis,0.008
hadeuh,0.008
hadir,0.008
haduh,0.008
haha,0.024
hahahmalu,0.008
hai,0.008
hajar,0.008
hamba,0.008
hanya,0.008
hapal,0.008
hari,0.016
harus,0.016
hati,0.016
hatiqu,0.008
heartbreak,0.008
helm,0.008
hepi,0.008
heran,0.016
heuh,0.016
hidupna,0.008
hih,0.008
hilang,0.016
histeris,0.008
huhukecuali,0.008
humoris,0.04
hurung,0.016
ibadah,0.008
ibu,0.057
idupnya,0.016
ih,0.016
ikut,0.016
ilaihi,0.008
in,0.032
inalilahi,0.008
indah,0.008
indicome,0.008
indonesia,0.04
induk,0.008
informasi,0.008
ingat,0.016
ingin,0.024
ingris,0.032
ini,0.024
insya,0.016
introvert,0.008
isi,0.016
istirahat,0.008
istri,0.008
item,0.008
itu,0.113
ituloh,0.008
itumah,0.008
iya,0.089
iyasih,0.008
jadi,0.097
jaga,0.008
jaksel,0.008
jalan,0.024
jam,0.016
jamah,0.008
jaman,0.008
jarak,0.008
jawab,0.016
jdweh,0.008
jobdesk,0.008
jokes,0.008
judes,0.008
juga,0.04
juni,0.008
kab,0.008
kabar,0.008
kadang,0.008
kalah,0.032
kalau,0.13
kaleum,0.008
kali,0.016
kalong,0.008
kamera,0.008
kan,0.016
kantong,0.008
kapan,0.008
karena,0.008
kasih,0.04
kata,0.016
kecewa,0.024
kelakar,0.008
kelakuanya,0.008
kemarin,0.008
kempot,0.008
kena,0.049
kenal,0.016
kenapa,0.04
kendi,0.008
kenyang,0.008
kepala,0.024
kerja,0.032
kertas,0.008
kesal,0.008
kesana,0.008
kesini,0.008
kesitu,0.008
ketawa,0.024
ketawabukan,0.008
ketemu,0.008
ketidakamanan,0.008
ketika,0.016
khusus,0.008
kirana,0.016
kita,0.016
klean,0.008
kmha,0.008
kmn,0.008
kobisa,0.008
kode,0.008
komedi,0.016
kondisi,0.008
konfirmasi,0.008
konteks,0.008
kota,0.008
kuas,0.008
kucing,0.008
kuda,0.016
kulit,0.008
kumpul,0.024
kurang,0.008
kurus,0.008
kyknya,0.008
lagi,0.024
lah,0.049
laki,0.097
laku,0.008
lalu,0.032
langsung,0.024
lanjur,0.008
lapis,0.008
laut,0.008
lebih,0.081
lelah,0.008
lemas,0.008
lembek,0.016
lempeng,0.008
lewat,0.016
libur,0.016
lihat,0.032
limitid,0.008
lks,0.008
loba,0.016
lockdown,0.024
loh,0.008
loker,0.008
lolong,0.008
lomba,0.016
lotek,0.008
luar,0.008
luas,0.008
lulus,0.008
lung,0.008
lupa,0.016
maaf,0.016
macet,0.008
maemunah,0.008
maenya,0.008
mafkan,0.008
maha,0.016
main,0.008
maju,0.008
makan,0.008
malah,0.008
malaikat,0.008
malam,0.008
malik,0.008
malu,0.024
mamam,0.008
mampu,0.016
mana,0.065
mandir,0.008
mangil,0.008
martabak,0.008
marukana,0.008
masalah,0.008
masuk,0.016
masya,0.016
masyarakat,0.008
mata,0.016
matahari,0.008
mau,0.057
memang,0.089
memangil,0.008
memberi,0.016
menang,0.008
menikah,0.016
meren,0.008
mikil,0.008
milik,0.016
mimpi,0.008
minggu,0.008
mingir,0.008
minta,0.008
minyak,0.008
misal,0.008
misi,0.032
miskin,0.008
mknya,0.008
moal,0.008
mobile,0.008
modal,0.008
modboster,0.008
mondar,0.008
mongnawn,0.008
motor,0.008
muda,0.008
mudah,0.016
muka,0.008
mumpung,0.008
mumun,0.008
mungkin,0.024
murah,0.008
mustofa,0.008
na,0.008
nah,0.008
naha,0.016
naik,0.008
nama,0.008
namain,0.008
nan,0.008
nasabah,0.008
ngaps,0.008
ngarti,0.008
nge,0.008
ngetwet,0.008
ngke,0.008
ngobrol,0.008
ngurus,0.008
ngutang,0.016
niat,0.016
nikah,0.008
nila,0.008
nolak,0.008
nomor,0.008
nongkrong,0.008
notes,0.008
nteu,0.008
nti,0.008
nya,0.105
nyah,0.008
nyala,0.008
nyaman,0.008
nyantai,0.008
nyanyi,0.016
nyata,0.024
nyebelin,0.008
nyebutna,0.008
nyerah,0.008
nyimpen,0.008
nyontek,0.016
obat,0.016
obrol,0.008
ocon,0.008
oge,0.008
oke,0.024
olahraga,0.016
ombak,0.008
omong,0.016
ons,0.008
orang,0.097
os,0.008
otak,0.008
pacar,0.016
pada,0.008
padahal,0.024
pager,0.008
pagi,0.008
paksa,0.008
pala,0.008
paling,0.008
paman,0.008
panik,0.008
panjang,0.049
pantai,0.008
pantas,0.008
panutanque,0.008
parah,0.008
pasuk,0.008
patah,0.008
pdip,0.008
pengaruh,0.008
pengirim,0.024
penting,0.032
perbarui,0.008
percuma,0.008
periksa,0.024
perilaku,0.008
pernah,0.049
pernahtrauma,0.008
persik,0.008
pertama,0.008
pesan,0.008
peta,0.008
peter,0.008
pikir,0.081
pilih,0.008
pinjam,0.008
pintar,0.008
pintu,0.016
pipiluen,0.008
pis,0.008
pk,0.008
pokok,0.016
pokona,0.008
posisi,0.008
positif,0.008
positip,0.008
proshop,0.008
pulang,0.008
pulsa,0.008
punya,0.04
pusing,0.04
racun,0.008
rada,0.008
rahim,0.008
rajin,0.008
ramai,0.008
rambut,0.016
rasa,0.057
ratu,0.008
ratus,0.008
receh,0.008
rekening,0.016
rendam,0.008
resepsi,0.008
retweet,0.008
ribu,0.008
riung,0.008
rojiun,0.008
romantis,0.008
ronaldo,0.008
rugi,0.008
rumah,0.008
rumahsakit,0.008
sa,0.008
sabar,0.016
sadar,0.016
saetikmah,0.008
sahateh,0.008
saja,0.17
sakit,0.008
sama,0.073
sampai,0.008
samsul,0.008
sang,0.008
sangka,0.008
santai,0.008
santuykeun,0.008
satu,0.024
saudara,0.13
saya,0.526
sayang,0.008
says,0.008
se,0.024
sebenerna,0.016
sebuah,0.016
sederhana,0.008
sedih,0.04
segala,0.016
segera,0.008
sehat,0.024
sekali,0.121
sekarang,0.016
sekitar,0.008
seklai,0.008
selalu,0.065
selamat,0.016
semoga,0.032
sempat,0.016
semprot,0.008
semut,0.008
semwa,0.008
senang,0.032
sendiri,0.049
sengaja,0.008
senyumin,0.008
sepat,0.008
seperti,0.065
seri,0.008
sering,0.008
sesuatu,0.016
setuju,0.008
seulgi,0.008
si,0.04
sial,0.049
siap,0.008
siapa,0.016
sigana,0.008
sih,0.04
sikat,0.008
sinar,0.008
sini,0.008
sipu,0.008
situ,0.008
situasi,0.008
sj,0.008
sobat,0.008
sok,0.016
sokwe,0.008
sombong,0.008
sosial,0.008
soswit,0.008
stela,0.008
stlh,0.008
suara,0.016
sudah,0.138
suka,0.024
sula,0.008
sule,0.008
sulit,0.008
sunda,0.032
suru,0.008
susah,0.016
susul,0.008
sw,0.008
syp,0.008
syukur,0.016
tabok,0.008
tabung,0.008
tadi,0.016
tahu,0.065
tahun,0.008
takuasa,0.008
takut,0.008
tangguh,0.008
tangis,0.008
tanjung,0.008
tanya,0.016
tapi,0.097
taruh,0.016
tatabahasa,0.008
tauga,0.008
tawa,0.251
te,0.008
teh,0.016
teks,0.008
telepon,0.008
teman,0.049
tempat,0.016
tempatna,0.008
temu,0.008
tenang,0.016
ter,0.024
terbang,0.008
teriak,0.008
terima,0.04
teringat,0.008
terlalu,0.008
terus,0.04
tetap,0.008
teuing,0.016
tiada,0.008
tiap,0.008
tiba,0.008
tidak,0.38
tidur,0.016
timun,0.008
tinggal,0.008
tipu,0.008
tir,0.008
tlah,0.008
tmnapalagi,0.008
tolak,0.008
tolong,0.008
tonton,0.008
transfer,0.008
tua,0.008
tuhan,0.146
tunggal,0.008
uang,0.024
ubah,0.008
ucap,0.016
ucing,0.008
ulang,0.016
ulin,0.008
umat,0.008
umur,0.008
untuk,0.032
untung,0.016
unyu,0.008
usah,0.016
vc,0.008
via,0.008
wadul,0.008
waikiki,0.008
waina,0.008
wajar,0.008
waktu,0.016
walahu,0.008
wanita,0.016
warga,0.008
warna,0.008
welas,0.008
weuh,0.008
whatsapp,0.008
wib,0.008
wkwkemg,0.008
ya,0.008
yah,0.008
yaitu,0.008
yaiya,0.008
yaiyala,0.008
yang,0.219
yelowclaw,0.008
yupi,0.008
yupinya,0.008
zona,0.008
zuma,0.008
