term,weight
acara,0.007
ada,0.045
adalah,0.037
admin,0.007
aduh,0.015
agar,0.022
ah,0.015
air,0.03
ajaib,0.007
ajar,0.052
akan,0.037
akhir,0.007
alesano,0.007
alias,0.015
allah,0.007
aman,0.015
ambil,0.007
ampuh,0.007
ampun,0.007
an,0.03
anak,0.06
anarkis,0.007
anda,0.082
aneh,0.007
angkat,0.007
aniferseri,0.007
antem,0.007
anymore,0.007
apa,0.089
apanih,0.007
aplikasi,0.015
appreciate,0.007
april,0.007
armada,0.007
artikel,0.007
asam,0.007
asin,0.007
asli,0.007
atas,0.022
atau,0.022
avatar,0.007
aware,0.007
awas,0.007
ayo,0.015
baca,0.045
bagaimana,0.015
bahasa,0.007
bahkan,0.007
baik,0.037
bajing,0.007
bajrangi,0.007
baju,0.007
balas,0.045
bangun,0.007
bangunin,0.015
bank,0.007
bansos,0.007
bantu,0.015
banyak,0.052
banyakin,0.007
bapak,0.03
baradegongs,0.007
bareng,0.022
baru,0.067
batal,0.007
bayang,0.007
bayar,0.007
bcs,0.015
begini,0.007
begitu,0.045
benang,0.007
benar,0.119
benara,0.007
benci,0.007
bendera,0.007
beranda,0.007
berapa,0.007
berita,0.022
bermanfat,0.007
betul,0.007
bhaijan,0.007
biadab,0.007
biasa,0.03
bicara,0.007
bidadari,0.007
bieber,0.007
bimbing,0.007
bisa,0.037
bismillah,0.007
bodoh,0.007
bogor,0.015
bom,0.007
boong,0.007
bosan,0.007
buang,0.007
buat,0.074
bubuk,0.007
buka,0.015
bukan,0.007
bukber,0.007
buku,0.015
bulan,0.007
bunga,0.007
butuh,0.015
buyul,0.007
cair,0.007
cangkir,0.007
cannot,0.007
cantik,0.007
cara,0.015
cari,0.015
cashzine,0.015
catat,0.007
cemil,0.022
cengang,0.007
cepat,0.007
cerita,0.045
cewenya,0.007
checkout,0.007
cikerteg,0.015
cinta,0.015
circumstances,0.007
cisarua,0.007
coba,0.037
cocol,0.007
coklat,0.007
congrats,0.007
corona,0.015
cried,0.007
cryn,0.007
cuma,0.03
curi,0.007
daftar,0.007
dalgona,0.007
dan,0.06
dana,0.015
daong,0.007
dapat,0.074
dari,0.06
debat,0.007
decisions,0.007
deep,0.007
deh,0.015
dekat,0.007
dengan,0.022
dengar,0.022
dengernya,0.007
dentum,0.015
di,0.037
dia,0.052
dian,0.007
didik,0.007
didn,0.007
dil,0.007
diluar,0.007
dingin,0.015
diri,0.022
dokter,0.007
dong,0.022
dosen,0.007
dots,0.007
drama,0.007
dugul,0.007
dulu,0.022
dunia,0.007
edukasi,0.007
egois,0.015
eh,0.007
emakemak,0.015
emping,0.007
enak,0.03
enaq,0.007
encer,0.007
energi,0.015
erat,0.007
eyed,0.007
fase,0.007
film,0.007
gagal,0.015
gairah,0.007
gaji,0.015
gambar,0.015
ganti,0.007
gantung,0.007
gapada,0.007
gaperna,0.007
gemas,0.015
gemetar,0.007
gempor,0.007
genks,0.007
gewd,0.007
gila,0.022
gils,0.007
gin,0.022
goa,0.007
gomez,0.007
gonzales,0.007
goyang,0.007
gramarly,0.007
gubernur,0.007
gugup,0.007
gula,0.015
gulung,0.007
gumush,0.007
gunung,0.022
guru,0.015
habis,0.03
hadap,0.007
hade,0.007
haha,0.007
hai,0.015
haid,0.007
hailey,0.007
hal,0.015
halusinasi,0.007
hambar,0.007
hamil,0.007
hangat,0.015
hanya,0.022
happened,0.007
harap,0.03
harfiah,0.007
hari,0.097
harus,0.015
has,0.007
hasek,0.007
hasil,0.007
hati,0.007
hayang,0.007
henti,0.007
hepi,0.007
heran,0.015
hidup,0.015
highly,0.007
hilang,0.015
his,0.007
hotel,0.015
hubung,0.015
hujan,0.007
humoris,0.015
ibadan,0.007
ibu,0.037
idupnya,0.007
ih,0.007
ikut,0.015
ilfel,0.007
in,0.022
indonesia,0.007
info,0.007
informasi,0.007
ingat,0.015
ingris,0.007
ini,0.067
insekyur,0.007
inspirasi,0.007
insta,0.007
instagram,0.007
isi,0.007
isn,0.007
istri,0.015
itu,0.179
iya,0.037
jadah,0.007
jadi,0.186
jahe,0.007
jam,0.037
jamu,0.015
jarang,0.007
jasmani,0.007
jawab,0.007
jebak,0.007
jelek,0.007
jenis,0.007
jenius,0.007
jiwa,0.007
jorok,0.007
jt,0.015
juga,0.007
june,0.007
jurus,0.007
justin,0.015
kacau,0.007
kadang,0.007
kafe,0.007
kalah,0.015
kalau,0.127
kali,0.022
kalian,0.007
kamsahamnida,0.007
kan,0.015
karang,0.007
karantina,0.03
karena,0.015
kasar,0.007
kasi,0.015
kasih,0.015
kata,0.03
kayu,0.007
kebucinan,0.007
kecil,0.015
kejut,0.022
kelas,0.007
kelelawar,0.007
keluar,0.015
keluarga,0.052
kemarin,0.015
ken,0.022
kena,0.007
kenapa,0.052
kentel,0.007
keras,0.022
keren,0.007
kerja,0.015
kesal,0.007
ketik,0.007
keuwuan,0.007
kewren,0.007
khawatir,0.007
khusus,0.007
kids,0.007
kira,0.037
kita,0.007
kitu,0.007
kode,0.022
koin,0.007
koinya,0.007
kompres,0.007
kopi,0.022
korea,0.007
korsel,0.007
kreatif,0.007
kucing,0.007
kue,0.007
kuliah,0.03
kumpul,0.015
kuning,0.007
kunyit,0.007
kuping,0.007
kurang,0.007
kutuk,0.007
kyot,0.007
lagi,0.022
lagu,0.022
lah,0.022
lailahailalah,0.007
laki,0.045
laku,0.015
lalu,0.007
lama,0.037
lampu,0.007
langsung,0.022
lathi,0.007
lebaran,0.022
lebih,0.022
lelucon,0.015
lemah,0.007
lembek,0.007
lemme,0.007
lena,0.007
lewat,0.007
libur,0.015
lihat,0.074
limain,0.007
ll,0.007
loh,0.007
loves,0.007
luar,0.007
lucu,0.03
lulus,0.015
lupa,0.015
luruh,0.007
maaf,0.015
mahasiswa,0.007
maju,0.007
makas,0.007
makin,0.007
malah,0.037
malam,0.015
malas,0.007
malu,0.015
mana,0.045
mangil,0.007
manis,0.007
mantengin,0.007
masak,0.007
masakan,0.007
masalah,0.015
masing,0.03
masjid,0.007
masker,0.015
masuk,0.06
mata,0.007
mati,0.007
mau,0.164
may,0.007
mefenamic,0.007
meja,0.007
melow,0.007
memang,0.022
memangilmu,0.007
memberi,0.015
mempan,0.007
memperkenalkan,0.007
menang,0.007
mendes,0.007
menikah,0.015
menkes,0.007
merah,0.015
mereka,0.045
merinding,0.015
mesin,0.007
mg,0.015
mickey,0.007
milik,0.007
milo,0.015
minggu,0.007
minta,0.007
minum,0.03
mixer,0.007
mobil,0.015
mohon,0.007
mon,0.007
monday,0.007
mostly,0.007
mudah,0.007
mula,0.007
mumbai,0.015
mungkin,0.015
murid,0.015
musik,0.007
musim,0.022
mutualku,0.007
nah,0.007
naik,0.007
nang,0.06
nebeng,0.007
needed,0.007
needs,0.007
negeri,0.007
neh,0.007
ngadukna,0.007
ngangur,0.007
ngantri,0.007
ngebucin,0.007
ngehalu,0.007
ngehayal,0.007
ngelawan,0.007
niat,0.015
niy,0.007
nomor,0.007
nongkrong,0.007
norak,0.007
numpang,0.007
nya,0.045
nyala,0.007
nyantai,0.007
nyanyi,0.007
nyata,0.03
nyebarin,0.007
nyemilin,0.007
nyeri,0.015
nyimpen,0.007
obat,0.015
obrol,0.015
oiya,0.007
ojek,0.007
omong,0.022
ongkos,0.007
online,0.022
orang,0.112
otak,0.007
pa,0.022
pacar,0.015
padahal,0.052
pagi,0.015
pagipagi,0.007
paham,0.015
pait,0.007
pakai,0.074
paksain,0.007
paling,0.037
palsu,0.015
pandemi,0.007
panggil,0.007
pangrango,0.007
panjang,0.007
parah,0.007
pasar,0.007
patah,0.007
pdb,0.007
pecah,0.007
peduli,0.007
peluk,0.007
pemandanganya,0.007
pena,0.007
penganten,0.007
pengirim,0.007
penting,0.015
penuh,0.007
percaya,0.007
perintah,0.007
perlu,0.007
pernah,0.03
pertama,0.007
perubahanya,0.007
pesan,0.007
peta,0.015
pic,0.007
pikir,0.052
playstore,0.007
pon,0.007
poor,0.007
posisi,0.007
pria,0.007
