term,weight
abcd,0.005
abk,0.005
abrek,0.005
absolutely,0.005
ada,0.044
adalah,0.016
admin,0.071
agak,0.005
ah,0.011
ahmad,0.005
aih,0.005
ajar,0.027
aju,0.005
akal,0.005
akan,0.038
akar,0.005
akhir,0.033
aktif,0.005
akumulasi,0.016
akun,0.005
alas,0.005
alasan,0.005
album,0.011
ambil,0.005
ambilin,0.005
amerika,0.005
amin,0.005
ampun,0.027
an,0.027
anak,0.027
anda,0.098
andai,0.005
aneh,0.005
antara,0.005
anut,0.005
anya,0.005
anymore,0.005
apa,0.114
april,0.011
arti,0.011
artis,0.005
asal,0.005
asam,0.005
asing,0.005
asli,0.005
atas,0.005
atm,0.005
awal,0.016
ayah,0.011
babynya,0.005
baca,0.016
badan,0.005
bagaimana,0.038
bagus,0.016
bahanya,0.005
bahasa,0.011
baheula,0.005
baik,0.065
baju,0.005
bakar,0.005
bakso,0.011
balas,0.022
balesnya,0.005
balik,0.005
bangun,0.011
banking,0.005
bantu,0.038
banyak,0.016
bapak,0.022
bareng,0.016
barenganya,0.005
baru,0.033
batal,0.005
batin,0.011
bawa,0.027
bayang,0.005
bayar,0.016
bayi,0.005
bebas,0.005
beberapa,0.005
beda,0.038
begini,0.022
begitu,0.082
belakang,0.011
belanja,0.005
beli,0.027
belum,0.016
benar,0.027
benci,0.044
bentar,0.005
beranda,0.005
beri,0.011
berita,0.005
bersih,0.005
besar,0.005
besok,0.016
betapa,0.005
bgaimnpun,0.005
biarin,0.005
bias,0.005
biasa,0.027
biaya,0.044
bicara,0.016
bilang,0.044
binatang,0.005
bingung,0.005
bisa,0.033
blackpink,0.016
blajar,0.005
blokir,0.011
bmnya,0.005
boikot,0.005
bolak,0.005
bosan,0.011
buat,0.071
bubar,0.005
buka,0.027
bukan,0.055
buku,0.005
bulan,0.038
bulananya,0.005
bumi,0.005
bunga,0.027
bungkus,0.005
buruk,0.022
butuh,0.016
cahaya,0.016
cair,0.005
candai,0.005
capai,0.005
cara,0.005
cari,0.011
catat,0.005
cekam,0.005
celaka,0.005
cemil,0.016
centil,0.005
cepat,0.005
cepek,0.005
cerdas,0.005
cerewet,0.005
churos,0.005
cibir,0.005
cilok,0.005
cimahi,0.005
cinta,0.005
cipiran,0.005
cita,0.005
coba,0.016
combo,0.005
comeback,0.016
comebacknya,0.005
corona,0.016
cowdunk,0.005
cpns,0.005
crys,0.005
crystaline,0.005
cuci,0.005
cukup,0.005
cuma,0.104
cumu,0.011
da,0.005
dada,0.005
daftar,0.038
dagang,0.016
dahlan,0.005
dalam,0.005
dan,0.005
dari,0.011
dasar,0.005
deh,0.016
dekat,0.022
depa,0.005
depan,0.016
dewa,0.005
di,0.016
dia,0.022
diam,0.011
dibenerin,0.005
dibilangin,0.005
dibolehin,0.005
diemin,0.005
digambarin,0.005
digenepin,0.005
dijadin,0.005
dijlasin,0.005
dikasihtahu,0.005
dikatain,0.005
diketawain,0.005
diklat,0.011
dilema,0.005
dimainin,0.005
dinget,0.005
dipendem,0.005
dipikirin,0.005
dipinjemin,0.016
direktur,0.005
diri,0.022
ditindaklanjuti,0.005
dititipin,0.005
ditngapi,0.005
diumumin,0.005
doa,0.016
doang,0.011
dokter,0.011
dong,0.016
dosen,0.005
drama,0.011
dua,0.005
duchut,0.005
duka,0.005
dulu,0.104
duluan,0.005
dunia,0.016
eh,0.005
emas,0.011
embat,0.005
energi,0.005
episode,0.033
erupsi,0.005
eunhyuk,0.011
ex,0.005
exo,0.011
fans,0.005
faskes,0.005
film,0.005
fizi,0.011
formalitas,0.005
fresh,0.005
gadai,0.005
gaduh,0.005
gaji,0.005
gambar,0.005
gandeng,0.005
ganggu,0.011
ganti,0.005
gara,0.005
gawe,0.005
gb,0.005
gedung,0.005
geger,0.005
gek,0.005
gelap,0.005
gelar,0.005
gelem,0.005
ger,0.005
gigit,0.005
gih,0.005
gila,0.016
gin,0.022
gosip,0.005
gugup,0.022
gula,0.011
guru,0.011
gutu,0.011
habis,0.016
haha,0.033
hai,0.005
haji,0.011
hak,0.005
hakim,0.005
handphone,0.005
hantam,0.005
hantu,0.005
hanya,0.022
hapus,0.027
haram,0.005
harap,0.005
harga,0.016
hari,0.022
harus,0.005
hasil,0.011
hati,0.011
hendak,0.005
heran,0.011
heu,0.005
hewan,0.005
hiatus,0.005
hidup,0.022
hikmah,0.005
hilang,0.011
hilih,0.005
hitung,0.005
hortensia,0.005
hubung,0.005
huluh,0.005
humoris,0.005
hutan,0.005
hutang,0.005
ibu,0.027
idola,0.016
ih,0.005
ijek,0.005
ikan,0.005
ikhlasno,0.005
imunitas,0.005
in,0.027
inailaihirojiun,0.005
inalilahi,0.005
indomaret,0.005
indonesia,0.011
informasi,0.005
ingat,0.033
ingin,0.038
ingris,0.005
ini,0.022
intan,0.005
internet,0.022
isi,0.022
isoe,0.005
istri,0.005
isya,0.005
item,0.005
itu,0.055
iur,0.005
iya,0.033
iyaya,0.005
jadi,0.147
jaga,0.005
jaket,0.005
jal,0.005
jalan,0.011
jam,0.011
jaman,0.005
jang,0.005
jarak,0.005
jasuke,0.005
jauh,0.005
jawab,0.011
jelas,0.016
jelasin,0.011
jijik,0.005
jilbab,0.005
jin,0.005
jiso,0.005
jnt,0.005
jodoh,0.011
jorok,0.005
jual,0.022
jualanya,0.005
jugan,0.005
juli,0.005
jumlah,0.011
juta,0.011
kabar,0.005
kabul,0.005
kabur,0.005
kadang,0.022
kadnag,0.005
kakau,0.005
kalau,0.185
kali,0.044
kambing,0.005
kan,0.044
kapal,0.005
kapan,0.005
kapasitas,0.005
karena,0.022
karma,0.005
kasih,0.011
kata,0.011
